,Id,Tweet
0,101200,hola aries
1,101201,aries no te preocupes por el dinero a travs de youtube
2,101202,mpego la impulsividad d la aries season por lo q hice compras compulsivas mientras lloraba comiendo brownies y vea a chicas con sus ramos de flores amarillas
3,101203,ya manifestaron cmo quieren verse de ac a 6 meses con la luna nueva en aries es ideal para escribir en presente todo aquello que quieran para sus vidas y cmo quieran estar intencionen sahumen dichas intenciones y plntenlo en la tierra mucha energa movindose
4,101204,la temporada aries empieza fuerte
5,101205,buen inicio de la aries season
6,101206,aries season y me siento de la mierda
7,101207,loco empez la temporada aries y ya se andan queriendo cagar a pias todos paren un toqueee
8,101208,voltea para otro lado mija jajajaja lcdlf3
9,101209,te amooo
10,101210,la gala ms incomoda del condado lcdlf3
11,101211,nunca haba tenido tanta ansiedad de ver mis notas
12,101212,pablito aunk m caiga mal a veces malditos aries pero bno
13,101213,no s nada del aries season ni a quin beneficia pero puedo confirmar que a m no
14,101214,luna nueva en aries que comience la accin
15,101215,ta potente la aries season
16,101216,yo no entiendo nada slo s que estoy ms violenta de lo normal y le voy a echar toda la culpa a la luna en aries que tengo
17,101217,empez la aries season
18,101218,gracias al motorista que nos hizo coro con la cancin de floricienta lt 3 jajs
19,101219,qu es eso de que dar siempre de ms en mis vnculos y decepcionarme constantemente es por un trauma y no porque soy de aries
20,101220,ahhhh chis ya es la aries season
21,101221,q significa q sea aries season
22,101222,de aries tena que ser
23,101223,oficialmente aries season
24,101224,sol en aries draco 2do da de la nueva encargada de rrhh y yo ya le ped una reunin para expresar lo que siento
25,101225,bueno ahora s me tengo que dormir
26,101226,feliz ao nuevo zodiacal y feliz cumpleaos a todos los aries
27,101227,ese meme de cuando la aries season despide a la pisces season al grito de smells like bitch in here
28,101228,hoy luna llena en aries aprovechen a visualizar sus proyectos y a soltar lo que ya no quieren repetir ms y no olviden cortarse el pelo
29,101229,oficialmente aries season oficialmente mi temporada y van a pasar cosas maravillosas porque van a pasar
30,101230,aries tambin viene con mecha corta y dolor de cabeza digamos todo
31,101231,el cachetadon del aries season de vrd
32,101232,22mar luna en aries conjuncin mercurio quirn y jpiter tendremos el impulso y el coraje para llevar nuestros pensamientos e ideas a la accin estaremos en modo sin miedo al xito y aprovecharemos las bondades de jpiter el gran benfico en su estada por el carnero
33,101233,estbamos re mal y el viernes refresc y hoy empez la aries season confiemos en algo hay que creer
34,101234,mi hermanita de 9 aos tiene que elegir una cancin para patn y quiere una de lana del rey yo a su edad escuchaba ozuna
35,101235,me da mucha risa q admitan q stanean gente tan pelotuda como para no saber q poronga es una esvastica like damn girl q te ensean en la escuela en vez de historia tortura medieval para sumar victimas de bullying al expediente
36,101236,saban que hoy que se estrena la temporada aries es el cumpleaos de betty
37,101237,solo somos peligrosos si nos hacen enojar el real enemigo son los pibes de geminis y piscis y las mujeres de aries jsjs
38,101238,llego la mejor parte del ao otoo y aries
39,101239,comenzo la temporada de aries
40,101240,palabras que nunca quisieras escuchar cmara mi gente ya se la saben
41,101241,luna nueva en aries y me acaban de pegar un pelotazo esa energa descontrolada si se puede ver
42,101242,es una vida puta pero hay que saber amarla
43,101243,luna nueva en aries equinoccio de primavera nuevo ao solar
44,101244,el cielo y el infierno no son lugares son estados de consciencia bhagavanvasquez elmediumdelatinoamerica feliznoche 21mar lunanueva aries
45,101245,wakala maana empieza la aries season
46,101246,cierto que empez la aries season mamita preparense para gritar y re contra cagarse a puteadas con todo el mundo sin motivo aparente
47,101247,bueno que empez mi temporada de aries con luna nueva y todo ajjajajajaj
48,101248,yo siempre me rio q tiene tweets diciendo la nword en contextos re usjsjsj como hoy comi nword
49,101249,te amo temporada aries ariesseason
50,101250,que terrible inicio de la aries season
51,101251,me dijeron que haba temblando porque comenz la temporada de aries qu se creen meeehh
