,Id,Tweet
0,4793,camila quiero una camisa del barca porque yo soy del barca yo camila dime 6 jugadores del equipo camila modric di mara y julin lvarez
1,4794,voy a llorar
2,4795,me importa 1 mierda el mierdiz mis problemas son mos pero fora bara y mi alegria el mierda del separatista charnego feo de cojones el rufian ne dona molt fastic
3,4796,chiringuitovar pedrerol claro que el var se equivoca pero siempre a favor del bara
4,4797,no s si ser verdad o no por si fuera el caso espero que la nica respuesta fuera la de preocuparos vosotros de vinicius
5,4798,quiero una jersey del bara
6,4799,chiringuitovar habr que esperar otros 20 aos para que salga los apaos de barca el jefe del var es el tapado de negrereira por eso decia que poda ayudarle con el var
7,4800,revisar la jugada del gol del bara leeandoaky tras soltar el baln hace falta a carvajal mediante obstruccin impidindole llegar a la cobertura del pase del golchiringuitovar
8,4801,chiringutivar me gustara saber la opinin de carme barcel y del lobo carrasco si el arbitraje que le hicieron ayer al madrid se lo hacen al bara que diran
9,4802,nuevo programa mqppodcast el bara consigue media liga la polmica del clsico
10,4803,me ests diciendo que el cm del bara es elroncerodelfcb
11,4804,si es cierto que sin el var el bara y el madrid estaran empatados lo que demuestra es que los rbitros se equivocan a favor del madrid y por suerte el var lo descubre y hace rectificar
12,4805,vaya manera de manipular esa estadstica quiere decir que si no llega a estar el var al bara le hubieran robado la liga porque le hubieran quitado 9 puntos tras no corregir errores chiringuitovar
13,4806,con var en europa el bara no tendra ninguna champions est demostrado chiringuitovar
14,4807,lo que est claro es que cada vez que el bara recibe un gol el var pasa minutos en buscar alguna excusa para anularlo y cuando lo recibe el madrid no se revisa nada chiringuitovar
15,4808,los que decan que fernando palomo no cantaba los goles del barca donde estn
16,4809,chiringuitovar sin el sinvergenza de negreira el bara tendra 10 ligas menos
17,4810,todos los cules que val a chiringuito os propongo que dejemos de seguirlos carmebarcelo jotajordi13 carlesfite quimdomenech marcel llorens y todos los siervos de fp y que hacen el ridculo al participar en esa manipulacin de programa
18,4811,y dice un tal edu aguirre en el chiringuito que el bara ni ganando 10 ligas seguidas no est para sacar pecho hay que joderse ser posible y ahora que si no hubiera var estaramos empatados ya no sabis ni qu inventar
19,4812,chiringuitovar a ver jpedrerol ests bien le abroncas a pedro pablo por decir que el bara ha chorizado despus de regodearte con el video de madridtv que no hace otra cosa que decir implcitamente que hubo robo home josep moderat i tapat una mica
20,4813,que hermosa pepa meti el barca ayer crj no hay mejor empilada que ver a tu equipo ganar pa sacarte la mrd en tu changuita
21,4814,cuando va a reaccionar el bara con gabri veiga he ledo que el madrid y la premier andan tras el no ser ms barato traer a otro talento al equipo como veiga en vez de regalarle al city 60 o 70 millones por bernardo silva
22,4815,en la vuelta pondrn a hernndez hernndez y en la final a de burgos bengoetxea para que ganen la copa contra el sistema arbitral corrupto espaol pagado por el bara y laporta es imposible competir el mundo entero ya sabe que el ftbol espaol est podrido chiringuitovar
23,4816,el barca va a ganar el sextete el prximo ao
24,4817,el barca tiene comprado a la prensa el relato se desmiente solo
25,4818,puta madre messi le va a hacer un repoker de goles al barca la otra temporada con con bayern
26,4819,que bonito es ser del barca
27,4820,hay menos jugadores del barcelona que van con su seleccion sin incluir a los cedidos y a los del barca b solo del primer equipo convocados 7 no convocados 14
28,4821,eso si
29,4822,chiringuitovar por si haba dudas de la nube que rodea al bara ayer se despejaron las dudas el madrid fue perjudicado por completo y descaradamente
30,4823,este vdeo define al dembo jajaja
31,4824,el madrid con el barca se vuelve le barca en europa
32,4825,chiringuitobar no hablis nada del 2 1 del bara con clara falta a carvajal slo hablis del fuera de juego que es lo nico que no tiene razn el vdeo de real madrid televisin qu dira la barcel si fuera al contrario
33,4826,total llevan como 20 aos hablando que el bara est plagado de vacas sagradas pero no voltean a mirar que en su plantilla tienen jugadores que sencillamente estn ah para la foto y cobrar nada ms
34,4827,chiringuitovar el segundo gol del barca no debi subir no hablan de las expulsiones perdonadas me encanta el programa pero dejo de verlo por la defensa obscena que algunos hacen del barca insoportable escucharciertas cosas lo de barcel y lobo no es aficin es otra cosa
35,4828,el vdeo pone al bara y a los rbitros el espejo
36,4829,el barca pagando rbitros y lobo carrasco dice viva el arbitraje espaol entre corruptos se entienden chiringuitovar elchiringuitotv
37,4830,gozamos de proteccin mapachil superior gracias a cabanessolar gracias por el detallazo genio alabada sea claudia pina fora bara fem en champions contra la roma
38,4831,si ese vdeo lo hace el atleti o el bara lo pondran de club pequeo y llorones espero que sigan el mismo criterio ahora pd se les olvida la expulsin de nacho en la primera parte chiringuitovar
39,4832,chirimguitovar los del barca todo el rato ninguneando alos pequeos getafe betis girona valencia athletic todos perjudicados dejaron de pagar a texeira para que cobre otro
40,4833,mi twitter est lleno de memes del real madrid y la magistral actuacin del barca en el clsico de ayer
41,4834,analizamos el ftbol espaol la federacin y piqu el bara y los dineros a los rbitros el var y su dueo accionista del bara
42,4835,nadie se dio cuenta pero el bara estuvo jugando con 12 hasta en 2 ocasiones
43,4836,alguien del canal se acuerdan cuando fui a ver al bara contra la juve que dije que dos jugadores me sorprendieron dembele y este seor christensen sobre todo coment que era un central muy serio alguien lo recuerda seguramente no ni cuando dije balde y digo abde ahora
44,4837,chiringuitovar el bara no puede hablar de los rbitros es echarse tierra encima
45,4838,estoy muy emocionado ilusionado e identificado con el barca a tal grado que si siguen jugando as y con esa actitud de sacrificio y pertenencia no me interesan los ttulos lo digo en serio disfruto de este equipo directiva y cuerpo tcnico va ms all de un trofeo
46,4839,gracias real madrid tv engrandecis ms al bara no habis perdido el ttulo por un fuera de juego asimiladlo lobo carrasco se dirige al madridismo en chiringuitovar
47,4840,el bara enseando como se le gana al madrid
48,4841,jajajjaja todos los internacionales del bara que pudieron esquivar los amistosos de esta fecha fifa tienen molestias y van a estar al 100 para la vuelta de la copadelrey e
49,4842,chiringuitovar el barca en liga gana mucho por las ayudas pero en europa no le da porqu los rbitros no le hacen caso
50,4843,mas gavi necesita este equipo jugadores que pongan en su sitio a subnormales como ceballos o vinicius que agreden y provocan y encima hay que aplaudirle gavi siempre en mi equipo le duele mas el bara que a los capitanes que tanto presumen de masia
51,4844,chiringuitovar no hay ni un clasico en el que gana el bara que no estn llorando los madridistas
52,4845,chiringuitovar jos lvarez el bara jug mejor que el madrid poniendo por ensima vez el autobs y encima con los colegiados sacndoles las castaas del fuego
53,4846,el bara rosala y el porqu de una accin publicitaria histrica
54,4847,el vdeo segua pero lo han censurado el del barca iba al bao y se limpiaba el mojino con la camiseta del madr
55,4848,defender lo del bara ayer es ridculo y me parece una vergenza excusarse en q el madrid a hecho cosas peores
56,4849,mierda los quiero mucho
57,4850,si buscas un servidor de iptv slido estable y sin interrupciones 10000 canales de tv internacionales 25000 pelculas serie 2000 alta calidad estabilidad whatsapp espana realmadrid benzema elclasico barca elena gavi barcelona
58,4851,chiringuitovar yo como cule pienso que esos fuera de juego no deberan pitarse pero me alegro que lo pitaran por todos aquellos que quieren ver al bara hundido
59,4852,el bara solo gana con rbitros espaoles fuera hace el ridculo
60,4853,al bara le hubieran pitado ese fuera de juego chiringuitovar
61,4854,chiringuitovar el barca campen es una recompensa puede ser sancionado a segunda y sin champion
62,4855,jajsjsj como es que recien veo esto
63,4856,l aporellos ara pel bara
64,4857,gracias a mi hermano ahora cada vez que el bara juega soy muy feliz gracias cules
65,4858,chiringuitovar siempre que interviene el var para el bara sale beneficiado y por lo contrario el madrid siempre sale perjudicado
66,4859,el bara solo gana con rbitros espaoles es la verdad en europa han hecho el ridculo
67,4860,por qu narices slo os planteis estas cosas cuando pasa a madrid o bara la liga es slo cosa de dos los dems no importan chiringuitovar
68,4861,el bara dej de pagar a negreira y empez a pagarle a carbajal
69,4862,tenis razn ahora solo falta que lo pongis cuando el bernabu cante lo del puta bara
70,4863,al menos as sabrn como ganarle al bara en el camp nou
71,4864,y pensando la logica del barca le gana a un equipo que es consagrado como el mejor de europa el cual a su vez le gana a grandes equipos consagrados tambien pero no le gana a equipos como mu o bayern que son derrotados por rm
72,4865,en caso de duda es gol el madrid es robado semana tras semana el bara solo gana con rbitros espaoles
73,4866,muchsimas gracias a todos los culs por hacerme llegar a los 3000 seguidores vamos a seguirnos todos entre todos para que ninguna cuenta cul tenga menos de 1000 seguidores visca el bara y visca vosotros
74,4867,llora llora llora gord0 hijo de mil pvta realmierda bara
75,4868,aubameyang apretar para convencer al bara de traerle de vuelta
76,4869,portadasport as se gana una liga el bara le ha sacado 15 puntos al madrid en cinco meses
77,4870,la barca de caronte muecos malditos pgm n26 t 01 20 03 2023 ivoox
78,4871,me causa hasta ternura los que comparan el bara con el city o el psg primero respeten a los padres y luego hablamos la historia no se compra
79,4872,de ser as que uno de los peores bara de este siglo le gane 3 clsicos seguidos al madrid y le saque 12 pts en liga es para reflexionar
