,Id,Tweet
0,104422,agradezco muchas cosas del antiguo dceu pero por cosas como la que estn pasando con zacharylevi y dwaynejohnson y muchisimas cosas malas ms es que siempre ped un reinicio completo de este universo shazamfurryofthegods blackadam
1,104423,pues a mi parecer dwayne johnson no solo entorpeci enormemente las posibles conexiones entre blackadam y shazam si no que tambin es responsable de quemar el ltimo cartucho que quedaba con el superman de henry cavill provocando que warner no le renovar
2,104424,ya sabemos que fue malo la cagada de negar el cameo de black adam en shazam 2 pero almenos espero a futuro que gunn cumpla una pelea pica entre estos 2 personajazos realmente icnico seria la pelea
3,104425,chismecito se revel que dwayne johnson therock le habra prohibido a zachary levi zacharylevi aparecer en la pelcula de blackadam esto sabemos
4,104426,dc un nuevo reporte afirma que la estrella de blackadam tomo muchas decisiones creativas que afectaron el desarrollo de shazam 2 se menciona que elimin una escena post crditos e incluso quiso enfocar el universo dc solo en l y superman
5,104427,no puede ser shazam enfrentandose a black adam fuera de pantalla
6,104428,no si ya vers a este paso s que vemos la pelea entre shazam y black adam
7,104429,de todos modos shazamfuryofthegods fue un fracaso y blackadam tambin pero estuvo un poco ms interesante la segunda y en un berrinche desesperado zacharylevi saca esto en fin dc se cay
8,104430,la culpa no es del reinicio reinicio tiene que haber si o si porque ya este dceu no le importaba ms al pblico general black adam tena a uno de los actores ms taquilleros y el regreso de cavill y ni con eso pudo llamar la atencin del pblico general
9,104431,en trminos de venta es ms interesante mostrar que blackadam da continuidad al mundo donde esta un superman que lleva aos sin aparecer en pantalla que mostrar algo tan evidente como su enemigo natural shazam que saldra con su propia pelcula al prximo ao
10,104432,ciertamente pero sin black adam no hubiese necesidad de haber elegido un nuevo campen as que la existencia de billy como hroe se basa en que black adam los acab a todos as que merecia apoyo desde el inicio de la pelcula no cuando necesitaron apalancar a la otra
11,104433,imgenes en vivo de zachary levi yendo a buscar a the rock shazam blackadam dceu
12,104434,las pelculas de dc podrn ser de calidad cuestionable pero el chismecito siempre estar cuanto menos entretenido shazam blackadam
13,104435,qu horrible pelcula es black adam
14,104436,yo hubiera querido ver un shazam vs black adam en el cine pero con esto me conformo
15,104437,siento mucha pena que el shazam vs blackadam en lugar de verlo en cines lo tengamos en instagram
16,104438,el actor zacharylevi confirma que dwaynejohnson lo vet de black adam y no quiso aparecer en shazam2 ac los detalles
17,104439,yo esperaba shazam vs black adam pero nos dieron zachary levi vs the rock
18,104440,victoria alonso abandona marvel studios cameo de black adam en shazam 2 gladiator 2 victoriaalonso marvel marvelstudios disney blackadam dwaynejohnson therock shazam2 shazamfuryofthegods gladiator2 starwars dcu dc noticias news
19,104441,pensar que antes the rock era alguien que nos daba esperanza por un futuro prometedor en dc ahora sabemos que le prometi a henry cavill y a nosotros que lo tendramos por mucho tiempo sin ser totalmente seguro y que adems se opuso al cruce entre blackadam y shazam
20,104442,y pensar que cagaba leches por black adam la piedra no solo se neg a que pudiera haber cualquier tipo de conexin entre black adam y shazam sino que arbitrariamente hizo y deshizo entre pelculas solo por un capricho cuntos dolos cados james gunn en ti confo
21,104443,la postura de zachary levi luego de que thewrap revelara que dwayne johnson no permiti un cameo de blackadam o algn miembro de la jsa en shazam furyofthegods y que levi hiciera lo propio en black adam
22,104444,definitivamente esto envejeci mal en una ltima declaracin parece que the rock fue el culpable que esto no se de y las fechas calzan porque en lo que se hacia shazam 2 y black adam gunn an no estaba a cargo parece que no es joda que dwayne johnson se cargue un ego enorme
23,104445,al final no tendremos shazam vs black adam pero si zachary levi vs the rock jaja
24,104446,auch con este msj de zachary levy que siempre ha sido amor a sus fans ahora si ms que confirmado todo el tema de the rock en dc wb blackadam y shazam2 el ego le gan y confirmara tambin las exigencias para fast and furious se me cay don dwayne johnson
25,104447,pues tcnicamente se puede decir que shazam y black adam s se pelearon pero fuera de la pantalla haciendo que ambas pelculas fueran un desastre meditico
26,104448,zachary levi confirma los rumores de que fue the rock el que evit que shazam apareciera en black adam al igual que tambin evit que los personajes de esta cinta salieran en shazam la furia de los dioses
27,104449,el chisme de como la roca no quiso apoyar la cinta de shazam con apariciones de black adam y otros personajes est mucho ms bueno que las mismas pelculas jaja
28,104450,culpan a ego de the rock por fracaso de black adam
29,104451,quisieron enterrar a black adam desde el principio y ahora se quejan porque no le dio el apalancamiento necesario a shazam dejen de hacerse las vistimas lamento que shazam furia de dioses se est perdiendo porque me encant pero no le voy a echar la culpa a la roca
30,104452,se me hace raro que therock pueda prohibir cameos en blackadam l tena control pero en shazam 2 ya es distinto los personajes no son suyos segn thewrap dwayne johnson evito que billy batson apareciera en black adam y que la jsa tuviera su cameo en shazam 2
31,104453,bueno ah lo tienen shazam vs blackadam
32,104454,james gunn en el tour de prensa de black adam sabiendo que mientras viva no va a dejar acercarse a menos de 500km a la roca a las oficinas de warner
33,104455,con el bardo de the rock con shazam black adam y dems la nica conclusin que saco es que al final vin diesel siempre tuvo razn
34,104456,la polmica con dwayne johnson me la trae bastante floja disfrut y sigo disfrutando de black adam como pelcula independiente ningn chisme va a cambiar eso
35,104457,los fans txicos el marketing y ahora the rock zachary levi comparte la noticia de thewrap donde se acusa a dwayne johnson por el fracaso de shazamfuryofthegods la verdad os har libres agreg el actor para los que queran ver el tan esperado shazam vs blackadam
36,104458,zachary levi siendo amigo de peter safran lo sabra de primera mano dwaynejohnson blackadam shazamfuryofthegods dcstudios dcu jsa
37,104459,peleas en dc zachary levi coment que el ego de the rock impidi el crossover entre shazam y black adam asegur que dwayne le prohibi aparecer en su cinta y que tambin este se neg a aparecer en shazam via the wrap
38,104460,se acuerdan cuando los fans de dc decan que black adam y the rock iban a revivir el dceu qu buenos tiempos
39,104461,cuando dijimos que queramos shazam vs black adam no nos referiamos a esto lmao
40,104462,a mi me encanta la interpretacin de zacharylevi en shazam que es magnifica y la de black adam de therock pero entiendo que a diferencia de shazam black adam no recibi apoyo y ha sido atacada desde dentro cmo le van a pedir que colabore si no colaboran con l
41,104463,me voy a la cama no sin antes decir que si warner hubiese estrenado batgirl en hbo habra sido ms rentable que los estrenos en cines de black adam y shazam 2 buenas noches
42,104464,queran shazam vs blackadam ya se lo estn dando excelente servicio
43,104465,la cosa era muy sencilla quieres peli de shazam aqu la tienes quieres peli de su villano black adam vaaale aqu la tienes y en la segunda peli de shazam lo pones a pegarse con black adam pero por los egos de hollywood las cosas han salo as
44,104466,segn manifiesta the wrap the rock vet una escena post crditos en blackadam que contara con shazam siendo reclutado por hawkman para la jsa
45,104467,aqu hacen que esa representacin de black adam se parezca a la roca avanzando que sus caminos acabaran cruzando y en black adam hasta donde yo recuerdo no hay ni una sola referencia a esto no siquiera se muestra al mago vaya despropsito
46,104468,pues black adam si result ser el villano de shazam
47,104469,yo siempre desee ver la pelea entre shazam y black adam como la roca en una pelcula la piedra entendible me peleare con superman que no es mi rival original y lo hago mayormente por mi que por ti
48,104470,tan sencillo que es olvidarnos de blackadam y el menso de therock no existi listo flash ser la continuacin de todo con su puto flashpoint
49,104471,no tuvimos la pelea del capitan maravilla shazam vs black adam en la pantalla grande pero al menos la tenemos en redes sociales
50,104472,al parecer si tendremos un black adam vs shazam pero en la vida real jaja a ver ahora que dice la roca
51,104473,black adam fue la ltima pelcula buena de dc y el hate que le est cayendo a cierto actor por no querer colaborar cuando le cancelaron todo es injustificado cruzo dedos para que flash funcione aunque teniendo a ezra como actor ya debera echarnos para atrs si somos justos
52,104474,esto no es a lo que nos referamos al decir que queramos ver a shazam vs black adam
53,104475,cuando black adam y shazam se enfrentan en redes sociales en vez de enfrentarse en el dceu
54,104476,the rock es un imbcil se neg a qu zachary levy shazam hiciera un cameo en black adam ahuevo quera traer a henry cavill superman de nuevo el ego de jhonson fue lo que llevo al fracaso a su pelcula zachary levy lo destroz en instagram
55,104477,pues al fin veremos a shazam vs black adam
56,104478,se viene el verdadero shazam vs black adam
57,104479,yo al ver que la adaptacin de la pelea y rivalidad entre shazam y black adam s se realizar pero fuera de cmara
58,104480,zachary levi confirmando que dwayne johnson impidi que l apareciera en black adam y actores se black adam aparecieran en shazam 2 con razn david f sandberg dijo que no quiere dirigir ms nunca una pelcula de superhroes por la mala experiencia que tuvo en shazam 2
59,104481,me queda claro despus del ltimo fracaso de wb dc que si henrycavill no sale en su cameo en black adam no hubieran recaudado ni 100 millones as que sganse pudriendo wbd se merecen seguir perdiendo dinero por tan mala decisiones y pelculas que estn haciendo
60,104482,flash haz lo tuyo y rebootea a shazam y black adam
61,104483,es que cuando la casa est tan contaminada de toxicidad hay que limpiarla lamentablemente el que iba a cambiar la jerarqua en dc solo habla del nivel de ego y que ellos creen que son ms importantes que los personajes pd the rock no es ms importante que black adam
62,104484,ah mira pues al final si hubo shazam vs black adam
63,104485,y se empieza a liar esto a compartido zacharylevi en su instagram shazamfuryofthegods dcstudios therock blackadam
64,104486,pues s hay shazam vs black adam
65,104487,increble cmo the rock fue ms villano de lo que black adam jams pudo ser debi ser al revs
