,Id,Tweet
0,39673,maana empiezo un nuevo hbito en mi vida y estoy muy contenta espero que todo me vaya muy bien
1,39674,me gustara enamorarme pero enamorarme de verdad y sentir que lo que siento tambin lo sienten por mi
2,39675,si me hablas por la noche te cuento el triple de cosas
3,39676,mi es q me pongo distante cuando vi algo q no me gusta
4,39677,es tan feo recaer cuando ibas bien
5,39678,me haces volver a brillar y no te has dado cuenta lt 3
6,39679,maana tampoco capaz pasado maana o jams
7,39680,es posta esto jajajajaja
8,39681,a veces siento que son los tweets de cristina y yo contra el mundo
9,39682,con esa panza de mierda que tiene haro puede arbitrar dnde envo mi cv
10,39683,gooooooooooooool ctm
11,39684,todo el mundo sabe la verdad ac est el carnaval no importan los garrones muero por los colores y se quieren matar la ciudad es nuestra siempre fuimos el pueblo gelp
12,39685,puro cabeceo bizrrap
13,39686,quemar a nadie qu pas que sigue quemando a las mujeres a pocos metros de la plaza donde lo hacan quienes queran disciplinarnos quemar a nadie mensaje tomado de marquezabella
14,39687,nos amamos tanto
15,39688,no hay lugar a ninguna duda el colega blasminayan es un togado excelente es un lujo tenerlo como abogado
16,39689,soy un maestro en acordarme de cosas de tiempo atrs y decir wey me mam
17,39690,excelente jurista el colega blas minaya
18,39691,crack con la pelota en los pies pero no puede ser tan tibio hermano
19,39692,gracias lobizn
20,39693,no querer levantarme y autopedirme perdn
21,39694,un dia te propones para seguir atajando en la seleccion y al otro te clava 3 instituto
22,39695,echa un vistazo al vdeo de gustavo cisneros tiktok
23,39696,horrible boca
24,39697,cuando es de dios sucede no importa cunto tiempo pase sucede
25,39698,saludos
26,39699,que criterio arbitral
27,39700,murio mi perrita hace dos das y trato de buscar su mirada en cualquier perrito que me cruzo
28,39701,cmo cuando hay ofertas pero no pisto para invertir
29,39702,es hermoso lo discordinado que suenan las bocinas en camino centenario se nota q no estaban acostumbrados
30,39703,no deja de aparecer en mis sueos
31,39704,ojal saquen a la mierda a villa fabra y pol fernndez
32,39705,la gente es demasiado insensible
33,39706,por favor que golazo hizo payero
34,39707,  seat 1 luis saldaa seat 2 david morales seat 3 fausto castillo seat 4 leonel cisneros seat 5 lacho guajardo seat 6 hiram dvila seat 7 santiago castan seat 8 mario garza seat 9 erick argote
35,39708,la verdad igual es que estudiantes siempre fue un club muy normalito de mitad de tabla para arriba si pero salvo grandes rachas entre los 3 primeros si supieran que entre el 76 y el 95 ganamos 2 clsicos nomas se matan nuestra realidad es rezar por entrar a libertadores
36,39709,cisneros dump
37,39710,pero la narrativa instalada es que nos ayudan a nosotros asquerosos hijos de puta
38,39711,me sent a pensar y me acabo de dar cuenta que depende de la persona o en el entorno donde est hablo mucho o no hablo nada
39,39712,el destino no es un misterio el destino es una decisin una decisin difcil una decisin audaz una decisin contraria a la intuicin t cumples tu destino al aprovechar una oportunidad tras otra
40,39713,gan cristal 2 1 a grau psimo arbitraje de villegas sin principio de autoridad se equivoc en la roja directa a lpez pisano no sancion penal contra hohberg ahmed plante bien el juego lo presion en salida a la sc lamentable lesin de vila luxacin del codo izquierdo
41,39714,me va a matar boca algn da viejo
42,39715,alguien que me regale flores amarillas
43,39716,personajes histricos biografa de gaspar betancourt cisneros historia de cuba
44,39717,que huevaaaaaaaa
45,39718,no saba que se poda jugar al ftbol desnudo gelp
46,39719,en stos momentos
47,39720,debemos valorar el esfuerzo que hacen otras personas para estar bien con nosotros cuando no sabemos si estn bien con ellas mismas
48,39721,sc sc sc quique vuelta ganamos
49,39722,banco nunca perdieron un clsico
50,39723,se revelaron los chicos
51,39724,cuando tienes resaca por ver a mediocres jugadores con discapacidad movil de las chivas en un clsico arreglado y llega el domingo para curarse con el verdadero clsico as es as se gana de local el nico clsico que para el mundo entero para ver ftbol de 1a divisin no s
52,39725,nos fuimos capwel es el destino
53,39726,que domingo diadesanjos ganan mis tuzos gana schecoperez y por mi chris gana el bara
54,39727,otra razn ms para ir a espaa
55,39728,feliz da del padre
56,39729,se clausura la 31 edicion de la feria internacional del libro en granma con broche de oro yovotosi mejoresposible
57,39730,la gran diferencia entre profesionalismo y mediocridad es fcbarcelona amp chivas laliga amp ligabbvamx en el orden que est escrito saber cmo ganar de locales este si es el clsico
58,39731,no se poda esperar algo diferente de esta aficin
59,39732,que risa que se la pasen tirando indirectas por facebook y en los estados de whatsapp ya supera esa pelea
60,39733,moriste el otro da igual
61,39734,jajajajajaajaj
62,39735,un circo
63,39736,no se como rerme por mensaje
64,39737,ancelotti est enamorado de jugadores que no estn rindiendo malsimo el partido de vinicius y lo deja catastrfico juego el de benzema que nunca corri y tampoco lo saca muy mal ancelotti muy mal
65,39738,gan el barcelona gan el mejor fcbarcelona fcbarcelona es gan el clsico de la laliga este si es un clsico este si es un clsico chivas aprendan cmo se ganan de local chivasfotos
66,39739,al menos tendrn un ttulo
67,39740,gan mi barcelona
68,39741,el barcelona haciendo uso de su arma secreta negreira anula gol y slo as se lleva el clsico ya nadie les cree
69,39742,casi como ahora sacando la coma
70,39743,me estoy muriendoooo
71,39744,hey chivas y america este si este si es un clsico y un clsico mundial este para el mundo no un pas acostumbrado a mediocres jugadores principalmente los de chivas el bara fcbarcelona es si sabe ganar de local chivasfotos
72,39745,reel semanal
73,39746,que la talla del zapato no te confunda
74,39747,acabo de tener un pequeo sustito por un aterrizaje frustadro en el vuelo que viajaba
75,39748,que chiste es la fia
76,39749,yamilex cisneros sardina candidata a diputada por habanavieja
77,39750,incendio en xochimilco en terreno baldo a un lado de hacienda san pablo en santiago tepalcatlalpan xochimilcoal xochimilco df en xochimilco c5 cdmx sedema cdmx claudiashein
78,39751,me pregunto si en la cantera de chivas no habr algo mejor que los 2 cisneros
79,39752,con mi nanissss gracias enana por estar en mis momentos importantes te amo mimotorcito teamoenana
80,39753,enorme calidad la del juego realmadrid vs barcelona otro nivel
81,39754,as sea salir a caminar vernos por un momento rer junto al otro y sobre todo pasar tiempo juntos sera una de las mejores citas
82,39755,otro veron que se va cojido del bosque gelp
83,39756,a algunos es decir no a todos ni siquiera a los ms sino a los menos sin contar las escuelas donde es obligatoria y a los mismos poetas sern dos de cada mil personas les gusta como tambin les gusta la sopa de fideos como les gustan los cumplidos y el color azul
84,39757,estudiantes la concha de tu madreeeeeeee
85,39758,1 da se tena q cortar la racha
86,39759,gol del desaparecido mierda esta
87,39760,la ansiedad que estoy manejando estos das que onda
88,39761,el viernes fui a la cascada com pizza v el gato con botas en 3d con mis primas ellas no lo saben pero son parte de mi lugar feliz
89,39762,personajes como los cisneros y ros son como polticos jaliscienses ninguno sabe cmo chingados lleg y ni que chingados hacer en lugares en que muchos quisieran estar chivas jeronimocamber2 sancadilla nomamen
90,39763,pero que cheto hijo de mil puta
91,39764,ronaldo cisneros del guadalajara disputa el baln con sebastin cceres del amrica durante su partido de ftbol del torneo clausura mexicano afp afpcom afpphoto afp afpespanol afp mexico jalisco guadalajara soccer football sport ligamx chivas clubamerica
92,39765,que pases ms basuras los del barcelona que les pasa
93,39766,raphina se parece a tenoch el de namor
94,39767,hoy hoy hoy los esperamos centro histrico de hermosillo aniversario de viactivahmo
95,39768,esta aficin va a cansar a alexis vega y ah los quiero ver resentimiento ilgico hacia el es tu figura t mejor jugador el que ms intenta y el que ms genera pero desde hace aos ya los quiero ver cuando se canse y se vaya de chivas y sigamos con carlos cisneros
96,39769,toda la aficin chiva reclamando el festejo de henrymartinm pero ni uno solo cuestionando y exigiendo a sus jugadores por eso celebraban repechajes son unos mediocres
97,39770,espeluznante la lesin de vila
98,39771,la vrdd ando bien a gusto
99,39772,no recuerdo que pndjo aqu haba puesto que chivas necesitaba jugadores como el carlos cisneros solo por qu se tatu las copas que gan en chivas y que esos jugadores son los que sienten los colores ojal con sentir metiera todas las que ha fallado el hdsptm
100,39773,si tan solo supieras cunto me gustas pero veo tus ojos y se que puedo terminar mal
101,39774,planayacucho nuestros soldados del batalln de ingenieros n 14 batalla de calibo de la brigada14 realizan presencia en el eje vial que comunica al municipio de cisneros con la ciudad de medelln antq para brindar un viajeseguro a todos los viajeros en este festivo
102,39775,mi novia est buensima
103,39776,que lo demuestren demuestrenlo entrevistes a alguien que haya pagado un centavo de dlar por coima no habr compasin con los corruptos nayibbukele
104,39777,tu eres una abusadorcita desarmas a todos
105,39778,un gusto siempre sumar y coincidir amigos apasionados del turismo
106,39779,el chiringuito poltico de los gay contra los nios se cae y caer
107,39780,yo ya quiero vivir con mi novio
108,39781,playoooo que lleguen y me digan que no soy el mismo de antes no s si me alegra o me bajonea
109,39782,y la retrica gastada no hay dinero por el malvado imperio que nos tiene bloqueados
110,39783,lstima que all mismo en ucrania no fue posible ponerle los ganchos ocurrir
111,39784,lky gobern 31 aos en singapur sac al pas del 5to al 1er mundo no habr regreso del desarrollo al subdesarrollo bukele podra intentarlo si lo dejan los ataques contra l arreciaran pq est dejando a muchos gobernantes incompetentes cmplices y perezosos en evidencia
112,39785,estoy seguro que raphinha y charal cisneros son parientes
113,39786,vamossssssss ahora otro ao ms va a robar sergi roberto jajajaja nahh vamos barca
