,Id,Tweet
0,12491,cmo no va a estar encarbonado claudio equis si ms de medio milln de mexicanos gritamos en el zcalo no al racismo no al clasismo no a la oligarqua ni al intervencionismo dejando claro que l y el prian no volvern al poder esunhonorestarconobrador
1,12492,veo una de las publicaciones de la jefa de gobierno y hace el comentario de que no hay clasismo simplemente hay que darse una vueltecita por las colonias de la ciudad de mxico para darse cuenta de la desigualdad y carencias que hay en cada demarcacin
2,12493,si crees que la vida te trata como basura no ests ni cerca de como le da asco mario delgado al viejopulgoso basuranotragabasura sigue al barn y te sigo ligadeguerreros noestassola morenaelcartelinmobiliario clasismo
3,12494,hay un poquito de analoga en tu clasismo
4,12495,las lesbianas tambin ejercen machismo mosoginia y mucho clasismo conozco varias
5,12496,me recarga que la banda empiece a dividir la cultura popular y en lite dado a este ltimo nfasis que es cultura y lo dems no se llama clasismo les encargo
6,12497,los periodistas que promueven el clasismo y el racismo comparando a un movimiento social con suciedad y desorden la foto es de septiembre del 2013
7,12498,cmo vas a ser tan cabeza cuadrada para exigir la msica de mierda que te gusta and a otro gimnasio o llevate auris clasismo las bolas este reclamo es de imbcil el tipo encima le contesta con altura gastando saliva
8,12499,el clasismo a diario de estos eruditos qu bueno que lo nico que tienen es un espacio es un pasqun para vomitar su odio
9,12500,esto no est lleno de la indignacin selectiva ms bien clasismo racismo y elitismo que tanto profesan gabrielguerrac warkentin porque para los de su clase enterrar un cuchillo a una de una autoridad electa por parte de gloaeza es normal y refleja los ideales de su clase
10,12501,tu confusion entre la meteorologia derechos de la mujer el tc apropiacion cultural lo unico que demuestras es usar todo eso para mostrar tu clasismo hacia las diferentes razas de mujer te crees andina pero solo eres mestiza amireortiz tu clasismo no te deja ser libre
11,12502,de malas francia mrquez y el vuelo en helicptero del clasismo de colombia va elpaisamericaco
12,12503,muera el racismo y clasismo mis tos felices de la vida ni un pinche muro los separa ni palabras de odio los une el amor solo el amor
13,12504,tocamos fondo en racismo clasismo y violaciones a los ddhh como sociedad el per acaba de vivir sus peores aos
14,12505,qhora soy premium revivi el clasismo
15,12506,clasismo
16,12507,el narcomonero es un hipcrita de grandes ligas no hay cartn suyo que no est basado en el odio el clasismo y el racismo oposicionmaspendejahaexistido
17,12508,pena ajena que tengan que salir a decir que decir de malas es indefendible pero solo ahora que lo dijo francia se pueden parar en las pestaas para defender su racismo y el clasismo que entre ms lo intenten ms se les nota la carita morronguita me mat
18,12509,no al clasismo y por qu las vayas de seguridad y asientos privilegiados a los funcionarios que estaban frente al escenario
19,12510,tengo una amiga que amo mucho de ecuador y su madre es peruana ambas culturas y son unas grandes personas y me dicen que ni se me ocurra ir a ecuador o a per xq les da miedo que yo sufra injustamente xenfobia clasismo y rechazos por mi apariencia y nacionalidad imagnate t
20,12511,el clasismo del gobierno en funciones se aprecia en la fotografa yo no veo a mestizos indios o mulatos solo veo prototipo de espaoles en las primeras filas
21,12512,no me molestaba su clasismo hasta que empez a trabajar en la asamblea
22,12513,el captulo del clasismo me encanta
23,12514,caborca bajo fuego por terroristas mientras tanto anlo defiende a los delincuentes con su infinito discurso del clasismo para dejar trabajar al pueblo bueno intocables
24,12515,depende de quin venga el de malas gusta o no en la prensa esa indignacin selectiva de nuestro pas difrazada de racismo y clasismo
25,12516,oligarqua corrupcin clasismo racismo nunca he coincidido ms con l se auto defini en un solo acto y lo prob
26,12517,dos caras de una misma tragedia esto es conmovedor en jicamarca estn abandonados a su suerte las vctimas de la innundaciones mientras en puntahermoza distrito pudiente el estado los atiende esto es racismo clasismo y margina a los pobres dinaboluarterenunciaya
27,12518,tienen hasta las 5 para argumentar sin clasismo sobre su derrota moral del 18m hasta ahora siguen creyendo que quemar un judas es quemar gente y que una ministra de afinidades pristas es feminista a las 5 se cierra el tema y empieza el clasicomundialdebeisbol2023
28,12519,no es clasismo es realismo
29,12520,el parece del callao uno de los distritos para peligrosos del per no se quin es pero yo tambin fuera mirado raro esto sigue siendo latam aparte ac est normalizado el clasismo y el racismo si fuera blanco pues el trato fuera otro y eso ocurre en todo el mundo
30,12521,un excelente orador atrapa a sus oyentes cooperacin s sometimiento nooo oligarqua nooo intervencionismo nooo corrupcin nooo clasismo nooo racismo nooo libertad s democracia s honestidad s justicia social s igualdad s soberana s
31,12522,y apodaron chocoflan a un pobre nio inocente la doctrina de la derecha es la hipocresa y el clasismo
32,12523,y el clasismo
33,12524,francia mrquez y el vuelo en helicptero del clasismo de colombia via elpaismexico
