,Id,Tweet
0,94069,quien para escuchar el nuevo lbum de humbe juntxs
1,94070,necesito que humbe ya saque esencia
2,94071,ojal tener merch de humbe para ponrmela y escuchar esencia
3,94072,con flores amarillas y con lbum nuevo de humbe
4,94073,humbe ya saca ese lbum que ocup pegar una buena llorada
5,94074,hoy sale el lbum de humbe y yo solo estoy pensando con cual cancin me voy a identificar mas
6,94075,la flor eterna amarilla que me dio hoy por ser 21 de marzo uff soy fan spotify el poeta by humbe
7,94076,ahhhhhh diossss mioooo
8,94077,en unas hora se estrena esencia de humbe y con los adelantos que ha dado se confirma el spoiler que nos di cuando canto todos me preguntan si yo escribo mis canciones si supieran que an no salen las mejores
9,94078,aprale humbe que ya ocupo llorar
10,94079,ya quiero q salga el lbum d humbe para ver con q parte m voy a identificar
11,94080,maana sale el nuevo lbum de humbe ya estoy muy impaciente
12,94081,afortunado el hombre q me haga amarlo ms q a humbe
13,94082,aaa faltan horas ya casi sale el lbum del humbe aaa
14,94083,an sigo procesado que humbe le dio like a mi tiktok y me coment
15,94084,en 6 horas no voy a existir para nadie solo para humbe
16,94085,hoy no me hablen hoy soy solo de humbe y para humbe
17,94086,humbe y yo tenemos una cita a las 12 am
18,94087,casi lloro enfrente de humbe casi lloro enfrente d humbe
19,94088,t amo humbe
20,94089,maana lbum de humbe y bzrp session de arcngel que rico da hp
21,94090,busco amigas q sean humbers para colapsar por el nuevo lbum humbers humbe esencia
22,94091,si humbe sii
23,94092,y la queso x2
24,94093,ocup dreamteam para un concierto de humbe
25,94094,y la quesooooooo
26,94095,todava no escucho esencia de humbe y ya s que se va a sentir as
27,94096,me voy a dormir ah m despiertan cuando salga el lbum d humbe
28,94097,maana no nos llamen a orali serrano y a m vamos a estar ocupadas escuchando el lbum de humbe hasta que nos aprendamos las canciones
29,94098,una ya est preparada
30,94099,humbe es verdad que esencia me va a dejar con menos estabilidad emocional
31,94100,hoy sale lbum de humbe y yo no se que esperar aparte de arte
32,94101,yo soy humbe
33,94102,al rato estar llorando hasta deshidratarme con el lbum de humbe
34,94103,necesito persona formal que est dispuesta a emocionarse cada vez que humbe interacte conmigo les doy una picafresa
35,94104,es hoyyyyyyyy
36,94105,ya humbe no puedo esperar de aqui a las 12 para tu album
37,94106,espero ms esencia de humbe q mi boleta
38,94107,maana sale el lbum de humbe me dieron ganas de chupar pene
39,94108,maana sale el lbum de humbe
40,94109,seran mi mam usando a humbe de sticker kajsjajsjsj
41,94110,que nos pas
42,94111,aurora de humbe duele ms ahorita que nunca
43,94112,humbe te amo como no tienes idea
44,94113,la vida quiere que disfrute de esencia sin preocupaciones
45,94114,no tendr flores amarillas pero si lbum de humbe y hasta cancin especial pa todos los humbers y la que sopo
46,94115,la mam de humbe me subio a sus historias de insta
47,94116,ya humbe saca tu lbuuum
48,94117,tengo examen a las 7 30 pero humbe es prioridad
49,94118,que se espere todo lo de ms hoy sale el lbum de humbe la vida es buena
50,94119,realmente el album de humbe me destrozar
51,94120,cmo as que hoy sale el lbum del humbe
52,94121,lo nico wow de maana es que sale el lbum de humbe
53,94122,maana saca lbum humbe voy a llorar dursimo
54,94123,ya que humbe le meta nitro al album
55,94124,cuba y la economa las 6 claves del discurso de maduro tras escndalo
56,94125,ya estoy lista para chillar con el nuevo disco de humbe
57,94126,todos subiendo fotos de sus flores amarillas no me quejo porque yo en vez de recibir flores recibir un lbum completo de humbe
58,94127,ok pero yo ya tengo compaa para escuchar el lbum de humbe y t
59,94128,me dio mis flores amarillas
60,94129,maana sale el lbum de humbe vamooooo
61,94130,bueno wey veremos con q cancin del nuevo album de humbe m voy a identificar
62,94131,l es como una cancin de humbe
63,94132,el nuevo lbum de humbe me va a dejar mal
64,94133,weey yo quera identificarme con antes de los veinte de morat pero la neta me identifico ms con veinte de humbe
