,Id,Tweet
0,67430,ste si es judas
1,67431,que ganas de mcdonalds
2,67432,vaya combatazos pude ver en cantabria pd salgo cual fanboy
3,67433,dame a tete y quedamos tablas
4,67434,ya no se acuerdan de las piatas de donald trump o de los judas con la cara del innombrable rata de dos patas en la cultura mexicana esos actos no se interpretan de forma literal pero siempre hay periodistas que lo exageran todo
5,67435,ni judas fue tan traicionero
6,67436,jajaja trgate tus palabras judas
7,67437,la mejor cancion del akelarre si es
8,67438,esa discusin nacional por el monigote de la ministra pia una figura de autoridad es un disparate len los invita a su tradicin centenaria de quema de judas el domingo de resurreccin en la llamarada
9,67439,la progresa descubre la quema de judas y se indigna
10,67440,quien es san judas tadeo porque es el santo de las causas perdidas via youtube
11,67441,gracias judas siempre creo en ti
12,67442,el descontento es mayoritario en contra de que nos quieran dar purapiaenlacorte siempre ha existido la quema de los judas y ella lo es son simbolismos no incitaciones
13,67443,lucio dupuy 5 7 2016 26 11 2021 gracias francisco es decir judas o pilatos me da lo mismo por el asesinato de este nio argentino
14,67444,hipcritas los que ladran y lloriquean la quema de la judas norma aqu un ejemplo de lo que no dicen
15,67445,no saba que los judas tambin oraban qu hipcrita
16,67446,por decreto tuitero queda prohibida la quema de judas el prximo 15 de abril en todo el pas esas no son formas
17,67447,raya en el ridculo la oposicionmoralmentederrotada en todos lados se protesta quemado smbolos banderas figuras de cartn etc es una expresin d indignacin hacia lo q representa el smbolo en mxico suele atribuirse a los traidores judas noalodio norma pia ta
18,67448,la derechita progre histrica por un judas quemado
19,67449,con uds el nuevo judas de la poltica
20,67450,la quema de judas es una tradicin nacional dentro de la protesta social se han quemado desde presidentes secretarios lderes sindicales hasta presidentes extranjeros que ahora midan todo con una vara hipcrita es distinto por qu no podemos exigirle al poder judicial
21,67451,no hay manera de justificar la quema de la imagen en cartn dl presidente pea nieto por el caso ayotzinapa que siempre se han quemado judas que si la efervescencia de la plaza que si la manga de muerto no jodan y no nos hagamos pendejos as d pdjos son la oposicin
22,67452,el beso de judas
23,67453,ya lo dijeron que es casi como la quema de judas
24,67454,ni judas fue tan traicionero como una amiguita ma por ah
25,67455,acaba de publicar una foto
26,67456,acaba de publicar una foto
27,67457,que se calle y lo deje vivir o se una al karaoke sigue lovegame en la playlist es su cancin favorita despus de judas
28,67458,en referencia al rasgado de vestiduras de la oposicionmediocre por la quema ayer de un judas alusivo a norma pia un ilustrativo de hectoralexx sper recomendable carmenprezmerc1 pilukatron suiti ramsanart
29,67459,acaba de publicar una foto
30,67460,la cara que se te queda cuando haces el judas con quien te apoya para la sper liga y lo traicionas como perro que eres para no poder ganar en el campo lo que siempre intentas en despachos
31,67461,solo era un judas es parte de nuestra cultura quemar las caricaturas de aquellos que han daado al pueblo que se porten bien si no quieren que se les siga quemando
32,67462,los del mandril senos fue la liga va uste
33,67463,gracias judas yo siempre confe en ti
34,67464,ten cuidado en quien confas el diablo antes de ser diablo fue un ngel y judas fue un discpulo
35,67465,pero ya est prxima menos de un mes la quema de juds ah pero esa quema si est debidamente autorizada por el vaticano y los 4t ya aprendieron ese simbolismo
36,67466,judas snchez y la prostitucion antes de opinar mejor ver el siguiente video
37,67467,ponete a pensar un remedo de tcnico les ha ganado 3 veces en lo q va del ao
38,67468,y festeja el judas 2
