,Id,Tweet
0,72744,yordi rosado entrevistando a louis
1,72745,te amo tanto mi beb hermoso
2,72746,ms de las fans cantando el da de hoy eduardo dsales
3,72747,ayer creo o antier allofthosevoices
4,72748,fro o calor allofthosevoices
5,72749,breakdown por lo precioso que se v louis garrel aqu
6,72750,ya casi empieza la premiere allofthosevoices
7,72751,necesito abrazaf a louis no puedo ams
8,72752,el sentimiento que me di tienen que leer este au
9,72753,hace dos semanas estoy leyendo el au del fernet no termina nunca y no me quejo
10,72754,dios lo amo como a nadie
11,72755,te amo louis allofthosevoices
12,72756,mi primer beso allofthosevoices
13,72757,slganse todos de twt no estoy soportando que louis tomlinson este en mxico otra vez y yo tan lejos de poder tener una foto con el estoy en depresin
14,72758,este outfit de louis 1 me encanta 2 me da la sensacin de que lo he visto usar una camisa parecida pero no estoy segura alguien que me confirme este dejavu por favor allofthosevoices
15,72759,louis ya va para alla
16,72760,nooo que hermoso
17,72761,jajajajajajajajajaja
18,72762,cuanto falta
19,72763,por dios lo mal que me pone que la seleccin juega en 3 das y yo no pude sacar entradas alexa pone por mil noches de airbag por favorrrr
20,72764,que hermosoo
21,72765,d seguro los abrazos de louis son bien clidos cmo q trata q encajen y se acomodan
22,72766,lo lindo que es
23,72767,se ve tan tierno
24,72768,louis y tu traje
25,72769,voy a llorar
26,72770,comenten 10 veces con allofthosevoices para que llegue a trending
27,72771,no puedo con lo lindo q es harry
28,72772,mi mam cree que me roa aran como si las conocieran alloffthosevoices
29,72773,te amo
30,72774,memexico amando al louis muy bueno
31,72775,no se si estudiar algo que ver con el arte o estudiar algo q de dinero allofthosevoices
32,72776,harry en sel con fans recientemente via durbinmalonster
33,72777,mi amor precioso
34,72778,tiene los verdes
35,72779,ya va para alla ay dios miooo
36,72780,jajajahahaha es que louis nos trae paz
37,72781,yo si ando manifestando que louis tenga entrevista con yordi rosado
38,72782,no estoy soportando por dios
39,72783,wey ya me haba tardado en llorar
40,72784,qujense de la gente y todo lo quieran pero lo feliz que debe estar louis viendo a tanta gente ah por l
41,72785,est con audfonos
42,72786,la chica que entrevist a louis me rompi el corazn sus historias me tienen en el piso fue tan linda ya no puedo ms con este sufrimiento llamado nunca le he dado un abracito a louis tomlinson allofthosevoices
43,72787,cundo es mi turno de sentarme a conversar con louis
44,72788,tpy llorando yo tmb quiero conocer a louis
45,72789,louis te amo coo
46,72790,x que raro por qu louis llegar tarde louis no lo entenderas
47,72791,ay porfavor q alguien le de un abrazo a louis la re concha d la lora
48,72792,ya va para ka premiereeeer
49,72793,louis ya va a la premiere
50,72794,mi vida hermoso
51,72795,al parecer louis ya va camino a oasis aaaaaaaa mudhdhshsb me va a dar algo y eso que no estoy ah
52,72796,precioso
53,72797,necesito esos audfonos
54,72798,valen verga como pueden ser tan pinches imprudentes
55,72799,ya van a ser las 6 en cualquier momento van a empezar los tweets de que ya lleg
56,72800,aprovechemos para votar mientras esperamos que empiece la premiere i m voting louies for bestfanarmy at the iheartawards
57,72801,la gorra la sudadera los audfonos la sonrisa
58,72802,tiene airpods pro max est es mi seal de comprrmelos
59,72803,alguien sabe o alguien va a transmitir la alfombra roja de louis para los q no pudimos ir o no estamos cerca de cdmx
60,72804,que hermoso con esa camisa
61,72805,a veceessss allofthosevoices
62,72806,hijodeputa como vas a devir eso nomames louis y a basta
63,72807,las q estn dentro de las salas de los cines se van a poner a llorar cuando se enteren q por ah literalmente primero va a pasar louis y despus ya se va para los cines
64,72808,lunes de bajn porque louis est en mxico y yo no lo voy a ver
65,72809,los audfonos
66,72810,mi beb parece un osito quiero abrazarlo
67,72811,es que ustedes entienden que cuando la voz de la fan se quebr louis le dijo ven aqu necesitas un abrazo y la abraz
68,72812,hola mi vida hermoso te extrao
69,72813,tan lindos
70,72814,como la mira estoy llorando
71,72815,gente voy a romper en llanto no puedo ms con las fotos de louis y las fans
72,72816,esperando al solecito louis tomlinson allofthosevoices
73,72817,no a miedo allofthosevoices
74,72818,me quiero morir louis te amo
75,72819,louis dejando el hotel
76,72820,los audfonos
77,72821,los audfonos
78,72822,hola mi amor precioso te amo
79,72823,basta que lindo mi amor
80,72824,lo tierno que se veee
81,72825,aaaawwww como ouede ser tan bonito
82,72826,amigas nunca me imagin a adela micha hablando de louis
83,72827,parece la
84,72828,as se ve la alfombra roja el da de hoy allofthosevoices owner
85,72829,los audfonos
86,72830,hola ya sali de la peli seguimos aqui ahora allofthosevoices
87,72831,precioso
88,72832,no aguanto me voy a dormir es la 1 am maana veo todo louis te amo gracias por existir
89,72833,jfjeoqoaoakq mi vida te amo estas hermoso
90,72834,que tengo que hacer para poder abrazar a louis algn da
91,72835,hola mi gordo hermoso te amo
92,72836,cuando se di cuenta que era una fan y no d la prensa se comport tan lindo l nos tiene la confianza de ser el mismo de bromear nos entiende y nos tiene paciencia ay te amo mucho louis
93,72837,necesito un abrazo de louis por favor
94,72838,dios te a amo con todo mi corazn
95,72839,cuando me tocaaa
96,72840,cuando a la fan se le quebr la voz louis le dijo ven aqu necesitas un abrazo y la abraz
97,72841,louis en la entrevista con la fan ganadora de la dinmica con cinpolis allofthosevoices
98,72842,ya quiero veeeer a louis allofthosevoices
99,72843,acabo de ver a louis acabo de ver a louis
100,72844,aaa gordo hermoso
101,72845,louis sal ahora que me duermo en vivo
102,72846,alguien va a trasmitir la alfombra
103,72847,saturdays es la cancin ms increble genteeeee yo necesito cantarla en vivo
104,72848,louiess pongan allofthosevoices y les doy una foto de louis mexa vamos vamoooos a hacer tendencia
105,72849,saben si alguien va a transmitir la red carpet
106,72850,louis mexa allofthosevoices
107,72851,el da en el q pueda abrazar a louis sentir q mi vida est completa
108,72852,nmms en el momento que salga louis en la alfombra roja a m me da algo allofthosevoices
109,72853,no s si alcance a ver a louis me tengo que despertar 5 30 am
110,72854,el podeeer
111,72855,louis te amo allofthosevoices
112,72856,wtf pq me aparecen cosas de gente que ni sigo
113,72857,una amiga est en el cine y pusieron el trailer de aotv me mand un video me hace tan feliz que se acuerden de mi cuando ven cosas de louis
114,72858,yo voy a fingir demencia xon las fotos de louis de hoy estn todas avisadaa
115,72859,cada vez falta menos para ver a louis en la red carpet de allofthosevoices en mxico via 2louistommo 8
116,72860,louis va a llegar en helicptero y va a bajar por una escalera para entrar a la alfombra porqu est todo lleno de gente allofthosevoices
117,72861,respondan con el allofthosevoices
118,72862,mi estabilidad emocional depende de esto
119,72863,despus de ver esto no s cmo se siguen preguntando pq louis escoge mxico
120,72864,no falta nada para louis llegue
121,72865,no se me carajo me voy a poner el mircoles para ir al cine aparte dependo del clima estoy entrando en crisis
122,72866,yo tambin quiero q louis me abrace la envidia que estoy sintiendo es insana
123,72867,me hago la fuete pero por dentro estoy llorando pq yo tmb quiero conocer y abrazar a louis estoy destrozada
124,72868,lo que ustedes no saben es que louis regreso a mxico por la amiga de jonathan
125,72869,cmo carajos va a entrar louis a la red carpet si est lleno de gente
126,72870,el cantante louis tomlinson exintgrante de la boy band one direction se encuentra en mxico para promocionar su documental all of those voices onedirection louistomlinson enmexico
127,72871,te amo louis
128,72872,ustedes se han dado cuenta que louis con la prensa es ms seco con su forma de ser y con las fans es todo lo contrario porque se siente ms cmodo con fans
129,72873,chingen su madre todas las del hotel hoy porque louis iba a salir a saludar ahorita antes de irse a oasis pero al final no quiso porque no se organizaron y no se pusieron atrs de la barda
130,72874,louis nos saludoooo
131,72875,se les ha informado a los fans que deben dirigirse a las salas asignadas en los boletos para ver la alfombra roja en vivo solo quienes tienen pases para estar ah podrn quedarse allofthosevoices
132,72876,aahhhhh cuatro minutos no mamen
133,72877,la puta madre no me alteres asi aaaaaaa
134,72878,juntoscontralasmafias espero que la paz de nuestro padre inunde tus sueos 50 amp amp espndeportes pinsomne1 darvinsonrojas minmujerve carnetdlapatria d213 gnb21 adoraciondiaria jousebioramos ldanieri
135,72879,vamoooooo allofthosevoices
136,72880,me regalaron entradas para la premiere de louis leti y sofi si estan leyendo esto son las mejoress las amo
137,72881,tenia al fotgrafo de louis al lado y me paralice me llego a cruzar a louis y caigo muerta
138,72882,vicka dile a louis que yo tambin necesito un abrazo de el
139,72883,jajajaja re hipnotizadas todas
140,72884,no haba cado en cuenta que no tenan a louis jajajajajajakakakakak
141,72885,alloffthosevoices por el guapote de louis
142,72886,sip y estudio pero ahora siento q no soy buena allofthosevoices
143,72887,lo amo
144,72888,22 3 1895 los hermanos lumire auguste y louis dan la primera exhibicin de una pelcula cinematogrfica
145,72889,a q hora sale louis a la alfombra
146,72890,cuando ser el da que pueda abrazar a louis estoy sensible no me toquen
147,72891,yo quera estar ah
148,72892,1001 das con el amor de mi vida
149,72893,yo tambin necesito un abrazo de louis
150,72894,quiero un abrazo de louis
