,Id,Tweet
0,42613,ver otros partidos me hace extraarte ms todava mi albo querido q se pasen de toke estas semanitas que quedan
1,42614,fua no me puedo ni recuperar
2,42615,los de am se han presentado con un porttil en el despacho de la fia con un power point pocho en un porttil de algn ingeniero y les han hecho una presentacin de por qu nando se merece de vuelta la 3ra posicin y se han camelado a la directiva in cre  ble
3,42616,gol de boca que a falta de 7 minutos para el cierre del partido se pone 2 3 se pic todo despus del gol boca encuentra el descuento casi sin jugar bien en todo el partido
4,42617,esta hinchada se merece ser campen cantan los bosteros mientras la platea se va vaciando poco a poco a los 38 minutos
5,42618,su paso por nacional fue con mucho ms sombras que luces nunca estuvo a la altura lo dijimos desde el primer partido oficial la camiseta de nacional le qued gigante nunca encontr el equipo y cada vez que realiz cambios empeor el funcionamiento chau y gracias
6,42619,pocho sufriendo por lo mal que juega boca
7,42620,bajsimo el nivel de valdez
8,42621,jajaja amargura pura
9,42622,mira lo que es boca mamita pocho
10,42623,extrao a pocho
11,42624,m s7 esta de vueltaa
12,42625,el lobo y el bosque esta de fiesta
13,42626,tal como lo adelanto relatornacional en bolsilludosr se termin el ciclo del ruso
14,42627,este tipo es de lo ms grande q hay y todos los forros q lo puteaban ahora le chupan bien la pija te amo
15,42628,benjamin dominguez de gimnasia 19 aos humildemente creo que es por ac racingclub me podrn decir que no tiene la misma jerarqua que carbonero y puede que tengan razn pero por velocidad y gambeta ac hay futuro
16,42629,q bien se la paso con la banda de los pichukiii
17,42630,mi gente se viene rapada tengo el pelo echo polvo y est pocho
18,42631,y ahora es cuando yo me pongo pejiguera y digo que la falda con vuelo est mal hecha porque la longitud de la tela con ms movimiento no cuadra con la longitud del resto de la falda
19,42632,gol al primer palo siempre del arquero no pierde boca 3 1 ante instituto
20,42633,no tenemos nada
21,42634,no tenemos arquero
22,42635,y este quiere volver a la seleccion jajajajajaja no tapa el 1er palo
23,42636,la informacin que llega a nuestro medio partidario bolsilludosr da cuenta de que se estara llevando acabo una reunin entre el dt y fuentes maana la directiva de nacional tomar una decisin desde independiente hubo comunicacin para saber la situacin del dt
24,42637,si no lo damos vuelta es un partido saca tcnico
25,42638,pongan a medina y saquen a pol
26,42639,bueno se deschav
27,42640,adems de haber desaparecido pese a ser el jugador ms importante de chivas el pocho guzmn fue expulsado contra el amrica y no estar en el clsico tapato contra el atlas
28,42641,uf payero
29,42642,pero por favor que golazo de payero de tiro libre hermoso tiro libre para poner a boca 1 2 en el cierre del primer tiempo el festejo a lo lisandro lpez
30,42643,clasiconacional clubamerica el festejo de henrymartinm respondiendo en la cancha a las declaraciones de pocho guzmn amrica 4 chivas 2 marzo 2023
31,42644,no hay nada mejor que casa
32,42645,no mame don jajajajajaja
33,42646,como preparar un buen fernet hay gente que no sabe que la espuma es un must
34,42647,no se como les da la cara o el corazon para irse a jugar a otro club que no sea con el que te criaste con el que te dio todo
35,42648,yo lo que necesito es una pizza enorme de pa q pocho pa ser feliz
36,42649,no quiso jugar jugar contra el equipo de sus amores detallazo del pocho
37,42650,para mi no era offside que lindo cuando lo cagan a boca jajaja
38,42651,q se extingan los colombianos
39,42652,gol de instituto la gloria se pone 2 0 arriba como visitante en 20 minutos pared al borde del rea y definicin mano a mano desdibujado boca sin ideas de juego pierde y cae de local
40,42653,4k pocho con asmr de teclado
41,42654,los petristes petro no puede hacer nada por colombia porque dejaron la olla raspada despus de 200 aos de uribismo fascista los mismos petristes vamos hacer tendencia colombiabavien para demostrarle al uribismo de 200 aos que no vamos mal
42,42655,rosario me trae su iphone porque no le va para que se lo arregle juan la mquina de los cupones porque no le va antonio un bonsai para decirme si lo veo pocho o no el henry una carta certificada del banco porque no ve de cerca no soy camarero soy asistente 24 horas t
43,42656,diria que seria es bait pero es demasiado estupido como para serlo
44,42657,es error de chiquito romero en el gol
45,42658,alguien avsele al pocho que ya no est en pachuca hagan paro
46,42659,madurar en el amor es aceptar que muchas veces somos la persona que llega a la vida de los dems para ensearles la forma correcta de amar y las acciones que pueden lastimar para que en su siguiente relacin no vuelva a cometer los mismos errores y sepa que hacer
47,42660,gol de instituto sorpresa en cancha de boca la visita se pone 1 0 arriba en el marcador con una jugada armada de pelota parada sorprende al xeneise
48,42661,buenas noticias a fernando alonso le devolvieron el 3er puesto hubo marcha atrs en la penalizacin
49,42662,pocho guzmn claro que va a sufrir y al termino del partido lo expulsaron por encarar al rbitro qued como un por eso no es bueno hablar vamosamerica clubamerica jonathanrodriguez henrymartin ligamx chivas elclasicodemexico chivas
50,42663,pocho si te gusta el ftbol porqu no lo ves hoy vi el 1er tiempo de gimnasia estudiante y perdamos 1 a 0 no mir el 2do tiempo porque chinchuda me puse a hacer tarea pum 2 a 1 gana gimnasia ya est es cbala
51,42664,vamos a defender las reformas del gobierno petro publicando las cifras que soporten los buenos resultados no bobito tachando de elitista y clasista a todo el que est en contra
52,42665,no mames y haba gente que quera a este puto muerto jajajaka a chingar a su madre
53,42666,todo sali bien el da de hoy haba olvidado esa sensacin
54,42667,da pocho hoy maana me tiene que salir bien la prctica pa compensar
55,42668,dia pocho per ser tifosi pro gran dia per ser cul diseloooooooooo
56,42669,me apetece chocolate jeje
57,42670,alguien ha visto al pocho guzmn la ltima vez que lo vimos dijo que el amrica sufrira pero
58,42671,goooooool de barcelona 2 1 le gana a realmadrid ligabbva
59,42672,muybuenasfamilia abro stream en twitch con mi obs pocho esperando no tener ningn problema psense porque en genshinlmpact vamos a hacernos todo el evento desbloqueado y me convertir en ballena gif gifgenshin
60,42673,le habl a louis por primera vez aunque se que nunca me va a leer no soy pelotuda y puedo decir que es lo ms liberador que hice en mi vida
61,42674,recin entra el 10 del barcelona en un clsico lamentable
62,42675,lo vea venir
63,42676,d ambrosio haciendo un pocho guzmn
64,42677,termina el partido entre inter y juventus 0 1 gan los visitantes seriea
65,42678,cosimo de la madre
66,42679,disculpa che
67,42680,a vini no le est saliendo nada hoy
68,42681,es como que estoy muy pocho estos das pero este finde me ha venido bastante bien
69,42682,no me abre el lol
70,42683,pochoguzmanmi buen pocho soy su buen seguidor porq en pachuca ud demostr enormes cosas pero soy americanista desde la cuna y debe aprender a no abrir la boquita
71,42684,no chamo el madrid est jugando para la mierda hoy
72,42685,paunovi asegur que se investigar lo qu pas entre pocho y marc antonio ortiz para saber cmo encarar la situacin en el mejor de los casos chivas podra reclamar la expulsin para que sea elegible en el clsico tapato
73,42686,lo de chivas alexis vega sali y lo amonestaron no hizo nada positivo pocho guzmn hacindose expulsar ser que no quiso enfrentar al verdadero equipo de sus amores su lnea defensiva no existi la media no puede hacer todo y de los delanteros ni hablar vergenza
74,42687,voy a cenar tostaditas con mermelada
75,42688,llegueeeeeeeeeee se festeja
76,42689,compro pocho los para nuestra cita me toc la libriana ms soft
77,42690,998 tweets ms y llego a los 20k
78,42691,lo que lo amo al pocho porfavor
79,42692,por estas cosas one direction se separ
80,42693,noticia de ltimo momento al parecer ya apareci el pocho guzmn la ltima vez que se le haba visto fue diciendo que alguien tena que pagar los platos rotos
81,42694,cerramos el domingo con emelec vs tcnico universitario se enfrentan en el capwell pero t puedes jugarlo y ganarlo pronosticando su resultado en bet593 auspiciante oficial de ligaproec utiliza cdigo pocho la casa de pronsticos ms pro del pas
82,42695,criticaron a alexis vega sin que jugara criticaron a alexis vega porque el pocho estaba jugando bien criticaron a alexis vega por lo que dijo abuchearon a alexis vega al ingresar alexis vega fue el mejor jugador del partido de ayer como lo viene siendo desde hace aos lejos
83,42696,el pocho guzmn
84,42697,nunca fallan
85,42698,empezo el st entre barcelona y realmadid
86,42699,hola ya tienen sus cuentas i94stto mhl 28
87,42700,esa familia de petrogustavo est podrida por dnde la miren
88,42701,en verdad me la pela ya a niveles insospechados el ftbol prefiero cenar y ver algn video de algn telfono nuevo jaja
89,42702,el pocho se fue de la lengua quera que le pagarn espero que est saldado el adeudo pap clubamerica gan en su segunda casa amamos el festejo de henry
90,42703,tanto estuvieron cagando la verga para que regresara el pocho guzmn a chivas y ahora ya lo quieren fuera
91,42704,vamos mi barsita
92,42705,quien quiere
93,42706,estoy a nada de llegar a los 800 no me quieren tradear mutuals soy buena gente y les doy buenos memes
94,42707,las berenjenas son re ricasss
95,42708,que un jugador como pocho se haga expulsar as y que alexis al apenas entrar de un leazo y se condicione con la tarjeta amarilla habla mal del pleyer pero tambin del dt paunovi debe anticipar estas situaciones en su plan de juego y en las charlas tecnicas previas chivas
96,42709,que un jugador como pocho se haga expulsar as y que alexis al apenas entrar de un leazo y se condicione con la tarjeta amarilla habla mal del pleyer pero tambin del dt paunovi debe anticipar estas situaciones en su plan de juego y en las charlas tecnicas previas chivas
97,42710,aprendan a poner lmites ser buena persona no significa que deban aguantarse todo
98,42711,empieza el segundo tiempo entre inter y juventus
99,42712,como chota anoche
100,42713,termina el primer tiempo barcelona 1 1 realmadrid clasicoespaol
101,42714,goooooool de barcelona lo empata ante realmadrid 1 1
102,42715,sergi roberto siempre confi en t
103,42716,la frase amrica va a sufrir no buscamos quien nos la hizo sino quien nos la pague pocho guzman entes del clsico y termin expulsado
104,42717,aqui el gral pablo rojas pocho angulo gaston don rafael estigarribia dr hassel aguilar sosa que epoca memorable de nuestro amado ccp1912oficial estos si que eran dirigentes de nivel y jerarquia
105,42718,gana el realmadrid en su visita al barcelona 1 gol a cero ligabbva
106,42719,gana la juventus 0 1 a inter seriaa
107,42720,palabras del nalgon que no dijo pero no tengo dudas que lo puede llegar a sentir
108,42721,tengo que decirles la verdad me atrae lavagirl00000 pero nl le digan
109,42722,sisi mucho gol pocho del madrid pero courtois al menos las para
110,42723,las jornadas pasadas celebraban que el pocho defendiera y reclamara todas las jugadas que se le pusiera al pedo al rbitro como el capitn que es ayer lo hace lo expulsan y hoy ya lo estn matando aqu que el peor jugador ylv es lo que caga malditos doble moral hipcritas
111,42724,esa prba es toda hipocrita ksndkwkkdkwls
112,42725,es el chocho jajaja y ahora quien se la va a pagar pocho bocn
113,42726,confirmado que este mes no me sacan los jojos porqu me haces esto ivrea t t
114,42727,me emputa mas lo del pocho que lo de henry
115,42728,un poco pocho este rollo de pretender convencernos de que haba ms libertad en los 90 a los que crecimos en ellos pero no les quito la ilusin
116,42729,le sacan amarilla a nacho por una falta ms leve que la que hizo sergi y a sergi no le sacaron amarilla
117,42730,la camiseta del bara con el logo de motomami
118,42731,segundo error jajaja al chile me tuve que lavar el hocico con jabn y quemarme las yemas de los dedos por escribir semejante pendejada una disculpa al pocho que no quita que no haya hecho literal nada pero an as gracias a ese cabrn estamos donde estamos
119,42732,todo lo malo que le pasa a arajo me hace felz chaucito
120,42733,como dira molotov ches gringos pueteros
121,42734,el gol un poco pocho pero nasheeeee
122,42735,vamosssss
123,42736,curiosamente mi gato sombra jams se ha puesto delante de la tele el directamente se te pone en la cara jaja
124,42737,victor toro guzmn gt gt gt gt gt gt gt victor pocho guzmn m8am medranoazteca jeronimocamber2
125,42738,tengo la mala costumbre de retractarme de lo que digo tengo que salir de ese cascarn y dejar que mi pensamiento fluya
126,42739,victor toro guzmn gt gt gt gt gt gt gt victor pocho guzmn gvlo2008 enriquevonbeas mluiscastillo leadeportes fantasmasuarez
127,42740,pocho guzmn desaparecido desde el juego contra puebla pero ms notoria su ausencia contra los de coapa no hizo nada en todo el partido lo nico que hizo es insultar al arbitro al final del partido y estpidamente hacerse expulsar pocho decepcionante en estos 2 partidos
128,42741,vuestro cocinero culturista de confianza
129,42742,en el per todos los aos hablamos de reconstruccin con cambios pero solo hay cambios de choros autoridadrcc que hicistes con los s 19 570 millones
130,42743,un saludo a cada uno de mis seguidores
131,42744,creo que tal vez morir no s
132,42745,pachuca si encontr quien se la pagara la eliminacin de concachampions no como el imbecil del pocho guzmn que buscaba donde no era pobre pendejo
133,42746,una comedia absurda y divertida basada en hechos reales protagonizada por ciertos punteros polticos que te harn rer y reflexionar no te la pierdas reserva ya tu entrada
134,42747,se pierde el clasico tapatio pocho guzman fue expulsado al finalizar el duelo entre chivas y america
135,42748,quien me regala ram que mi ordenador ta pocho
136,42749,silencio que don snoopy ricardo esta twiteando deanudo seor usted si sabe y entiende la grandeza de este escudo mis respetos
137,42750,el pocho guzmn es ms rojinegro que el pistache torres
138,42751,se extraa al pocho y a ibez en los tuzos
139,42752,el hogwarts legacy no es tan buen juego ms all de su ambientacin
140,42753,cual fue el punto en ver y terminar sta serie
141,42754,todos los terroristas deben pagar penas de cadena perpetua albertofujimori es un terrorista eljokerpe
142,42755,mira si soy yo
143,42756,tena curiosidad por ver esta serie pero ya me he visto demasiados shonen genricos para acabar en otro la verdad vale la pena
144,42757,diremos lo que queramos del pocho ponce pero ayer hubiera estado le saca los ojos a henry sin pedos pero ningn pecho fri ayer hizo algo nadie reaccion yo no critico el festejo critic que nadie haya reaccionado
145,42758,excelente iniciativa para demostrar las cualidades del pocho hard
146,42759,media hora ms de curro y una franziskaner
147,42760,clase de mejora de templario por baranda ganando fcil vena fuerte y el stud del potro se llevan 2 clsicos y 3 triunfos hoy 2 selectiva capriles 2 aray y el pocho a llora pal valle the froix nada que buscar
148,42761,estoy ansioso de jugar cada partido cada que el entrenador me necesite a eso vine estoy contento con todo lo que ha hecho el equipo ahora a enfrentar de la mejor manera al amrica no buscamos quin nos la hizo sino quin nos la va a pagar dijo el pocho pochoguzman
149,42762,hoy se rompe la racha y gana gimnasia lo imagino a jose antonio sintonizando el clasico con enzope
150,42763,creo que nadie le aviso al pocho que deba jugar con mucho corazn entrega y determinacin
151,42764,y me pregunto a quien se le habr ocurrido abrir la puerta a telerisa y a las gallinas toda la semana quien pudo coordinar toda la sarta de payasadas que solo generaron hate a nuestros dos mejores jugadores pocho y alexis pd con el enemigo en casa
152,42765,pocos ubican y no le dan mucho mrito a la actuacin de jona2santos pero el tipo se pas por los huevos al cagn y sobrevalorado del nene beltrn al tronco del oso gonzlez y al hocicon del pocho guzmn para m su trabajo fue de 9 5 mnimo
153,42766,ya nadie quiere ponerse pa esa vuelta
154,42767,futuro vuelve a competir contra el ejemplar vida y futuro se lo gana galopando con la monta de robert capriles lo que hizo el pocho no tiene nombre una guevonada
155,42768,yo con el pocho
156,42769,me pongo a ver los winchesters me falta contexto resulta que tiene que ver con supernatural yo que debo ser la nica sobre la faz de la tierra que no ha visto la serie
157,42770,dice el pocho guzman que espera que necaxa se las pague ya que no puede jugar vs atlas
158,42771,es valido tener malos momentos y eso sucedio ayer por lo cual ya no se puede hacer nada pero no dudo que el guzmanpocho06 sabra salir adelante c la actitud que ha moestrado esta ultimas semanas asi que mi apoyo a el no caera sino que sera mas fuerte vamos pocho estoy contigo
