,Id,Tweet
0,1,bueno ahora que se acab el verano puedo darme un descanso de la birra y volverme adicto al mate de nuevo
1,2,hugo snchez a pumas desde hace rato quiero verlo dirigir y aunque no es el club idneo para verlo de regreso supongo que no podra decir que no ahora realmente no tiene nada de materia prima para lograr algo y menos con la salida de gente importante en directiva
2,3,ahora que rafa puente dejo de ser dt de pumas alvaritomorales regresar a tirar mierda
3,4,cierto tus pumas ya no dan raiting te abrazo con cario
4,5,madre ma andremarinpuig deca que cuanto la cosa est mal puede estar an peor se vienen los peores aos de pumas de la unam
5,6,defienden mejor que pumas
6,7,imaginate pensar que el ftbol es importante y repercute en tu vida
7,8,this si the way rayados sigue lder ya clasific a la siguiente fase su prximo objetivo es asegurar cuartos amrica gole y es el mejor ataque con henry como goleador len va subiendo y es la mejor defensa mientras pumas va en picada y se acerca a los sotaneros ligamx
8,9,cm de la liga burlndose de pumas pt ii
9,10,yo solo veo la lmp
10,11,no esperaba menos slo falta que nos compre un millonario rabe y ya la hicimos
11,12,seguimos escalando jornada tras jornada ya en el top 20 falta poco por el objetivo fantasyfutve
12,13,oleksandr zinchenko se anim hacer el puma control challenge presten atencin al ltimo control
13,14,la seccin ecolgica de la polica comunitaria despleg un operativo de bsqueda y captura del animal segn la descripcin de la denunciante el puma tena un tamao considerable cordonplus puma atencion animal puertogeneralsanmartin
14,15,sub20 la galera del partido ante los tuzos de pachuca est aqu hechoencantera origendelapasin
15,16,no s porqu hay un ambiente semi festivo entre los aficionados de pumas por la salida de puente literalmente el equipo se cae a pedazos la incertidumbre predomina probablemente sea el peor momento en los ltimos 20 aos puente solo era la punta del iceberg
16,17,pumas unam y su deplorable su aficin atacando a su propio dt rafael puente estos aficionados exigen es su derecho no cmo los timoratos del cruz azul ha ver cundo reclaman igual
17,18,leopoldo silva y meja barn presentaron su renuncia a pumas rector analizar sus resultados
18,19,igual en un fla la banco es el amor de su vida de ahora que sabe si maana la pisa un camion y chau vida
19,20,polos opuestos pumas termin de hundirse con puente mientras el campen retoma su camino len sigue consolidandose en la cima y quertaro por fin sali del fondo de la tabla en este cierre de jornada 12 mexico ligamx ligabbvamx clausura2023 je bs
20,21,y miren que la aficin puma se jacta de ser la ms educada del pas
21,22,pumas unam y su deplorable su aficin atacando a su propio dt rafael puente el puente jr no es tecnico nunca ha sido nada menos tcnico de pumas
22,23,juan de dios el capi ramrez sera el encargado de dirigir al primer equipo en lo que resta del torneo vendra acompaado de carlos humberto gonzlez ambos interinos que consiguieron el ttulo con la sub 20
23,24,hermanos separados al nacer don conor gallagher el luis mguel ingles
24,25,no saba que los pumas podan volar sound up wrc rallymexico ford
25,26,agradezco a laoctavasports por la llamada para conocer mi opinin del panorama de los pumas tras el cese de rafa puente jr lamentablemente me encuentro fuera de contexto por mi fin de semana de vive latino
26,27,est estudiando teatro
27,28,en el partido de pto montt comenta el hincha z rra puma se pone el otro partido
28,29,me mama que hacemos como que le sabemos a todo somos una mamada
29,30,ojal pauno ante atlaz inicie cubriendo a quiones no lo haga en zona sino que ponga marca a l que ha sido el mejor de ellos ante pumas olimpia y puebla lo viene confirmando chivas debe aprender de los errores en marca del ltimo juego y saber defender para generar
30,31,el capi ramirez perales ser director interino de pumas pero hay una verdadera locura dentro de la institucin con la renuncia de silva y meja barn las verdades estn saliendo sobre el tema interno la institucin est a milmetros de quedarse sin cabezas
31,32,pumas cesa a rafael puente tras 12 jornadas en mxico
32,33,seores mexiquito ha empezado a macanear
33,34,es solo ftbol y peor an es pumas
34,35,reitero creo que deberan ser las bajas mnimas si o si
35,36,mejores defensivas 8 len 9 mty 9 tigres 12 toluca 13 cruz azul 13 chivas 15 san luis 16 amrica 16 atlas 16 necaxa 16 tuzos 17 quertaro 17 xolos 18 jurez 24 pumas 26 puebla 27 santos 28 mazatln
36,37,new 2023 03 19 hijo de carta brava lunatik extreme toto vs noisy boy puma de oro tonalli
37,38,nos agrada que juan de dios ramrez perales sea el nuevo director tcnico de pumas cuenta con nuestro apoyo
