,Id,Tweet
0,91771,badboyhalo en directo si esta el seor de los muffins en el qsmp me considero hombre loco con mis teoras quekjqks
1,91772,badboyhalo en el qsmp por favoooor necesito escucharlo necesito ver la imagen que lo confirma
2,91773,ahora solo falta la de wilbur
3,91774,como q missasinfonia va a estar en qsmp me muerooo
4,91775,dejen de donar para ke roier abra el minecraft estoy entrando en demencia
5,91776,y si me hago una card
6,91777,y si y si le dono a roier
7,91778,por qu las cuentas no siguen a wilbur
8,91779,he vuelto de comer y ya anunciaron a slime niceee d
9,91780,nojodas entre en el directo y roier de rndete rndete rndeteee
10,91781,ahora bbh est en stream okay no estoy lista para nada en este punto estoy al borde del llanto
11,91782,gente ya estoy perdiendo las esperanzas de que roier este en el qsmp
12,91783,bad prendio tengo fe tengo fe
13,91784,enfin cada quien vieron
14,91785,espera q ya sabemos qn ms va a estar en el qsmp
15,91786,emocionada por el qsmp
16,91787,bueno ya perd la esperanza ya no creo q farfa cris shad conter o rich esten en el qsmp
17,91788,bad boy halo estara en el qsmp yo lo se lo presiento
18,91789,badboyhalo hoy voy a hacer algo secreto que les dir ms adelante confirmamos bbh en el qsmp
19,91790,y ah me di cuenta de lo mucho que quera un abrazo de grefg
20,91791,manifiesto de que roier este en el qsmp manifiesto de que roier este en el qsmp manifiesto de que roier este en el qsmp manifiesto de que roier este en el qsmp manifiesto de que roier este en el qsmp manifiesto de que roier este en el qsmp
21,91792,recin m despierto y veo q jaiden h foolish estarn en el qsmp vamoooo
22,91793,a ti no te ha invitado qjsjjajs
23,91794,se viene confrimacion de badboyhalo ojo
24,91795,bad boy halo prendio streammmm y esta en mc qsmp
25,91796,sw vienen los tigres del norte a qsmp
26,91797,no respiren ni se muevan bbh ya inici stream y seguramente anunciara su participacin en el qsmp
27,91798,prendi roier qsmp
28,91799,bueno no estara en el qsmp pero funaron a los updates por andar ilusionado
29,91800,bbh prendi para mi q confirma su participacion en el qsmp
30,91801,si soy
31,91802,felicidaded
32,91803,necesito que anuncien a otro hispano en el qsmp siento que casi no hay
33,91804,yo al enterarme que aldo no estar en el qsmp
34,91805,tribunalaudiovisualpopular juristas convocados a contribuir con sus conocimientos para el fortalecimiento de esta herramienta qsmp merlano reunin hoy21
35,91806,me dieron florecitas amarillas
36,91807,tu tmb eres un grande corazn no digas eso
37,91808,ni siquiera m iba a ayudar si no les peda con que cara hacs eso en el 5to semwstre hermana
38,91809,dejen de hacer edits tan buenos loco
39,91810,roier diciendo q no estar en el qsmp el chat
40,91811,badboyhalo prendi stream si no es para anunciar q esta en el qsmp me muero
41,91812,ya van a confirmar a bbh en el qsmp
42,91813,prendi bad
43,91814,ya pero a q hora sale la participacin de wilbur
44,91815,callense estoy manifestando a bbh en qsmp
45,91816,gracias roier x prender directo es q estoy sumamente triste i necesitaba la noti de tu directo lt 3
46,91817,una semana y media sin internet que concha es qsmp
47,91818,nse q es pero s eres
48,91819,bjenle la cuenta para q no diga esas cosas literalmente estoy llorando roier te voy a meter una denuncia
49,91820,que bonita q soy me tarde 2 horas para tomarme 2 fotos y casi lloro
50,91821,los jvenes de hoy no quieren drogas quieren que carre este en el qsmp
51,91822,yo cuando yo cuando roier dijo q no va a estar en el qsmp pq hay gente ms importante q l
52,91823,ya me est entrando pnico de que rubius no este en el qsmp
53,91824,voy a sonar bien castrosa pero estaria bonito que metieran a mas mujeres al qsmp xd literal nadamas tenemos a jaiden suelten morras hispanas pls se los ruego
54,91825,ya dejen d hablarle sobre el qsmp pq cqda vez se menosprecia ms
55,91826,maana ay clases pasen excusas para no ir y ver los qsmp
56,91827,esto tiene que ver con su rol en la serie sisisisis no estoy loca
57,91828,bienvenido al qsmp jaidenanimations
58,91829,wilbur prende directo entra a minecraft obtiene su boleto d qsmp se confirma su participacin en el proyecto todos somos felices todos ganamos
59,91830,no se que poner aqu ya que es el primer dibujo que publico por aqu estoy muy emocionadx por maana qsmp galaqsmp
60,91831,le pedi el instagram a un w de mi escuela muy ligadora
61,91832,miren al guapo me esta dando seales de vida
62,91833,todos los nombres de duos trios y squads q van a salir del qsmp ya me lo imagino
63,91834,carre en qsmp carre en el qsmp carre en el qsmp carre en el qsmp carre en el qsmp carre en el qsmp carre en el qsmp
64,91835,no mamen me fui 3 horas y quackity ya tmb trajo a los tigres del norte para el qsmp eres grande quackity
65,91836,jaja wilbur faltas tu miamor jaja q haces pq no dices nada
66,91837,gracias dios por tanto gracias gracias gracias
67,91838,ola estoy apunto d llorar por lo q est diciendo rob
68,91839,lpm lo peor es q les acostumbr as y siempre terminan haciendo sus otras tareas mientras yo hago malabares hasta las 3am
69,91840,ya asum y acept que juan no estar en el qsmp
70,91841,q grande slime tqm mano eres increible
71,91842,lo amo tanto
72,91843,por fin pude poner a cargar el celular
73,91844,an no llego a mi casa y aun hago el qsmp gala ni el dia 3 del spiderbearweek rjzhdhzbhdux
74,91845,pq tiene la skin de las nevadas
75,91846,ya lo sabamos pero welcome to the qsmp slime lt 3
76,91847,ya m retiro m avisa si alguien nuevo va estar en qsmp nos vemos dentro 4 horas
77,91848,vergenza me va a dar con roier que al final no est y todos le estuvimos chingando mucho con el qsmp
78,91849,no voy a poder verlo pq tengo escuela
79,91850,soy este ahora mismo
80,91851,hdp me asust
81,91852,que linda charlita de robleis y carre me encantan los just chatting asi tranquis
82,91853,osea que hay probabilidad de que tambin saquen imagen de wil o ser que noms prest su voz miedo
83,91854,est con la skin de las nevadas
84,91855,se me antojaron unas papitas por culpa de rub
85,91856,cuantos lugares faltan en el qsmp
86,91857,a mitad d carrera no deberas dejar q tu compaera haga toda la investigacin para el proyecto solo pq no son planos digo un poco d verguenza para no involucrarse hay q tener
87,91858,slime esta en qsmp bienvenido amiguito
88,91859,no puede ser
89,91860,cuiden a rob se merece el mundo entero
90,91861,si charlie grab su ticket del qsmp en el set de tommy no me deja duda que wilbur tambin puede subir un video parecido
91,91862,ya extraaba la interacciones entre charlie y quackity
92,91863,los streamers diciendo que no estarn en el qsmp medio twitter no les crean porque son hombres
93,91864,roier como te hago entender que si te mereces estar ah y que eres un streamer enorme no digas eso papi
94,91865,yo se que va a estar juan estar en qsmp
95,91866,muy bien ahora wilbur
96,91867,ella y biyin se llevaran bien
97,91868,si no fue por las buenas la vdd nunca hice nada al respecto ser por las malas manifestar
98,91869,que mierda el chat
99,91870,ustedes le creen a roier eso de los qsmp con lo que ha dicho en los 2 ltimos streams el d ayer y hoy
100,91871,por si nos les dieron sus flores amarillas aqu hay para ustedes mutis
101,91872,wilbur soot na ms faltas tu
102,91873,farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp farfadox esta en el qsmp
103,91874,yo le tengo mucho cario a slime desde las nevadas tqm slime
104,91875,dale wilbur prende y confirma q estas en el qsmp
105,91876,ah esta el pendejo que cree que george estar en el qsmp
106,91877,soy la persona ms feliz se demoro quackitys pero soi feliz
107,91878,gente yo estoy muy emocionada por el qsmp y lo ver y todo pero no creo que vaya a dibujar nada de la serie por el momento saben que ltimamente no eh tenido mucha inspiracin para dibujar streamers les digo por si acaso perdon
108,91879,cmo q es solo de streamers grandes cala boca
109,91880,musica ligera aaa nada nos libra nada mas queda
110,91881,el goopo
111,91882,vamooooo
112,91883,el chat est re pesado
113,91884,es un diosssss lo quiero mucho lo admiro por igual simplemente es una de mis personas favoritas y estamos con todooo para su nuevo proyecto
114,91885,no s si ver a carre que est con robleis o a roier
115,91886,confirmamos que ninguno del mctrio esta en el qsmp listo se acab
116,91887,yo esperando a que milagrosamente wilbur prenda stream para que vea su invitacin y le hagan la imagen con su cubito
117,91888,yo lo invoque ya deca yo que estaba muy silencioso esto
118,91889,dios m siento re culpable por todo esto de el colegio y los horarios de la tcnica no me da tiempo para estar atenta a la comunidad y a mis nuts perdon los tkm a todos
119,91890,confirmada ya la participacin de slimecicle en el qsmp
120,91891,me kanse shao ala mierda
121,91892,manifeste
122,91893,no hice el de cns pero ahora si quiero hacerlo por hobi
123,91894,de tanto edit en uno soy capaz de confundirme
124,91895,eh porque tiene su traje d las nevadas
125,91896,aldo no estar en el qsmp
126,91897,mi cubitooooo vamos charliee
127,91898,q emocin q emocin
128,91899,amigos cuantos participantes lleva el qsmp
129,91900,ya se confirmaron todas las voces q aparecan en el trailer d qsmp menos wilbur
130,91901,la fe es lo ltimo que se pierde para tener a carre en el qsmp
131,91902,maana es el qsmp no podr verlo estar en la uni tambin es la bizarrap x arcangel
132,91903,le regale flores amarillas a mi hermana
133,91904,todos los fandoms estn cayendo en la locura
134,91905,ya andan de pesados en el chat de carre q ganas de matarl9s
135,91906,q insoportable ese compaero
136,91907,no m importa siento presiento manifiesto al mctrio en qsmp
137,91908,busko a la mia de me perdio
138,91909,a m bestie del alma
139,91910,porque nadie me aviso que robleis estaba en el stream de carre
140,91911,oigan y wilbur maxo y slime ya dieron seales de vida y mostraron su ticket para el qsmp pero will no ha dicho nada
141,91912,en mi fro y sin sentimientos era
