,Id,Tweet
0,78337,la propuesta de davidfaitelson para sustituir a rafa puente cuenta con la personalidad para imponerse en ese vestidor
1,78338,y as se va desvaneciendo este puente
2,78339,agradezco a laoctavasports por la llamada para conocer mi opinin del panorama de los pumas tras el cese de rafa puente jr lamentablemente me encuentro fuera de contexto por mi fin de semana de vive latino
3,78340,pumas ya tendra al sustituto de rafapuente consigue tu diario psala disponible en los puestos de revistas de la cdmx
4,78341,laautopsia cuidado con el len de larcamn lo de pumas era insostenible no poda aguantar un da ms rafa puente al frente del club la videocolumna de andremarinpuig
5,78342,el proyecto de rafa puente como dt de pumasmx lleg a su fin despus de 12 jornadas dejando un equipo con indisciplinas muy irregular y en el lugar 16 con 11 puntos a 4 puestos de la zona de repechaje es momento de que regrese hugo snchez o quin debera llegar
6,78343,pues rafa puente no ha dado una solo en un equipo y despues nada o ya se olvida a los puente ser dt no rafa puente sr es un excelente analista
7,78344,adis a rafa puente pumas termin su relacin con rafa puente y ahora el proyecto de lillini iba muy bien fsradiomx
8,78345,rafa puente jr deja de ser el entrenador de los pumas
9,78346,o sea si pero en pumas no no me chinguen con otro rafa puente chemo
10,78347,rafa puente presentando su proyecto a la directiva de pumas
11,78348,ya se fue rafa puente que fue experimento de tcnico en pumas presentan su renuncia el presidente de pumas ing leopoldo y tambin el dr mejia barn solo se queda el que se ir sin ningn ttulo en su administracin deportiva solo se lleva humillaciones graue pumas unam
12,78349,en mi opinin rafa puente se quem por agarrar a un equipo perdedor sin dinero con jugadores sin identidad y la burla de mxico le hubiera ido mejor en otro equipo chico pero agarrar a pumas o chivas es quemarse
13,78350,se fue rafa puente se fue meja barn se fue leopoldo silva pumas sin pies ni cabeza
14,78351,no entiendo por qu contratan a rafa puente para director tcnico en primera divisin es un autntico fracaso en todos los equipos en los que se vende como merolico
15,78352,ya van 3 que se van rafa puente leopoldo silva y miguel mejia barn ahora hay que ir por las vedettes que juegan los partidos y no le ponen huevos los refuerzos mexicanos extranjeros y los canteranos que no tienen nivel para jugar en primera divisin pumas soydepumas
16,78353,directivos traen un verdadero desmadre cul era el mrito de rafa puente el beneficio de la duda no inventen tonteras
17,78354,lo lograron finalmente lo rompieron finalmente ganaron destrozaron a alguien alguien que siempre estaba feliz que siempre estaba sonriendo alguien que no mereca el odio alguien que no hacia nada mas que ayudar a las personas hasta pronto rafa puente
