,Id,Tweet
0,93643,ojal chivasfemenil y americafemenil se juntaran en un acto de sororidad y se quedarn paradas a en el minuto 24 por scarlettcamberos aqu no hay rivalidad que valga hoy son ellas maana podra ser una de chivas ya basta anetteavazquez carojaramillo94 rubisoto25
1,93644,deportes la futbolista mexicana scarlett camberos abandon las filas de club amrica por el acoso que sufre de un hombre desde el ao pasado
2,93645,scarlett camberos deja el amrica tras ser vctima de acoso as lo confirmaron
3,93646,goe me puso super triste la salida de scarlett camberos nadie debera pasar por este tipo de cosas
4,93647,psimo y sinsentido el ltimo prrafo deberan presumir cuando le den seguridad a las jugadoras y ms en estos casos al final los nmeros de ligabbvafemenil terminan importando un carajo lo mejor para scarlett camberos
5,93648,lamentable americafemenil confirm la salida de scarlett camberos quien se va del pas por el acoso y violencia digital de la que es vctima
6,93649,lamentable tanto lo que tuvo que sufrir scarlett camberos que su acosador no haya tenido ninguna accin en su contra y este comunicado vomitivo como acostumbra la liga mx femenil protejanalasjugadoras
7,93650,a lo de scarlett camberos hay que darle la vuelta a la pgina ya de inmediato ella estar mejor y se le desea suerte y tan tan a lo que sigue tenemos a jugadorazas para esa posicin cmo nicki montsi y hay que recuperar a alison de frente y hacia adelante
8,93651,aristegui noticias scarlett camberos abandona mxico tras meses de acoso y violencia digital
9,93652,aristegui noticias scarlett camberos abandona mxico tras meses de acoso y violencia digital
10,93653,tanto fue el acoso que mejor decidi hasta irse del pas hasta pronto scarlett camberos
11,93654,definitivo scarlett camberos abandona al amrica tras acoso negocia con un club estadounidense
12,93655,scarlett camberos abandona mxico tras meses de acoso y violencia digital noticias guadalajara jalisco
13,93656,scarlett camberos hace bien en irse su seguridad y tranquilidad primero
14,93657,he ledo unos tweets tan pendejos sobre el tema de la salida de scarlett camberos del club amrica femenil que de verdad hay gente que tiene una mentalidad tan pequea el acoso digital es acoso y punto
15,93658,dice adis oficialmente scarlett camberos est fuera del amrica su destino es el angel city de la decisin se da por su seguridad despus de los problemas de acoso que sufri y por la poca accin de autoridades
16,93659,futbol desde julio de 2022 scarlett camberos haba recibido acoso de un hombre identificado como jos andrs n hace unas semanas se fue de mxico
17,93660,amrica informa que scarlett camberos deja el pas por violencia de gnero deportes
18,93661,la jugadora mexicoamericana scarlett camberos abandono el pas luego de sufrir acoso digital y seguir su carrera en estados unidos
19,93662,da triste para el conjunto femenil americanista te compartimos el comunicado oficial del club amrica sobre la salida de scarlett camberos del equipo losmsgrandes
20,93663,aristegui noticias scarlett camberos abandona mxico tras meses de acoso y violencia digital que se puede hacer si hasta ventaneando hace builing a las personas y dicen que tienen el derecho de expresarse solo por que los cobijan los amparos y dinero
21,93664,oficial a travs de un comunicado en redes sociales el club hizo oficial la salida de scarlett camberos y se unir al angel city de estados unidos te vamos a extraar capi
22,93665,amrica femenil confirm que scarlett camberos no jugar ms con el equipo debido a que dejar mxico y se mudar a estados unidos tras el acoso digital del que fue vctima
23,93666,prefirieron dejar ir a scarlettcamberos que hacer algo contra su acosador nefasto una pena que una jugadora con tanto potencial tenga que huir de mxico por miedo porque su integridad estaba en riesgo en este pas amricafemenil ligamxfemenil
24,93667,urge la creacin de protocolos efectivos para poder proteger a las mujeres ante este y otros tipos de violencia en mxico lo peor es que la liga dejar pasar esto y volver a suceder con otras jugadoras extraar verte jugar en el americafemenil scarlettcamberos
25,93668,muy poco camberismo las guilas femenil perdieron a su capitana por motivos que tenan correccin y la hinchada lo sabe clubamericafemenil ligamxfemenil scarlettcamberos clausura2023
26,93669,una verdadera lstima pero bien por scarlett camberos y una realidad que se vive en el pas aunque todava hay quienes quieren negarlo y ocultarlo
27,93670,se entiende la decisin de scarlett camberos y se respeta en lo deportivo no se pierde nada una jugadora tribunera que a la hora de aparecer en partidos importantes se le congelaba el pecho y no apareca y todos llorndole como si fuera alexia putellas jajaja se maman
28,93671,scarlett camberos porque dejar el americafemenil para jugar con weareangelcity
29,93672,el amrica femenil anunci la salida de scarlett camberos quien deja al club azulcrema por ser vctima de acoso en redes sociales el club amrica lamenta que scarlett camberos tenga que abandonar el pas por la violencia digital de la que es vctima
30,93673,scarlett camberos deja el pas por violencia de gnero
31,93674,scarlett camberos deja a las guilas del amrica jlm noticias
32,93675,y se van a ir de nalgas cuando se enteren que el caso de scarlett camberos es solo uno ms de los miles y millones de casos de mujeres que tienen que renunciar a sus sueos y empleos a causa de la violencia sexual a la que estamos expuestas
33,93676,qu coraje el caso de scarlett camberos por falta de regulacin para erradicar el acoso digital del que era vctima debe dejar el pas
34,93677,la futbolista scarlett camberos decidi abandonar mxico tras sufrir acoso y hackeo de sus redes sociales por parte de un seguidor inform el club americafemenil
