,Id,Tweet
0,68151,yo creo que depende un fin de semana que hay gente en mi casa por la maana si me lavo ahora un da de semana random directamente me los lavo despus
1,68152,voy a cumplir mi sueo de ir a un concierto de taylor swift
2,68153,q guapo es mi novio peso pluma d vers
3,68154,q increble el show de taylor hizo como 30 cambios de outfit y toda la escenografa fue buensima es una reina
4,68155,diganme que alguien clipeo el discurso de nuestro marjwusya radical favorito me lo perd
5,68156,hola dios soy yo de nuevo
6,68157,la unica vez en mi vida que opino lo mismo que milky
7,68158,creo que sobre the eras tour la gente se refiere a que el concierto como tal es un show super producido taylor sabe lo que la gente quiere ver y no solamente te mete un bailecito sino que tambin te pone bailarines escenografa visuales vestuarios y dems
8,68159,mi pequeo corazn
9,68160,maana voy a estar as tratando de no mencionar a taylor
10,68161,se meti con el fandom equivocado ya le bajaron la cuenta el video del tweet original era un video metindose con taylor
11,68162,emma y taylor juntas otra vez caigo muerta listo
12,68163,tengo una obsesin con vigilante shit desde que vi el vdeo de taylor presentndola en el tour
13,68164,hoy se cumple un ao del recital de foo fighters en el lolla abrieron con times like these taylor cant somebody to love de queen y dave clav solo de bateria por lejos uno de los mejores recitales de mi vida los extrao un montn foofighters
14,68165,mi compaero me empez a preguntar cosas de taylor swift para que se me pase el enojo como que me devolvi un poco la esperanza en la humanidad
15,68166,shadoune escuchando taylor gt gt gt gt gt gt gt gt
16,68167,yo quiero irme a las vegas al prximo concierto de taylor
17,68168,ya saltaron todos los putos pesados a bardear a taylor x sus performance los miro asi
18,68169,mi pap estaba viendo un video en fb y tenia una cancin de taylor jsjsjaja
19,68170,taylor te amo mucho
20,68171,taylor swift emma stone laura dern alana y danielle haim en una misma foto gracias dios
21,68172,almostdo bluestkoo siempre las voy a etiquetar cuando vea la palabra taylor y mxico juntas losientomucho
22,68173,esos que juegan con coqueteo y q a comerte son los que ms ganas te tienen
23,68174,se ve bien bonito
24,68175,increblemente feliz y agradecida de haber sido tan suertuda y apoyada cuando se present la oportunidad de ver a mi taylor las palabras no me alcanzan para agradecer y todava no me la creo
25,68176,tomara
26,68177,apoyo la mocin con toda violencia
27,68178,taylor con las haim y emma stone la playera de emma aaaaaaa la ms swiftie
28,68179,tengo 0 unidades de inters en las coreografas en un concierto de taylor swift entre temazos plataformas proyecciones tremendo setlist el juego de luces y la duracin estoy entusiasmado no a todo el mundo nos flipa que nuestras cantantes sean como profes de zumba
29,68180,gente ms pelotuda que est no hay
30,68181,yo saba q me iba a poner triste pero igual pregunt
31,68182,los dos se pisan slos es increble jajajajajaja
32,68183,hace 15 aos que tengo que leer a gente que no es fan de taylor swift queriendo convencer a las fans de que es mala quinceaos chicos es como mi hija que me importa lo que diga el nio rata de monte cascoteado
33,68184,escuchar a taylor me devuelve a la tranquilidad que necesito
34,68185,te amo mucho taylor
35,68186,a este paso nunca
36,68187,es el mejor
37,68188,aaaa estaba al pedo dije ya fue y vi woman king y no solo fue tremendo slay sino que de la nada homenajean a breonna taylor quede as
38,68189,la gente ta criticando a tammy por hacer contenido a raz de la infidelidad de su ex prometido pero bro ella vive de eso literal es lo mismo que hizo shakira o taylor solo que llevada a su realidad la gyal tiene que comer y si le toca hacer videos llorando es pa eso xddd
39,68190,si taylor viniera a latam preferiran a finales de 2023 o principios de 2024
40,68191,taylor swift backstage en la primera noche del tstheerastour con danielle y alana haim laura dern emma stone y otros amigos
41,68192,diossssss taylor y emma stone
42,68193,tmb seguramente haga un hilo de enha como canciones de taylor swift pq son mis dos cosas favoritas juntas lt 3
43,68194,bati rcord taylor swift ha hecho historia con su the eras tour convirtindose en el show femenino con mayor nmero de asistencia en la historia de eeuu superando al super bowl con 69 213 entradas vendidas y el evento deportivo de este ao vendi 67 827 boletos
44,68195,nunca contestas chinga tu madree
45,68196,el gran campen jcchavez115 record su histrico y dramtico triunfo sobre meldrick taylor
46,68197,ese mae no es consciente de que me tiene a sus pies
47,68198,buenas noches a todos salvo al pelotudo que viene escuchando el partido en el tren sin auriculares
48,68199,qu cancin de taylor borraras de vuestra mente para poder escucharla por primera vez de nuevo
49,68200,telefe y america estar callados es ser cmplices y granhermano natacha jaitt siempre tuvo razn
50,68201,jajajaj ahora s la vio xd pero dudo que la capte
51,68202,hermanas me salio caitlyn luna de nieve estoy gritando se vuelve al vicio
52,68203,1 golpe de sincronicidad
53,68204,taylor con emma y las haim lo que necesitabamos ver
54,68205,me he quedado mueca viendo que adrin y keila han follad0 es que no me lo esperaba
55,68206,de a ratos se me va la onda y pienso que todo esto slo es un mal sueo
56,68207,taylor swift arranc su gira eras tour y habl sobre la venta de boletos
57,68208,algo que me pasa mucho es que cada vez que alguien que es fan de taylor me dice que su lbum favorito es speak now siento que son de los ms empedernidos porque es que la mayora de los swifties ms devotos que conozco lo tienen al menos en el top 3 y casi todos en el 1
58,68209,esq q guay ojala estar en el tour de taylor
59,68210,cmo me gustan los duelos de pitcheo
60,68211,es que no doy ms con lo lindo que es
61,68212,diosmo xfavor salvame
62,68213,4 minutos ja
63,68214,holaa quieren jugar algo denme ideas
64,68215,nueva foto de taylor swift con emma stone laura dern alana y danielle haim
65,68216,me mama estar loca y ser fan de taylor swift
66,68217,ahora que estoy feliz puedo decir que tengo a taylor hasta en el cel cuando me despierto
67,68218,que parezco nia siempre hablo de harry louis taylor y gracie siempre lloro porq estoy triste allofthosevoices
68,68219,ninguna edicin va a poder superar esta laisladelastentaciones9
69,68220,ya no hay remedio para arreglar lo de nosotros ya est roto
70,68221,que voy hacer si a windflowerynt le dieron limit
71,68222,voy por el episodio 5 de thelastofus y estoy as
72,68223,barbie taylor puede no bailar y no hay problema canta muy bien
73,68224,tal vez no te pienso pero no te olvido tal vez yo te extrao pero no lo digooo
74,68225,mi novia me dijo que le caigo bien
75,68226,y bueno me siguen puras fans de taylor creo
76,68227,yo no se como a da de hoy naomi y adrin pueden estar juntos si cada uno se ha tirado a su tentador laisladelastentaciones8
77,68228,no no emma y taylor las amo tanto por dios nadie lo entendera
78,68229,de descanso pero vmonos al crossfit
79,68230,perdn pero lo nico que puedo apreciar es que taylor y emma estn juntas
80,68231,merezco alcanzar boleto de taylor swift
