,Tweet Id,Datetime,Tweet,Username
0,1638329386217934849,2023-03-21 23:58:59+00:00,"""Amarse a uno mismo es el comienzo de un romance de por vida""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
1,1638329170693603329,2023-03-21 23:58:07+00:00,"""No llores porque se ha terminado, sonríe porque ha ocurrido""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
2,1638329144894267392,2023-03-21 23:58:01+00:00,"No te pierdas nuestra cobertura #EnVivo de #WWENXT, porque #IljaDragunov y #JDMcDonagh se enfrentarán en un duelo de odio que podría definir su rivalidad.

Click AQUÍ 👇👇👇
https://t.co/nba9bLo4NJ

#StandAndDeliver #NXT #WWESuperstars WWE #SuperLuchas #FelizMartes https://t.co/IFMxvy49qP",Superluchas
3,1638328611118944256,2023-03-21 23:55:54+00:00,"""Tu corazón está lleno de semillas esperando germinar""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
4,1638328225289109504,2023-03-21 23:54:22+00:00,"""Mantén siempre una mente positiva""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
5,1638328010867654657,2023-03-21 23:53:31+00:00,"Confía en ti y no dependas de nadie. Piensa que no hay imposibles solo momentos más difíciles y momentos más fáciles. 

#felizmartes✌
#soychuymorales 🤠
#primavera ☀️
#radiohost 📻🎙️🎧 https://t.co/tjR9DaCIF1",chuymoralesofi
6,1638327773663215616,2023-03-21 23:52:34+00:00,"""Cuando piensas en positivo, tu vida mejora bastante""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
7,1638327126557437952,2023-03-21 23:50:00+00:00,#21Mar Entre 2014 y 2022 las Repúblicas de Donetsk y Lugansk fueron permanentemente agredidas; su población se vio bombardeada constantemente #MaduroGolpeaALosCorruptos #FelizMartes https://t.co/ORoOfrpfQ9,DIARIOVEAHOY
8,1638326972852912129,2023-03-21 23:49:23+00:00,"YO♥️CUMANA
Alcalde de #Cumana 👉 .@lossifontes sostuvo importante reunión, en pro de seguir mejorando al vialidad en todo el municipio #Sucre ✌️
#21Mar
#MaduroGolpeaALosCorruptos 
#FelizMartes
#Sucre
▶️ .@NicolasMaduro https://t.co/zIX4iPxfve",Elangel_ven0
9,1638326915546185728,2023-03-21 23:49:09+00:00,"YO♥️CUMANA
Alcalde Revolucionario de #Cumana 👉 .@lossifontes trabaja por el bienestar de su gente, una gestión de compromiso✌️
#21Mar
#MaduroGolpeaALosCorruptos
#Sucre
#FelizMartes https://t.co/xpaM5QNExE",Elangel_ven0
10,1638325789602230272,2023-03-21 23:44:41+00:00,"#Margarinflas @Mzavalagc
 #NoalaViolencia #NiUnaMas 

 Alfredo Jalife revela en entrevista que Felipe Calderón y Javier Lozano #SacoDePus  son golpeadores de mujeres #FelizMartes 

https://t.co/QTNuYhQDwV https://t.co/qtU9XkphkM",whore_80
11,1638325200533037058,2023-03-21 23:42:21+00:00,"#FelizMartes
Vive la vida aló maximo 😉",AngyLop13
12,1638325095880851457,2023-03-21 23:41:56+00:00,"#FelizMartes
Exelente tarde",MarleneR00
13,1638324855740289024,2023-03-21 23:40:58+00:00,"🥰 | Cuidemos a nuestros niños y hagamos todo lo posible por siempre alimentar su imaginación. 

#FelizMartes #SupportKidsWithCancer #CáncerEnLaInfaciaYAdolescencia #TodoSuma #Juntos #LuzDeVida #Cáncer #JuntosHacemosLaDiferencia #LDV #Niños #25AñosDeMagiaYEsperanza https://t.co/Lxe4nMQ4R5",luzdevidac
14,1638324787469582337,2023-03-21 23:40:42+00:00,"Hoy hablaremos de #OctavioOcaña , #galileamontijo #olgaTañon y #AmandaBynes 

#LaJefa en vivo 💛 , link en nuestro perfil . 

#Veracruz #Musica #Mexico #usa #arre #marzo #martes #felizdia #cumbia #banda #regionalmexicano #felizmartes https://t.co/hEJeY84Dc3",lafieraveracruz
15,1638324765365612549,2023-03-21 23:40:37+00:00,"Con la llegada de la #primavera, la #naturaleza se transforma y nos ofrece los más hermosos paisajes… ¡Feliz #InicioDePrimavera, te desea #GrupoRivero!🌸🐝🐞🚘

#Martes #FelizMartes #NuevoLeón #Monterrey #21deMarzo https://t.co/snlnqVBOvr",agenciarivero
16,1638324610381803521,2023-03-21 23:40:00+00:00,"#21Mar ""He decidido aceptar la renuncia como ministro Tareck El Aissami, para facilitar todas las investigaciones que deben dar el establecimiento de la verdad, el castigo de los culpables y la justicia"", afirmó #MaduroGolpeaALosCorruptos #FelizMartes https://t.co/fXMC81jNzz",DIARIOVEAHOY
17,1638324610235072513,2023-03-21 23:40:00+00:00,"#HoyEnLaHistoria #FelizMartes -2000 – Lanzan No Strings Attached, segundo álbum de estudio de @NSYNC. Incluye  Bye, Bye, Bye, This I Promise You. @rochy62 https://t.co/2lPlx7xwrB",ManoloBellon
18,1638323764290273282,2023-03-21 23:36:38+00:00,"🙌¡Aprovecha tus beneficios! Inicia las vacaciones de primavera con un costo especial en tu consulta de valoración, durante todo el mes de Marzo. Retoma tus actividades. Agenda tu cita al 800 COLUMNA (265-8662) ¡Y dile adiós al dolor! #columnavertebral #columnalumbar #FelizMartes https://t.co/Xait7kca8N",hernias_dedisco
19,1638323757117743115,2023-03-21 23:36:36+00:00,"¡Azul tengo el corazón y azul se pinta el Estado! 
Con mis amigas y amigos diputados y líderes de nuestro Estado, seguimos juntas y juntos #Adelante por el #EdoMéx. ✌🏻

#CambiemosMexico #Hoy21 #FelizMartes https://t.co/LZ9vZfNPWl",adrianjuarezj
20,1638323607897030657,2023-03-21 23:36:01+00:00,"YO♥️CUMANA
#21Mar
#FelizMartes
#MaduroGolpeaALosCorruptos 
Alcalde Bolivariano de #Cumana .@lossifontes sigue trabajando por las mejoras de la vialidad en todo el municipio #Sucre",Osma_rys19
21,1638323382058885120,2023-03-21 23:35:07+00:00,"#FelizMartes Accede al canal de Telegram Ofertas para la Oficina

Ofertas en artículos de Oficina
👇👇👇👇👇👇👇👇
: https://t.co/dQusnI7Nhy",mascota_ofertas
22,1638323353118208003,2023-03-21 23:35:00+00:00,"Dr. OSCAR ALEJANDRO BATALLA JORGE
especialista en #MedicinaGeneral
Citas y más información en: https://t.co/Xi5QAt0D5R
 #FelizMartes #Enterate #Chihuahua",exaleiphein308
23,1638322863978553350,2023-03-21 23:33:03+00:00,"YO♥️CUMANA
#21Mar
#MaduroGolpeaALosCorruptos
#FelizMartes
Alcalde de #Cumana .@lossifontes sigue trabajando por el bienestar de su gente 👏
#Sucre",Osma_rys19
24,1638322094936313856,2023-03-21 23:30:00+00:00,"#21Mar ""En virtud de las investigaciones que se han iniciado sobre graves hechos de corrupción en Pdvsa; he tomado la decisión de presentar mi renuncia como Ministro de Petróleo"", escribió #MaduroGolpeaALosCorruptos #FelizMartes https://t.co/rRUJ2zpZKg",DIARIOVEAHOY
25,1638321499479187459,2023-03-21 23:27:38+00:00,"#FelizMartes

💡📊 Con el curso de Marketing Cultural podrás desarrollar una práctica personalizada y sistematizada de promoción para tu proyecto escénico.

✒️ Inscríbete y conoce nuestra oferta académica: https://t.co/0jmnIT3F4w https://t.co/ggY9fOXQHg",Helenico
26,1638321447624925192,2023-03-21 23:27:26+00:00,"😎😴 ahorita muy cansados no❓ Ah‼️ pero que tal el #FinDeSemana

.
.
#memes #humor #FelizMartes #puente #Edomex https://t.co/xa57vnV4rg",ElInformanteMX
27,1638321053297680385,2023-03-21 23:25:52+00:00,"""La única diferencia entre un día malo y uno bueno es tu actitud""

Por eso está en nosotros mismos que cada día sea positivo: ¡Bendiciones!

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
28,1638320751198576642,2023-03-21 23:24:40+00:00,"#FelizMartes
Bendiciones para todas",diaz_yezzi
29,1638320611377442816,2023-03-21 23:24:06+00:00,"La única manera en que descubres cómo llegar a alguna parte, es dejando algo atrás #FelizMartes",GustavoDelgadoo
30,1638320131112591363,2023-03-21 23:22:12+00:00,#FelizMartes con el objetivo siempre claro 😉,bolita14
31,1638320037734785024,2023-03-21 23:21:50+00:00,"#FelizMartes
Bendiciones",jarumiZaragoza
32,1638319976712146944,2023-03-21 23:21:35+00:00,"""Lo más importante es mantenerse positivo""

#JoseMotivador 

#VamosConTodo 

#FelizMartes",JoseMotivador14
33,1638319931220525056,2023-03-21 23:21:24+00:00,"#FelizMartes
Bendiciones",GianelliCano
34,1638319576978018306,2023-03-21 23:20:00+00:00,"#21Mar ""Hoy más que nunca nuestro accionar debe estar guiado por la espiritualidad. ¡Ética y moral en alto!"", recalcó el Jefe de Estado Maduro #MaduroGolpeaALosCorruptos #FelizMartes https://t.co/LWKa3eLZK1",DIARIOVEAHOY
35,1638319469851291648,2023-03-21 23:19:34+00:00,#Resultados 21/03/2023 Sorteo 2089 Hora: 7:00 P. M #TripleCaracas A 410 Triple Caracas B 960 | Triple Signo 092 Virgo | Extra | RELANCINO | 0564 | MultiplicaTuPremio #21Mar  | #TriplicaTusPremios | #Relancino #FelizMartes | #21Marzo https://t.co/PhXVCBYjeA,triple_caracas
36,1638319386040627201,2023-03-21 23:19:14+00:00,"#FelizMartes
Bendiciones 🙏",karlamo82727714
37,1638319337311203329,2023-03-21 23:19:03+00:00,"#FelizMartes
Que pasen una excelente tarde",BlancaRiver23
38,1638319218318819328,2023-03-21 23:18:34+00:00,"#FelizMartes
Así es",NoemiRu57
39,1638318944233594883,2023-03-21 23:17:29+00:00,"🗣️📢🏷️|#MaduroGolpeaALosCorruptos
😷#FelizMartes #TROPA #21Mar
☮️ #VEЛEZUELA..
Profesionales militares figuran en corrupción en Pdvsa, asevera G/J @vladimirpadrino  https://t.co/SyFZFy1Gdw a través de @DIARIOVEAHOY https://t.co/XKDC1OCvvF",EGMorenoR
40,1638318575667630081,2023-03-21 23:16:01+00:00,"#FelizMartes
Es muy importante mirar lo bueno y lo malo de nuestra vivencias",VivianaPorfirio
41,1638318450841104384,2023-03-21 23:15:31+00:00,"PROFESIONALES CERTIFICADOS
@AmiciCentury @Century21amici 

#VENTA #COMPRA #RENTA #INVERSIÓN 
Y #ADMINISTRACIÓN DE INMUEBLES

#BienesRaices #Inmobiliaria #Casa #Departamento #Century21 #millennials #FelizMartes

T. 55.2455.1166
https://t.co/uphNrhiZmI

https://t.co/87RxD27dw6 https://t.co/HYGhWhb7ui",AmiciCentury
42,1638317892121886724,2023-03-21 23:13:18+00:00,#FelizMartes  igualmente bendiciones 🙏,RosaContreras90
43,1638317651301654535,2023-03-21 23:12:21+00:00,#FelizMartes jajaja jajaja jajaja jajaja jajaja jajaja jajaja jajaja 😆😆😆😂😂😂😆🤦😛😅😅 👇👇👇👇🤦,OctavioAcosta
44,1638317225776906243,2023-03-21 23:10:39+00:00,"#BucketList #FelizMartes

10 bosques de México para conectarte con la naturaleza.
 https://t.co/I3ubFU2r7d",GanarGanar
45,1638316828324777984,2023-03-21 23:09:04+00:00,"#FelizMartes
Que tengan una excelente tarde todas",JazLpz22
46,1638316816375115777,2023-03-21 23:09:02+00:00,"#FelizMartes
Bendiciones chicas 😘😘😘😘",Raque1427
47,1638316493044678656,2023-03-21 23:07:45+00:00,#FelizMartes bendecido día 🌈,Marcelahzr
48,1638316350882955264,2023-03-21 23:07:11+00:00,"LA BANDA 💪⚽
.
.
#atleticochia #chiafc #chia #futbolbogotano #futbolcolombiano #difutbol #dimayor #fuerzachia #felizmartes https://t.co/tsHHco0s3P",atletico_chia
49,1638316311531929602,2023-03-21 23:07:01+00:00,"#felizmartes 
Bendiciones ❤️",NancyRojasMace1
50,1638316291097231364,2023-03-21 23:06:56+00:00,"YO♥️CUMANA
#21Mar
#MaduroGolpeaALosCorruptos
#FelizMartes
⭐ Así se vivió el Foro-Debate "" pensamiento económico del Comandante Hugo Chávez"", con todo el apoyo del alcalde .@lossifontes , con la presencia del diputado Jesús Faria. 
#Cumana
#Sucre",Osma_rys19
51,1638316108649201666,2023-03-21 23:06:13+00:00,"Luego de que López Obrador criticó a Estados Unidos por su informe sobre derechos humanos en el mundo, el Departamento de Estado le replicó.
https://t.co/cS1lmkVpkO
#infonews #noticias #internacional #estadosunidos #méxico #normapiña #benitojuárez #felizmartes",mx_infonews
52,1638315721665937410,2023-03-21 23:04:41+00:00,"YO♥️CUMANA
#MaduroGolpeaALosCorruptos
#21Mar
#Sucre
❣️ Alcalde .@lossifontes sigue trabajando por una mejor #Cumana , una gestión compromiso con su gente👏
#FelizMartes",Osma_rys19
53,1638315718188859395,2023-03-21 23:04:40+00:00,#FelizMartes. Buenas tardes,Maribel8841
54,1638315714401452035,2023-03-21 23:04:39+00:00,"#FelizMartes 
Bendiciones 🙏🌻",Teresa020503
55,1638315310041165825,2023-03-21 23:03:02+00:00,"#FelizMartes
Vivir el día a día 🌷",RoxanaR101
56,1638315050317299712,2023-03-21 23:02:01+00:00,"LQM A Todos Lo De Ayer Lunes En #Noticias https://t.co/FOlREW0oko De 01:00 a 02:00pm Por @adn40 💻📱🖥, #SiempreConmigo

@amolina_oficial
@MarcucettiClau
@JuliGo4 (@dw_espanol)
@Faraon_Gabriel
@SarahiUribeG
@dlcasarin
Y
@PLATA11CDMX

Excelente #FelizMartes A Ustedes
😎🤘🙏🤗 https://t.co/ZVVasesnus",pietroserrip
57,1638315042423578624,2023-03-21 23:01:59+00:00,"#FelizMartes
Bonito día",AreliCo01321841
58,1638314685811376129,2023-03-21 23:00:34+00:00,"#FelizMartes Accede al canal de Telegram Ofertas Chinas

Ofertas llegadas desde China
👇👇👇👇👇👇👇👇
: https://t.co/v17yyfpAdH",Ofertas_Tech
59,1638314562155085824,2023-03-21 23:00:04+00:00,"CABLE 3 RCA A 3 RCA 1 METRO, a solo $1250 #mercadolibre #chile #santiago #laflorida #oferta #venta  #despacho #felizMartes https://t.co/2KdNKpWkRe FB https://t.co/Op8Jg2XGDA #Vitacura https://t.co/QjVirH3xN2",feriatecno
60,1638314551522328576,2023-03-21 23:00:02+00:00,"#21Mar Se estima que Carlos Pérez comience la temporada en la sucursal Triple ""A"" de los Atléticos, en la que podría ver su ascenso a las Mayores si finalmente cubre expectativas #MaduroGolpeaALosCorruptos #FelizMartes https://t.co/a9GfqoNjkL",DIARIOVEAHOY
61,1638314460841377794,2023-03-21 22:59:40+00:00,#FelizMartes disfruten el día al máximo,jackely103
62,1638314307057246209,2023-03-21 22:59:03+00:00,#FelizMartes y excelente inicio de primavera,AdiCas94
63,1638314270445252609,2023-03-21 22:58:55+00:00,"Presentación del libro Resistencia y participación, de la historiadora y antropóloga Iraida Vargas Arenas, escritora homenajeada de la #Filven, en capítulo guaireño de la feria del libro y la lectura que se desarrolla en Terminal de Pasajeros de La Guaira. #FelizMartes #21Mar https://t.co/P2c9ZcTaYP",VillegasPoljak
64,1638314192779264000,2023-03-21 22:58:36+00:00,"#FelizMartes
😊 Exelente tarde",JakiRojas5
65,1638314101133787142,2023-03-21 22:58:14+00:00,"#FelizMartes
Bonito día",Veroonicaa01
