,Tweet Id,Datetime,Tweet,Username
0,1636517701924577280,2023-03-16 23:59:59+00:00,"Morena gobierna Puebla, Oaxaca, Chiapas, Guerrero y Tlaxcala y registran mayor concentración de pobreza.
#MéxicoMásPobreConAMLO",DionicioBarra12
1,1636517679933853696,2023-03-16 23:59:54+00:00,#MexicoMásPobreConAMLO porque NO ha tenido la capacidad para llevar un programa de nación.,Javier23976366
2,1636517677630889986,2023-03-16 23:59:54+00:00,"Presume sus logros de dejarnos más pobres.
#MexicoMasPobreConAMLO",YazmnPea3
3,1636517675965849602,2023-03-16 23:59:53+00:00,"#MéxicoMasPobreConAMLO
Un fracaso total el gobierno de morena, Puebla y guerrero entre los estados más pobres",ArturoTorrebla9
4,1636517665500954626,2023-03-16 23:59:51+00:00,#MéxicoMásPobreConAMLO más de 4 millones nuevos de pobres en los últimos 4 años,jacquel21676132
5,1636517647285374982,2023-03-16 23:59:46+00:00,"#MéxicoMásPobreConAMLO
AMLO no sabe gobernar y en los estados y municipios en los que gobierna su partido hay muchas necesidades.",HueskAya
6,1636517646374952961,2023-03-16 23:59:46+00:00,"Mentira y traición de AMLO

#MéxicoMásPobreConAMLO

Somos más pobres en México",angelku83
7,1636517644995031040,2023-03-16 23:59:46+00:00,"#MéxicoMásPobreConAMLO
. Exigimos servicios básicos para todo México morena miente https://t.co/3qmb1Y0XTD",SergioG47492401
8,1636517641820184576,2023-03-16 23:59:45+00:00,La 4T  solo dice mentiras cuando menciona que primero los pobres. #MéxicoMásPobreConAmlo,Berenic69216809
9,1636517636652802049,2023-03-16 23:59:44+00:00,#MexicoMasPobreConAMLO EL PUEBLO TIENE HAMBRE NO ALCANZA EL SALARIO,Caro_Rojas321
10,1636517624166203392,2023-03-16 23:59:41+00:00,"#MéxicoMásPobreConAMLO pero engordando la bolsa de Slim, uno de los hombres más ricos del mundo, mientras millones no saben si comerán al día siguiente https://t.co/jg5soyCbIC",JuanUlisesOrtiz
11,1636517623637630976,2023-03-16 23:59:41+00:00,#MéxicoMásPobreConAMLO los mexicanos somos una potencia económica y la riquezas se van s parar a unas unas cuántas manos. https://t.co/RUOnNpo1XX,JuanMartnNicol3
12,1636517622895497216,2023-03-16 23:59:40+00:00,Falso de toda falsedad darle prioridad a los pobres con este presidente #MéxicoMásPobreConAMLO,EhgEdgar
13,1636517622761271296,2023-03-16 23:59:40+00:00,"#MéxicoMásPobreConAMLO
Comerciantes cerrando sus negocios porque ya no hay para invertir todo está caro @lopezobrador_ los índices te ganan #MexicoMasPobreConAMLO",cordova_alexei
14,1636517621649555457,2023-03-16 23:59:40+00:00,#MéxicoMásPobreConAMLO hunde a los Mexicanos en la pobreza https://t.co/6Rfy60HamU,pilar2561
15,1636517619183534080,2023-03-16 23:59:40+00:00,La desigualdad aumenta con grandes pasos en México y AMLO pone en alfombra roja la mano de obra barata a @Tesla #MéxicoMásPobreConAMLO,XlexHeras
16,1636517618269011969,2023-03-16 23:59:39+00:00,Bajo el gobierno de @lopezobrador_ que dice proteger a los pobres ha arrojado a la pobreza a 10 millones de mexicanos. #MéxicoMásPobreConAmlo,Javier23976366
17,1636517616138215424,2023-03-16 23:59:39+00:00,#MéxicoMásPobreConAMLO  Al presidente @lopezobrador_  le quedan 18 meses de su seccenio y la pobreza cada día aumemta de manera significativa. ¿ No que primero los pobres? Morena y @lopezobrador_  mienten y son peores que los anteriores presidentes.,JoseTiburcioPr1
18,1636517614200451078,2023-03-16 23:59:38+00:00,"#MéxicoMásPobreConAMLO
Morena gobierna Estados como Puebla, Oaxaca, Chiapas, Guerrero y Tlaxcala y registran mayor concentración de pobreza",MariaVegaDeGonz
19,1636517601705598977,2023-03-16 23:59:35+00:00,Lopez obrador y morena han dejado mas pobres a los mexicanos #MéxicoMásPobreConAMLO,Jeronimoavelio
20,1636517601286455296,2023-03-16 23:59:35+00:00,#MéxicoMásPobreConAMLO Sumergido y derrotado en esta 4T,ANA23185658
21,1636517595049500672,2023-03-16 23:59:34+00:00,"#MéxicoMásPobreConAMLO
Gobierno actual cumple con lo que te corresponde y no afectes más a tu pueblo",Francy71323697
22,1636517588879523840,2023-03-16 23:59:32+00:00,"#MéxicoMásPobreConAMLO
Con sus programas asistenciales no combate a la pobreza,solo son clientelares para el voto, México necesita un cambio de modelo económico https://t.co/1RxweGZxmC",soriano_curiel
23,1636517576841756674,2023-03-16 23:59:30+00:00,"#MéxicoMásPobreConAMLO 
La frase de ""primero los pobres"" es un engaño al pueblo,  México vive trajedia con aumento de pobreza, AMLO y  Morena no la combaten. https://t.co/60TohGRSPW",SantanaAristeo
24,1636517574560165889,2023-03-16 23:59:29+00:00,"En la sierra de Chihuahua hay mucha pobreza. López Obrador olvidó a los campesinos de acá. 
#MéxicoMásPobreConAMLO https://t.co/24cCJ0mtwb",BarcenasAnabel
25,1636517565794078723,2023-03-16 23:59:27+00:00,"Un mal terrible hay en los estados na Puebla, Oaxaca, Chiapas, Guerrero y Tlaxcala,  registran mayor concentración de pobreza.
 #MéxicoMásPobreConAMLO",JosueRe29
26,1636517554209558529,2023-03-16 23:59:24+00:00,"La pobreza extrema existe y existe en mi México y la cuarta T no hace nada 
  #MéxicoMásPobreConAMLO",TonantziTolent1
27,1636517549725609986,2023-03-16 23:59:23+00:00,La pobreza en México a aumentado tanto que ya ni nos alcanza para los alimentos de la canasta básica #MéxicoMásPobreConAMLO,PabloYamCam
28,1636517547750064129,2023-03-16 23:59:23+00:00,#MexicoMásPobreConAMLO México necesita un verdadero cambio,DulceMa221277
29,1636517540435484672,2023-03-16 23:59:21+00:00,"#MéxicoMásPobreConAMLO
Y sus resultados se notan, pero negativamente. Fuera AMLO",celina_aguipar
30,1636517525176430594,2023-03-16 23:59:17+00:00,#MéxicoMásPobreConAMLO hoy el dinero con pico valor es un reflejo de la inflación y pobreza que nos acecha,MathIsrael
31,1636517495963099137,2023-03-16 23:59:10+00:00,"Una más de las falsas promesas de López, ya frase hueca esa de ""Primero los pobres"" 

#MéxicoMásPobreConAMLO https://t.co/kpHDtmXvnP",EhgEdgar
32,1636517495598379009,2023-03-16 23:59:10+00:00,"Morena gobierna Puebla, Oaxaca, Chiapas, Guerrero y Tlaxcala y registran mayor concentración de pobreza.
#MéxicoMásPobreConAMLO",rojas_yedith
33,1636517490691022851,2023-03-16 23:59:09+00:00,"Las palabras son bonitas de los partidos populistas (morena) pero la realidad es otra, lo dicen los estados gobernados por el mismo #MÉXICOMasPobreConAMLO",Pedro544270
34,1636517488639766528,2023-03-16 23:59:08+00:00,"Mientras los #Corruptos de @lopezobrador_ , @PartidoMorenaMx y sus familiares se dan la vida de lujos a cargo del erario, aumenta la pobreza. Siempre mintieron con es de Primero los pobres.
#MéxicoMásPobreConAMLO
@AntorchaOficial 
@MovAntoCampeche 
Antorcha Campesina https://t.co/zL6kuitsdI",jamarjaram
35,1636517486014386177,2023-03-16 23:59:08+00:00,"#MéxicoMásPobreConAMLO
Es parte de los resultados que hoy se viven en muchos hogares.",Martacabrerafr4
36,1636517485712384000,2023-03-16 23:59:08+00:00,prefiere sus obras faraónicas que ayudar a los más pobres del país #MéxicoMásPobreConAMLO https://t.co/9FwD8OfKvx,JuAnitavalos2
37,1636517470554198016,2023-03-16 23:59:04+00:00,"Los compromisos de campaña de la actual presidencia de la república hacían mención que ""primero los pobres"", pero, no mencionaron que serían los primeros en quedar más pobres 
 #MéxicoMásPobreConAMLO",LuMj21
38,1636517470285582345,2023-03-16 23:59:04+00:00,"No se ha reducido la tasa de desempleo y  pobreza desde que la 4T está al frente del país, por el contrario la pobreza sigue en aumento y no se tiene una estrategia para combatirla #MéxicoMásPobreConAMLO",MariaVegaDeGonz
39,1636517469903781888,2023-03-16 23:59:04+00:00,"#MéxicoMasPobreConAMLO
El dinero se va a algún lado, en 4 años se sumaron 6000 millones de pobres en México y los hijos de Andrés Manuel López Obrador son millonarios",ArturoTorrebla9
40,1636517468997918720,2023-03-16 23:59:04+00:00,"A pesar de sus compromisos de campaña de combatir la pobreza, AMLO y Morena hunden en ella a los mexicanos. 

#MéxicoMásPobreConAMLO",YahirMolina23
41,1636517467827630083,2023-03-16 23:59:04+00:00,Más de 8 millones de pobres tiene nuestro país en dato que pone a pensar que está haciendo la 4T y amlo para combatirlo #MéxicoMásPobreConAMLO,VeronicaMC0608
42,1636517467089682437,2023-03-16 23:59:03+00:00,"México vive una tragedia y desastre social debido al aumento indiscriminado de la pobreza y desigualdad.
 #MéxicoMásPobreConAMLO",JosueRe29
43,1636517464094941184,2023-03-16 23:59:03+00:00,#MéxicoMásPobreConAmlo AMLO le quitó apoyos a la gente pobre para sus obras faraónicas.,adelinaorozco16
44,1636517460198449152,2023-03-16 23:59:02+00:00,#MéxicoMásPobreConAMLO cero  obra pública pero super presupuestos a programas clientes telares para la compra de votos y obras faraónicas de fifi porque para el pueblo pobre no son @lopezobrador_  @lopezdoriga @latinus_us @GobiernoMX https://t.co/kEZX4KxTIy,ManuelG68628462
45,1636517458898042882,2023-03-16 23:59:01+00:00,"#MexicoMasPobreConAMLO no hay avances claros en beneficio de los pobres, quien decía defender al pueblo hoy disfruta abusando de el.",RubicitaVB25
46,1636517451281186822,2023-03-16 23:59:00+00:00,"Comerciantes cerrando sus negocios porque ya no hay para invertir todo está caro @lopezobrador_ los índices te ganan.
#MexicoMasPobreConAMLO",Javier23976366
47,1636517449255505920,2023-03-16 23:58:59+00:00,Queremos a un gobierno que dé verdad atienda las necesidades de pueblo de México #MéxicoMásPobreConAMLO https://t.co/LkIyWynzhv,MarioArrellano
48,1636517442271977472,2023-03-16 23:58:57+00:00,"#MéxicoMásPobreConAMLO Los precios están elevados y cada vez hay más desesperación por carencias económicas, ¿Dónde están los apoyos del gobierno para los que más necesitan?",BrunoYissel
49,1636517436618072064,2023-03-16 23:58:56+00:00,"#MéxicoMásPobreConAMLO 
La pobreza de todos y la riqueza de unos pocos",ANA23185658
50,1636517435955363840,2023-03-16 23:58:56+00:00,El pueblo de México está sufriendo de pobreza. #MéxicoMásPobreConAmlo,Berenic69216809
51,1636517434931961860,2023-03-16 23:58:56+00:00,"#MéxicoMásPobreConAMLO
México es un país en el que Obrador dice que vamos bien pero en realidad la pobreza aumenta cada día. https://t.co/rKLndJEbj0",TomsGuadarrama1
52,1636517430221770752,2023-03-16 23:58:55+00:00,"#MéxicoMásPobreConAMLO
Todo cambiaria?, estamos peor que nunca con la 4T",MiguelR22643079
53,1636517426367197184,2023-03-16 23:58:54+00:00,#MexicoMasPobreConAMLO es alarmante la cifra de cuantos pobres hay...y el gobierno morenista apoyando a los ricos,Laly23209877
54,1636517423984807936,2023-03-16 23:58:53+00:00,"#MéxicoMásPobreConAMLO
En México nada está bien, no somos un país feliz feliz, somos un país lleno de pobres.",FanyPeraltaHdez
55,1636517412630675456,2023-03-16 23:58:50+00:00,"#MéxicoMásPobreConAMLO Morena no sabe gobernar, el pueblo de México cada día más pobre",Marihernandezju
56,1636517411682758657,2023-03-16 23:58:50+00:00,"con este gobierno morenista mientras los ricos se hacen más ricos,los pobres más pobres #MéxicoMásPobreConAMLO https://t.co/LFgJtdh4wj",Maribel18404312
57,1636517411632607232,2023-03-16 23:58:50+00:00,"#MéxicoMasPobreConAMLO 
Pura demagogia fueron sus promesas",rolandoreyeslaz
58,1636517410365902850,2023-03-16 23:58:50+00:00,"#MéxicoMásPobreConAMLO
México tiene más pobres cada día... Ejemplos: Puebla, Chiapas, Veracruz, Guerrero, entre otros... https://t.co/3TTkE1hoCd",TomsGuadarrama1
59,1636517397090775041,2023-03-16 23:58:47+00:00,#MexicoMásPobreConAMLO basta de negligencias,DulceMa221277
60,1636517393974325251,2023-03-16 23:58:46+00:00,"Más pobreza y menos apoyos 
#MéxicoMásPobreConAMLO https://t.co/Tx0MP0t5yi",jazmnglez121
61,1636517383488647169,2023-03-16 23:58:43+00:00,En #Sinaloa le han pedido a @rochamoya_ su intervención para que los apoye para adquirí una vivienda porque #MéxicoMásPobreConAMLO https://t.co/k1AfHnen7V,IgnacioML1
62,1636517369710358533,2023-03-16 23:58:40+00:00,La crisis en el mudo esta dejando mas pobres y en #MéxicoMásPobreConAMLO mas de 7 millones de pobres se han sumado en lo que va del sexenio de la 4t https://t.co/Xhudyv73tl,Jeronimoavelio
63,1636517364463280133,2023-03-16 23:58:39+00:00,"México vive una tragedia y un desastre social debido al incremento de la pobreza en más de dos millones cada año de gobierno de López Obrador y Morena.
#MéxicoMásPobreConAMLO https://t.co/iA9uQMRAQ3",jgurrolag1
64,1636517358633115650,2023-03-16 23:58:37+00:00,"#MéxicoMásPobreConAMLO
Los mexicanos nos encontramos en la marginación total y nuestro gobierno morenista desviando nuestros impuestos en obras inservibles",AgripinaGomez5
65,1636517354581676032,2023-03-16 23:58:37+00:00,"#MéxicoMásPobreConAMLO
Pobreza y más pobreza hay en el país y con MORENA al frente no hay avances productivos.",HueskAya
66,1636517350378807296,2023-03-16 23:58:36+00:00,"El gobierno de López Obrador ha generado más pobres en el país. Necesitamos un gobierno que en verdad sea del pueblo.

#MéxicoMásPobreConAMLO https://t.co/9xLrIoFJ0k",JEmilioSoto
67,1636517349258850304,2023-03-16 23:58:35+00:00,"#MéxicoMásPobreConAMLO
. No más injusticia para la gente pobre de nuestro país la gente necesita de los servicios básicos para que pueda vivir bien y este gobierno lo niega https://t.co/OwK0KYEpcl",SergioG47492401
68,1636517343135137797,2023-03-16 23:58:34+00:00,#MéxicoMásPobreConAMLO y la carencia arriba el salario abajo,mso_837
69,1636517333031170050,2023-03-16 23:58:31+00:00,"#MéxicoMásPobreConAMLO La pobreza solo ha venido a ser una estrategia de AMO, para darles migajas a los más vulnerables y obligarlos a que voten x MORENA",MathIsrael
70,1636517332095995905,2023-03-16 23:58:31+00:00,México vive una tragedia y desastre social debido al aumento indiscriminado de la pobreza y desigualdad.   #MéxicoMásPobreConAMLO,jacquel21676132
71,1636517331454111745,2023-03-16 23:58:31+00:00,"Lo que pasa es que no se le entiende bien cuando habla; cuando decía ""por el bien de México primero los pobres"", lo que en realidad quiere decir es que prefiere más pobres.
#MéxicoMásPobreConAMLO",VicImperial24
72,1636517330212601857,2023-03-16 23:58:31+00:00,"#MéxicoMásPobreConAMLO 
Los mexicanos estamos inconformes de la forma de gobernar de Obrador ..estamos listos para un cambio https://t.co/eynrTiBhGn",Ulises79148769
73,1636517321526362118,2023-03-16 23:58:29+00:00,"#MexicoMasPobreConAmlo
El gobierno siempre debe de poner los intereses de los ciudadanos antes que los propios y este gobierno no ha logrado hacer eso, al contrario todo lo hace a favor y en contra de los ciudadanos",PalomaPalmaCeb1
74,1636517318292566016,2023-03-16 23:58:28+00:00,#MéxicoMásPobreConAMLO Más ignorante de la realidad de la 4T,ANA23185658
75,1636517318237773824,2023-03-16 23:58:28+00:00,En México los gobiernos cada vez son más corruptos #MéxicoMásPobreConAMLO https://t.co/7G947BqXmY,PabloYamCam
76,1636517317717929984,2023-03-16 23:58:28+00:00,#MéxicoMásPobreConAMLO sin condiciones dignas de vida. https://t.co/fMqiBwbryI,JuanUlisesOrtiz
77,1636517317508222976,2023-03-16 23:58:28+00:00,#MéxicoMásPobreConAMLO presume de grandes inversiones extranjeras pero los pobres siguen olvidados,AbelardoOlivar4
78,1636517317008932866,2023-03-16 23:58:28+00:00,#MexicoMasPobreConAMLO Necesitamos max seguridad,Caro_Rojas321
79,1636517298059251712,2023-03-16 23:58:23+00:00,"#MéxicoMásPobreConAMLO
19.5 millones de Mexicanos viven en
Situación de pobreza y con altos índices de carencias y presume de Bienestar https://t.co/SJUuXQ211L",Romanber23
80,1636517294166687749,2023-03-16 23:58:22+00:00,"Los apoyos directos en dinero, no resolverán la terrible miseria en que vive la inmensa mayoría de los mexicanos, es una política clientelar de la 4T  #MéxicoMásPobreConAMLO https://t.co/bbYSkkWMgM",EdnaHernandezR0
81,1636517290413035521,2023-03-16 23:58:21+00:00,"#MéxicoMasPobreConAMLO
No ha combatido la pobreza",rolandoreyeslaz
82,1636517289301364736,2023-03-16 23:58:21+00:00,"Morena engaña a los mexicanos. No es cierto que el pueblo viva mejor, el pueblo vive peor. 

#MéxicoMásPobreConAMLO https://t.co/smeXBErfgH",len_nely
83,1636517287996932097,2023-03-16 23:58:21+00:00,#MéxicoMásPobreConAMLO La 4T. No cuenta con estrategias para sacar a flote la economía del país,Marihernandezju
