,Tweet Id,Datetime,Tweet,Username
0,1637964902697508864,2023-03-20 23:50:39+00:00,"🎶 Oh, Fernando Alonso 🎶

La ilusión y la alegría desatada en el box de Aston Martin tras el segundo podio de la temporada para Fernando Alonso. 

#SaudiArabianGP 🇸🇦 https://t.co/3bP2b16zZe",1nfoFormula1
1,1637964447124684802,2023-03-20 23:48:50+00:00,"🇲🇽🔥¡Sonó el himno nacional mexicano en Arabia Saudí!🔥🇲🇽
Sergio ""Checo"" Pérez consiguió la victoria en el gran premio de Arabia Saudí.
El mexicano obtuvo el primer podio, mientras que su compañero de RB Max Verstappen quedó segundo, y Fernando Alonso tercero.

#SaudiArabianGP https://t.co/YG6GSYnqhm",IntraCancha
2,1637962480864440322,2023-03-20 23:41:01+00:00,"Yo creo que en esta temporada @SChecoPerez no va a ganar el campeonato, pero si aprenderá bastante y las condiciones se darán para que entre a su etapa más Prime. De esta forma podrá luchar un verdadero mano a mano la temporada que viene contra @Max33Verstappen

#SaudiArabianGP",kxngdemix
3,1637962258545352704,2023-03-20 23:40:08+00:00,"¡#karchez 🤍 HA EMITIDO en #Twitch! Nuestros datos 🧐 :

▶️ ESPECTADORES 👁️ : 1.570
▶️ MINUTO DE ORO 🔥 : 5.258 [20:56h]

#SaudiArabianGP #FoodDrink #F122 #JustChatting #ClashRoyale #Karchezzz https://t.co/JC2DJwWGlO",tvtop_es
4,1637958553943023617,2023-03-20 23:25:25+00:00,↗👀 #SaudiArabianGP es una nueva tendencia y esta en el lugar #10,TrendybotM
5,1637952364060499970,2023-03-20 23:00:49+00:00,"¡CONSECUENCIAS!

Tras la polémica generada con Fernando Alonso en el Gran Premio de Arabia, la FIA declaró que en la próxima asamblea buscarán aclarar el reglamento y evitar estos percances en el GP de Australia

#SaudiArabianGP #F1 #FIA https://t.co/wtfgyBtTPJ",TVCDeportes
6,1637951904339705857,2023-03-20 22:59:00+00:00,"#HumorF1 Al menos a Russell le queda el recuerdo de su trofeo en foto 🤭

#HumorRacing #F1 #SaudiArabianGP https://t.co/QbTCiVX0OM",dnaontrack
7,1637950551332642818,2023-03-20 22:53:37+00:00,"Importantes comentarios y reconocimiento se llevó el manejo y el carácter de @SChecoPerez en el análisis de la transmisión austriaca del #SaudiArabianGP, vía @ORF:

@ernie1c: Max rebasó a todos, solo contra @SChecoPerez no pudo hacer nada hoy, y eso puso a pensar a muchos de… https://t.co/XOvndrQpo6",PrimeF1__
8,1637948054862024705,2023-03-20 22:43:42+00:00,"#SaudiArabianGP No habló de que Max pasara de P15 a P2. Lo convirtió en un programa de Pérez solo por los problemas de Max. Puede convertirse en campeón mundial, pero solo si Max se retira 8 veces.",ton566
9,1637947839501221888,2023-03-20 22:42:51+00:00,"El plan 
#Alonso 
#Verstappen
#Checo 
#F1 #Jeddah 
#SaudiArabianGP 
#ElMagic https://t.co/BJLTLVVpKS",elfayuca
