,Tweet Id,Datetime,Tweet,Username
0,1638329599699320833,2023-03-21 23:59:49+00:00,"Tablazo de Murakami para igual el encuentro.

2⬇
#USA🇺🇸 1
#Japón🇯🇵 1

#Final
#WorldBaseballClassic",Viscaya55
1,1638329597572833281,2023-03-21 23:59:49+00:00,"Así me gustan los juegos de campeonato del #WorldBaseballClassic: reñidos...
Jonrón de aquí,  jonrón de allá.",felipegomez1960
2,1638329587183517698,2023-03-21 23:59:46+00:00,"Còmo se dice en otaku ???
YO TAMBIÈN DOY HOMERUNS 🇯🇵

#WorldBaseballClassic",NoelD97
3,1638329585778454529,2023-03-21 23:59:46+00:00,"Munetaka Murakami: 432 FT, conecta el 5to HR más largo del actual World Baseball Classic. 

Atacó el primer pitcheo de Merrill Kelly. Japón y Estados Unidos 1-1, baja de la 2da. 

#WorldBaseballClassic",francysromeroFR
4,1638329585380073472,2023-03-21 23:59:46+00:00,"¡Japón No perdió tiempo! ¡Jonrón de Munetaka Murakami para empatar el juego! ¡Al segundo piso! 

#WorldBaseballClassic | #ElExtrabase⚾️🇯🇵 

https://t.co/eVexs0v5Wd",ElExtrabase
5,1638329584440467457,2023-03-21 23:59:46+00:00,"¡MURAKAMI! ¡Japón lo EMPATÓ! 😱

#WorldBaseballClassic https://t.co/Ce6KjMEO6j",LasMayores
6,1638329580162363395,2023-03-21 23:59:45+00:00,Y el héroe de ayer por Japón Murakami pone el marcador 1 a 1 y la felicidad de EUA se apagó igual con 1 home run. #WorldBaseballClassic,kiyoshikiyota
7,1638329574504161280,2023-03-21 23:59:43+00:00,#Chavales @JLMendoza_ @Orlandomendez7 #YoVoyaUSA🇺🇸 de este #WorldBaseballClassic @piodeportes,Ivanmc
8,1638329566182756353,2023-03-21 23:59:41+00:00,"#WorldBaseballClassic | (2DA 🔽) ¡MURAKAMI! El japonés pega batazo y home run para empatar el encuentro 

🇯🇵 #Japón 1-1 #EstadosUnidos 🇺🇸

EN VIVO 🔴 https://t.co/RCgaChWVYo https://t.co/ew0XD8uzLd",laaficion
9,1638329552576339968,2023-03-21 23:59:38+00:00,"Concierto de hr's
Esto penas empieza #WorldBaseballClassic 
@hevz06 @faquirostejeira @ymbernal @ArquimedesJaenG @guscer23",luisc62
10,1638329549690732545,2023-03-21 23:59:37+00:00,"Cuadrangular solitario de Murakami, Japón 1-1 Estados Unidos #WorldBaseballClassic",alexisalbertom
11,1638329538378711047,2023-03-21 23:59:35+00:00,Al segundo nivel la bola de Murakami. Solo Home Run 1-1 el juego de pelota #WorldBaseballClassic https://t.co/qNLy7BLGE4,Elhalcon156
12,1638329528408834049,2023-03-21 23:59:32+00:00,MURAKAMI LA SACA DEL PARQUE Y  JAPÓN EMPATA EL JUEGO INMEDIATAMENTE!!🇯🇵🇯🇵🇯🇵 #WorldBaseballClassic,GioChaponan
