,Tweet Id,Datetime,Tweet,Username
0,1638329474507845633,2023-03-21 23:59:20+00:00,Cómo van con sus #floresamarillas ?,DamarisAl1
1,1638329463707410432,2023-03-21 23:59:17+00:00,"Dime que soy feo sin decirme que soy feo.

Quico.

😔😣 👇👇🤠🤠
#ElChavo #Quico #humor #humorNegro #floresamarillas #Espectaculos",RoalShock
2,1638329434657701889,2023-03-21 23:59:10+00:00,"Le dije a la vida.
Enséñame a entender mi vida.
Dame esa luz de esperanza
de no ser el mismo de siempre.
Enséñame, guíame; el resto depende de mí.✍️🤍

La postal que tomé hoy 👌🌻

#SiguemeYTeSigo
#floresamarillas 
#DiaMundialDeLaPoesia https://t.co/64EVlXumlh",H7sentidos
3,1638329279774638081,2023-03-21 23:58:33+00:00,"Me dieron mis flores 💐 ✨
#floresamarillas https://t.co/OYkIUvs5f5",Maru_CkY
4,1638328939293683712,2023-03-21 23:57:12+00:00,Soy hombre y también espero mis flores amarillas 🤷‍♂️.                                               #floresamarillas #BenitoJuarez #SaludMental #earthquake #UkraineRussiaWar https://t.co/mvp5rK6In5,matiasfons12
5,1638328777036972034,2023-03-21 23:56:33+00:00,"La primavera entró ayer pero descuida, a nosotros no se nos olvidaron tus flores.

Es más, ¡le agregamos unas deliciosas sorpresas!

Porque sí, nosotros sabíamos que tú sabías que algún día pasaría y vendríamos a buscarte con tus #FloresAmarillas. 🌼 https://t.co/aCL98QsrQ4",LoTuyoEsTuny
6,1638328749874716673,2023-03-21 23:56:27+00:00,"En ves de regalar  #floresamarillas invitala al
#EncuentroNacionalDeTeatro organizado por antorcha el cual  tendrá Cede en el municipio de Texcoco en el Estado de México https://t.co/vOrdvDVDVX",Abigailrt99
7,1638328277738700806,2023-03-21 23:54:34+00:00,"Muchas flores amarilla pero ajá hay que ponerse vivo jaja

#floresamarillas https://t.co/CYraUg1nEW",JorgeArbizu231
8,1638328249720733699,2023-03-21 23:54:28+00:00,"Mi mejor amiga me hizo una flor amarilla, Feli

#floresamarillas https://t.co/ldZCn5Uo0i",Dann_506
9,1638328236626128898,2023-03-21 23:54:24+00:00,X: ¿Cómo encontraste mi perfil si solo sabes mi nombre ?                                   Yo:                                                                                #you #YouNetflix #netflixandchill #netflix @YouNetflix @NetflixLAT #DiaMundialDeLaPoesia #floresamarillas https://t.co/q9Ia6WtK65,matiasfons12
10,1638328059995537410,2023-03-21 23:53:42+00:00,Buenas tardes Solecitos🌞 ustedes que hacen ?  Les mando saludos besos y bendiciones 🤗 #viral #fyp #foryou #parati #floresamarillas #Rubia #trend #Mexico https://t.co/X3jEmcqbY9,AlebeautyS
