,Tweet Id,Datetime,Tweet,Username
0,1638329632016543746,2023-03-21 23:59:57+00:00,el celestito y azul O EL RUBIO todos.,L0UGLDENSUN
1,1638329589809250304,2023-03-21 23:59:47+00:00,POR FAVOR ROMINA ABRAZANDO Y BESANDO A AGUS!!! Grito,AzulGasparri
2,1638329583769403394,2023-03-21 23:59:46+00:00,Activa La Fuerza Azul en el sector Las Moreas en Ciudad Bolívar,jlachacin
3,1638329414046957569,2023-03-21 23:59:05+00:00,"En el @Educacion_Ec cambian a cada rato las bases para poder ser profesor, uno se prepara para dar el examen y la sorpresa es que las bases son otras. Supuestamente duran 6 meses y aún no hay chance para clases demostrativas... Dice mi cuñada xq yo no soy profesor",ElSamuraiAzul
4,1638329405737975811,2023-03-21 23:59:03+00:00,"No me gusta dejar a nadie en visto, y cuando lo hago es por razones ajenas a mi, luego pido una disculpa y explico los motivos del visto, eso de dejar en azul y aparecer como si nada es tan ☠️.",SoyJesusCt
5,1638329304755912706,2023-03-21 23:58:39+00:00,Qué loco tener que empezar a mirar cositas para el año de Alfonso 🫣🫣,AzulLaustsen11
6,1638329293284491266,2023-03-21 23:58:36+00:00,escuché azul de zoé y fue de 💔🤧,freddycoronadov
7,1638329291715883011,2023-03-21 23:58:36+00:00,"“Ojos de perro azul”: la génesis literaria de Gabriel García Márquez https://t.co/xQcUjfJV9Z via @diariodepazcol 
Como Colombo-Americano me llena de orgullo nuestro Premio Nobel. Leer sus libros son una catarsis poetica,  Seductora.",leofutebol14
8,1638329276264062983,2023-03-21 23:58:32+00:00,"No pero ya en serio, ¿por qué me siguen tan poquititas mujeres allá? No entiendo.",Angie_cinnamon
9,1638329267363749889,2023-03-21 23:58:30+00:00,Tutaka Gao empató el juego,QuilleAzul
10,1638329191044136962,2023-03-21 23:58:12+00:00,Oyyyyyyyyy nonono lo bien que me hacee,azull_aloss20
11,1638329165773434880,2023-03-21 23:58:06+00:00,AZUL FLOJO QUE MANERA DE MIERDA DE DECIRLE AL CELESTE😭,percypads
12,1638329116289126403,2023-03-21 23:57:54+00:00,El que juega con fuego se quema dijo azul jajajaja,DaiaraPinero
13,1638329045619277826,2023-03-21 23:57:37+00:00,"#YoMeRebelo22M 
@rotrece denuncia a la que escribe en la opinión de Almería. Y denuncia la sartas de mentiras e insultos que vierte sobre ella y sobre su familia.
Yo también denuncio que @laopinionalmeria es un panfleto donde se permite insultos a la familia Flores Moreno. https://t.co/U6DcphqWJf",Marazulsiempre
14,1638328959912890368,2023-03-21 23:57:17+00:00,EL AZUL O SEA TIENE PERFECT SENSE YA ESTÁ,lxciao
15,1638328937901064193,2023-03-21 23:57:12+00:00,Amo mi carrera pero que complicado,pitufaazul_11
16,1638328933622980610,2023-03-21 23:57:11+00:00,JAJAJA perdón por incomodarte bro 😭 me da mucha ternura que si les lleven sus flores jaja aww https://t.co/pKd98jPMsy,azul_mrg
