,Tweet Id,Datetime,Tweet,Username
0,1637966374537515011,2023-03-20 23:56:30+00:00,"#Nacional | El presidente López Obrador señaló que los asistentes al mitin de este sábado “no eran un grupo de acarreados, que no sabe a qué va o a qué los llevan.” Aprovechó para, una vez más, desacreditar la última marcha en favor del INE.

Vía: @proceso https://t.co/7TCsgDcvfi",FerCanalesF
1,1637965700668039169,2023-03-20 23:53:49+00:00,"Jajaja fueron campesinos acarreados en camiones llenando el centro histórico y todo por 100 pesitos y un taco, y no fueron tantos como en el INE, la marcha del INE lleno el zócalo y todavía estaba lleno Av. Juárez y reforma hasta más allá del auditorio nacional.",salomonsosag
2,1637964606525014016,2023-03-20 23:49:28+00:00,"""Acarreados 2.0"" del @duendepregunton 
""Hola"" - la app que ahora utilizan los organizadores de #acarreos para marchas para dar cuentas a sus ""contratistas""
https://t.co/e4sy2RTgQ1",DolutskayaSofya
3,1637964310080102401,2023-03-20 23:48:18+00:00,"#MarchaDelArdor

He aquí DOS enormes VERDADES:

UNA, lo que es MUGRENA: puros pinch... engaños, como dice este hombre. 

DOS: muchos acarreados van por necesidad, como dice este pobre hombre.

Esta es nuestra REALIDAD POLITICA.

https://t.co/EoKeP5p2Rk",XavierArellano2
4,1637964209475428352,2023-03-20 23:47:54+00:00,"Ahh cabrón éste también trajo acarreados, se quedó con unos cuantos camiones de ayer?",sOOk1e69
5,1637963637548523520,2023-03-20 23:45:37+00:00,"La diferencia es que los acarreados llegaron desde muy temprano y tuvieron que esperarse ahí. 
Nosotros, llegamos a lo que fuimos, no a hacer picnic.",JohnMVazquezP
6,1637963489879773184,2023-03-20 23:45:02+00:00,"La marcha de acarreados en el Zócalo fue en defensa de Manuel Bartlett, acusa Marko Cortés @MarkoCortes @AccionNacional https://t.co/C9IMZ5YgfT https://t.co/lzzlU4Gbhu",hojaderutamexic
7,1637963281322110976,2023-03-20 23:44:12+00:00,"#Mexico 
El pueblo no son los acarreados que por obligación y/o conveniencia fueron a levantarle el ego a #AmloNarcoDictador",IrmaLeticiaRod3
8,1637963032901955592,2023-03-20 23:43:13+00:00,Y los 400 camiones de acarreados???,Macpatoni
9,1637962808695332866,2023-03-20 23:42:20+00:00,"Violencia que emana del orate del palacio, era parte del escenario!
Tanta seguridad porque no la descolgaron?
Hubo incendio y se hicieron los locos!
Quién de los acarreados iba a invertir en la estructura y la  botarga?  Tan imbéciles que creen que somos imbéciles.
#FueLopez",Meneptha1
10,1637962150479003651,2023-03-20 23:39:43+00:00,Acarreados por la pasión,josgandarias
11,1637962147924701185,2023-03-20 23:39:42+00:00,Así son los pendejelovers o acarreados.... https://t.co/mVLH1JmOuY,AdolfoPonce2
12,1637961656415264769,2023-03-20 23:37:45+00:00,"NO SE HAGA EL INGENUO  ""ESCUPE PARA ARRIBA""  TODA MOVILIZACION LLEVA ""ACARREADOS""

Denuncia PRD sobre cuotas que pidió Morena para trasladar a michoacanos al Zócalo - El Sol de Morelia | Noticias Locales, Policiacas, sobre México, Michoacán y el Mundo https://t.co/PiCfAr1U89",LicSergioCarri5
13,1637961502157312001,2023-03-20 23:37:08+00:00,"Siguen hablando de la marcha de acarreados con zona VIP que llenó el zócalo, la de INE llenó gratis el “zócalo” de todas las capitales de éste país 😉",alsnig
14,1637959906580918273,2023-03-20 23:30:48+00:00,"Según este caballero las personas que fueron a apoyar al INE sin acarreados.
Alguien tiene otra opinión?
Porque no logro que entienda que no hizo falta que ofrecieran frutsis y tortas.",SCOUTPINO
15,1637959638673924096,2023-03-20 23:29:44+00:00,Más acarreados?,AAB53588307
16,1637958660780593152,2023-03-20 23:25:51+00:00,"Según López Obrador las personas de clase media y alta, que conformamos en mayor medida los asistentes a las manifestaciones en defensa del INE, fuimos acarreados. 
Sí señor presidente, nos compraron con autos Tesla, Ferrari y Lamborghini. Pedazo de pendejo.",FLASHJOHNSTONE
17,1637958489996656640,2023-03-20 23:25:10+00:00,"La marcha de acarreados en el Zócalo fue para defender a Manuel Bartlett y la opacidad, acusa el PAN.
&gt;&gt;&gt;https://t.co/DiuUVOxZeY https://t.co/5MOLKwyGs5",RCMultimedios
18,1637958412121128961,2023-03-20 23:24:51+00:00,"A que derechangos tan doble cara, resulta que sin esos acarreados no regresan al poder.",constgs
19,1637957972675444738,2023-03-20 23:23:07+00:00,Reflejo de la realidad.  Todos dandole la espalda #acarreados #AmloElFracasoPresidencial https://t.co/svZf6FbMYw,MarianaGaA
20,1637957352883142658,2023-03-20 23:20:39+00:00,"https://t.co/tkyMjcYLNP
La gran mayoría:de los mexicanos aún LOS MILES DE ACARREADOS AYER EN LA CDMX en Zócalo comentaron de boca en boca/‘que si seria conveniente una VALORACIÓN  PSIQUIÁTRICA ! Que se había comentado en redes hace años !",asecinsaid
21,1637957232380747779,2023-03-20 23:20:10+00:00,"La marcha de acarreados en el Zócalo fue para defender a Manuel Bartlett y la opacidad, acusa el PAN.
&gt;&gt;&gt;https://t.co/3PAhOS9PAN https://t.co/4xsoqGOclw",MxRegeneracion
22,1637957199388450823,2023-03-20 23:20:02+00:00,"A los gabachos, la chusma y los acarreados! Pagan perras! Att. Kgg https://t.co/6m8QTYkoyj",safari_gg
23,1637955486128525315,2023-03-20 23:13:14+00:00,"La marcha de acarreados que se realizó en el Zócalo no fue para defender la soberanía nacional, sino tapar la corrupción característica de este gobierno encarnada en un solo hombre: Manuel Bartlett 
https://t.co/ig02QGLtrr",Efekto10
24,1637955374455091200,2023-03-20 23:12:47+00:00,"La manifestación de las tortas!! 
Así es como hace berrinche un presidente!!  🇲🇽
#acarreados #LopezObrador #tortas https://t.co/PbpbkyO12q",MavielaL
25,1637954994824441856,2023-03-20 23:11:17+00:00,"Y que no será por éso que lo hicieron?!
Sabían que no llenaban ni con acarreados!
Que su culto a un pendejo no se puede comprar con dinero y precisamente por éso lo hicieron.",atocatesta
26,1637954770529837058,2023-03-20 23:10:23+00:00,¿Y los “acarreados del Bienestar”? https://t.co/teTQalMhcG,RIMarroco
27,1637954694591946755,2023-03-20 23:10:05+00:00,"#Nacional 🇲🇽
López Obrador aseguró que en la conmemoración del 85 Aniversario de la Expropiación Petrolera del sábado pasado no hubo “acarreados”.

➡ Noticias
🌐 Ver en: https://t.co/57mileFof6",InPerfectoMx
28,1637954510562664448,2023-03-20 23:09:21+00:00,"Primero confirma que fueron acarreados los acarreados, luego quiso ser sarcástica y no le salió, ahora quiso mentir y no le salió.

Esto ya no es divertodo, es triste.",alexojiruga
29,1637953459478577154,2023-03-20 23:05:11+00:00,"Mira @lopezobrador_ tus acarreados proyectaron tu esencia, tu psicología, tu personalidad y modo de gobernar a rajatabla, serán acarreados pero escribieron tu historia. 😂 https://t.co/VUpNldxuGq",FranLuva_
30,1637952859516878849,2023-03-20 23:02:48+00:00,La diferencia de una concentración ciudadana y una de acarreados. #marchadelosnarcos #AMLOBurlaMundial #AmloFracasoPresidencial #CacasObrador #LopezCorruptoInepto #MarchaDelArdor #AcarreoDelBienestar #acarreados #MorenaCuevaDeDelincuentes #MorenaNarcoPartido #MorenaConMdeMuerte https://t.co/FBViWO6zxd,erikgmarrero
31,1637952468951744513,2023-03-20 23:01:14+00:00,"""Y la Geraldine, fue a la marcha de acarreados, se sento en la zona VIP FIFI, se grabó sobándose la panza viendo a tu esposo el kks fijamente..."" https://t.co/9cj7Kf6htg",idyetraniel
32,1637951911969304576,2023-03-20 22:59:02+00:00,SOBRE AMARILLOS PARA LOS ACARREADOS DEL PEJE AMLO CON MORENA? @lopezobrador_ @ASF_Mexico @SEDENAmx @FGRMexico @FiscaliaCDMX @CNDH @ONUMX @Claudiashein @martibatres @senadomexicano @Mx_Diputados @SCJN @SRE_mx O FUE CON DINERO DE LOS MEXICANOS https://t.co/PURq0IuY6O,Marcoan83955819
33,1637951868553895937,2023-03-20 22:58:51+00:00,Solita se echó de cabeza diciendo que todos fueron acarreados.,DonLaguardione
34,1637951604660875264,2023-03-20 22:57:48+00:00,"Es lo malo de recurrir a acarreados y amenazados para apuntalar tus ""logros de gobierno""...
Llegan, pasan lista y luego se largan dejándote hablando sólo como pendejo...",avgerstein
35,1637950795294597120,2023-03-20 22:54:35+00:00,"Así quedo de extenuada Citlalli Hernández después de rellenar el zócalo para el KKS, de acarreados, ahora tomándose un descanso https://t.co/CAkSvAAkN7",josexebex
36,1637949639209934850,2023-03-20 22:50:00+00:00,"Marko Cortés, afirmó que, con la concentración de acarreados en el Zócalo, López Obrador busca proteger a Manuel Bartlett, titular de la CFE.
https://t.co/NmpY6lgPLN",RicardoAlemanMx
37,1637948168582098946,2023-03-20 22:44:09+00:00,https://t.co/rXeXWOM4CK Siempre estarán tratando de minimizar y de manchar Las grandes e inigualables reuniones de los verdaderos mexicanos en El Zócalo la diferencia q Cuando nos convoca el Presidente somos acarreados por convicción y voluntad propia no se nos paga cuota Saludos,JoseRob01035113
38,1637947862473662464,2023-03-20 22:42:56+00:00,A puras penas juntaron 80  mil personas y además de que son acarreados jajajajajajajajjaj,JavierB21039253
39,1637947480275812352,2023-03-20 22:41:25+00:00,"Y mientras  acalambró O LES METIO SUSTO a todos los narcos para que aportaran acarreados a su marcha ""nacionalista"" ADEMÁS DE QUE LES PAGARAN $$$  O COMPRARAN PERIODISTAS, YOUTUBERS, como el arbano$$$ @AlfredoJalife   propaganda, etc LA COSA ES VERSE SOBERBIO POLITICAZOOOOOO.",Kalimannnnnnn
40,1637946432945782784,2023-03-20 22:37:15+00:00,"EL CINISMO E IGNORANCIA..!
El presidente Andrés Manuel López Obrador aseguró que en la conmemoración del 85 Aniversario de la Expropiación Petrolera del sábado pasado no hubo “acarreados”.
 y destacó la participación..!

https://t.co/GQepDaVxOh",DcCasarrubias
41,1637946243371393025,2023-03-20 22:36:30+00:00,"Mostrar el músculo, por Ana María Olabuenaga @olabuenaga:
Fuera máscaras y fuera camisas para con ello poder lucir los bíceps, tríceps y deltoides bien aceitados. Sí, les vamos a pagar para que vengan, acarreados o como sea, dijeron algunos legisladores y
https://t.co/R2CvrqZ4S4",leogomeznavas
42,1637946024600961024,2023-03-20 22:35:38+00:00,Encuentra las diferencias como dejamos  los que defendemos el INE y los acarreados del  morenarco https://t.co/eU9gJvSUqL,dragonasylum99
43,1637944972069556226,2023-03-20 22:31:27+00:00,"Vi la zona BIP (🤭) de la marcha de acarreados y no vi a @euripidesf 

ni el mamarracho de palacio sabe de su existencia https://t.co/gKXAwkfKZS",Havishamst
44,1637944910736412675,2023-03-20 22:31:12+00:00,"#ULTIMAHORA
No hubo acarreados en marcha del sábado 18 de marzo: @Claudiashein https://t.co/DI1B7QjnDT vía @2egundo_piso",2egundo_piso
45,1637943818770169859,2023-03-20 22:26:52+00:00,"Dicen los diputados que a los mexicanos no nos costó ni un peso la marcha del oprobio, que dieron de su dieta para pagarle el viaje a los acarreados.
Y adivinen de dónde sale la dieta de estos cabron3s?
Una pista: empieza con nosotros y termina con los mexicanos.",El_Covben
46,1637942032382717952,2023-03-20 22:19:46+00:00,"‼️AMLO agradece a los asistentes al zócalo; descarta acarreados, como sí lo hizo el PRIAN para ‘defender’ al INE

https://t.co/BhDOYmKb25",chayitomoguel1
47,1637940293134589952,2023-03-20 22:12:51+00:00,"No existió tal quema @lopezobrador_ o queremos pruebas de que haya sido así.
Es más ni basura hubo, todos cargamos con nuestra basura y no la andamos dejando ahí como sus acarreados.",Vik_gzzz
48,1637940055384682504,2023-03-20 22:11:55+00:00,"Mezcla de seguidores y acarreados de @PartidoMorenaMx dejando su huella en el Zócalo de CDMX (marcando territorio).

NO SOMOS IGUALES!

...

Por suerte,

#YaSeVan https://t.co/I3u8JdvOoQ",inakibasauri
49,1637938716583899139,2023-03-20 22:06:36+00:00,"La diferencia entre el mitin en defensa del INE y los cerdos acarreados de Obrador, aquí se nota el nivel académico y educativo del pueblo bueno del Dictador, se entiende, fueron pura mascota croquetera de Obrador, el Zócalo ayer convertido en un enorme chiquero de cerdos https://t.co/Ag6YEQGZFF",DamienKarras7
50,1637937908328939520,2023-03-20 22:03:23+00:00,Asi se las gastan los acarreados de AMLO,rubenre77334614
51,1637937879543435264,2023-03-20 22:03:16+00:00,"🔉 #Entérate | El presidente @lopezobrador_ aseguró que los miles de asistentes 👥📢 al mítin del sábado con motivo de la #ExpropiaciónPetrolera no fueron acarreados, sino el ""pueblo consciente"" al que convocará 🗣️ a más movilizaciones.
https://t.co/UKa15QmrpH",angulosiete
52,1637937667802378242,2023-03-20 22:02:26+00:00,"Lamentable que muchos partidos de oposición denigren al pueblo por ir a una marcha diciéndoles acarreados, borregos etc.. y después y andan pidiéndoles el voto.",omarbarrera
53,1637937408959303681,2023-03-20 22:01:24+00:00,"🔴 ¿Acarreados? Esto dijo AMLO sobre los asistentes a evento en el Zócalo
https://t.co/uPGmnKsUoS",Norzagaray
54,1637937345185058816,2023-03-20 22:01:09+00:00,"Ni que fueran pseudo seguidores de tu epn o tu cacalderon, ello si eran acarreados con torta y frutsi!! Hay niveles buey pseudoteacher 🤪🤪🤪🤪🤪🤪",MarthaNavaGmez1
55,1637937081694449665,2023-03-20 22:00:06+00:00,"Ay Don Epi, ya está chocheando re gacho, si son acarreados nadie fue por su voluntad, es decir, su revolución sólo existe en su demencia senil.",lajuanjota
56,1637937056096862209,2023-03-20 22:00:00+00:00,"López Obrador (@lopezobrador_) negó que haya habido acarreados en la marcha del pasado sábado en el Zócalo de la CDMX.

https://t.co/nd1kgtAKFq",CentralEq
57,1637936880116436993,2023-03-20 21:59:18+00:00,"Y dicen que no son acarreados, por 200 pesos 🤦🏼‍♀️",delibergace
58,1637936110948225024,2023-03-20 21:56:14+00:00,"Estos chairos Pagados por el gobierno deberían de estar contentos por su zócalo lleno de Acarreados, y no ardidos por lo que escribió Margarinflas, Calderón etc. 🤣🤣🤣",espinozagerardo
59,1637936049182900225,2023-03-20 21:56:00+00:00,"AMLO (@lopezobrador_) afirma que no hubo acarreados ""como los del bloque conservador"" en Zócalo de #CdMx 

https://t.co/TdZ21w24HS https://t.co/pMwTxDJP3L",Milenio
60,1637935848791453705,2023-03-20 21:55:12+00:00,"Pero eso sí, se  llenan el h0cik0 de decir que ellos no tienen acarreados",clelsahe76gmai1
61,1637935736950333441,2023-03-20 21:54:45+00:00,Ni con acarreados lo llena 🤦🏼‍♂️🤷🏼‍♂️🤣😂 @CitlaHM @velazquezpaul @lordmolecula @carlospozossoto @sandyaguilera @MarcoA_Olvera @NachoRgz @Hans2412 @EderGuevaraM @abrahamendieta @rochaperiodista @SinLinea_Mx @elgatopolitico_ @juncalsolano @jgnaredo @_VicenteSerrano @FreddyOliviery 💪🏻💪🏻 https://t.co/cN3wIfYtk0,zuaj
62,1637935718537232385,2023-03-20 21:54:41+00:00,Cómo se sentirán los acarreados de López Obrador cuando López Obrador dice que no hubo acarreados. Seguirán tragándose sus mentiras o entenderán que LÓPEZ OBRADOR ES UN GRAN MENTIROSO y se les quitará lo pndjo?,Mrsalazaro
63,1637934978209128458,2023-03-20 21:51:44+00:00,"En ACARREADOS y CHAYOTEROS, AMLO se GASTÓ MILLONES: lo que NO QUIERE que... https://t.co/GVGJxR34cn via @YouTube",semidios
64,1637934168758980608,2023-03-20 21:48:31+00:00,Aquí están las pruebas de los acarreados de Chiapas https://t.co/uSkEpss4Ot,EnriqueSuner1
65,1637934083157413894,2023-03-20 21:48:11+00:00,y ya con las marchas de acarreados bajara elprecio de la gasolina la inflacion el dolar el crimen la impunidad los desaparecidos los migrantes la ppobreza creciente ???????,MardukVenosa
66,1637933794920374278,2023-03-20 21:47:02+00:00,"Dice el viejo wango que es un pueblo entero que quiere hacer valer sus derechos 🤣🤣🤣
No es un grupo de acarreados que NO saben a que VAN 🤣🤣🤣 

Andrea siempre los trae engañados 🤣🤣🤣 desde su eterna campaña @HijosDeMx 

Y por último ya que cobraron se van y lo dejan Solo 🤣 https://t.co/fDyYNaiVHn",ElYaquito007
67,1637933225409642499,2023-03-20 21:44:46+00:00,"Lo dejan solo , se ve que poco les importa también una marcha del EGO del viejo...muchos se enojaron porque no les pagaron !..ahí vemos que no todo lo que brilla es oro !!..ni todos los acarreados quieren al gobierno ! Menos a @lopezobrador_ ! https://t.co/q7oSbw4mAR",PilyPalacios131
68,1637932724055863297,2023-03-20 21:42:47+00:00,"Gastar MILES de pesos, CIENTOS de acarreados al zócalo, DECENAS de horas invertidas para dar tu mensaje, y que UNA persona te robe el protagonismo de toda UN día nulificando tu mensaje con NINGUNA palabra del suyo. Eres mala @GeraldinePonce_
Ya te perdonó tu sugar-presi?

🔄 o ♥️",0pinoXquePuedo
69,1637932011859091456,2023-03-20 21:39:57+00:00,"Además de acarreados, cochinos.",LOMMX
70,1637930018973315073,2023-03-20 21:32:02+00:00,"Mexicana valiente que defiende al pueblo, no como los acarreados de los fifis que no sabedn a que los llevaran a marchar.",boa4818
71,1637929734737625089,2023-03-20 21:30:54+00:00,"AMLO agradece a los asistentes al zócalo; descarta acarreados, como sí lo hizo el PRIAN para 'defender' al INE https://t.co/Q2mOA7RoHG a través de @SinLinea_Mx",JSBG31
72,1637929701095411713,2023-03-20 21:30:46+00:00,Gracias @CandeOchoaA por aclarar que todos fueron acarreados.,CResendiz_Bob
73,1637928933923454983,2023-03-20 21:27:43+00:00,"Jajajaja, dice el y ""brillante"" presidente de #Mexico que no hubo acarreados, que todos estaban informados  y que fueron por convencimiento y por su voluntad. Y tambien aceptaron hasta $500 por acarreado y la cuenta para los choferes de los camiones que trasladaron al ""ganado""?",sergiomendozare
74,1637928904915656706,2023-03-20 21:27:36+00:00,"Sigue pensando @lopezobrador_ que tua acarreados del Bienestar te apoyan 
😂😂😂😂 https://t.co/BATSGOerj1",pbperito
75,1637928591622119424,2023-03-20 21:26:22+00:00,Nosotros no llevamos acarreados... https://t.co/BmDUGdO97h,mangelacosta
76,1637925682758967298,2023-03-20 21:14:48+00:00,"Si la juventud quiere practicar box, va a estar difícil por las condiciones en que se encuentra este espacio del Deportivo Carmen Serdán. Pero es más importante llevar acarreados y difundir mentiras @TuAlcaldiaGAM @fchiguil @VanConstruyendo https://t.co/fMRm1kDno6",lrchdz
77,1637925139915440128,2023-03-20 21:12:39+00:00,"¡LOS ACARREADOS SON UNOS COCHINOS! 🥳

Así se comportaron los seguidores de López en su mitin del ego.🙈🤮 https://t.co/nF0T1OFgM1",_ryo_hermoso
78,1637924573759913989,2023-03-20 21:10:24+00:00,"Lleno ???
😂😂😂😂😂
Puros acarreados !!!!!",_yo_soy_jp
79,1637923752381157377,2023-03-20 21:07:08+00:00,"En India se burlan q #AmloElFracasoPresidencial evade su responsabilidad del fentanilo y sermonea q los gringos deben abrazar más a sus hijos!
El mismo hipócrita que gasta nuestros impuestos en llevar acarreados al zócalo y ataca a la ministra Norma Piña de la SCJN...
#FelizLunes https://t.co/lDA7xBp61a",RICARDOJN14
80,1637923598479552512,2023-03-20 21:06:31+00:00,"Asistentes a mitin mostraron respaldo a su gobierno, dice AMLO y asegura que no hubo acarreados

Los conservadores son quienes acarrean personas a sus concentraciones políticas, acusa el presidente
https://t.co/qskSYtiLOp",elsurdeguerrero
81,1637923236192083973,2023-03-20 21:05:05+00:00,Pues acarreados… https://t.co/XefVIA1hut,zeepedaa
