,Tweet Id,Datetime,Tweet,Username
0,1638329513338716160,2023-03-21 23:59:29+00:00,Viene Alicia Keys 😱😱😱😱,jessycollao
1,1638329101260935169,2023-03-21 23:57:51+00:00,"Alicia Keys, anunció fechas de 2023 en Latinoamérica para continuar con su gira mundial Alicia + Keys. Visitará  México en  Monterrey, Ciudad de México y Guadalajara el 14, 17 y 19 de mayo, respectivamente.

Gran Venta HSBC: 27 de marzo
Venta General: 28 de marzo https://t.co/8kmHF2e19o",LoIntelecM
2,1638328775401254913,2023-03-21 23:56:33+00:00,"nooo, #aliciakeys tt.  lo primero que pensé fue que había muerto",medauncafecito
3,1638328255714295808,2023-03-21 23:54:29+00:00,"Me frusta que los The weeknd , Drake y Alicia Keys pasen por colombia y que Panama no sea concert option  🥲",FMartinez1661
4,1638326207694372864,2023-03-21 23:46:21+00:00,Llévenme a ver a Alicia Keys,aagoonia
5,1638326140983975937,2023-03-21 23:46:05+00:00,"La casa de Alicia Keys, es la inspiración detrás de la casa de Tony Stark en las películas de Iron Man https://t.co/zZzECvUM1r https://t.co/CT4bQlnF6M",ADMEXICO
6,1638326046889213952,2023-03-21 23:45:42+00:00,"#Chécalo | La famosa cantante y compositora estadounidense Alicia Keys anunció que vendrá a Guadalajara como parte de su gira
https://t.co/q32VVID3tV",ELOCCIDENTAL
7,1638325365914345472,2023-03-21 23:43:00+00:00,ALICIA KEYS VIENE A ARG QUE,minimanomaxima
8,1638325322868203520,2023-03-21 23:42:50+00:00,"#AliciaKeys se embarcará en Alicia + Keys World Tour 2023, incluida una parada en Bogotá https://t.co/8axJGsq6Pu",SomosFancom
9,1638323261833465859,2023-03-21 23:34:38+00:00,"Que yo tenga que ir mañana al Movistar por trabajo mientras pensaba en comprar hoy Alicia Keys, CLARAMENTE es una señal. Y si no lo es, me da igual jajajajajaj, se registra como señal.",QueCarachass
10,1638322963287007232,2023-03-21 23:33:27+00:00,Alicia Keys 🥲,adrianamrb_
11,1638322693173813248,2023-03-21 23:32:23+00:00,viene Alicia Keys y necesito que cante A Woman’s Worth,MasiBlack
12,1638322184752865284,2023-03-21 23:30:22+00:00,"AfterLife, Kudai, Alicia Keys. Armando, necesito 5 millones de pesos en Mayo",lejandroholguin
13,1638319828116340739,2023-03-21 23:21:00+00:00,Alicia Keys regresa a Chile con show en el Movistar Arena https://t.co/Hel3Xv4N6W,CultoLT
14,1638319571819016192,2023-03-21 23:19:59+00:00,Ya me vi en El concierto de Alicia keys no tengo boletas pero tampoco dudas 💘,Lavirreinaa
15,1638319567398137856,2023-03-21 23:19:58+00:00,"La diosa #AliciaKeys inicia su Word tour 2023 y la tendremos en chile este próximo 9 de mayo en el Movistar Arena 🤩👏🏻 

Puedes adquirir las entradas por #PuntoTicket 🎫🎟️",ae_radio
16,1638319165160267776,2023-03-21 23:18:22+00:00,Ahora que la #Soulfia me telonee a #AliciaKeys 💖,refisoul
17,1638318942082027524,2023-03-21 23:17:28+00:00,Es una Pasiva siendo la mejor canción de Alicia Keys 💀💀,Santiago_GB2
18,1638318702029307905,2023-03-21 23:16:31+00:00,"Ya pasó Drake,se viene Wu-Tang en unos días y encima me entero recién que vuelve mi queridísima Alicia Keys 💘 ...mi yo adolescente está sonriendo",tkbqtakb
19,1638318269210796035,2023-03-21 23:14:48+00:00,"Nada que ver, pero me puso contento que vendra Alicia Keys y obvio ire a verla. No todo el tiempo se canta girl on fire o fallin",IsMyShitt
20,1638318171592568834,2023-03-21 23:14:25+00:00,"Se burlan que Alicia Keys tiene 5 fans en Colombia, pero el día que viene su artista fav no tienen un peso para ir. Besos Shak.",CeMancera
21,1638317303728095235,2023-03-21 23:10:58+00:00,"#CONFIRMADO: ¡¡@aliciakeys por primera vez en Colombia 🇨🇴!!

La artista neoyorquina llegará con su ""Alicia+Keys World Tour 2023"" y se presentará el próximo 11/May en el @MovistarArenaCo de Bogotá.

Boletas a la venta en @Tuboletaoficial. https://t.co/lM6kPjmvNg",colconciertos
22,1638317017542393861,2023-03-21 23:09:50+00:00,Alicia keys viene para Colombia🥺😍,Disovier9
23,1638316754643345409,2023-03-21 23:08:47+00:00,Alicia Keys llega a Chile con su gira mundial «Alicia + Keys»: 9 de Mayo en Movistar Arena https://t.co/0klEkXT8NH,parlantecl
24,1638315905275797504,2023-03-21 23:05:24+00:00,"Si Alicia Keys vuelve a la Argentina, significa que existen chances para que venga John Legend 🙆‍♀️🙌",Rochi_ICorrea
25,1638315824271245313,2023-03-21 23:05:05+00:00,"Wu-tang, Zion &amp; Lennox, The Weeknd, y ahora Alicia Keys...Todos se presentarán en los siguientes meses, quien se aburre en Santiago es porque quiere 😊",Ale_Daleeeee
26,1638315592498180102,2023-03-21 23:04:10+00:00,"Que pasada de lanza Alicia keys que anuncia que viene en menos de dos meses. Osea te amo, pero te pasas reina.",loopsborbo
27,1638315532096004098,2023-03-21 23:03:55+00:00,Alicia + Keys @ANXIETYlKEYS,m4rzelle
28,1638315336251453443,2023-03-21 23:03:09+00:00,Oigan @aliciakeys es 😍😍😍😍😍😍 superior en muchos aspectos y que si la iré a ver ? Claro que SIII así sea sola 😍 espero que pronto sea el turno de @thegreatkhalid,moliloli27
29,1638315102054100992,2023-03-21 23:02:13+00:00,Alicia Keys: dónde y cuándo será el show porteño de la talentosa cantante https://t.co/HByal3bdB3,EstiloBoca
30,1638314980389912578,2023-03-21 23:01:44+00:00,"pregunta seria, quien penso que alicia keys en colombia era una buena idea?",Snakesa7
31,1638314757584465921,2023-03-21 23:00:51+00:00,"Cinéfilos!! Debido a la demanda, el icono global de la música y ganadora del GRAMMY, #AliciaKeys anunció las fechas de 2023 para continuar con su gira mundial Alicia + Keys, producida por #LiveNation y #OCESA. 🍿🌐

+Info: https://t.co/ZmNa8WzSwe 🎟️🎶
¿Qué les parece? https://t.co/7oe2UDVsff",Cinemaniaticos1
32,1638312523815350273,2023-03-21 22:51:58+00:00,"Viene Alicia Keys a Argentina, la entrada más barata 32000$!!!!! Help",marticuadradoYT
33,1638312386116329472,2023-03-21 22:51:25+00:00,Alicia Keys en Colombia😀,juanchoparada
34,1638312080636887041,2023-03-21 22:50:13+00:00,".@aliciakeys no solo tendrá una fecha, sino que llega a #México con tres conciertos, por lo que tendremos a la cantante del 14 al 19 de mayo, siendo #Monterrey #CDMX y #GDL los lugares a los que llegará. 🎶💃 https://t.co/buGzv2SAgW",QuePlanenMty
35,1638311720203567104,2023-03-21 22:48:47+00:00,Alicia Keys en argentinaaaaaa queeeeee,kpldrey
36,1638311328627453953,2023-03-21 22:47:13+00:00,"Nea, Alicia Keys en Colombia, khe.",PabloRamizG
37,1638311266656702465,2023-03-21 22:46:58+00:00,"a mi papá le gusta alicia keys y le dije que fuéramos y salió con  y tu cuando me has invitado, porque tengo que invitarte? LJSDFLKSDJFse dio color",laurinahstwerk
38,1638309284273348610,2023-03-21 22:39:06+00:00,Como que viene Alicia Keys a Argentina 😳. Mori 😍,ManesEric
39,1638308663331831812,2023-03-21 22:36:38+00:00,"Alicia Keys vuelve a la Argentina

¡Nota completa! 👇🏻 https://t.co/kF89JpDQYV",Roanabelbenitez
40,1638308158849286147,2023-03-21 22:34:38+00:00,VIENE ALICIA KEYS A CHILEEEEEEEE GRACIAS VIDA,maiteeaph
41,1638308136871157760,2023-03-21 22:34:32+00:00,Alicia keys estará en 😲🇨🇱!!,Jeannet25516216
42,1638307652244570113,2023-03-21 22:32:37+00:00,Llévenme a ver a Alicia keys por favoroooorrr 🥹😭😭,PsalmRasheed
43,1638305798085386242,2023-03-21 22:25:15+00:00,Mañana por la entrada a Alicia Keys. La vez pasada no fui porq era pobre jaja,Liz_Colochoazul
44,1638305305673998341,2023-03-21 22:23:17+00:00,"Viene Alicia Keys, los que significa que es hora de vender la sangre. https://t.co/6OhrMkBYGL",PostBluh
45,1638304725945798656,2023-03-21 22:20:59+00:00,"Alicia Keys tendrá concierto en Colombia por primera vez: fecha y boletas.

🔴 La cantante estadounidense cuenta con más de diez premios Grammy a sus 42 años. Véalo acá ► https://t.co/jAEK2QCEU9 https://t.co/Pgq7pW1pqU",Citytv
46,1638304394407026688,2023-03-21 22:19:40+00:00,mañana salen a la venta las entradas para la kween @aliciakeys a ver si los acaparadores de mierrrr dejan algunaaaa,flopirodrigueza
47,1638304232653705219,2023-03-21 22:19:01+00:00,Iría al concierto de Alicia Keys única y exclusivamente para escuchar en vivo “Empire State of Mind” y llorar desconsoladamente recordando el mejor verano de mi vida.,diganmedaniel
48,1638304012570173441,2023-03-21 22:18:09+00:00,y Venezuela alicia keys 🇻🇪? 😭 https://t.co/VAfOjj4LX2,juandavidrrz
