,Tweet Id,Datetime,Tweet,Username
0,1637967159690133504,2023-03-20 23:59:37+00:00,"Día Internacional de la Felicidad, como diría @johnlennon , Happiness Is a Warm Gun. https://t.co/XNQGR1IXn8",jaap03
1,1637967075179216897,2023-03-20 23:59:17+00:00,"🏆 El 'Club de los 100 Podios': estos son los pilotos que lo conforman.

191 🇬🇧 Lewis Hamilton
155 🇩🇪 Michael Schumacher
122 🇩🇪 Sebastian Vettel
106 🇫🇷 Alain Prost
103 🇫🇮 Kimi Raikkonen
100 🇪🇸 Fernando Alonso 

✒️ RG Internet Press https://t.co/qkEJwAJMf3",RGINTERNETPRESS
2,1637967056380526592,2023-03-20 23:59:12+00:00,"Frontier, esa generación nueva, Tacoma tiene más de diez años solo con actualizaciones pero sin una una generación y eso se nota en espacio, manejo y equipo",Lonso0
3,1637966728507559937,2023-03-20 23:57:54+00:00,"Es muy bueno, acabados, el motor es genial, solo no esperes mucho espacio o que sea rudo, un Vento es más para terracería que un 2008",Lonso0
4,1637966687231176704,2023-03-20 23:57:44+00:00,"Este viernes, hacemos reestreno revancha contra EDESUR 🦂 con fiestaaaaa para perrear fuerte en Planta Inclán. ¿Quien viene? https://t.co/4VMVqO2x4Y",Aynoteaguanto
5,1637966677437448192,2023-03-20 23:57:42+00:00,La productora argentina Victoria Alonso dejó Marvel Studios luego de 17 años - Infobae https://t.co/vAlDWsD3m3,OpyMorales
6,1637966661230776320,2023-03-20 23:57:38+00:00,Alonso lo borro  a Ruglio y Peñarol queda fuera del ejecutivo de la AUF.,Tincho_Camargo
7,1637966600006426625,2023-03-20 23:57:24+00:00,"¡Un muy Feliz Cumpleaños para @paolina100!  ¡Pásala bien, Paola!",anapoima1984
8,1637966531110871040,2023-03-20 23:57:07+00:00,"del barco de Emmanuel Ojeda no baja nadie, silencioso pero cumplidor",LizamaLdea_RM
9,1637966510030311425,2023-03-20 23:57:02+00:00,"¡Un muy Feliz Cumpleaños para @Nat__CV!  ¡Pásala bien, Natalia!",anapoima1984
10,1637966474949058562,2023-03-20 23:56:54+00:00,Hay cosas tan deliciosas como estas que no deben dejarse de ver.,eh_loncho
11,1637966421492744192,2023-03-20 23:56:41+00:00,Se me ponen los pelos de punta cada vez que escucho las maquetas del disco que estamos haciendo,alonsogs_tw
12,1637966360503533569,2023-03-20 23:56:26+00:00,"#LaCasaDelBeisbol saludos a Tijuana Familia López Espinoza, excelente transmision...",Byjems18
13,1637966308137394178,2023-03-20 23:56:14+00:00,#LaCasaDelBeisbol vamos México por el pase a la final https://t.co/C0QhL2F5qj,jesusalonsodm84
14,1637966251849928704,2023-03-20 23:56:01+00:00,Wey quiero tatuarme jajaja,alonsomeendez
15,1637966214214426624,2023-03-20 23:55:52+00:00,"Comienzan a salir verdades detrás del despido de Victoria Alonso. Al parecer ella es la responsable del ambiente tóxico detrás de los efectos de las películas de #MarvelStudios, premiando a los que la obedecían ciegamente y arruinando las carreras de otros. 

Vía Chris Lee https://t.co/fhaLCfgEZr",MovieUshermx
16,1637966111571320833,2023-03-20 23:55:27+00:00,"FRANCIA.

Bien haría el actual Gobierno francés en sentarse a dialogar con su Pueblo, y hacerlo pronto.",TomasHugoAlonso
17,1637966048732364800,2023-03-20 23:55:12+00:00,"Que se sepa, en el último periodo tenían un 17% de asistencia... 😅",YerkoAlonso_
18,1637966032856838145,2023-03-20 23:55:08+00:00,"14-8-1984
Olarticoechea, Nicosia, Borelli, Gay y Teglia. - Gallego, Enrique, Alfaro, Francescoli, Alonso y Gordillo.
Estadio Luis Casanova - Valencia. https://t.co/iqtllhQpLH",ElFeoyelBeto
19,1637966022664749057,2023-03-20 23:55:06+00:00,Este pequeño momento se llama felicidad,alonsorivera14
20,1637966018751373320,2023-03-20 23:55:05+00:00,"Matias Vidangossy alcanzó a estar 22' en Arica, en el partido de San Marcos vs San Luis. Sacadisimo y al borde de la expulsión, estos los motivos para que Bozan lo saque y cuide el 11vs11.",BALONso__
21,1637965968172351488,2023-03-20 23:54:53+00:00,"De último momento: El medio Vulture da más información sobre la salida de Victoria Alonso de Marvel Studios:

“Victoria fue particularmente responsable del ambiente de trabajo tóxico dentro de los departamentos de VFX de Marvel."" https://t.co/Qmzzow1mbM",JonhMonge117
22,1637965942113042432,2023-03-20 23:54:47+00:00,"Álvaro muy grande, has sido una nóminacion fácil para tu equipo, que o se dan cuenta quién es su equipo o lo pasarán mal, 
#conquis10ETB",Manu_M_Alonso
23,1637965931992293376,2023-03-20 23:54:44+00:00,Abro hilo de personas con las que me he besado en la peda,FannyAl_21
24,1637965910307749888,2023-03-20 23:54:39+00:00,La mente divagante (La mente del mono) Por Braulio Jatar https://t.co/vlG1jVQT4Z,BraulioJatarA
25,1637965836596965379,2023-03-20 23:54:22+00:00,"Alonso es buena opción, pero está por delante de Raúl??? Lo de Tuchel no lo veo tan claro...",jeacostar28
26,1637965722096640000,2023-03-20 23:53:54+00:00,mi estabilidad emocional depende de 9 weyes en un diamante,fcoalonsordz
27,1637965719844405250,2023-03-20 23:53:54+00:00,"“Guardiola es malo, Mourinho es bueno.” “Xavi es malo, Xabi Alonso bueno.” Un patron que viene desde traumas del pasado y que es bastante predecible.",Hanielspinetti
28,1637965716111474688,2023-03-20 23:53:53+00:00,"¡HERMOSA LA ÉPOCA CALDERÓNICA, CON LA POLICÍA FEDERAL INUNDADA DE DELINCUENTES!.
¡PRECIOSOS TIEMPOS AQUELLOS!.

A mediados del mes de noviembre de 2014, TODA la policía federal destacamentada en el sur de Tamaulipas, toda, estaba vinculada con los delincuentes",TomasHugoAlonso
29,1637965663451922442,2023-03-20 23:53:40+00:00,Como cuando dios te da el don de la es¡AY ESPERA QUE DIOS NO EXISTE!,MandyMiau
30,1637965530500939777,2023-03-20 23:53:09+00:00,Libertad y orden https://t.co/yoOH1J05QG,germanalonsoRe2
