,Tweet Id,Datetime,Tweet,Username
0,1637967243769262080,2023-03-20 23:59:57+00:00,"pedazo de escritorio había en el despacho no?
*procede a barrer con su brazo los 40m² de escritorio y tirar al suelo todo a su paso
eso solo pasa en América, no os preocupéis",_jota_ortega
1,1637967209254330368,2023-03-20 23:59:49+00:00,Jajaja 🤣 me parece que hasta a hora es el mejor presidente de América Latina,Villare1Oswaldo
2,1637967164312375298,2023-03-20 23:59:38+00:00,Liga Profesional - Newells venció a San Lorenzo 1-0 y River quedó puntero https://t.co/k43OGr1VXq https://t.co/7xd53iFLZf,fmamericanoti
3,1637967133702275072,2023-03-20 23:59:31+00:00,"Ver perder al Real Madrid y/o al América, siempre será algo que disfruto y disfrutaré.",IamBauti
4,1637967006132588544,2023-03-20 23:59:00+00:00,"México es el cuarto país más alegre en América Latina y 36 en el mundo, revela la ONU https://t.co/bnYFyEUzkS",SinEmbargoTR
5,1637966988772294656,2023-03-20 23:58:56+00:00,"primera clase de la única clase que tengo hacen un debate y justo me toca  hablar delante todos, mis vacaciones fueron muy largas me siento perdida de la vida jsjs",paradise2seok
6,1637966930383454213,2023-03-20 23:58:42+00:00,"🇲🇽Minutos de jugadores Formados en México de la jornada 12

277 Toluca
299 Tijuana
331 Tigres
417 Atlético SL
436 León
441 Puebla
460 Monterrey
465 Atlas
477 Cruz Azul
521 UNAM
527 Santos
528 FC Juárez
549 América
603 Necaxa
622 Mazatlán
665 Querétaro
678 Pachuca
990 Guadalajara",andresn
7,1637966868429324288,2023-03-20 23:58:28+00:00,La Rioja - Gendarmería detuvo a 10 narcos en la Capital de la provincia https://t.co/cGCBCcQNDe https://t.co/zy8bc78c46,fmamericanoti
8,1637966775856840705,2023-03-20 23:58:05+00:00,"Francia se enfrentará a Países Bajos en su primer partido de clasificación para la Eurocopa 2024
https://t.co/3p7wGbGmV4",ADamericatv
9,1637966753832529922,2023-03-20 23:58:00+00:00,#ellasenvix Lamentable que en un partido como el de tigres vs América femenil pongan en la narración al cagabolas del tame meados HDSPTM BILLY THE PIG pobre pendejo sin infancia jajaja 😂,ArturoGlvezDaz1
10,1637966747784413185,2023-03-20 23:57:59+00:00,Paraguay es el eje de un cambio para América Latina - Infobae https://t.co/PrSIKioJdu,edgarbc57
11,1637966513528291328,2023-03-20 23:57:03+00:00,"Así sale el América ante Tigres.

Velasco; Luna, Pere, Kim, Sabrina; Joss, Kaci, Eva; Nati, Sarah, Katty.

Banca: Itzel, Karina, Noemi, Cass, Montse, Falcon y Alison*.

*Regresa de lesión.",RubSainz
12,1637966441621192705,2023-03-20 23:56:46+00:00,"Telefe y America: estar callados es ser cómplices. ¿y #GranHermano ?

Natacha Jaitt siempre tuvo razón.",lilacscorpion
13,1637966435514216448,2023-03-20 23:56:44+00:00,Te presento a la Gallineta de América @Yorugua1980 https://t.co/2h921RdrEf,TribunaNacional
14,1637966422776086529,2023-03-20 23:56:41+00:00,Invasores de tierras arrasan una aldea indígena y dejan al menos seis muertos en el Caribe de Nicaragua https://t.co/fo0VVpvlZx via @elpais_america,JBAlcorn
15,1637966403381653510,2023-03-20 23:56:37+00:00,"No es mame Eddy, ese señor tibio siempre cuando anda mal el América quiere correr a medio mundo y da por perdidos los demás partidos para ver si con eso por fin se dan cambios.",DeismoCrema
16,1637966277363859459,2023-03-20 23:56:07+00:00,"Vicka, dile a Louis que yo también necesito un abrazo de el😭",joceloveslouis
17,1637966153824841728,2023-03-20 23:55:37+00:00,"#BEISBOLXTELEVEN Buenas noches saludos desde Pto La Cruz, sin menos precisar a México, pero me gustaría una final entre América y Asia",LuisEnr45117486
18,1637966124015923204,2023-03-20 23:55:30+00:00,"🚨AMERICA ENFRENTA A JUNIOR! GUIMARAES HABLO DE CORDOBA! EL AGRADECIMEINTO DE IAGO! KEVIN Y EL PORQUE ESTA FUERA! DARWIN Y ALIANZA!🚨❌️❌️❌️⚠️⚠️
VER NOTA COMPLETA AQUI!

https://t.co/dk8K7XJzIF

#americadecali #ligabetplay
#pasionskarlata #zonalibredehumo #petisoarango https://t.co/d30vPZkZqm",PasionSkarlata_
19,1637966103669354496,2023-03-20 23:55:25+00:00,To America #TikTok https://t.co/BBBSqP3MVI,anthony_gigante
20,1637966083192762370,2023-03-20 23:55:20+00:00,"Petro dice que se creará un Distrito Minero, una zona en la que se formalice y regularice esta actividad, que en la región presenta altos grados de informalidad e ilegalidad. Asimismo, prometió que se reformará el código minero https://t.co/b1tVUjCVzC

🖊 @LucasReynoso_99",ElPaisAmericaCo
21,1637966080973983745,2023-03-20 23:55:20+00:00,"Una frases muy sabia!.
LA JUSTICIA COJEA  PERO DE QUE LLEGA LLEGA. https://t.co/U6n7gvQjHO",americadpacheco
22,1637966002158985216,2023-03-20 23:55:01+00:00,"La embajadora estadounidense Linda Thomas-Greenfield declaró durante una reunión del Consejo que el ""obstruccionismo"" chino y ruso anima a Corea del Norte a lanzar misiles impunemente https://t.co/qifWGKBQgP",AmericaAdn
23,1637965996555395072,2023-03-20 23:55:00+00:00,"Gobierno salvadoreño señala que nueva cárcel es la ""más segura"" de América https://t.co/OFg91fgZbh https://t.co/lM2LJdPRV3",contrapuntovzla
24,1637965930054467589,2023-03-20 23:54:44+00:00,"#AméricaNoticias #Honduras.
""El 👇Twitter o póster no está publicado en mis redes, es falso; Los call center del PN se han vuelto mis gratuitos intérpretes"", aclara el coordinador general de Libre y asesor presidencial Manuel Zelaya Rosales. https://t.co/D1P9Zivw7U",radioamericahn
25,1637965902514724871,2023-03-20 23:54:37+00:00,"Bien defendido, definitivamente NO me recuerda al historiko",PuroAmerica_17
26,1637965882373681153,2023-03-20 23:54:32+00:00,"Una vez pasadas las encuestas rumbó al 24 ya me imagino el discurso tuitero, ahora sí apoyan cuándo se necesitaba no se pronunciaron tibios bla bla bla.
😆😆😆😆😆😆😆😆

Twiter  es mundo virtual la lucha está en la cotidianidad 
Hay que ser influencia positiva acá en entorno 😎",nefryss
27,1637965795664748545,2023-03-20 23:54:12+00:00,"Formación del Danubio Fútbol Club, el año que en gesta histórica llegó a alcanzar las semifinales de la Copa Libertadores de América. 1989 #danubio #curva #maroñas #futbol #uruguay🇺🇾 #libertadores #copalibertadores #america #vintage https://t.co/dGcAYDHdjQ",vintagefutboluy
28,1637965737301098496,2023-03-20 23:53:58+00:00,"Como poco se le ve: Chef Yisus, de ‘Despierta América’, alborota en Instagram con una foto sin camisa https://t.co/cPZYQNNhSs",LaVibraUS
29,1637965618254172167,2023-03-20 23:53:29+00:00,"🧑‍🏫La #BUAP da la bienvenida a estudiantes de movilidad e intercambio académico

La Rectora, @LiliaCedillo_, dio la bienvenida a 123 estudiantes de intercambio académico y tres de prácticas profesionales, procedentes de países de Europa, América y Asia

👇
https://t.co/M8RbNCVGpV https://t.co/sdMUsJKaWY",Joselmoctezuma
30,1637965400804655104,2023-03-20 23:52:38+00:00,"Este señor cambió las mentalidades no solo de las y los mexicanos, sino de toda America Latina. ¿Estás de acuerdo? https://t.co/eu74gUJXyi",evodio33
31,1637965351618060290,2023-03-20 23:52:26+00:00,El 1️⃣1️⃣ con el que sale América Femenil esta tarde en el volcán 🦅 https://t.co/huc2bBIfmO,bruhdz8
32,1637965311247777792,2023-03-20 23:52:16+00:00,"Pero esto que dice @el_pais no solo no es asi, sino que esas organizaciones de las que habla son lavaderos de mafias y grupos del crimen organizado.

El “periodismo”cuando se torna activismo por plata🙄

Mientras aqui en🇸🇻seguimos afianzándonos como el país más seguro de AMERICA!",Noalospoliticos
