,Tweet Id,Datetime,Tweet,Username
0,1638329573531082752,2023-03-21 23:59:43+00:00,"#BenitoJuárez, ""Benemérito de las Américas"", defendió la soberanía nacional, instituyó las bases sobre las cuales se funda la República federal mexicana y luchó incansablemente por hacer del respeto, el derecho y la libertad un legado inobjetable para mantener la paz. https://t.co/U7cvc8WyJq",phegdaguadalupe
1,1638328407430766592,2023-03-21 23:55:05+00:00,[VIDEO] Tráfico fluido en el Puente de Las Américas en dirección al interior del país. https://t.co/qHFMhYUqPw,TraficoCPanama
2,1638328373406584834,2023-03-21 23:54:57+00:00,"La #AlcaldesaDeCuauhtémoc, Sandra Cuevas, participó en la ceremonia, en el Hemiciclo a Benito Juárez, con motivo del 217 Aniversario del Natalicio del Benemérito de las Américas. https://t.co/XdF8NCAjvk",AlcCuauhtemocMx
3,1638327528094875650,2023-03-21 23:51:36+00:00,"En conmemoración del 217 aniversario del natalicio de Benito Juárez conocido como  Benemérito de las Américas, se realiza ceremonia cívica rindiendo honores a la bandera, así mismo se hace una reflexión de la importancia del cuidado del medio ambiente.
@Conalep_Edomex https://t.co/w6QWbFDeCQ",ConalepTemoaya
4,1638327098715635714,2023-03-21 23:49:53+00:00,Conmemora Gobierno de Tamaulipas 217 aniversario del natalicio del Benemérito de las Américas https://t.co/BstOJvY66Q,MuroPoliticoMX
5,1638326482216046592,2023-03-21 23:47:26+00:00,El benemérito de las Américas 🇲🇽 https://t.co/zAeVUFCFzy,ProgresistasBCS
6,1638326401676746755,2023-03-21 23:47:07+00:00,"#MesaConEVP

#Bicisenda| ""Es parte de un proyecto mayor que se llama Asunción ciudad verde de las Américas. Lo lidera el MADES"", @mora_federico,  jefe de Gabinete de @AsuncionMuni.

🔸 Fb Live: https://t.co/vHUWzxVHWj

 🔗https://t.co/ZvwJlbwdHn https://t.co/T0W3DoelGJ",ABCTVpy
7,1638326251738869760,2023-03-21 23:46:31+00:00,TREA TURNER AMERICAS HERO https://t.co/Dirj7G3zrv,BrockAlkire2
8,1638326228028383235,2023-03-21 23:46:26+00:00,TREA TURNER AMERICAS HERO,baby_nashville
9,1638326208063479810,2023-03-21 23:46:21+00:00,"Pesadilla es el Usurpato, es decir el régimen ilegítimo y fallido de botarga AMLO

No es coincidencia que Contrahecho se identifique con Benito Juárez, el dictador payaso conocido bajo el alias de “benemérito de las Américas”",Gerardo8aV
