,Tweet Id,Datetime,Tweet,Username
0,1637604862492909568,2023-03-19 23:59:59+00:00,Igual a la de Pratto y Andrada,DemonBostero
1,1637604822349217794,2023-03-19 23:59:49+00:00,Penal claro. Igual que el de Andrada a Pratto que los cogidos siguen sosteniendo que no es.,idaltu790
2,1637604815017594880,2023-03-19 23:59:47+00:00,si en cba hacen 36 grados adentro de mi baño hacen 50,sofi_andrada10
3,1637604798596894724,2023-03-19 23:59:43+00:00,"Si lo de Carranza a Merentiel es penal, lo de Andrada a Pratto el 9/12/2018 era un penalazo.",psldv
4,1637604718242406401,2023-03-19 23:59:24+00:00,Es el mismo penal de Andrada a Pratto,nicospedaletti_
5,1637604542664638464,2023-03-19 23:58:42+00:00,La cobra y volvemos a 2018 a que cobren la de Andrada contra Pratto hijos de puta,ffernandezz12
6,1637603207751892992,2023-03-19 23:53:24+00:00,"Fui a comprar para cocinar y me terminé encargando una pizza y papas, cada día más vaga 🤣🤣",GuadaaAndrada
7,1637603164730826754,2023-03-19 23:53:14+00:00,Tiempo al tiempo 🙏,BrianAn24757392
8,1637602870575915011,2023-03-19 23:52:04+00:00,ROMINA AL 9009,AndradaLuz_
9,1637602662974668800,2023-03-19 23:51:14+00:00,Mi amigo el más inteligente: JAJAJAJAJA https://t.co/4345eJgY0O,LuAndrada8
10,1637601836101246977,2023-03-19 23:47:57+00:00,Mi novio me mando un wpp con el nombre de una mina que según el no habla... me lo dicen  ustedes?,AngelesAndrada8
11,1637601057952915458,2023-03-19 23:44:52+00:00,JAJAJAJAJJAJAJAJAJAJ,francoandrada4
12,1637598763265949696,2023-03-19 23:35:44+00:00,"Se imaginan? Parmisari, rosales, lamberti, quilez, chavez, andrada, alguno de esos o todos en este aldosivi? Creo que era eso a lo que habia que apuntar",juuangallo_
13,1637597181442916354,2023-03-19 23:29:27+00:00,"La gente es lo UNICO bueno que tiene BOCA, con un equipo que da lastima sigue alentando",ferandrada7
14,1637596925749780486,2023-03-19 23:28:26+00:00,"Que hermoso clima!!! No toquen nada, dejen el clima así",NazarenoAndra
15,1637596212164476929,2023-03-19 23:25:36+00:00,mira me llegan a grabar a mi en mis prácticas d conducir y bajando del coche del pedro y flipan en colores,andsiedad
16,1637595402097631233,2023-03-19 23:22:23+00:00,Lodico Braida y Andrada son de los jugadores que nunca se tendrian que haber dejado ir....,pollorenacido
17,1637594025577402368,2023-03-19 23:16:55+00:00,Andrada al lado de este es Neuer,Campospablo24
18,1637593409803231232,2023-03-19 23:14:28+00:00,Leandro pidiéndome que le planche la remera y yo ágata me planchó el uniforme 🤨,Guada_andrada1
19,1637593381554585601,2023-03-19 23:14:21+00:00,Hay gente que de verdad piensa que Romero es más que Armani. Ni siquiera es más que rossi o andrada. Con eso digo todo.,_pupimillonario
20,1637592988288155648,2023-03-19 23:12:48+00:00,"#LigaMX 🇲🇽
Esteban Andrada, @maximeza_7, @rogelio7funes y @GermanBerte titulares en @Rayados, que venció 1-0 en el #ClasicoRegio a @TigresOficial. En el local fueron titulares @PatonGuzman, @guido19pizarro y Nicolás Ibáñez https://t.co/WLX5EEJEdB",FutbolistasAXEM
21,1637592809929572352,2023-03-19 23:12:05+00:00,"Amigo, el partido de boca es muy parecido al de racing con central el año pasado (4-3) instituto tiene la misma eficacia que central esa noche, 3 llegadas 3 goles, ojalá no tenga el mismo final.",andrada_fv
22,1637592462481915904,2023-03-19 23:10:42+00:00,pol fernandez tiene cosas de Andrada,1000fton
23,1637592155823788033,2023-03-19 23:09:29+00:00,"Es un juego Ofensivo el de Chima Ruiz y no les está alcanzando a los jugadores , creo es cuestión de que no se caiga la confianza y crean en el sistema de Chima Los jugadores no se hacen malos de un partido a otro , ayer andrada y los postes nos evitaron 2 goles ,",jcarlosmeza
