,Tweet Id,Datetime,Tweet,Username
0,1638329546813366272,2023-03-21 23:59:37+00:00,"VITA MAÑANA SE VA, me voy a m",dayahredia
1,1638329521634963456,2023-03-21 23:59:31+00:00,Hola Aries ♈️,roobonaldo1
2,1638329485148684289,2023-03-21 23:59:22+00:00,"ARIES, No te preocupes por el DINERO. https://t.co/z4TZGIZeBv a través de @YouTube",IdamariaZodiac
3,1638329356262031364,2023-03-21 23:58:51+00:00,mpego la impulsividad d la aries season por lo q hice compras compulsivas mientras lloraba comiendo brownies y veía a chicas con sus ramos de flores amarillas,ccotillon_
4,1638329172006191105,2023-03-21 23:58:07+00:00,"Ya manifestaron cómo quieren verse de acá a 6 meses? 
Con la luna nueva en Aries,es ideal para escribir en presente todo aquello que quieran para sus vidas y cómo quieran estar⚡️🦋
Intencionen,sahumen dichas intenciones y plántenlo en la tierra.
Mucha energía moviéndose ✨",artvenusina
5,1638329145422757895,2023-03-21 23:58:01+00:00,La temporada Aries empieza fuerte 😍 https://t.co/GOtZe9TqWX,rebecasaray
6,1638328854770077696,2023-03-21 23:56:52+00:00,buen inicio de la aries season,edgypunkass
7,1638328716299235329,2023-03-21 23:56:19+00:00,Aries season y me siento de la mierda,Eileenaom
8,1638328687677284354,2023-03-21 23:56:12+00:00,"lOCO EMPEZÓ LA TEMPORADA ARIES Y YA SE ANDAN QUERIENDO CAGAR A PIÑAS TODOS,, PAREN UN TOQUEEE",mel_rzz
9,1638328673274302464,2023-03-21 23:56:09+00:00,“Voltea para otro lado mija” JAJAJAJA #LCDLF3,ddbiebah
10,1638328584623276032,2023-03-21 23:55:47+00:00,😭😭😭 te amooo,aries_babh
11,1638328347011993600,2023-03-21 23:54:51+00:00,La gala más incomoda del condado #LCDLF3,ddbiebah
12,1638328332503732227,2023-03-21 23:54:47+00:00,nunca había tenido tanta ansiedad de ver mis notas,babya1604
13,1638328304892616707,2023-03-21 23:54:41+00:00,"pablito, aunk m caiga mal a veces malditos aries pero bno",fifilos0fia
14,1638328303588106241,2023-03-21 23:54:40+00:00,No sé nada del aries season ni a quién beneficia pero puedo confirmar que a mí no 🤠,alaanisssss
15,1638328185451343872,2023-03-21 23:54:12+00:00,"Luna Nueva en ♈️ #Aries, que comience la acción.",decimo_doctor
16,1638328076860813312,2023-03-21 23:53:46+00:00,ta potente la aries season,fatithequeene
17,1638327942043369474,2023-03-21 23:53:14+00:00,Yo no entiendo nada sólo sé que estoy más violenta de lo normal y le voy a echar toda la culpa a la luna en Aries que tengo.,Ama_Gess
18,1638327852788482053,2023-03-21 23:52:53+00:00,Empezó la aries season 😌,loverinexile_
19,1638327709615923203,2023-03-21 23:52:19+00:00,Gracias al motorista que nos hizo coro con la canción de floricienta &lt;3 JAJS,apcdv_
20,1638327448168169472,2023-03-21 23:51:16+00:00,qué es eso de que dar siempre de más en mis vínculos y decepcionarme constantemente es por un trauma y no porque soy de aries,Lalermero
21,1638327310364360705,2023-03-21 23:50:44+00:00,Ahhhh chis ya es la aries season,josselynr10
22,1638327308594425858,2023-03-21 23:50:43+00:00,q significa q sea aries season,doloreeeeeslola
23,1638327295378161666,2023-03-21 23:50:40+00:00,de aries tenía que ser 🫠🫠🫠,solanalucero1
24,1638327249152753665,2023-03-21 23:50:29+00:00,Oficialmente aries season🏹❤️‍🔥 https://t.co/R1oE8HYBe1,demisilvaF
25,1638327184904290304,2023-03-21 23:50:14+00:00,Sol en Aries draco: 2do día de la nueva encargada de rrhh y yo ya le pedí una reunión para “expresar lo que siento”,AgussCogorno
26,1638327149655457801,2023-03-21 23:50:05+00:00,Bueno ahora sí me tengo que dormir,ariesbxrry
27,1638327004272492546,2023-03-21 23:49:31+00:00,"Feliz año nuevo zodiacal, y feliz cumpleaños a todos los Aries ✨",verytalkative_
28,1638326929265680385,2023-03-21 23:49:13+00:00,ese meme de cuando la aries season despide a la pisces season al grito de SMELLS LIKE BITCH IN HERE,__dogmotif
29,1638326746620604416,2023-03-21 23:48:29+00:00,"Hoy luna llena en Aries.
Aprovechen a visualizar sus proyectos y a soltar lo que ya no quieren repetir más. 
Y no olviden cortarse el pelo 🙌",Diferentesenerg
30,1638326739758612481,2023-03-21 23:48:28+00:00,"Oficialmente aries season, oficialmente mi temporada y van a pasar cosas maravillosas porque van a pasar 🔪🔥 https://t.co/vW1U58UrQN",malacarosa
31,1638326682124787713,2023-03-21 23:48:14+00:00,Aries también viene con mecha corta y dolor de cabeza. Digamos todo.,astrofeminista
32,1638326470518132737,2023-03-21 23:47:23+00:00,El cachetadon del aries season de vrd,diamondskidd
33,1638326405753651202,2023-03-21 23:47:08+00:00,"#22Mar | Luna en Aries conjunción Mercurio, Quirón y Júpiter. Tendremos el impulso y el coraje para llevar nuestros pensamientos e ideas a la acción. Estaremos en modo sin miedo al éxito y aprovecharemos las bondades de Júpiter, el gran benéfico en su estadía por el carnero.✨🌱 https://t.co/6xKygmsgkT",gabrielrcoach
34,1638326342642024448,2023-03-21 23:46:53+00:00,"Estábamos re mal y el viernes refrescó y hoy empezó la Aries season.
Confiemos.
En algo hay que creer.",lubidinosa
35,1638326308441669632,2023-03-21 23:46:45+00:00,"mi hermanita de 9 años tiene que elegir una canción para patín y quiere una de lana del rey, yo a su edad escuchaba ozuna",lulyype
36,1638326303639175173,2023-03-21 23:46:44+00:00,me da mucha risa q admitan q stanean gente tan pelotuda como para no saber q poronga es una esvastica like damn girl q te enseñan en la escuela en vez de historia tortura medieval para sumar victimas de bullying al expediente,gosuguru
37,1638326127302254592,2023-03-21 23:46:02+00:00,sabían que hoy que se estrena la temporada aries es el cumpleaños de Betty?,bwitchdMush_37
38,1638326033068838914,2023-03-21 23:45:39+00:00,Solo somos peligrosos si nos hacen enojar. El real enemigo son los pibes de geminis y piscis y las mujeres de aries jsjs,GuadaduGomez
39,1638326008821473281,2023-03-21 23:45:33+00:00,Llego la mejor parte del año: otoño y Aries,MarFemenias
40,1638325985568256000,2023-03-21 23:45:28+00:00,Comenzo la temporada de aries❤️‍🔥🥵🔥,guadalupedv_
41,1638325920036532224,2023-03-21 23:45:12+00:00,Palabras que nunca quisieras escuchar: “cámara mi gente ya se la saben” 💀.,AriesTerron
42,1638325724741337088,2023-03-21 23:44:26+00:00,"Luna nueva en Aries y me acaban de pegar un pelotazo.

Esa energía descontrolada si se puede ver...",unahijadevenus
43,1638325528414281728,2023-03-21 23:43:39+00:00,"Es una vida puta, pero hay que saber amarla.",RamiiAraya
44,1638325430238212097,2023-03-21 23:43:15+00:00,"Luna nueva en Aries 🫶🌱🌿✨
Equinoccio de primavera 🌸
Nuevo Año Solar ☀️💛 https://t.co/riAHymKieb",Almaviaja
45,1638325311493353475,2023-03-21 23:42:47+00:00,"El #cielo y el #infierno no son lugares, son estados de consciencia. 🧠🌌

#BhagavanVasquez #ElMediumdeLatinoamerica #FelizNoche #21mar #LunaNueva #Aries",BhagavanVasquez
46,1638325107918512129,2023-03-21 23:41:58+00:00,wakala mañana empieza la aries season,miullm
47,1638325105062301699,2023-03-21 23:41:58+00:00,cierto que empezó la aries season mamita preparense para gritar y re contra cagarse a puteadas con todo el mundo sin motivo aparente,carrrrhernandez
48,1638325069310054403,2023-03-21 23:41:49+00:00,Bueno que empezó mi temporada de Aries con luna nueva y todo ajjajajajaj🤦‍♀️,Micasou15
49,1638325068013903873,2023-03-21 23:41:49+00:00,yo siempre me rio q tiene tweets diciendo la nword en contextos re ??? usjsjsj como hoy comi *nword*,gosuguru
50,1638325029665480707,2023-03-21 23:41:40+00:00,Te amo temporada Aries♥️ #AriesSeason,elsamuelrubio
51,1638325007947554819,2023-03-21 23:41:35+00:00,Que terrible inicio de la Aries season 🫥,kassiwos
52,1638324997738442753,2023-03-21 23:41:32+00:00,"Me dijeron que había temblando porque comenzó la temporada de Aries.

¿Qué se creen? Meeehh 😤",HernanTawers
53,1638324968046960642,2023-03-21 23:41:25+00:00,"Me acabo de acordar que mi amigo es de aries con ascendente en acuario 
Re que nada que ver ajajajajaja pero me olvidé que era su cumple 🤣",Lourds_7
54,1638324913412116480,2023-03-21 23:41:12+00:00,"Inicia la temporada de ♈ y el Maestro Benny de la primera casa de Aries te recibe con su Poder del laicismo y la Reforma #AriesSeason #BenitoJuarez #SaintSeiya 

ilustración: GusGus https://t.co/PA71A94j8e",giorgiusdeus
55,1638324839076311043,2023-03-21 23:40:54+00:00,"Hoy tres personas me dijeron ""hoy estoy un poco mejor"". Gracias Aries.",astrofeminista
56,1638324656728858630,2023-03-21 23:40:11+00:00,bienvenida la season de aries voy a estar mas HOT de lo normal,luciaxdxdxd
57,1638324172739735553,2023-03-21 23:38:16+00:00,"Definitivamente el tiempo de Dios es perfecto, llegué del mejor viaje de mi vida y al siguiente entré a trabajar. La temporada de Aries ya se sienteee❤️‍🔥❤️‍🔥✨👑",cristinabarcoo
58,1638323992309252097,2023-03-21 23:37:33+00:00,Esta temporada en aries me tiene en llamas,shannonmessina_
59,1638323985275387907,2023-03-21 23:37:31+00:00,"aries es el verdadero rey de fuego, leo es humooo",______eunice
60,1638323866073280517,2023-03-21 23:37:02+00:00,"arranque la temporada de aries como el mismísimo signo, del orto y a punto de explotar",TraballoniBrune
61,1638323750448820224,2023-03-21 23:36:35+00:00,Primavera y aries season son top🫶,kyvalentina2
62,1638323600150110208,2023-03-21 23:35:59+00:00,Llegó la Aries season 🥰,nouhaxnk
63,1638323517467836422,2023-03-21 23:35:39+00:00,Lero Lero pendejas a ustedes que les dieron? https://t.co/izY7TNkKOL,davidramirem
64,1638323411473580032,2023-03-21 23:35:14+00:00,ME ESPERABA QUE FUERA CUALQUIER SIGNO MENOS ARIES Y HOY TABA DE CUMPLE EL LOQUITO,honnniepinguini
65,1638323341713973250,2023-03-21 23:34:57+00:00,Me inscribí en un curso de investigación impulsivamente pero mi horóscopo me lo dijo y es luna nueva en Aries,mpenocetti
66,1638323299317891073,2023-03-21 23:34:47+00:00,"limpie toda mi casita, la cure la sahume me di un baño energético y que hermosa es la tranquilidad y la paz que hay. gracias, bienvenida sea esta luna nueva en aries.. listisima para recibir todo lo bueno que se viene 🤞✨🌈",sofipee
67,1638323223895891968,2023-03-21 23:34:29+00:00,BASTA COMO QUE ES ARIES EL LOCO,honnniepinguini
68,1638323089502076929,2023-03-21 23:33:57+00:00,Aries donde estas ?,Gerometorres2
69,1638322936934268928,2023-03-21 23:33:21+00:00,aries season empezó perres🤠,morticiah_
70,1638322860929302531,2023-03-21 23:33:03+00:00,me ofende que digan que yeon-jin es aries ☠️,dieudelire
71,1638322822320726018,2023-03-21 23:32:54+00:00,yo veo cualquier cosa de barbie: BRANDONNNNNNN,ruthieee___
72,1638322636550819843,2023-03-21 23:32:09+00:00,hay luna nueva en aries es momento de manifestar todo lo nuevo empieza un ciclo nuevo chiquititas intencionennnnn,ye_sicagarcia
73,1638322588999876610,2023-03-21 23:31:58+00:00,la aries season se puede notar completamente,melinxlucia
74,1638322490060550144,2023-03-21 23:31:34+00:00,"Si. En marzo-abril no solo se da la temporada Aries con la luna nueva, sino que se da la Luna llena en libra.",orivaire
