,Tweet Id,Datetime,Tweet,Username
0,1636517679619080192,2023-03-16 23:59:54+00:00,Lo prestó 70 veces el Arsenal y despues cuando se ganó el puesto no hicieron nada por retenerlo,daunleti
1,1636517632428892161,2023-03-16 23:59:43+00:00,"⚽ El Sporting de Lisboa dio la gran sorpresa de los octavos de final de la Europa League tras eliminar este jueves al Arsenal, líder de la Premier League, en los penales, gracias a la actuación del portero español Antonio Adán. ↓ https://t.co/5GU8pDIGgs",ELTIEMPO
2,1636517603098206211,2023-03-16 23:59:36+00:00,Arsenal la 🔥🔥🔥🔥🔥,tipedan
3,1636517532847988737,2023-03-16 23:59:19+00:00,Arsenal FC https://t.co/Qnf8udHt9B,BOLOOWARTEEFAIR
4,1636517528863227904,2023-03-16 23:59:18+00:00,Tal difícil era ganar así? Arsenal de Sarandí 🤣 https://t.co/AtMF0KjYlR,ArgenCity01
5,1636517366442909699,2023-03-16 23:58:39+00:00,Gracias por cagarme mi apuesta Arsenal tkk,patomar__
6,1636517302052036609,2023-03-16 23:58:24+00:00,El arsenal de la banda de la Villa Zavaleta que alquilaba armas a delincuentes para salir a robar - Infobae https://t.co/eQzI8o4lOq,HoyJj763911
7,1636517254715113472,2023-03-16 23:58:13+00:00,"el arsenal perdió, estoy triste, no me hablen",jajajavierz
8,1636517251456151552,2023-03-16 23:58:12+00:00,Que golazo que hizo el Sporting de Lisboa al Arsenal,joshuapaternina
9,1636517174817742853,2023-03-16 23:57:54+00:00,"acá te pintaban al arsenal como el mejor equipo del mundo, kjjjjj",zartzinn
10,1636517129603129347,2023-03-16 23:57:43+00:00,No puede ser. @Arsenal,HarleyTheBoss19
11,1636517108430544898,2023-03-16 23:57:38+00:00,"Pensamiento de equipo chico. Tenes que ganar todo, sos el ARSENAL. Siento que es como cuando se excusaban lo de Racing el año pasado.",fodenzito
12,1636517100943560706,2023-03-16 23:57:36+00:00,"A pesar de que no me motivaba demasiado este título, es lamentable el desempeño en competencias europeas que tenemos.
Ojalá este plantel empiece a cambiar eso en las próximas UCL, que de seguro estaremos.
Arsenal es un club muy histórico como para no tener una orejona.",DelArse4Ever
13,1636517047587700737,2023-03-16 23:57:23+00:00,"el arsenal es el equipo más chico de Londres, siguen sin ningún título europeo en su historia, equipo de mierda",zartzinn
14,1636517010082353152,2023-03-16 23:57:14+00:00,Arsenal de Paris😂😂😂,JunioRicardo705
15,1636517001412608000,2023-03-16 23:57:12+00:00,Que tu mejor Arsenal sea el que tienes en la mente. 🧠,antonioarlo05
16,1636516951672651776,2023-03-16 23:57:00+00:00,"Como que en Arsenal eliminado de la Europa legue ,para mí el fav de la competición, pues pasa a ser el United.",CanarioBarca
17,1636516939198791680,2023-03-16 23:56:57+00:00,"perdió el Arsenal, todo es tristeza y dolor😔💔",RramaSolis4
18,1636516894675968002,2023-03-16 23:56:47+00:00,"El Sporting CP dió la sorpresa de la Europa League eliminando al Arsenal.

El equipo portugués empató ante el Arsenal y posteriormente lo eliminó por penales, para dar la campanada del torneo.

#europaleague #SportingCP https://t.co/eUjJlFEBfr",DeportesTeleSUR
19,1636516832864501761,2023-03-16 23:56:32+00:00,"#Video #UELxESPN ¡El golpe de la jornada! Desde los 12 pasos, el Sporting Lisboa eliminó al Arsenal.

https://t.co/uDeIxColG5",ESPNEcuador
20,1636516784630280194,2023-03-16 23:56:21+00:00,Otra vez que el Arsenal metió pecheada ? Otra vez que no vemos a los hinchas por este antro ?,estambul05
21,1636516742028484608,2023-03-16 23:56:10+00:00,Liga Europa. Partidas de volta. Finais: • Arsenal (3)(0)1x(5)(0)1 Sporting* - Pênaltis. Ida: 2x2. • Ferencvaros 0x2 Bayer Leverkusen*. Ida: Bayern 2x0 Ferencvaros. • Real Sociedad 0x0 Roma*. Ida: Roma 2x0 Real Sociedad. • Royale Unión* 3x0 Unión. Ida: 3x3. * Classificado.,chuteiraonze
22,1636516717970038784,2023-03-16 23:56:05+00:00,"No tengo ningún tipo de duda
Conference League&gt;&gt;&gt; Champions y Europa League
21 goles en 6 partidos, furbol puro🚬🚬
Espero que el Arsenal gane la premier xq en el resto de competencias paso vergüenza 
❌Fa Cup(4° ronda)
❌EFL cup(3° ronda)
❌Europa league(8avos) https://t.co/pNL1voR9ub",BrianAguirrismo
23,1636516701872291841,2023-03-16 23:56:01+00:00,Buen programa @CarolinaPadron @AdalFrancoESPN (El ☀ de ESPN) Da pena lo de Arsenal hoy en Europa League. Fracaso? No sé qué puedo decir. Pero aún necesitan trabajar más para enfocar en la Premier. @SportsCenter_nt Les mando la buena vibra y que sea el fin de semana de Clásicos.,arcpr90
24,1636516615322828800,2023-03-16 23:55:40+00:00,"Europa League: Arsenal queda fuera en penaltis contra el Sporting de Portugal
https://t.co/jnjSbywJDq",Notidiahora
25,1636516604442755074,2023-03-16 23:55:38+00:00,"arsenal equipo pecho, equipo de mierda abz",diegoosoto11
26,1636516532032266241,2023-03-16 23:55:20+00:00,"Me alegro por Antonio Adán, portero muy poco valorado y que hoy, a sus 35 años y portando el brazalete de capitán del Sporting de Portugal, ha sido el gran artífice de la eliminación del Arsenal de la Europa League con paradones durante los 120 minutos y en la tanda de penaltis. https://t.co/VxQncNAHAK",jpmoro85
27,1636516474436165632,2023-03-16 23:55:07+00:00,Se imaginan que Arsenal no quede campeón de nada esta temporada? JAJAJAJAJAJA,hugoal4
28,1636516438025355269,2023-03-16 23:54:58+00:00,que equipo boludo el arsenal,ThiagoRoll10
29,1636516421944393728,2023-03-16 23:54:54+00:00,"Muchachos, la Europa League vendría bien si Arsenal necesitara entrar en Champions o si no estuviera peleando una Premier League mano a mano contra el equipo más regular de dicha competición.

No hay margen de error. Paso a paso, seguimos.",_soyderiver_
30,1636516401849532417,2023-03-16 23:54:49+00:00,Cree que el Chelsea es más grande que Arsenal... 🤣🤣,Dxegxsw
31,1636516306760466434,2023-03-16 23:54:27+00:00,Arsenal y Sporting de Lisboa nos dieron una clase de fútbol. PARTIDAZO!!!,a_yanez7
32,1636516133040734210,2023-03-16 23:53:45+00:00,"Puta madre Arsenal, la final tenía que ser inglesa, ustedes vs Manchester.",Fenomenomyi
33,1636516121095356416,2023-03-16 23:53:42+00:00,"¡FRACASO! 🔴😱

Arsenal quedó ELIMINADO de la #EuropaLeague en su casa y contra 10 hombres del Sporting de Lisboa.

Los Portugueses firmaronnla sorpresa del torneo en tanda de penales.

❌️ Martinelli fallo su cobro y los Gunners se despidieron de Europa. https://t.co/Zm29ahRISM",MXFutbolTotal
34,1636516097460510720,2023-03-16 23:53:37+00:00,El Arsenal quedó afuera de la europa league no me quiero imaginar como esta Latorre,romerohernan_
35,1636516039767777280,2023-03-16 23:53:23+00:00,"Decepcionante actuación del Arsenal en #EuropaLeague. Qué realidad tan distinta a la del torneo local! Hoy fue un equipo irreconocible en su juego. Meritorio el trabajo del Sporting que fue el equipo que siempre quiso más por el partido.

(...)",MAFS95
36,1636515968246579201,2023-03-16 23:53:06+00:00,"Para cualquier club una eliminación y más como local es dolorosa pero si Arsenal quiere concretar la hazaña de ganar la Premier en esta campaña, no tener la desconcentración de la Europa League puede serle útil en la recta final de 11 partidos a solo 5 puntos sobre el City.",FutbolBasado
37,1636515951926554627,2023-03-16 23:53:02+00:00,Increíble lo que se achica el arsenal en los torneos internacionales,bbatatinha132
38,1636515937003134977,2023-03-16 23:52:59+00:00,"EXPLOTO!!!!! QUÉ BOCHORNO!!! 
El incompetente de #ArtetaOut es eliminado de Europa por el Sporting Lisboa. Esto no se puede tolerar. Este técnico sin experiencia nunca ha demostrado nada en Europa, no puede seguir ni un minuto más. Y soy del Arsenal eh, no me repartáis carnets. https://t.co/1pwz1maM3T",AsisteOusmane
39,1636515733373956099,2023-03-16 23:52:10+00:00,"El Arsenal perdió en penales y quedó eliminado de UEFA. No me hablen, por favor...

Ojalá le metan 5 a Motagua para que se me pase lo envergado.",FernandoPavon99
40,1636515691015864321,2023-03-16 23:52:00+00:00,"🔴 #CoreadelNorte informa que disparó ayer el Hwasong-17, el ICBM de mayor alcance potencial en su arsenal. El lanzamiento lo presenció #KimJongUn, de nuevo junto a su hija https://t.co/Hku89o32v8",AndresSBraun
41,1636515565580820480,2023-03-16 23:51:30+00:00,Resultados d hoy. Partidazoo entre arsenal y sporting q se decide en penales https://t.co/GUQWioSpnV,adn_merengue
42,1636515547260018688,2023-03-16 23:51:26+00:00,El Arsenal hoy,OscareduardoYe1
43,1636515503639330816,2023-03-16 23:51:15+00:00,como que el arsenal quedó afuera de la europa league????,ibrielzrson91s
44,1636515482940366848,2023-03-16 23:51:10+00:00,No se porqué presiento que va a ser una pecheada monumental este final de temporada del @Arsenal 😴😭😩,Andresito1985
45,1636515450908471297,2023-03-16 23:51:03+00:00,Legooooo,gunnerqueen
46,1636515420097114113,2023-03-16 23:50:55+00:00,Quedo afuera el arsenal kkkkkk,colomaciel1
47,1636515387410898948,2023-03-16 23:50:48+00:00,"Haas 🤝 Arsenal.
Ferrari Costumer team.
#ArsenalFC #AFC1886 #HaasF1 #UEFAEuropaLeague #EuropaLeague #UEL #Formula1 #F1 #FormulaOne #FootballMemes #SoccerMemes #MemeBola #Formula1Memes #F1Memes #FormulaOneMemes . https://t.co/nLIoLjb2AH",ZidanneMaulana
48,1636515358138855426,2023-03-16 23:50:41+00:00,"Ay Arsenal, la historia de siempre jaja",cmgg95
49,1636515347690840070,2023-03-16 23:50:38+00:00,"🍊 UEL 🍊 1/8 (vuelta).
🟢⚪ Antonio Adán echa al líder de la Premier y clasifica al Sporting.
@AntonioAdan13 
🏟️ Arsenal-Sporting CP (1-1).
El portero madrileño tuvo un partidazo y paró un penalti en la tanda final:
🧤 7 paradas (6 dentro del área).
🔑 1 pase clave.
A cuartos. https://t.co/KKcNUZRoit",hispanorradar
50,1636515304485572608,2023-03-16 23:50:28+00:00,Arsenal nooooooo 😭,foolio_julio
51,1636515200273620994,2023-03-16 23:50:03+00:00,Que equipo más frío el arsenal mamá!,Lautiiifran
52,1636515191427874820,2023-03-16 23:50:01+00:00,el arsenal pierde la premier,_rojuga
53,1636515156392828935,2023-03-16 23:49:52+00:00,"Opinando de la eliminación del Arsenal y victoria del Manchester united 🤓👆

https://t.co/iMyeaxHz1t",Satagul30
54,1636515089279746049,2023-03-16 23:49:36+00:00,"Sporting Lisboa venció por penales a Arsenal, por los octavos de la Europa League https://t.co/l7yrz5SJv3",Futargentino
55,1636515083982438401,2023-03-16 23:49:35+00:00,"JAJAJAJAJAJAJAJAJAJAJAJAJAJAJSJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJ

LO ÚLTIMO QUE PIENSA ARTETA ES VOLVER AL CITY MAMITA",AFCArgento
56,1636515061354070018,2023-03-16 23:49:30+00:00,Arteta sobre la derrota ante el Sporting: “Fue un partido muy difícil. No ganamos suficientes duelos en ciertos espacios. No pusimos la pelota bajo presión lo suficientemente bien. Regalamos el balón constantemente y creó un juego realmente abierto que no queríamos jugar”.,Arsenal_MI
57,1636514995495137281,2023-03-16 23:49:14+00:00,arsenal querido,isdxke
58,1636514995239366657,2023-03-16 23:49:14+00:00,Que pena la eliminación del Arsenal,ConservadorOtto
59,1636514950876213251,2023-03-16 23:49:03+00:00,"#Video | #UELxESPN 🏆

LA FIESTA FUE DEL SPORTING

Los de Lisboa dieron el gran golpe de la jornada y eliminaron al Arsenal, por penales y en Londres.
https://t.co/HvQYUMsJUH",ESPNFutbolArg
60,1636514938335133698,2023-03-16 23:49:00+00:00,arsenal perdeu? https://t.co/Wm0u9Zlx7D,lwttis
61,1636514918823342080,2023-03-16 23:48:56+00:00,"GANA RACING
GANA ARSENAL
GANA PLATENSE
EMPATA/GANA COLÓN
GANA ATU
GANA GODOY CRUZ
GANA GIMNASIA
GANA BOCA
GANA BANFIELD
EMPATA RIVER
GANA SLO
EMPATA HURACÁN
GANA ARGENTINOS
GANA VÉLEZ https://t.co/b1hV7mS8wB",IndependientARG
62,1636514898791342081,2023-03-16 23:48:51+00:00,Arteta: “Solo tenemos que mirarnos a nosotros mismos y por qué no fuimos lo suficientemente buenos para pasar. Felicitamos al Sporting. Nuestro próximo partido con Palace es una final.” https://t.co/OzrLgE5SVf,Arsenal_MI
63,1636514898078314496,2023-03-16 23:48:51+00:00,dios te pdko inglés te odko me hiciste perder el partido del arsenal Y ENCIMA PERDIO,skaloneta
64,1636514864355999748,2023-03-16 23:48:43+00:00,"ARSENAL ELIMINADO❌️😳
#Sporting de Lisboa venció por tandas de penales 5 - 3 al #Arsenal, para clasificarse a los cuartos de final de la #EuropaLeague .

DURO GOLPE PARA EL LÍDER DE LA #PremierLeague 🔥⚽️

#sportinglisboa https://t.co/UFLchmdZMj",11vEleven_
65,1636514847734001665,2023-03-16 23:48:39+00:00,Lol apa Arsenal elimine... 😂😂😂😂😂😂😂,Hansitoh14
66,1636514836153618432,2023-03-16 23:48:36+00:00,Arsenal eliminado da Liga Europa🤭,Raul_candeia_
67,1636514822333296642,2023-03-16 23:48:33+00:00,Q forma más pajua de perder del Arsenal hoy,nunoelectric
68,1636514785742274563,2023-03-16 23:48:24+00:00,no vi el partido de el arsenal porque sabía que me iba a amargar la tarde🧍🏻‍♀️,eInobateresuena
69,1636514775181000709,2023-03-16 23:48:22+00:00,"YO LES DIJE, EL ARSENAL ES EQUIPO CAGÓN !",lilium_fl
70,1636514615319248896,2023-03-16 23:47:43+00:00,lo que le faltaba a mi dia d mierda es q quede eliminado el arsenal lpm,cristobeibi
71,1636514603172503553,2023-03-16 23:47:41+00:00,"11 finales
Con un plantel super limitado 12 o 13 jugadores. 
Lo de
Vieira
Malisimo
Xhaka
Pauperrimo
Va a ser difícil sostenerse puntero #Arsenal
Arsenal",Ivmarur
72,1636514600588853249,2023-03-16 23:47:40+00:00,Creo el arsenal se quedará con las manos vacías este año,HecktorOlvera
73,1636514564115185665,2023-03-16 23:47:31+00:00,"Insisto en que el Arsenal lleva tanto tiempo mal, que no se le exige como club grande. Conozco varios clubes a los que jamás les pedirían dejar una competición para luchar por otra. 

Desde hace dos años se le condena cualquier fracaso a Arteta. Qué va a pasar si pierden la PL",Palomarrr4
74,1636514538102173811,2023-03-16 23:47:25+00:00,"¡LÍDERES ELIMINADOS! De los equipos que ocupan la cima de las 5 ligas 🔝 más grandes de Europa 🇪🇺, 3 ya fueron descalificados de los torneos europeos 🚫. Este es el caso del PSG 🇫🇷 en la Champions League 🏆, y la del Arsenal 🏴󠁧󠁢󠁥󠁮󠁧󠁿 y FC Barcelona 🇪🇸 en la Europa League ⭐️. https://t.co/PhI8NMCzvt",GOLPERUoficial
75,1636514455088427011,2023-03-16 23:47:05+00:00,"los únicos gigantes en Inglatera son: United, Liverpool y Arsenal.",aleeer15
76,1636514381952327684,2023-03-16 23:46:48+00:00,"No tengan miedo de decirlo, quedarse fuera contra Sporting es un fracaso

No lo sé pero ya lo del Arsenal en Europa parece una maldición, no soy supersticioso pero no hallo otra explicación",Riverbelfast
77,1636514351707193347,2023-03-16 23:46:41+00:00,Odio al Arsenal y espero no gane la premier,MiguelSGuerrero
78,1636514329343262721,2023-03-16 23:46:35+00:00,"Tras la eliminación de mi Arsenal, ahora el 100% en ganar la Premier League.",ivan_gunner
79,1636514258564284418,2023-03-16 23:46:18+00:00,Por la puta como que eliminaron a mi arsenal,Febriel__
80,1636514249118826497,2023-03-16 23:46:16+00:00,Sorpresa en la Europa League: Sporting de Lisboa eliminó al Arsenal de la competición  https://t.co/WHby0CvGZe,rcnradio
81,1636514245159337984,2023-03-16 23:46:15+00:00,"Como así que eliminaron al Arsenal , sin palabras me retiro del fútbol https://t.co/JfWFGNdtnz",Nadie1_2
82,1636514192407633920,2023-03-16 23:46:03+00:00,Arsenal hoy. https://t.co/2HmtvDPqLN,CRPValero
83,1636514183150706692,2023-03-16 23:46:00+00:00,"El líder de la Premier, Arsenal, no pudo en casa frente a Sporting Lisboa de Portugal y se despidió de la Europa League. https://t.co/pWmrXuPlwa",futbolperuanoTR
84,1636514157745807360,2023-03-16 23:45:54+00:00,"Entonces Arsenal le hizo el feo a la Europa League, para también terminar perdiendo la Premier?????

JA!",CassaresLFC
85,1636514129002262529,2023-03-16 23:45:47+00:00,Que pecho es el Arsenal. Grande en Londres hay uno solo 🔵🔵,Bruno__Roberts
86,1636514128528285696,2023-03-16 23:45:47+00:00,Al Arsenal le vino bien para la @premierleague quedar eliminado hoy. Estoy seguro.,ramonpirela11
87,1636514089483526147,2023-03-16 23:45:38+00:00,"El Arsenal pierde contra el Sporting y no dicen nada, pero si el Barça pierde contra el United te lo venden como un fracaso y piden #XaviOut y la dimisión de Laporta.",MateMingrone
88,1636514078150606849,2023-03-16 23:45:35+00:00,"Comparar al Arsenal con el mejor club del mundo, a un Arsenal que viene de años oscuros y siendo ni siquiera animador en el big six!",Yiorz86
89,1636514075269275654,2023-03-16 23:45:35+00:00,Trending Topics en México 🇲🇽: 1.SalarioRosa 2.#MexicoMasPobreConAMLO 3.Arsenal 4.JusticiaParaNormaLizbeth 5.ControlDeDanosEnConvoy 6.Sporting 7.taylor https://t.co/1UX6JmI9xv,trendingtopicsm
90,1636513972747661312,2023-03-16 23:45:10+00:00,"💬 ""Ahora ya está hecho, no podemos pensar demasiado en eso, tenemos que seguir adelante y tenemos un nuevo partido el domingo y solo tenemos que estar listos para éste."" https://t.co/XPxejVa77z",ArsenalEspanol
91,1636513943379234821,2023-03-16 23:45:03+00:00,"El Arsenal catacrack Thomas eliminado por el poderoso S.Lisboa !!!!
Normal. Cuando el líder de un equipo es un paquete del nivel de Thomas partey pasan estas cosas!!
50M. 
Vaya timo le pegamos al Arsenal !!!!!",NormATM1903
92,1636513930246860801,2023-03-16 23:45:00+00:00,"LA SORPRESA DEL AÑO

🫣Ante todo pronóstico el #Arsenal cae eliminado de la #EuropaLeague por penaltis ante el #SportingCP.

✍️#Xhaka anotó el primero, pero #Gonçalves estableció el definitivo 1-1.

😬#Martinelli falló su penalti y los de Lisboa marcaron todos. Sorpresón. https://t.co/gznOfnq5PO",ElPalcooficial
93,1636513882997940225,2023-03-16 23:44:49+00:00,"JAJAJAJAJAJAJAJAJA eterno respeto al Arsenal, pero un equipo que nunca ganó una Champions, no puede tener a gente tan estúpida que vaya y critique dicha competición.
Es como que aparezca un paraguayo y critique el mundial ¿?",ACMilanTheo
94,1636513850689290245,2023-03-16 23:44:41+00:00,ELIMINARON A ARSENAL!?!? EEEE????,Evecastiyo08
95,1636513826156822530,2023-03-16 23:44:35+00:00,Audiencia Nacional española investigará arsenal que entregará ETA 10:36 am,TonalAndrew
