,Tweet Id,Datetime,Tweet,Username
0,1637967161657311232,2023-03-20 23:59:37+00:00,"José Álvarez: El Barcelona aún no ha ganado una liga con Var.

PORQUE TE CREES QUE NEGREIRA LES ESCRIBE DICIENDO QUE ÉL LES PODRÍA VOLVER A AYUDAR CON VAR??????

#ChiringuitoVAR",locareality1
1,1637967111812153345,2023-03-20 23:59:26+00:00,El ADN del fútbol es Barcelona. Guardiola y Cruyff. https://t.co/rsTlnZueOA,RodriSing18
2,1637966863798882305,2023-03-20 23:58:26+00:00,"#BEISBOLxTELEVEN No es fácil pero los "" manitos "" tienen la garra y el pundonor necesario para vencer a Japón.  Desee Aragua de Barcelona Anzoátegui.",joselicotriana
3,1637966631207948289,2023-03-20 23:57:31+00:00,"#DeporteLD l El Barcelona, con sus grandes victorias, deja de lado el escándalo

https://t.co/I9NuuOBM2K

#ListínDiario https://t.co/sTP0LXdo23",ElDeporteListin
4,1637966579278200833,2023-03-20 23:57:19+00:00,¿Por qué el Real Madrid que no le puede ganar al FC Barcelona? / @DeporMundiario  https://t.co/MUk4R78tpS,mundiario
5,1637966515063382019,2023-03-20 23:57:03+00:00,"🚨Aquí te decimos de que está lesionado el futbolista del Barcelona y qué tan grave es.😨⚽️
👇🏻

#FCBarcelona #Uruguay #Fútbol

https://t.co/Y2gcpN61c7",Deportrece
6,1637966466682060803,2023-03-20 23:56:52+00:00,"El español Alex Roca se convirtió en el primer atleta en completar un maratón con 76% de discapacidad, tras terminar el Maratón de Barcelona 2023 en 5 horas, 50 minutos y 2 segundos.
¡¡Ejemplo absoluto de vida!! https://t.co/ePTywjqlSM",IntraCancha
7,1637966398176591873,2023-03-20 23:56:35+00:00,"🇻🇪⛽️#EnImagénes Inspecciones realizadas hoy #20Mar por el personal de la Dirección Regional Barcelona del MINPETRÓLEO, en el estado Nueva Esparta,  en conjunto con PDVSA Vicepresidencia de Comercio y Suministro.  E/S atendidas: La Asunción, Punta Galera y Marina Lonjamar. https://t.co/TFSZ0COkko",minpetroleodrb
8,1637966085923250177,2023-03-20 23:55:21+00:00,"Barcelona debería ser manejada por una sola persona, que compre el club y pueda realizar un proyecto estable y que lo use como una inversión a futuro como cierto equipo negriazul. Usted apoya la idea? @pepelucky10",SOILNando
9,1637965911985405952,2023-03-20 23:54:40+00:00,El #RealMadrid siempre siendo hijo del #Barcelona https://t.co/EIJuf4fCAe,Hachi2k21
10,1637965864375910401,2023-03-20 23:54:28+00:00,Barcelona sin duda,sebas7sal
11,1637965853248348161,2023-03-20 23:54:26+00:00,"El Barcelona se marca un gol de rebote que si repiten el centro 1000 veces no entraría en 999 por elnpoco ángulo que había...

Automáticamente Iván: ""Simplemente el Madrid tuvo mala suerte"".

No amigo, tuvo mucha.",Adriiianef
12,1637965852145221636,2023-03-20 23:54:25+00:00,"Liga
Barcelona
D. Quito
El Nacional",LeJD__
13,1637965751549083648,2023-03-20 23:54:01+00:00,#ChiringuitoVAR Por eso dice el lobo bendito Var porque le ha dado un montón de puntos al Barcelona,ricardin19571
14,1637965480395694081,2023-03-20 23:52:57+00:00,💥¡BOMBAZO!💥 CAZADO el NEGREIRA💥 que tenia el 💥Barcelona en la UEFA💥. Aho... https://t.co/DqJqy70mNq a través de @YouTube,MANURSIMON1
15,1637965461072617474,2023-03-20 23:52:52+00:00,#LaSemanaDelVermu … a mi juego me llamaron chiquis https://t.co/OIFcMTvhZb,barcelonavir
16,1637965445507547140,2023-03-20 23:52:48+00:00,"¡PURA DESFACHATEZ! ✨️Kendry Paez (15|🇪🇨) es el gran proyecto del fútbol ecuatoriano y es de Independiente del Valle.

✔️Ya marcó su PRIMER GOL en el profesionalismo y brilló Barcelona de Guayaquil.

📍Será el principal atractivo del Sudamericano U17 2023. 

¡PROYECTO DE CRACK! https://t.co/ZlaHQxUNbU",ExpressFutbolCL
17,1637965281157955585,2023-03-20 23:52:09+00:00,Quién es el dueño del VAR? Quién es accionista del Barcelona? Quién ha puesto dinero en las palancas del Barcelona? Quién no quiere perder su dinero invertido en el Barcelona?? No hay más preguntas señoria...#ChiringuitoVAR,jmarsan81
18,1637965221342920704,2023-03-20 23:51:55+00:00,"Comencé a ver ""Smiley"" en Netflix y es  la serie más cliché del mundo y mi nuevo lugar feliz. Me encanta. 
Quiero volverme Wanda, crear mi propio universo y vivir ahí por siempre hablando catalán y español en una Barcelona donde un sueldo de mesero te alcanza para pagar un piso.",Hidalgojev
19,1637964906015145987,2023-03-20 23:50:40+00:00,#chiringuitovar  lloren porque esa perdida contra el Barcelona quedará para la historia… estamos a un partido en ponernos iguales en partidos ganados,fredismachado
20,1637964849048178688,2023-03-20 23:50:26+00:00,"Hay menos jugadores del Barcelona que van con su seleccion sin incluir a los cedidos y a los del Barca B (solo del primer equipo)

Convocados: 7
No convocados: 14 https://t.co/wb0NXO6cvT",MasterJoelCule5
21,1637964828663861250,2023-03-20 23:50:21+00:00,"“Ideas de DECORACIÓN”

Maceteros “Niwa-Y”
Diseño de Micromundo
@micromundo_barcelona

#ideas #decoracion #ideasdedecoracion #macetero #jardinvertical #jardinera #garden #micromundo #diseño #decoracioninteriores #decor #design #decoraciondeinteriores #interiordesign #interiorismo https://t.co/sOG0uy6lVi",arqrjpn
22,1637964639819399168,2023-03-20 23:49:36+00:00,"#ChiringuitoVAR está claro que el Barcelona con el árbitro robó el partido, pero no pasa nada, porque el barsa no fue capaz de pasar en la UEFA y el año pasado que a más de 12 puntos del Madrid. Así que no esté tan contento.",cuoriosidad
23,1637964612925571073,2023-03-20 23:49:30+00:00,El Fútbol Club Barcelona compró árbitros durante 20 años.,franbasado
24,1637964326869823493,2023-03-20 23:48:22+00:00,"4 minutos para decidir no es error arbitral, es corrupción. Hay 7 millones de razones para que el Barcelona vaya a 2ª",FreedomInEurope
25,1637964275011469312,2023-03-20 23:48:09+00:00,"#chiringuitoVar #chiringuitoVar. No merece la pena ver el programa. NO denunciáis las irregularidades del VAR y de Los Árbitros. Lo veis en cada partido del barcelona y No lo denunciáis por eso, lo mejor es no ver esta  Connivencia con la estafa del barcelona a la liga española.",pati53570541
26,1637964206065479680,2023-03-20 23:47:53+00:00,El Real Madrid Barcelona Asensio gol legal agresion gavi y falta de lewa... https://t.co/t9WraJRrsN vía @YouTube,ToninoBlanca
27,1637964095394660352,2023-03-20 23:47:26+00:00,"De Ensueño Pintores, news: Barcelona, entre las ciudades más atractivas para el talento tecnológico https://t.co/0jXmDsCBUH",MadridPintores_
28,1637964038507307011,2023-03-20 23:47:13+00:00,"#ChiringuitoVAR Lobo grita que viva el arbitraje español, para que le piten a favor del Barcelona. Está claro.",cuoriosidad
29,1637963813961039872,2023-03-20 23:46:19+00:00,"Pues cual seria la novedad, si los niños vienen de un desgaste jugando en la sierra... Tarea de hps mercenarios, Barcelona no merece a esos ineptos 🤬🤬🤬",TheGentlemandar
