,Tweet Id,Datetime,Tweet,Username
0,1637966873206587394,2023-03-20 23:58:29+00:00,"¿Se sigue confiando en el Abuelo Ancelotti?

Lo de ayer pienso que no tuvo la culpa (ya que fue un acto arbitral). Culpa tiene en quitar a Camavinga en el 76' y en no sacar a Benzema que no daba para más. https://t.co/UQYnukxELC",TheAntonioRMCF
1,1637966423329759232,2023-03-20 23:56:41+00:00,"Benzema otro año?? Pf…. Q pereza, sobre todo conociendo al RMadrid que no ficha a nadie …",Rosero1997Kevin
2,1637964320310001667,2023-03-20 23:48:20+00:00,"No, aquí hablamos de Ancelotti y Benzemá",cargadeportiva
3,1637963948803670016,2023-03-20 23:46:51+00:00,"Esta muy bien quejarse de los árbitros que en las últimas jornadas han dado el empujón definitivo para que el Negreira FC sentencie la liga, penalti de Kessie ante el Valencia, el gol mangado al Athletic y el fdj de ayer a Asensio, más el penalti mangado a Benzema vs Betis",Checo500
4,1637963935902040070,2023-03-20 23:46:48+00:00,No era Benzema el mejor del mundo? 🤨,YanosoyKici
5,1637963585467940864,2023-03-20 23:45:25+00:00,"🚨Si buscas un servidor de #IPTV sólido,estable y sin interrupciones

✅+10000 canales de TV internacionales
✅+25000 películas
✅Serie+2000
✅Alta calidad estabilidad

WhatsApp👇
https://t.co/DVjSg2jGeT

#espana #RealMadrid #benzema #ElClasico #Barca #elena #gavi #barcelona https://t.co/Cs9nYF0XHn",IPTV_PRO12
6,1637962913943044101,2023-03-20 23:42:45+00:00,"Estos son los mismos del ""Benzema balón de oro""",andreesmaciias
7,1637962553677471744,2023-03-20 23:41:19+00:00,"Jode tener que explicarlo...otra vez.
1. Decir que falta un delantero, no es lo mismo que decir que hay gastarse cien mil millones de euros en 50 jugadores.
2. Decir que Carletto es mal entrenador no es insultar.
3. Decir que Benzema no está para jugar no es lo mismo que...",ErZuru2000
8,1637962346411839488,2023-03-20 23:40:29+00:00,"🔱EL TRIDENTE 🔱

Hora de debatir con Chino Guerrero y @gildrix 

◾️¿Tiene Benzema fecha de caducidad? 

🎙️Con @pedropparrado 

📻https://t.co/ccdxc7Sp1F",RadioMARCA
9,1637960429191192576,2023-03-20 23:32:52+00:00,"Cualquier aficionado que sepa algo de futbol y sea aficionado del RM sabe que Rudiguer ha de controlar sus subidas locas, que Carvajal hace 1 partido bien de 10, Fede es de momentos y Benzema nunca ha sido goleador. Pero no, que pierden pk les roban… 0 autocrítica.",EnzoGiner
10,1637959939229360130,2023-03-20 23:30:55+00:00,"Vino no se merece lo solo y tirado que lo ha dejado Benzema ests temporada. Con un Benzema de 6 no estaríamos a 12 en liga, y viendo cómo va la cosa este año huele a año en blanco",PYuste7
11,1637958207522983938,2023-03-20 23:24:03+00:00,Pero si Benzema ha probado en los últimos partidos que siempre llega tarde a los pases,cargadeportiva
12,1637957485125328898,2023-03-20 23:21:10+00:00,"¡Hoy perdí mi virginidad! En el momento en que me bajé los pantalones, mi chica vio que mi miembro era demasiado corto, me sentí muy avergonzado; sin embargo, ella me dijo que todo estaba bien que el prime de Benzema es más corto, en ese momento supe que era la mujer indicada.",ZEHN19_
13,1637956915463438339,2023-03-20 23:18:55+00:00,volví a nacer,stfumsalah
14,1637956201521598464,2023-03-20 23:16:04+00:00,"Top 20 bajadas de mercado hoy en @FantasyLaLiga:
1-Aleix García⬇️-2.112.355€
2-Gerard⬇️-1.278.971€
3-Valverde⬇️-1.187.377€
4-Sorloth⬇️-1.084.101€
5-Vinícius J.⬇️-904.950€
6-Brais M.⬇️-858.931€
7-Oyarzabal⬇️-849.488€
8-Rodrygo⬇️-822.875€
9-Benzema⬇️-745.539€
👇",AnaliticaLFM
15,1637956024979140608,2023-03-20 23:15:22+00:00,"Jugadores con +7 goles sin penaltis en Ronda KO en una sola temporada de Champions League

🇵🇹Cristiano Ronaldo 16/17 - 10⚽️
🇫🇷Karim Benzema 21/22 - 8⚽️
🇧🇷Neymar Jr 14/15 - 7⚽️
🇵🇹Cristiano Ronaldo 13/14 - 7⚽️

Fin de la lista. https://t.co/gxo15JpY8H",factscr7_
16,1637955641913364480,2023-03-20 23:13:51+00:00,"por favor, a este tipo lo comparan con el cateto de benzema que tuvo 6 meses buenos",Tobias151102
17,1637954157637255168,2023-03-20 23:07:57+00:00,"#chiringuitoarbitros hablando de var y arbitrios, qué tal recordar la clara falta de Benzema a Donnarumma la pasada champions  ???",2405Futbol
18,1637953984299249664,2023-03-20 23:07:16+00:00,"Cuando pierde, el Madrid utiliza todas sus armas para desviar debates como el mal juego, como que Benzema ha estado a un nivel pésimo, como que Carvajal siga siendo el lateral derecho del Madrid, como los 12 puntos, poniendo el foco en una decisión acertada y en Negreira",zapapafrita
19,1637953470086127616,2023-03-20 23:05:13+00:00,"Ven, no te hare daño @Benzema https://t.co/tMoTt6lvf4",srpicant
20,1637953349692669956,2023-03-20 23:04:44+00:00,Valverde y Benzema duraron en la élite menos que yo con mi ex.,kevogama
21,1637952471711592448,2023-03-20 23:01:15+00:00,"La afición de benzema cansado de él, jajajajajjajajajajajajajaja",guarde7_
22,1637951856235225089,2023-03-20 22:58:48+00:00,"-Benzema: Sí pero fichando a otro 9, no puede seguir sin competencia.

-Kroos: No. Priorizo a Ceballos, Cama, Fede, Tchou y me gustaría que llegue Bellingham.

-Modric: Sí. Sin ser fijo. Para grandes noches sigue siendo diferencial.

-Asensio: No.

-Nacho: Sí.

-Ceballos: Sí.",DaniloRM_
