,Tweet Id,Datetime,Tweet,Username
0,1638328990220922883,2023-03-21 23:57:24+00:00,"Que nocaut se comió La Roca con toda la movida de DC, Black Adam y Henry. Fracaso rotundo. Tal vez el más grande de su carrera. Lo peor es que la peli no está mala. Cumple muy bien. Pero las actitudes de Rock dejan mucho que desear. Pésimo manejo por donde se lo mire",BraandonEric
1,1638328974144094208,2023-03-21 23:57:20+00:00,"Agradezco muchas cosas del antiguo DCEU , pero por cosas como la que están pasando con #ZacharyLevi y #DwayneJohnson y muchisimas cosas malas más es que siempre pedí un reinicio completo de este universo. 

#ShazamFurryOfTheGods  #BlackAdam https://t.co/GztHcwCTXh",mateo00785604
2,1638328088697135105,2023-03-21 23:53:49+00:00,"Pues a mi parecer, Dwayne Johnson no solo entorpeció enormemente las posibles conexiones entre #BlackAdam y #Shazam, si no que también es responsable de quemar el último cartucho que quedaba con el #Superman de Henry Cavill, provocando que Warner no le renovará... https://t.co/cLfER5NR9O",Redox115
3,1638327934212505600,2023-03-21 23:53:12+00:00,"Ya sabemos que fue malo la cagada de negar el cameo de Black Adam en Shazam 2, pero almenos espero a futuro que Gunn cumpla una pelea épica entre estos 2 personajazos, realmente icónico seria la pelea. https://t.co/saKtyqFDGB",ElianXDXDXDXD
4,1638327760862203905,2023-03-21 23:52:31+00:00,¡Chismecito! 😱 Se reveló que Dwayne Johnson (@TheRock) le habría prohibido a Zachary Levi (@ZacharyLevi) aparecer en la película de #BlackAdam. Esto sabemos 👇 https://t.co/72Ke45Pcjf,diario24horas
5,1638327719162269696,2023-03-21 23:52:21+00:00,"#DC | Un nuevo reporte afirma que la estrella de #BlackAdam tomo muchas decisiones creativas que afectaron el desarrollo de Shazam 2, se menciona que eliminó una escena post-créditos e incluso quiso ""enfocar el universo DC solo en él y Superman"".

https://t.co/fHqudyEMbI",ProGamersVE
6,1638327533887258625,2023-03-21 23:51:37+00:00,No puede ser shazam enfrentandose a black adam fuera de pantalla 💀,peraltabff
7,1638326854162477059,2023-03-21 23:48:55+00:00,"No si ya verás, a este paso sí que vemos la pelea entre Shazam y Black Adam 😂😂😂😂😂",sergionopolis
8,1638326422178545665,2023-03-21 23:47:12+00:00,"De todos modos #ShazamFuryOfTheGods fue un fracaso y #BlackAdam también, pero estuvo un poco más interesante la segunda... Y en un berrinche desesperado #ZacharyLevi saca esto, En fin #DC se cayó",azamar1
9,1638325111034986496,2023-03-21 23:41:59+00:00,"La culpa no es del reinicio.

Reinicio tiene que haber si o si porque ya este DCEU no le importaba más al público general. 
Black Adam tenía a uno de los actores más taquilleros y el regreso de Cavill y ni con eso pudo llamar la atención del público general.",mateo00785604
10,1638325039534620672,2023-03-21 23:41:42+00:00,"En términos de venta, es más interesante mostrar que #blackadam da continuidad al mundo donde esta un #superman que lleva años sin aparecer en pantalla, que mostrar algo tan evidente como su enemigo natural #shazam, que saldría con su propia película al próximo año. https://t.co/dRlTACpdSA",TheRealFer2
11,1638324699984801794,2023-03-21 23:40:21+00:00,Ciertamente pero sin Black Adam no hubiese necesidad de haber elegido un nuevo Campeón... así que la existencia de Billy como héroe se basa en que Black Adam los acabó a todos... así que merecia apoyo desde el inicio de la película no cuando necesitaron APALANCAR a la otra,Orenji_Ra
12,1638324460724932608,2023-03-21 23:39:24+00:00,"Imágenes en vivo de Zachary Levi yendo a buscar a The Rock.

#Shazam #BlackAdam #DCEU https://t.co/pmM44MxNOY",RinconFriki_ok
13,1638324149490790400,2023-03-21 23:38:10+00:00,"Las películas de DC podrán ser de calidad cuestionable, pero el chismecito siempre estará cuanto menos entretenido.
#Shazam #BlackAdam",VilorIvan
14,1638323948604518400,2023-03-21 23:37:22+00:00,Qué horrible película es Black Adam.,ClaudChaos
15,1638323696292057090,2023-03-21 23:36:22+00:00,"Yo hubiera querido ver un Shazam vs Black Adam en el cine, pero con esto me conformo",semper_omega
16,1638323521095970818,2023-03-21 23:35:40+00:00,Siento mucha pena que el #Shazam vs #BlackAdam en lugar de verlo en cines lo tengamos en Instagram. https://t.co/q4VXJaiKl0,VilorIvan
17,1638323507862839297,2023-03-21 23:35:37+00:00,"El actor #ZacharyLevi confirma que #DwayneJohnson lo vetó de Black Adam y no quiso aparecer en #Shazam2.😬

Acá los detalles🔗https://t.co/Uw2qcExjsx🍅 https://t.co/tddbHjmuak",TomatazosCom
18,1638323429358043137,2023-03-21 23:35:18+00:00,"Yo esperaba Shazam vs Black Adam,  pero nos dieron Zachary Levi vs The Rock. https://t.co/IpTbV1HdZJ",miltzinacan
