,Tweet Id,Datetime,Tweet,Username
0,1637604755378675712,2023-03-19 23:59:33+00:00,La última imagen de este impresentable.  Te fuiste con la cabecita agachada tremendo inepto y ladrón @rafaelpuente hasta nunca 🫵🏼😠 https://t.co/0RpjK5WKw1,PacoVazquezP_
1,1637604471403421697,2023-03-19 23:58:25+00:00,"La Ministra Norma Piña se deja amenazar para hacer ver mal al cabecita de pañal, se sabe! https://t.co/OTvotYaLaX",Fifirulais3030
2,1637604061133393920,2023-03-19 23:56:48+00:00,Me duele mi cabecita :c,lattiecvte
3,1637603856296050689,2023-03-19 23:55:59+00:00,me pone mal todo lo que pasa por la cabecita de Davi:( no sé como decirle cosas bonitas y cambiar su estado de ánimo;(,sundavibw
4,1637602649058217984,2023-03-19 23:51:11+00:00,El cabecita de algodón es diabólico: el cuadro del fondo es la batalla de Puebla del 5 de Mayo. Todo cuenta.,edmarmota
5,1637601629225603072,2023-03-19 23:47:08+00:00,"CUMPLEAÑOS  FELIZ, CUMPLEAÑOS FELIZ. TOCATE LA NARIZ Y SI NO TE LA TOCAS, SERÁS INFELIZ 🎶

–Va cantando a todo pulmón mientras corretea por los pasillos de la Mansión del Gran Chamán. La marta cibelina, asima la cabecita de su manga preguntándose a qué &gt;",PRINCIPEQI
6,1637601367261937668,2023-03-19 23:46:05+00:00,"Pobrecitos, no les da la cabecita.",Pau1om
7,1637597222366748674,2023-03-19 23:29:37+00:00,Quien será el cabecita de verga que asuma cómo interino,chefdelbolso
8,1637596987242545156,2023-03-19 23:28:41+00:00,"ya no voy a quemarme la cabecita pensando en elloooo, muy tu pedooooo 💆🏻‍♀️",Naohcar
9,1637596849396645890,2023-03-19 23:28:08+00:00,ven q te voy a invitar a bailar,verito13g
10,1637596772443774978,2023-03-19 23:27:50+00:00,si me dices “ven” sabes bien q te sigo,verito13g
11,1637596167063191553,2023-03-19 23:25:25+00:00,Quien dice que no entro ? Se ve clarito como entra la cabecita . Antoniano centro vecinal culo roto,axel_bischoff
12,1637596108233818113,2023-03-19 23:25:11+00:00,todo el día he estado bien sentimental,verito13g
13,1637595997957234690,2023-03-19 23:24:45+00:00,"Luego de ganar contundentemente de visita en el Clásico Nacional, el Cabecita Rodríguez celebró en redes sociales.

#ClubAmerica #CabecitaRodríguez #Águilas https://t.co/t3fMfB56ks",pasionaguila
14,1637594131580035074,2023-03-19 23:17:20+00:00,"Discurso emotivo y de gran orgullo, eso mi cabecita de algodón usted nunca nos decepciona.",zadetonyj
15,1637594111652818944,2023-03-19 23:17:15+00:00,"—Una cabecita muy bonita, si le permite la aclaración.—",iGOLDENFLAMES
16,1637593567488081920,2023-03-19 23:15:06+00:00,Ha visto una cabecita.,xTXESUM0KING
17,1637592786496024576,2023-03-19 23:11:59+00:00,—Asoma la cabecita.—,iGOLDENFLAMES
18,1637591735516667942,2023-03-19 23:07:49+00:00,"🤩 ¡Nadie como el “Cabecita” Rodríguez para los clásicos! 

🇲🇽 Si hay un jugador de la #LigaMX que es especialista, es sin duda el actual jugador del América. 

👉 Aquí repasamos sus participaciones ➡️ https://t.co/p5YfznX9N6 https://t.co/ZTiieXD11S",TelemundoSports
19,1637591479907409922,2023-03-19 23:06:48+00:00,Y esta cabecita es ministro de educación 😔😔 https://t.co/GSGCZDKKuz,MagdalenadaSil3
20,1637589756639952897,2023-03-19 22:59:57+00:00,"La cabecita de Troy asomó de la sombra como si fuera un charco de agua y miró en todas direcciones. Dejó pasar unos segundos para que el resto de lucecitas se alejasen y poder salir hasta la cintura, apoyando los brazos en el suelo.

— ¿Nunca te lo han enseñado? ¡La luz quema &gt;",frxmHell_
