,Tweet Id,Datetime,Tweet,Username
0,1637604706137567234,2023-03-19 23:59:21+00:00,Jajajajajajajajaj pinch3s comentaristas de @FOXSports dicen que en el gol de chivas no las deja ver el sol para checar si es fuera de juego...claro q es fuera de juego no sean paleras...ya denle los 3 puntos a chivas,RegioRayado15
1,1637604323612938240,2023-03-19 23:57:50+00:00,"🇫🇷 ¡VAMOOOOOS, CHINGONAAAAAAS! 🫶

#EsPorChivas 🐐 https://t.co/fhh7GAAtT0",ChivasFemenil
2,1637604315991875585,2023-03-19 23:57:48+00:00,"Adiós al ""labioso"" @rafaelpuente de @PumasMX . ¿Quién le dijo que es entrenador profesional? Es un perdedor... Mal en @Chivas , mal en #Pumas ...Buena decisión de Universidad.",FABIAN7511
3,1637604305275346951,2023-03-19 23:57:46+00:00,"Perdió chivas, perdió tigres.
Pero lo único bueno fue que nevo y gano Barcą",mcastro_38
4,1637604014261977089,2023-03-19 23:56:36+00:00,En 11 días al fin se me hará ver a mis Chivas F en el Akron😭😭😭,adiroman95
5,1637603922415087619,2023-03-19 23:56:14+00:00,Mal fin de semana para irle a Chivas y al Real Madrid 🫠,niallsIaught
6,1637603916979339269,2023-03-19 23:56:13+00:00,Mis Chivas Femenil andan jugando 🔥 solo les falta concretar vamos que se puede ❤️🤍,KOALADLP95
7,1637603840697442306,2023-03-19 23:55:55+00:00,"Ese pinche comercial en Chivas TV donde sale el carpintero haciendo al jugador, está más chafa que los de la cadena multimedios.  

Se pasan de brga 🤭🤭🤭",Luis_LiraM58
8,1637603765275570177,2023-03-19 23:55:37+00:00,"Chivas acumula mucha gente en ataque y Rayadas no ha podido desarrollar con comodidad su fútbol, aunque cada llegada es peligrosa y ya clavaron dos.

Es necesaria más tranquilidad frente a puerta. Queda a deber Caro, el resto del ataque con cosas interesantes. Partido complicado.",DR_Chiva
9,1637603708451053573,2023-03-19 23:55:23+00:00,Ptm que horrible fin de semana 😢,Campeona2_CDG
10,1637603604524683265,2023-03-19 23:54:59+00:00,"¡ESTAN JUGANDO MUY BIEN, AHORA QUE SE REFLEJE EN EL MARCADOR, DALE CHINGONAS SIN BAJAR LOS BRAZOS! 💪🔥🇦🇹 https://t.co/JrNc8W7zqo",LaTiaChivasFem
11,1637603585885077504,2023-03-19 23:54:54+00:00,Me encanta como los de fox siempre buscan con lupa lo que le tienen que marcar en contra a chivas 🤣🤣🤣🤣,Darrell_baker21
12,1637603481115607041,2023-03-19 23:54:29+00:00,"Y cómo siguió la carrilla @pochoguzmanO6 @pochoguzman5 ??                    Porque estabas tú y tus #SHTVas @Chivas  mame y mame y mame y mame, así que SOPORTEN, quedaron solo como 🤡 🤡  porque los del @ClubAmerica les aplicó la del churrero con 4 🥒 J4J4J4J4  ÁNIMO HOCICONES🤷🏻‍♀️ https://t.co/lotHtfGzWM",BettyHa68884355
