,Tweet Id,Datetime,Tweet,Username
0,1637604849184276481,2023-03-19 23:59:55+00:00,Monchi llegando el 1 de Julio a la Ciudad Deportiva Ramón Cisneros para preparar el partido contra el Leganes https://t.co/1oZYbCjziP,Ockap332
1,1637604718330408960,2023-03-19 23:59:24+00:00,"Mañana empiezo un nuevo hábito en mi vida y estoy muy contenta , espero que todo me vaya muy bien🙏🏻",CisnerosJaela
2,1637604560565829633,2023-03-19 23:58:47+00:00,"Me gustaría enamorarme, pero enamorarme de verdad, y sentir que lo que siento también lo sienten por mi.",irvinradamatis
3,1637604406219661314,2023-03-19 23:58:10+00:00,Si me hablas por la noche te cuento el triple de cosas,irvinradamatis
4,1637604117504770048,2023-03-19 23:57:01+00:00,Mi 🚩🚩 es q me pongo distante cuando vi algo q no me gusta,irvinradamatis
5,1637604078438981633,2023-03-19 23:56:52+00:00,Es tan feo recaer cuando ibas bien,irvinradamatis
6,1637603224063442945,2023-03-19 23:53:28+00:00,Me haces volver a brillar y no te has dado cuenta &lt;3,CISNEROSSSS2011
7,1637603166287015936,2023-03-19 23:53:14+00:00,"Mañana tampoco, capaz pasado mañana o JAMÁS 😂",AgusCisneros_
8,1637601201939177472,2023-03-19 23:45:26+00:00,Es posta esto? JAJAJAJAJA 🤣,MairaCisneros10
9,1637601158729547776,2023-03-19 23:45:16+00:00,a veces siento que son los tweets de Cristina y yo contra el mundo,anxreacis
10,1637599985033261057,2023-03-19 23:40:36+00:00,Con esa panza de mierda que tiene Haro puede arbitrar? Dónde envío mi CV?,Azulgroneixe
11,1637599345737359360,2023-03-19 23:38:03+00:00,GOOOOOOOOOOOOOOL CTM,Azulgroneixe
12,1637599044015910914,2023-03-19 23:36:51+00:00,"Todo el mundo sabe la verdad. 
Acá está el carnaval. 
No importan los garrones. 
Muero por los colores. 
Y se quieren matar. 
La ciudad es nuestra. 
SIEMPRE FUIMOS EL PUEBLO
#GELP",FrancoCisneros0
13,1637598763437916160,2023-03-19 23:35:44+00:00,Puro cabeceo... #Bizrrap https://t.co/iDCoDtuZfm,omarcisneroks
14,1637597852535848961,2023-03-19 23:32:07+00:00,"Quemar a nadie.

Qué país que sigue quemando a las mujeres, a pocos metros de la plaza donde lo hacían quienes querían disciplinarnos.

Quemar a nadie.

(Mensaje tomado de @marquezabella )",Chelawuera
15,1637596914978807809,2023-03-19 23:28:24+00:00,nos amamos tanto🫶🏼 https://t.co/LjbI8c4O6E,VaninaCisneros4
16,1637595975614189574,2023-03-19 23:24:40+00:00,"No hay lugar a ninguna  duda ,el colega @blasminayan es un Togado excelente, es un lujo tenerlo como abogado",RafaelC39850991
17,1637595892575506432,2023-03-19 23:24:20+00:00,"Soy un maestro en acordarme de cosas de tiempo atrás y decir ""wey me mamé""",miguelmednotes
18,1637595040284286977,2023-03-19 23:20:57+00:00,Excelente Jurista el colega  Blas Minaya,RafaelC39850991
19,1637594835191300096,2023-03-19 23:20:08+00:00,"crack con la pelota en los pies, pero no puede ser tan tibio hermano",pedrocisneross
20,1637594318373281792,2023-03-19 23:18:05+00:00,gracias lobizón💙,pedrocisneross
21,1637593685750587392,2023-03-19 23:15:34+00:00,no querer levantarme y autopedirme perdón,mauriciocrxt
22,1637592015444557824,2023-03-19 23:08:56+00:00,Un dia te propones para seguir atajando en la seleccion y al otro te clava 3 instituto,RodriCisneros1
