,Tweet Id,Datetime,Tweet,Username
0,1638327471753015298,2023-03-21 23:51:22+00:00,¿Estamos en Corea del Norte o que?,sergiohdz96
1,1638327094341177344,2023-03-21 23:49:52+00:00,Así es. Como en Corea del Norte.,alonsoupt
2,1638327072073433089,2023-03-21 23:49:47+00:00,"Si el país está dividido entre Norte y Sur, ten por seguro que yo estaré ahí esperando el día de su gloriosa reunificación. Corea del Norte y Corea del Sur. Irlanda del Norte e Irlanda del Sur. Baja California Norte y Baja California Sur. Palestina del Norte y Palestina del Sur.",AguilarFAR
3,1638326453023416321,2023-03-21 23:47:19+00:00,El gobierno de Kim Webon cada vez más parecido a su similar de Corea del Norte 🤦🏽,The_Master85
4,1638325938520834050,2023-03-21 23:45:17+00:00,"🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
¡ Viva corea del norte !!
Achinga es México 🥶
Así ó más Patéticos 🤣
#MorenaNidoDeRatas",Deybylara151113
5,1638325261455294467,2023-03-21 23:42:35+00:00,"Presidente @petrogustavo , pa' lante, si tenemos que aliarnos con Rusia, China, Corea del Norte, Venezuela, Brasil y Argentina, no lo dude. Pa' lante Presidente Gustavo Francisco Petro Urrego. https://t.co/NZNEKuXMgO",ArturoR99159964
6,1638324736257081344,2023-03-21 23:40:30+00:00,"Tendencia: Corea del Norte
Posición: 13
Link: https://t.co/rWkJ38AyJL
Reacciones: 1406
Relevante: https://t.co/ubbU3na1bV",TTPoliticasMx
7,1638323737949884417,2023-03-21 23:36:32+00:00,👇 Cómo Corea del Norte manipula la tecnología para 'vendarle los ojos' al pueblo https://t.co/MxxyWRxnPD,Enteremonos
8,1638322702367748097,2023-03-21 23:32:25+00:00,Recuerden los japoneses que el gordito de Corea del Norte practica tiro al blanco con ustedes; así que cuiden su patio trasero y dejen de meterse en lo ajeno. @JoelvinRV,CarlaMorotoli
9,1638322498654568453,2023-03-21 23:31:36+00:00,"🤔 ¿ en qué régimen hacían un himno de todo? ¿Stalin, Corea del Norte?",GabrielleBelau1
10,1638321697001463813,2023-03-21 23:28:25+00:00,Corea del Norte asegura que casi 800.000 personas se inscribieron en el Ejército para luchar contra EE.UU. https://t.co/Dsg7OPdEFy,DominicanosNYC
11,1638321161053302785,2023-03-21 23:26:17+00:00,"Jajajajajaajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja. 
¿Se creen Corea del Norte?",luismanuelpaz
12,1638321003699814405,2023-03-21 23:25:40+00:00,"TERMINA SIENDO MUY COMICO
La Intérprete de Kicillof, no está editado fue así! Cancelaba y volvía.(INEPTO TOTAL) 
Corralito-IVA al 24% Fantino #DolarBlue #InsultoPresidencial 3%de IVA Corea del Norte Puente Pueyrredón Cristina Macri https://t.co/8TNcHS4sbQ",ArteJho
13,1638320269516328967,2023-03-21 23:22:45+00:00,Y pensar que muchos peronistas son Corea del Norte con respecto a Macri,MasilVs27
14,1638319403535159296,2023-03-21 23:19:18+00:00,En Corea del Norte viven como en un universo paralelo,MaryJI23
15,1638319315719004160,2023-03-21 23:18:58+00:00,"-Oye Estados Unidos ¿Porque invades Iran?
-Porque tiene armas nucleares.
-Ahmmm ok ¿y porque no invades Corea del Norte?
-¿¡Estas loco!? ¡¡Tienen armas nucleares!!",Lanzbot
16,1638316352032186369,2023-03-21 23:07:11+00:00,"No es Moscú ni Corea del Norte ni Venezuela . Es la Francia de Macron 
#FelizMartesATodos los franceses y ciudadanos del mundo que luchan por una humanidad más justa y solidaria.",AlexD60015349
17,1638315728980901888,2023-03-21 23:04:42+00:00,"Ahora las dictaduras son prácticamente inamovibles: Cuba, Nicaragua, Venezuela, Rusia, China, Irán, Corea del Norte, Bielorrusia. Si López se queda a través de alguno de sus títeres, todo estará perdido. Será casi imposible removerlos. Por eso es vital ganar en 2024..",g_quadri
18,1638315119355523076,2023-03-21 23:02:17+00:00,Hasta en Corea del Norte tienen más pudor,economicliberal
19,1638314639380324353,2023-03-21 23:00:23+00:00,"Según Corea del Norte, alrededor de 800.000 estudiantes y trabajadores de todo el país expresaron su deseo de alistarse o volver a inscribirse en el Ejército para combatir a Estados Unidos: https://t.co/IEP7j0OkSX",CNNEE
