,Tweet Id,Datetime,Tweet,Username
0,1638329631605415938,2023-03-21 23:59:57+00:00,Hay una piba con novio que le veo las historias y estoy INDIGNADA porque no subió ninguna foto de unas flores amarillas con la canción de Floricienta,Infinitann
1,1638329604925521920,2023-03-21 23:59:51+00:00,Dios alguien me puede regalar flores amarillas no pido mucho solo ser floricienta 4 ever,flordelvallo23
2,1638329514211045377,2023-03-21 23:59:29+00:00,La neta la serie de floricienta estaba bien culera,sofiaerrese
3,1638329288716873731,2023-03-21 23:58:35+00:00,"te falle Floricienta mi niña interior va a seguir esperando, mis flores amarillas",AbrilSchoepf
4,1638329254025867265,2023-03-21 23:58:27+00:00,otro año sin mis flores amarillas. perdón floricienta😭,moreeds_
5,1638329028204728320,2023-03-21 23:57:33+00:00,"Oigan ya me estresé de ver gente con flores amarillas, o sea, qué bonito. Pero, es que nunca me gustó floricienta",tiredbutcut3
6,1638328855780900865,2023-03-21 23:56:52+00:00,Y a mi que chota me importaaaa????? Yo no sé ni quién es Floricienta,tengonombreraro
7,1638328798960660481,2023-03-21 23:56:39+00:00,floricienta estaria feliz por q las recibi😭,brii_reynoso
8,1638328792652595201,2023-03-21 23:56:37+00:00,Que hermosas se veían todas en mi facultad con sus flores amarillas 🥹 PERO se me hace una falta de respeto que me dijeran que no saben quien es floricienta y no entienden porque flores amarillas 🫠,nahohdz
9,1638328659655241728,2023-03-21 23:56:05+00:00,Me encanta no saber que cosa mirar por yt y que aparezca mágicamente un capitulo de floricienta. AMO🩷,caamilaaluna
10,1638328593905328134,2023-03-21 23:55:50+00:00,no soy fan de floricienta pero yo no podría estar con un hombre que no tomara cualquier oportunidad para darme flores o regalos en sí,melrxss
11,1638328532236378112,2023-03-21 23:55:35+00:00,Las canciones de floricienta duelen más que las de Mon Lafert,SofilicaP
12,1638328407380447233,2023-03-21 23:55:05+00:00,"Te fallé floricienta,no me regalaron flores amarillas hoy😥",Joseeeh2
13,1638328308319367177,2023-03-21 23:54:42+00:00,Me llama la atención la gran cantidad de gente que se sabe la canción “Flores Amarillas” de Floricienta pero no sabe de Floricienta,isoyalexe
14,1638327847268888577,2023-03-21 23:52:52+00:00,"Floricienta sigue siendo icónica después de 20 años, que orgullo 🥹",AdriDeChocolate
15,1638327805346824199,2023-03-21 23:52:42+00:00,"otro año sin flores amarillas, te fallé floricienta",paulaemilia99
16,1638327761327538178,2023-03-21 23:52:31+00:00,"Que bonito.  Hoy ,por todos lados, escuché la canción ""flores amarillas"" de floricienta 💛.",brokeeen_heart
17,1638327715441909760,2023-03-21 23:52:20+00:00,Me gusta mas q floricienta https://t.co/lURN2oG0ve,vaalchiqui
18,1638327709615923203,2023-03-21 23:52:19+00:00,Gracias al motorista que nos hizo coro con la canción de floricienta &lt;3 JAJS,apcdv_
19,1638327570465792003,2023-03-21 23:51:46+00:00,Llevo asoleado a mi pobre padre con mis rolas de floricienta jajajajjaj,solmantilla_32
20,1638327513532485633,2023-03-21 23:51:32+00:00,"Ptm, nunca me voy a recuperar de que floricienta no pudo estar con Fede.
“Pero no vino nunca, no shegó y mi vestido azul se me arrugó.” 💔💔💔",miichell_cs
21,1638327470150545409,2023-03-21 23:51:22+00:00,"vi 30 historias con la canción de Floricienta, soy este: https://t.co/xdn2sejxGd",ali_dosis19
22,1638327372855353344,2023-03-21 23:50:58+00:00,"Hoy vi como un flaco buscaba a su novia en el auto y puso al palo, flores amarillas de floricienta y de paso le dio unas flores. La verdad, un capo",gasstiponce
23,1638327221998813191,2023-03-21 23:50:23+00:00,Ah chingao! vi Floricienta dos veces y no recuerdo que recibiera sus flores amarillas el 21 de Marzo🤔,guiomarrv
24,1638327074137190400,2023-03-21 23:49:47+00:00,a poco sí vieron floricienta morras?,then_ollg
25,1638327065383428097,2023-03-21 23:49:45+00:00,"[21/3 20:46] ea: LOS ODIO CORNUDOS DE MIERDS SEGURO NI SE VIERPN FLORICIENTA
[21/3 20:47] ea: seguro después va a salir la moda de regalar pitos de chocolate y las cornus van a saltar a  decir ""ya, pero estamos en 68 de marzo y aun no recibo mi pito de chocolate🥺""",dnfaso
26,1638327016498905089,2023-03-21 23:49:34+00:00,Wey pero xq flores amarillas? Por floricienta?,MgSandi
27,1638326960878235648,2023-03-21 23:49:20+00:00,Tengo difonia por cantar toda la tarde floricienta 💀💀💀,wmixvol6_
28,1638326932608630785,2023-03-21 23:49:14+00:00,"Mi novio: por qué todos están subiendo flores amarillas? 
Yo: ni yo sé, creo que es el día de floricienta",omariecibz
29,1638326905299431428,2023-03-21 23:49:07+00:00,"""mí floricienta"" 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",alfajordelcaro
30,1638326788785938432,2023-03-21 23:48:39+00:00,Para las planitas también sus #floresamarillas #floricienta https://t.co/9TCDSOQ67c,17HR10
31,1638326651598647298,2023-03-21 23:48:07+00:00,pintando mandalas mientras miro floricienta 🫶🏻 volví a tener 5 años,CamiVergaraaa
32,1638326622469124099,2023-03-21 23:48:00+00:00,todavía no entiendo pq relacionan el otoño con las flores amarillas y  la canción d floricienta jajajaajja¿?¿?,dariiscalise
33,1638326587119501313,2023-03-21 23:47:51+00:00,"No te fallé floricienta, si llego con mis flores amarillas 😭🥺🫶🏽 https://t.co/4QczJDQQrk",eluismarbaby
34,1638326525291274241,2023-03-21 23:47:36+00:00,"Ahora eso de las flores amarillas es nuevo? se que es por Floricienta, pero esa dinámica es de este año? Que loco, me entero. 🙈🤔 estoy perdida 🤣😅",yeye_lav
35,1638326496916897798,2023-03-21 23:47:30+00:00,yo? yo me la pasaré todo lo que queda del día de hoy cantando todas las canciones de floricienta,closevalessi
36,1638326492789612544,2023-03-21 23:47:29+00:00,"Ya que, a hacer tarea escuchando floricienta, como diría A bailar la vida se va y pasa cerca de mi casa https://t.co/6GJB12yxLy",UvasViejas
37,1638326448812437505,2023-03-21 23:47:18+00:00,"¡Bienvenida la primavera! 🥹🌻, si me dieron mis flores #21deMarzo2023 #floresamarillas #Floricienta https://t.co/IjH8XrVfSd",mara_volkovaa
38,1638326340154806275,2023-03-21 23:46:52+00:00,"El 21 de marzo le regalaron flores amarillas a Floricienta y a mi. 
No puedo más 💖💖💖 https://t.co/s5srFY6MM2",Moreepiccat
39,1638326330117816320,2023-03-21 23:46:50+00:00,Ella ya está feliz con sus flores amarillas pero no pienso seguir escuchando la canción de floricienta que ya me tiene hasta la madre,damianemmanueel
40,1638326276514562050,2023-03-21 23:46:37+00:00,Flores Amarre de Floricienta fue y será mi himno no espero menos que ese gesto porque así de romántico soy hahahaha,soyjrag
41,1638326231547494401,2023-03-21 23:46:26+00:00,pasaba por la vereda y escuché a una vecina escuchando flores amarillas de floricienta jajajsjdj tranqui hermana ya te va a llegar,euphgkook
42,1638326182453149697,2023-03-21 23:46:15+00:00,Feliz día de la flores amarillas de Floricienta 🌼,marrvd
43,1638326004014804992,2023-03-21 23:45:32+00:00,"Mira que soy fan 1 de floricienta, pero no sabía la de las flores amarillas jajaja",melchufari
44,1638325999329787907,2023-03-21 23:45:31+00:00,Hoy me regalaron una flor amarilla y estuve cantando toda la mañana floricienta solo soy una chica🙏🏻,stagnaro_milu
45,1638325907050905600,2023-03-21 23:45:09+00:00,Me caga floricienta ptm,pinkip0ni
46,1638325878663905280,2023-03-21 23:45:02+00:00,Pinche chaviza y su mamada de las Flores Amarillas 🌼🌼 a uds ni les toco Floricienta. Inventados,Ken_Montoya
47,1638325826906120193,2023-03-21 23:44:50+00:00,"Ya no sé en qué fecha las florerías roban más: 14 de febrero, 10 de mayo o el pinche 21 de marzo

Tanto daño le haz hecho a mi país Floricienta 

Por eso aquí se festeja la primavera del hemisferio sur alv",AvIa_Raquel
48,1638325823760367621,2023-03-21 23:44:49+00:00,no puede ser que se la única que no vio en su vida floricienta,RosarioFaur
49,1638325727505309696,2023-03-21 23:44:26+00:00,Hola solo para avisar que en perucito la primavera empieza el 23 de septiembre y los días de floricienta son ese día y el 15 de marzo que onda con las flores amarillas hoy? I mean amo pero ke fue,cristyclau
50,1638325721314758657,2023-03-21 23:44:25+00:00,Hoy todos se sienten Floricienta o que caray?,Lopez96__
51,1638325702570262528,2023-03-21 23:44:20+00:00,Ay niña pero usted. Cual flores amarillas ni que ocho cuarto si usted nunca vio Floricienta.,AAiluromana
52,1638325642314895361,2023-03-21 23:44:06+00:00,Me quiere volver loca lo sé,paulitanaza
53,1638325622970744832,2023-03-21 23:44:01+00:00,"Floricienta, nos fallaron",eltomatito99
54,1638325511586820098,2023-03-21 23:43:35+00:00,Mi hermana toda tirada cansada del laburo y yo pegada a ella cantando canciones de Floricienta https://t.co/Z33MFXWf5v,b_anabella_l
55,1638325457207586817,2023-03-21 23:43:22+00:00,Creo q te fallo Floricienta,ainii_gudino
56,1638325302022610945,2023-03-21 23:42:45+00:00,"Me compré flores amarillas y escuché a Floricienta en el auto de vuelta a casa.
El mejor Martes de mi vida

#FreeRol https://t.co/DxAPKkvYlo",mfghosts
57,1638325236054499328,2023-03-21 23:42:29+00:00,Vino a mi trabajo a darme unas #floresamarillas 🌻🌼🥹 te amooooo mi amooor♥️ gracias por consentir a mi niña interior 🥰 #Floricienta https://t.co/nCwp2gewdr,SoyLaisha
58,1638325168786243585,2023-03-21 23:42:13+00:00,La gente que cree que las flores amarillas es para pedir perdón por infidelidad... ¿Acaso nunca en su vida vieron Floricienta?,KimPerdomo16
59,1638325132191039491,2023-03-21 23:42:04+00:00,Qué oso con nuestra generación y la influencia total de Floricienta! 🌼,azuldealgodon
60,1638325121394827265,2023-03-21 23:42:02+00:00,Como es que pasaron de ser fanáticas de #mileycyrus  y comprarse sus propias flores a ser fanáticas de #Floricienta  y pedir sus flores amarillas en tan poco tiempo? 💁‍♂️😅🤣🤷‍♂️,Carlinho1988
61,1638324927722934272,2023-03-21 23:41:16+00:00,Lluvia 🌧️ + álbum de floricienta = depresión 🫶🏻,ferreroso_
62,1638324876300677121,2023-03-21 23:41:03+00:00,¿Sabrá Floricienta el impacto económico que su canción tiene sobre Latinoamérica cada que inicia la primavera?,Yosh_G
63,1638324829383270406,2023-03-21 23:40:52+00:00,"Ella sabía que él sabía, que algún día pasaría, que vendría a buscarla con sus flores amarillas 🌻♥️
#floresamarillas #Floricienta
Se que aunque tenías poco tiempo, hiciste un esfuerzo por vernos y sorprenderme con este hermoso detalle... En serio gracias, te amo 🌻♥️ https://t.co/jLNsvnDWyJ",_FloresDeLoto_
64,1638324766254813185,2023-03-21 23:40:37+00:00,"Mood: Como Floricienta, sigo esperando mis flores amarillas 🙃",Melith__
