,Tweet Id,Datetime,Tweet,Username
0,1637604790577373184,2023-03-19 23:59:41+00:00,"Ministerio Público asegura Mimilo Jiménez le entregó RD$3,957 millones a Gonzalo Castillo dentro de bolsas y maletas de viaje https://t.co/FvSSjn6sjT",RDSomosPueblo
1,1637604788694048770,2023-03-19 23:59:41+00:00,"Y recién van 8 fechas...

#PrimeraNacional https://t.co/RU4Pb3bzdh",rukhasgunsalu
2,1637604770805432320,2023-03-19 23:59:37+00:00,latorre no puede ser más bostero,Diazgonzaloo10
3,1637604740203675648,2023-03-19 23:59:29+00:00,"Hablaremos sobre la crisis en el mercado del dólar, los informes de las calificadoras de riesgo y sobre la real situación de la economía boliviana. https://t.co/mj7IU9d6r5",GonzaloCHavezA
4,1637604705206431745,2023-03-19 23:59:21+00:00,"que asco boca, a mi sobrina a mis no hijos, siempre le voy a inculcar que boca es lo mas MIERDA QUE HAY",Pollini1991
5,1637604686957101056,2023-03-19 23:59:17+00:00,Es penal pero no hace falta que puntita Latorre implore 23 veces penal.,RodriPetty
6,1637604674080579587,2023-03-19 23:59:14+00:00,Se dan cuenta que no había cobrado nada y que ahora duda? Y que luego le cobró foul a Vázquez? Es absurdo cómo arbitran a Boca en su cancha,gperezalvarez
7,1637604660604289028,2023-03-19 23:59:10+00:00,que gracioso lo de anoche,gonzalo_bucci
8,1637604649791287296,2023-03-19 23:59:08+00:00,Rajaron al ruso siviski https://t.co/beU8rntchm,gonz1899
9,1637604641432039424,2023-03-19 23:59:06+00:00,Como me caería cm un electrolit,rgonzalo_23
10,1637604613984595968,2023-03-19 23:58:59+00:00,Latorre bostero asqueroso y vendehuno,Gonzalo_Pezoa
11,1637604566211461121,2023-03-19 23:58:48+00:00,Basta de este calor wn!!! 🤬,Gonaraya
12,1637604519319072768,2023-03-19 23:58:37+00:00,"Jamás pero jamás en la vida podría empatizar con una persona que disfruta de las corridas de toros.
Si eres de esas personas deseo que se te salgan las hemorroides!!",Gonzabpm
13,1637604431754588163,2023-03-19 23:58:16+00:00,"FÚTBOL PROFESIONAL • #FederalA

➡ Gooooooooooooooool de la ""verde"", lo hizo Gonzalo Ramírez 

➡ ST: 47' El Linqueño 2 - 2 #SportivoBelgrano

#JugamosTodos #ElAlmaPorLosColores
#PasadoPresenteFuturo https://t.co/MoxqXj0lWi",ClubSpBelgrano
14,1637604411504467969,2023-03-19 23:58:11+00:00,Para tirar a la basura estamos jajajajajaj te amo,Gonzalo_tomaas
15,1637604352490721281,2023-03-19 23:57:57+00:00,"que ladrones el penal que le van a dar a Boca, después lloran que asco culiado",Gonzalo_Pezoa
16,1637604348338266112,2023-03-19 23:57:56+00:00,"El Torquemada, seudo intelectual, seudo escritor, seudo mexicano  !!!",huarapin10
17,1637604336640446464,2023-03-19 23:57:53+00:00,no lo cobra,g2nso
18,1637604320458702848,2023-03-19 23:57:49+00:00,No me puedo creer que van a cobrar penal eso,Gonza_mata1
19,1637604211880763392,2023-03-19 23:57:23+00:00,Gol de SPORTIVO BELGRANO (SAN FRANCISCO): 90m(+2) Gonzalo Ramírez. EL LINQUEÑO (LINCOLN) 2-2 SPORTIVO BELGRANO (SAN FRANCISCO). https://t.co/L7tWCDKQ9g,SoloAscenso
20,1637604208936452096,2023-03-19 23:57:23+00:00,Si no cobra penal no entiendo mas nada,Gonzaroldann11
21,1637604204326920192,2023-03-19 23:57:22+00:00,Se viene boquita festejando empates?,gonzalomarc1393
22,1637604188157771776,2023-03-19 23:57:18+00:00,Hasta cuando va a jugar al banco merentiel,Gonzalo45366451
23,1637604158789369856,2023-03-19 23:57:11+00:00,Cada vez que un arquero se lleva puesto a un delantero me resuena el flashback de Vietnam de Vignolo gritando ''ES QUE HIGUAIN NUNCA LO VE AL ARQUERO'',gonzaloco1
24,1637604098856964096,2023-03-19 23:56:57+00:00,Si no lo cobran es otro escándalo más... Son capaces,gperezalvarez
