,Tweet Id,Datetime,Tweet,Username
0,1637967183815770113,2023-03-20 23:59:43+00:00,"Henry Oporto, director de Milenio, identifica barreras para la inversión privada en Bolivia, como la inseguridad jurídica y el sistema judicial cooptado políticamente https://t.co/HmaBWEELiI",fmilenio
1,1637967079646142469,2023-03-20 23:59:18+00:00,Otro parásito q necesita de tontos para vivir,HenryLu00339078
2,1637967078643625984,2023-03-20 23:59:18+00:00,"#NACIONAL🚨 | Frente al reportaje emitido por Cuarto Poder, el premier Otárola descartó cualquier indicio de corrupción de Dina Boluarte quien fue señalada de haber recibido dinero del empresario investigado Henry Shimabukuro, durante la campaña electoral 2021 https://t.co/GzxBdP4Nj8",Lucidez_pe
3,1637966852318961669,2023-03-20 23:58:24+00:00,!Emma Cristina! Mi querida nieta...así va en su primer cumpleaños. !Dios te guarde! https://t.co/dL0TGSvAmG,henryalmonted
4,1637966832140267522,2023-03-20 23:58:19+00:00,"“Llegar juntos es el principio. Mantenerse juntos, es el progreso. Trabajar juntos es el éxito”.
-Henry Ford.-",Lawy3r_Hack
5,1637966624324976642,2023-03-20 23:57:29+00:00,"Henry Martín es el actual líder de goleo de la Liga MX y Diego Cocca lo considera importante para la Selección Mexicana ⚽🇲🇽🧐📺

#almomento #elunicodelsureste #informaciónparati

https://t.co/DTWZ8YdWi2",LVerdadNoticias
6,1637966561376968704,2023-03-20 23:57:14+00:00,"!Parece que fue ayer don Ellis! Cariño, admiración y respeto para usted. https://t.co/DhNcxS9RYZ",henryalmonted
7,1637966526908182530,2023-03-20 23:57:06+00:00,En colombia siempre tendrá q prevalecer la LIBERTAD Y EL ORDEN todo depende de nosotros mismos https://t.co/wgLtlHJoTI,HenryACardenas
8,1637966506003779584,2023-03-20 23:57:01+00:00,Al proyecto AMABICI le falta una campaña comunicacional que eduque. De un día para otro nomás aparecen bicisendas por ahí.,osmarhenry_
9,1637966014804643842,2023-03-20 23:55:04+00:00,#DeportivoMoron J. Ayala; D. Adin M. Coronel A. Gomez N. Henry; P. Ferreira; G. Berterame B. Orosco S. Coronel; F. Garcia y L. Ramos vs Alvarado de Mar del Plata.,OesteEnAscenso
10,1637965701905281025,2023-03-20 23:53:49+00:00,"#Rusia tumba un dron de #EstadosUnidos. 
Por este motivo la primer potencia  del mundo le muestra los dientes a #Rusia... un lenguaje disuasivo.",HenryMolano1
11,1637965663275720707,2023-03-20 23:53:40+00:00,"🚨 🗣️ A raíz del reportaje de dominical en el que se denuncia que Dina Boluarte habría recibido dinero de Henry Shimabukuro y un empresario para su campaña electoral; el titular de PCM, Alberto Otárola, respaldó a la presidenta.

🔗 Más información en https://t.co/gnPXnmMSvX https://t.co/xJruCgUpsQ",RPPNoticias
12,1637965546325962754,2023-03-20 23:53:12+00:00,"https://t.co/KPgOBqVlLT EL man la tiene clarita, x favor",HenryHT21
13,1637965227571527681,2023-03-20 23:51:56+00:00,"Presidenta Dina Boluarte no ha tenido relación con Henry Shimabukuro, enfatizó el premier Alberto Otárola https://t.co/Urx8KJEzwq https://t.co/vmBktSg14n",DiarioElPeruano
14,1637965221942665218,2023-03-20 23:51:55+00:00,"Claramente, más Sam Elliott que Henry Fonda.",Civilcinema
15,1637964853276024835,2023-03-20 23:50:27+00:00,"This si the way

#Rayados sigue líder ya clasificó a la siguiente fase. Su próximo objetivo es asegurar cuartos.
#América goleó y es el mejor ataque con Henry como goleador, León va subiendo y es la mejor defensa mientras Pumas va en picada y se acerca a los sotaneros.

#LigaMX https://t.co/a9JFEzo2GY",JEBlogSports
16,1637964683721297921,2023-03-20 23:49:47+00:00,Qué intensa está Alucarda alv. Love it 🖤✨,elhenrysalas
17,1637964267604553728,2023-03-20 23:48:07+00:00,Vamos Mexico!,HenryIslas
18,1637963946710663173,2023-03-20 23:46:51+00:00,La foto de perfil//el dueño de la cuenta https://t.co/GHuNhcU2Fd,KyksTuit
19,1637963873193009154,2023-03-20 23:46:33+00:00,!Duro de matar!,henryalmonted
20,1637963863290179586,2023-03-20 23:46:31+00:00,"La abuelita decía, piensa mal y acertarás..",zemogh
21,1637963561342230529,2023-03-20 23:45:19+00:00,Dios mío tengo 3 semanas trasnochándome.,HenryJose_
22,1637963493197348867,2023-03-20 23:45:03+00:00,"Papel higiénico!
@ca_acosta",heuceda
23,1637963108281884674,2023-03-20 23:43:31+00:00,Alv un día despues de mi cumpleaños XD,ElHenry900
24,1637962939670953985,2023-03-20 23:42:51+00:00,"La ciudad de Nínive, se menciona varias ocasiones en la Biblia, muchos pensaban que era una ciudad mítica por falta de evidencia arqueológica; hasta que Austen Henry Layard descubrió en 1847 una serie de lugares y tablillas, las cuales dan muestra de la existencia de Nínive. https://t.co/hbciqFAGRM",lilehercruz
25,1637962927230660608,2023-03-20 23:42:48+00:00,"Por burlarse de Chivas en festejo, Henry Martín pagaría una multa millonaria https://t.co/Gd91SyUEyv",informador_DEP
