,Tweet Id,Datetime,Tweet,Username
0,1638329222610534401,2023-03-21 23:58:20+00:00,Fan de Humbe soy y no se duerme hoy,cynthiaa_rdzz
1,1638329017219837953,2023-03-21 23:57:31+00:00,quien para escuchar el nuevo álbum de humbe juntxs :’),Atylexcx
2,1638328808678801409,2023-03-21 23:56:41+00:00,necesito que humbe ya saque “esencia” 😭,taylor_drafts
3,1638328443296161794,2023-03-21 23:55:14+00:00,ojalá tener merch de humbe para ponérmela y escuchar esencia 😿😿,_ariangita_
4,1638328402074652679,2023-03-21 23:55:04+00:00,con flores amarillas y con álbum nuevo de Humbe https://t.co/ryWZWaLckN,CAOS15HS
5,1638327297462657025,2023-03-21 23:50:41+00:00,Humbe ya saca ese álbum que ocupó pegar una buena llorada 😭😭😭,laubau19
6,1638326242586906624,2023-03-21 23:46:29+00:00,Hoy sale el álbum de humbe y yo solo estoy pensando con cual canción me voy a identificar mas,Jimenezdulce00
7,1638326207174561792,2023-03-21 23:46:21+00:00,"la flor eterna amarilla que me dio hoy, por ser 21 de marzo, uff. soy fan

spotify: EL POETA by Humbe",me_tinoco
8,1638326009815506944,2023-03-21 23:45:34+00:00,AHHHHHH DIOSSSS MIOOOO,emmaislas12
9,1638325322306269184,2023-03-21 23:42:50+00:00,"En unas hora se estrena ""Esencia"" de Humbe y con los adelantos que ha dado se confirma el spoiler que nos dió cuando canto ""Todos me preguntan si yo escribo mis canciones, si supieran que aún no salen las mejores"" 🥺",burningforu_
10,1638324739339853824,2023-03-21 23:40:31+00:00,apúrale humbe que ya ocupo llorar,VeronikSuarez21
11,1638324622301986818,2023-03-21 23:40:03+00:00,ya quiero q salga el álbum d humbe para ver con q parte m voy a identificar,rosalesgiss
12,1638324555893579777,2023-03-21 23:39:47+00:00,"mañana sale el nuevo álbum de humbe, ya estoy muy impaciente",avispitaa
13,1638324497425240064,2023-03-21 23:39:33+00:00,afortunado el hombre q me haga amarlo más q a humbe,ojitosddmiel
14,1638324444568461313,2023-03-21 23:39:20+00:00,"AAA faltan horas. 
Ya casi sale el álbum del Humbe AAA",Melisiux_
15,1638324254348386307,2023-03-21 23:38:35+00:00,Aún sigo procesado que humbe le dio like a mi TikTok y me comentó,gaeel04
16,1638323952538746881,2023-03-21 23:37:23+00:00,"en 6 horas no voy a existir para nadie, solo para humbe https://t.co/B7p6op4nuS",wwd4ni
17,1638323628503867393,2023-03-21 23:36:06+00:00,"Hoy no me hablen, hoy soy solo de humbe y para humbe",elplatita
18,1638323548862267399,2023-03-21 23:35:47+00:00,Humbe y yo tenemos una cita a las 12 am.😘,Emily_ubn
19,1638323131654844417,2023-03-21 23:34:07+00:00,Casi lloro enfrente de humbe? Casi lloro enfrente d humbe.,iprh1
20,1638323114663727105,2023-03-21 23:34:03+00:00,t amo humbe,gabichuelitas_
21,1638323095172706305,2023-03-21 23:33:59+00:00,"Mañana álbum de humbe y bzrp session de arcángel, que rico día hp",Osmi_8
22,1638321761543397377,2023-03-21 23:28:41+00:00,busco amigas q sean humbers para colapsar por el nuevo álbum #humbers #humbe #ESENCIA,valxhaze
23,1638321467925626880,2023-03-21 23:27:31+00:00,Si humbe sii,ft_bibiss
24,1638320577063575552,2023-03-21 23:23:58+00:00,Y LA QUESO X2,HumbeFtTIMO
25,1638320478522687489,2023-03-21 23:23:35+00:00,ocupó dreamteam para un concierto de humbe 😭,danna_rovira
26,1638320385971085312,2023-03-21 23:23:13+00:00,Y LA QUESOOOOOOO,HumbeFtTIMO
27,1638319896567136258,2023-03-21 23:21:16+00:00,todavía no escucho esencia de humbe y ya sé que se va a sentir así: 🫂✨❤️‍🩹💐🥹,meeermmer
28,1638319802195271680,2023-03-21 23:20:54+00:00,"me voy a dormir, ahí m despiertan cuando salga el álbum d humbe",not_like_sofff
29,1638319624650620928,2023-03-21 23:20:11+00:00,"mañana no nos llamen a @Orali_Serrano y a mí, vamos a estar ocupadas escuchando el álbum de Humbe hasta que nos aprendamos las canciones",fannybau02
30,1638319298958483458,2023-03-21 23:18:54+00:00,una ya está preparada 😻 https://t.co/IPnp7EAW8m,BANGFILTER
31,1638319241165242368,2023-03-21 23:18:40+00:00,"humbe, es verdad que esencia me va a dejar con menos estabilidad emocional?",305LOVESM
32,1638318978417274880,2023-03-21 23:17:37+00:00,hoy sale álbum de Humbe y yo no se que esperar aparte de ARTE,BeeSkzXh
33,1638318923530616835,2023-03-21 23:17:24+00:00,Yo soy humbe,who_is_Meel
34,1638318435481317376,2023-03-21 23:15:28+00:00,al rato estaré llorando hasta deshidratarme con el álbum de humbe,solxpezz
35,1638317682238935041,2023-03-21 23:12:28+00:00,"Necesito persona formal que esté dispuesta a emocionarse cada vez que Humbe interactúe conmigo, les doy una picafresa 🫡",Fer_olivares07
36,1638317674907291650,2023-03-21 23:12:26+00:00,ES HOYYYYYYYY,humberdz
37,1638317524269031425,2023-03-21 23:11:50+00:00,"YA HUMBE, NO PUEDO ESPERAR DE AQUI A LAS 12 PARA TU ALBUM https://t.co/j2WFfDs3Ii",SwiftBlink5
38,1638317474725736450,2023-03-21 23:11:39+00:00,"Espero más  "" esencia"" de humbe q mi boleta",glexeslx
39,1638317207187750913,2023-03-21 23:10:35+00:00,Mañana sale el álbum de Humbe me dieron ganas de chupar pene,InlveJxrdan
40,1638316762780295169,2023-03-21 23:08:49+00:00,MAÑANA SALE EL ÁLBUM DE HUMBE!!!,gutierritozzz_
41,1638316322076467200,2023-03-21 23:07:04+00:00,serían mi mamá usando a humbe de sticker? Kajsjajsjsj https://t.co/sYSY0w2Kjb,ivannalv_
42,1638316293576171523,2023-03-21 23:06:57+00:00,que nos pasó?,_hxneydan
43,1638315824644587529,2023-03-21 23:05:05+00:00,“aurora” de humbe duele más ahorita que nunca,drafsalita
44,1638315749642051585,2023-03-21 23:04:47+00:00,Humbe te amo como no tienes idea,daniloveshumbe
45,1638315364604887042,2023-03-21 23:03:16+00:00,la vida quiere que disfrute de esencia sin preocupaciones,BANGFILTER
46,1638314963570679811,2023-03-21 23:01:40+00:00,no tendré flores amarillas pero si álbum de humbe y hasta canción especial pa todos los humbers y la que sopo💋,vcvaleryy
47,1638314795182219264,2023-03-21 23:01:00+00:00,LA MAMÁ DE HUMBE ME SUBIO A SUS HISTORIAS DE INSTA😭😭😭,whereispatt
48,1638314117835501570,2023-03-21 22:58:18+00:00,"YA HUMBE, SACA TU ÁLBUUUM 😭",nzksset
49,1638312834298773505,2023-03-21 22:53:12+00:00,"Tengo examen a las 7:30, pero Humbe es prioridad ✨",chio_xm
50,1638312331603050496,2023-03-21 22:51:12+00:00,"Que se espere todo lo de más, hoy sale el álbum de Humbe, la vida es buena",danidcast
51,1638312177957507072,2023-03-21 22:50:36+00:00,Realmente el album de Humbe me destrozará,Rosaaire111
52,1638311184360169473,2023-03-21 22:46:39+00:00,cómo así que hoy sale el álbum del humbe,PepeGarzaGuzmn1
53,1638310429175758848,2023-03-21 22:43:39+00:00,lo único wow de mañana es que sale el álbum de humbe,nosoycaar
54,1638310154687971329,2023-03-21 22:42:33+00:00,"mañana saca álbum Humbe, voy a llorar durísimo",AlexaArro_
55,1638309823153307650,2023-03-21 22:41:14+00:00,Ya que Humbe le meta nitro al album,MavieZT
56,1638309390464827392,2023-03-21 22:39:31+00:00,Cuba y la Economía: Las 6 claves del discurso de Maduro tras escándalo... https://t.co/rM0kRRIFjN,Humbe88
57,1638309287964336129,2023-03-21 22:39:07+00:00,Ya estoy lista para chillar con el nuevo disco de Humbe,andreaoroz29
58,1638309233828544514,2023-03-21 22:38:54+00:00,"Todos subiendo fotos de sus flores amarillas, no me quejo porque yo en vez de recibir flores recibiré un álbum completo de humbe😘",HumbersWorld
59,1638309187045187595,2023-03-21 22:38:43+00:00,Ok pero yo ya tengo compañía para escuchar el álbum de humbe y tú?,lilooo1806
60,1638309093206097922,2023-03-21 22:38:20+00:00,ME DIO MIS FLORES AMARILLAS 🥰🥰🥰,pimentel_humbe1
61,1638308384637059073,2023-03-21 22:35:31+00:00,Mañana sale el álbum de Humbe VAMOOOOO,onlysam_sam
62,1638308003152646146,2023-03-21 22:34:00+00:00,bueno wey veremos con q canción del nuevo album de humbe m voy a identificar,cmaafer
