,Tweet Id,Datetime,Tweet,Username
0,1638329511379980290,2023-03-21 23:59:28+00:00,"#Pais | “Estados Unidos y México para siempre”, afirma John Kerry ante AMLO 🔴
https://t.co/5DX6f5g2n9",PeriodicoQuequi
1,1638328893324111873,2023-03-21 23:57:01+00:00,"#UdeC 

Destaca John Kerry “la sabiduría en el liderazgo” de López Obrador

https://t.co/7vFElPIYlW

#Nacionales #Oaxaca #JohnKerry #EnviadoEspecial #GobiernoDeEUA #AMLO https://t.co/U6P0ZnYm42",ComentarioUdeC
2,1638328122817781760,2023-03-21 23:53:57+00:00,"Afirma John Kerry “México y Estados Unidos para siempre”
https://t.co/ADCqjNSsyy https://t.co/EuBHfibhl6",elpoder_tv
3,1638327892374601733,2023-03-21 23:53:02+00:00,"El enviado especial para el clima de Estados Unidos, John Kerry halagó al presidente Andrés Manuel López Obrador pues declaró que ve sabiduría en el liderazgo del primer mandatario mexicano. https://t.co/fPjLlWVZYL",HNoticiasMX
4,1638327855288406017,2023-03-21 23:52:54+00:00,"Afirma John Kerry ‘México y Estados Unidos para siempre’
https://t.co/haGJgeWDii https://t.co/AKNf0XqFiG",InformativoNot3
5,1638327597506662400,2023-03-21 23:51:52+00:00,"🌐 #Entérate 👇

El canciller @m_ebrard  #MarceloEbrard recibio al enviado especial del Presidente Biden sobre Cambio Climático,John Kerry, en compañía del Embajador Ken Salazar ,el Director de la CFE,Manuel Bartlett y Roberto Velasco. 
@lopezobrador_ https://t.co/2pNiwQARgX",lizmedrano66
6,1638327126225977347,2023-03-21 23:50:00+00:00,"John Kerry, enviado de #EU para el cambio climático, afirmó que observa sabiduría y liderazgo en el presidente @lopezobrador_

https://t.co/5ZA9Lb8NmD",LaListanews
7,1638325019041308677,2023-03-21 23:41:37+00:00,John Kerry reconoce la ‘sabiduría en el liderazgo’ de AMLO #Noticias #Guadalajara #Jalisco,peaton_gdl
8,1638324391460184065,2023-03-21 23:39:08+00:00,"Se lleva acabo la reunión bilateral entre el Presidente de #México 🇲🇽 @lopezobrador_ y el representante de #CambioClimatico de los #EstadosUnidos 🇺🇸 @JohnKerry en Guelatao, #Oaxaca. https://t.co/ZRCmsEAvrt",iVitalMX
9,1638324315853561856,2023-03-21 23:38:50+00:00,"AMLO, líder con “sabiduría”: John Kerry https://t.co/HD3ht3N1Dw",luisval28834771
10,1638324124819808256,2023-03-21 23:38:04+00:00,"El presidente @lopezobrador_ celebra el aniversario 217 del Natalicio del Benemérito de las Américas, Benito Juárez, en Guelatao de Juárez, Oaxaca, junto a el canciller @m_ebrard, el enviado especial de EU para el Clima, @JohnKerry, y el embajador de EU en México, @USAmbMex https://t.co/9QdTp3EKDo",MVSNoticias
11,1638323784888270850,2023-03-21 23:36:43+00:00,"Que tal @AlfonsoDurazo y @lopezobrador_
México es muy seguro dice el Imbésil.
@ONU_es @POTUS @JohnKerry",roc_santaanna
12,1638323751224856576,2023-03-21 23:36:35+00:00,"🇲🇽🚨🇺🇸López Obrador se reúne en Guelatao, Oaxaca con enviado de EU, John Kerry.  
💻https://t.co/BMzao3ug0j
📱La información https://t.co/lWDtxxnohB  https://t.co/hjo8OCCdrK",MeganoticiasMx
13,1638323495019900930,2023-03-21 23:35:34+00:00,Recibe AMLO a John Kerry en #Oaxaca Para Analizar Energías Renovables: https://t.co/veucKHXUsk,OpinionSantiago
14,1638323369853452289,2023-03-21 23:35:04+00:00,John Kerry destaca 'la sabiduría en el liderazgo' de López Obrador. Por si ocupan opositores golpistas  https://t.co/Plv2tgWEpr,RaulOjedaZ52
15,1638322095997452288,2023-03-21 23:30:00+00:00,"🇲🇽 #Nacional | ""López Obrador quiere deshacer algunos de los errores del pasado para promover los intereses de pueblo"" afirma John Kerry, representante de Joe Biden y la Casa Blanca, en su visita a México. 🤝🥰 https://t.co/xmE95MGdFJ",ElCiudadano_Mx
16,1638321784775639042,2023-03-21 23:28:46+00:00,Bueno con tantas venidas de John Kerry debería comprar casa y hablar más español 🤔🤔🤔🤔🤔🤔,24teresita15
17,1638321735928893441,2023-03-21 23:28:35+00:00,"🇲🇽 El presidente @lopezobrador_ abordará temas energéticos con el enviado especial de la Casa Blanca, @JohnKerry. 🇲🇽

""Vamos a tratar lo de las energías renovables"", anunció AMLO en su conferencia de esta mañana.
#TenemosQueHablar #NosUne #UnifeMx #CDMX 
https://t.co/m30OcL6vXu",UnifeMx
18,1638321440884703232,2023-03-21 23:27:24+00:00,"▶️ AMLO se reúne con John Kerry, el enviado especial por parte del gobierno de EU, en #Oaxaca, durante la conmemoración del natalicio de Benito Juárez 

📺 Los detalles con @hzamarron y @paobarquet https://t.co/QVY0UU13sI",Milenio
19,1638321146818105344,2023-03-21 23:26:14+00:00,“Veo sabiduría en liderazgo de AMLO. Quiere promover intereses del pueblo”: John Kerry (nota de SinEmbargo) https://t.co/HVTYQ6TTfH via @julioastillero https://t.co/a9RFmULZpO,perfildehugo
20,1638321031210323968,2023-03-21 23:25:47+00:00,La presencia de @JohnKerry es un símbolo de respeto y colaboración entre #México 🇲🇽 y la Unión Americana 🇺🇸 para los años que vienen por delante.,ErikaAraujoMX
21,1638319966427512835,2023-03-21 23:21:33+00:00,"El enviado especial de la Casa Blanca para el clima, John Kerry, destacó este martes “la sabiduría en el liderazgo” del presidente mexicano, Andrés Manuel... https://t.co/Z3TTP8lj4C",LaTribunahn
22,1638319576688492547,2023-03-21 23:20:00+00:00,"John Kerry, enviado especial de la Casa Blanca para el clima, afirma que AMLO ""entiende hasta qué punto nuestros futuros ahora están unidos”. https://t.co/145EMobHi1",Forbes_Mexico
23,1638319075418882049,2023-03-21 23:18:00+00:00,"Se lleva acabo la reunión bilateral entre el Presidente de #México 🇲🇽 @lopezobrador_ y el representante de #CambioClimatico de los #EstadosUnidos 🇺🇸 @JohnKerry en Guelatao, #Oaxaca. https://t.co/HkJSJATZcH",ErikaAraujoMX
24,1638318802294439936,2023-03-21 23:16:55+00:00,“Veo sabiduría en liderazgo de AMLO”: John Kerry https://t.co/Ek6JBasg4m,estamosaquimx
25,1638318318422564866,2023-03-21 23:15:00+00:00,"#Politica | El enviado especial para el clima de Estados Unidos, @JohnKerry halagó al presidente @lopezobrador_  pues declaró que ve #sabiduría en el liderazgo del primer mandatario mexicano 

https://t.co/rxbe5uyYrC",24horasqroo
26,1638318318384979969,2023-03-21 23:15:00+00:00,"#Politica | El enviado especial para el clima de Estados Unidos, @JohnKerry halagó al presidente @lopezobrador_  pues declaró que ve #sabiduría en el liderazgo del primer mandatario mexicano 

https://t.co/iwoxEFMdIf",24horasCampeche
27,1638318228010049536,2023-03-21 23:14:38+00:00,"“Veo sabiduría en su liderazgo”, afirma John Kerry al referirse al presidente @lopezobrador_ 

Saludos: @FelipeCalderon 

https://t.co/2AQbI6myfW",JuankeeRocha
28,1638318212575293440,2023-03-21 23:14:35+00:00,“Veo sabiduría en liderazgo de AMLO. Quiere promover intereses del pueblo”: John Kerry (nota de SinEmbargo) https://t.co/voIWqyv2Vy a través de @julioastillero,Luisestratega
29,1638317074517745665,2023-03-21 23:10:03+00:00,"Sí, claro: fiel a su cobarde hipocresía, de cerca y de frente los ensalza, mientras que de lejos y a sus espaldas, los descalifica y señala de todo lo malo que se le antoja… 

AMLO refrenda !amistad y cooperación” de México con EU ante John Kerry https://t.co/T98v22FlAE",MrsCupita
30,1638316349947805697,2023-03-21 23:07:10+00:00,"En San Pablo Guelatao, el presidente @lopezobrador_ , el Gdor. @salomonj y @JohnKerry, representante del cambio climático del Gobierno de Estados Unidos de Norteamérica, encabezaron la Ceremonia de Conmemoración por el 217 aniversario del natalicio de Don Benito Juárez García. https://t.co/uyK3wArIWN",sofyvaldivia
31,1638316013203619846,2023-03-21 23:05:50+00:00,"“Veo sabiduría en liderazgo de AMLO. Quiere promover intereses del pueblo”: John Kerry (nota de SinEmbargo)

https://t.co/jRG3zLkIx6",julioastillero
32,1638315320481038336,2023-03-21 23:03:05+00:00,Destaca AMLO ante John Kerry trato respetuoso con su homólogo Joe Biden https://t.co/2fdjRVv0Mm,DianaAlvaradoMx
33,1638314693147123714,2023-03-21 23:00:35+00:00,"Tendencia: John Kerry
Posición: 20
Link: https://t.co/Ozx5CR0xWE
Reacciones: 5768
Relevante: https://t.co/Nppop19XV5",TTPoliticasMx
34,1638314553736830977,2023-03-21 23:00:02+00:00,"🔴🤝 @JohnKerry dijo que las relaciones de México y EU tomaron un buen camino desde la amistad de #BenitoJuárez con #AbrahamLincoln. 

https://t.co/mRW9UiNfdm",elsolde_mexico
35,1638314553447526401,2023-03-21 23:00:02+00:00,"Ante John Kerry ratificaremos nuestro compromiso para fortalecer la cooperación y mitigar los efectos del cambio climático. 
https://t.co/JSfoZRlSP5",OaxacaPolitico
36,1638314546766188545,2023-03-21 23:00:01+00:00,"Con un emotivo discurso sobre #Juárez, México y #EU, #JohnKerry aplaudió el trabajo que @lopezobrador_ realiza en el país 🧓🏼👏🏻🇲🇽

https://t.co/ABDrNlie7D",CTCMedios
37,1638314543393939457,2023-03-21 23:00:00+00:00,¡¿Khé...?! 🤭 John Kerry no contaba con el glosario de AMLO 😆 #ElMemeEn321 https://t.co/TCToQq0l6e,Nacion321
38,1638314488834187264,2023-03-21 22:59:47+00:00,"📸 Hoy, el canciller @m_ebrard acompañó al presidente López Obrador en la ceremonia del 217 aniversario del natalicio de Benito Juárez, en Guelatao, Oaxaca. El evento tuvo como invitado especial a John Kerry, @ClimateEnvoy del presidente Biden de EE. UU.

🇲🇽🤝🇺🇸 https://t.co/bxR8rTR2Hr",SRE_mx
39,1638314089867800581,2023-03-21 22:58:12+00:00,"#Entérate 🔴 El presiente, @lopezobrador_ encabezó este martes el homenaje a Benito Juárez por su 217 Aniversario de Natalicio en compañía de John Kerry, Salomón Jara y las autoridades del pueblo de San Pablo Guelato, #Oaxaca. https://t.co/JJxmb7h6wa",TVTenlinea
40,1638312157732380672,2023-03-21 22:50:31+00:00,"El presidente de México agradeció a Estados Unidos por conducirse con respeto hacia su gobierno; por su parte John Kerry manifestó que el futuro de ambos es juntos.

https://t.co/neauSpjuj7",ExpansionMx
41,1638311904857735176,2023-03-21 22:49:31+00:00,"📸 El presidente @lopezobrador_ , encabezó la ceremonia del CCXVII aniversario del natalicio de Benito Juárez, en Guelatao, acompañado John Kerry, enviado especial de la Casa Blanca; el embajador de EU en México, Ken Salazar; y el gobernador @salomonj 

Crédito: Staff https://t.co/bhNPF0Xqz6",estacionfoto
42,1638311437763510272,2023-03-21 22:47:39+00:00,Dijo John Kerry que mira sabiduría en el liderazgo de AMLO!!,frodriguezrio
43,1638311166396055562,2023-03-21 22:46:35+00:00,"‘Yankee Go Home’ le gritan a @JohnKerry enviado especial de Estados Unidos para el Clima, cuando @lopezobrador_ le da la palabra en la ceremonia del 217 aniversario del natalicio de Benito Juárez en #Guelatao https://t.co/LHWhQlieST",adn_sureste
44,1638311070078238720,2023-03-21 22:46:12+00:00,"Con respecto a la visita del enviado especial del presidente @JoeBiden a Mexico @JohnKerry el titular de la @SRE_mx @m_ebrard dijo que le se espera consolidar 400 empresas que ya anunciaron su instalación en México, https://t.co/0i2cYw9fBn",OsMaFco
45,1638310440789766147,2023-03-21 22:43:42+00:00,"Desde #SanPabloGuelatao, #Oaxaca, el representante del cambio climático del Gobierno de #EEUU, @JohnKerry, advirtió que un reporte de la ONU, alerta a las naciones a dar los pasos necesarios para revertir el nivel de calentamiento del planeta, “si todos queremos poder vivir en… https://t.co/MVHVu9SRkV",jaimeguerrero08
46,1638309685571796995,2023-03-21 22:40:42+00:00,#Entérate Marcelo Ebrard recibe a John Kerry previo a su encuentro con AMLO.,alebrijes1
47,1638309510916853762,2023-03-21 22:40:00+00:00,"#BenitoJuárez | ""Celebramos el mensaje de @POTUS @JoeBiden: #EEUU y #México para siempre: @JohnKerry durante aniversario del natalicio de #BenitoJuárez.
@Notimex @Notimex_TV https://t.co/ahFzZAKbrb",Man64Gar
48,1638309358332178432,2023-03-21 22:39:23+00:00,"""Veo sabiduría en su liderazgo, que quiere deshacer algunos de los errores del pasado para promover los intereses del pueblo"", John Kerry se le rinde respeto al Presidente López Obrador, y los opositores aplaudiendo un informe “pedorro” de USA.",guti_remo1982
49,1638308412084609024,2023-03-21 22:35:38+00:00,"Los panistas al escuchar lo que dijo John Kerry de López Obrador 

“Veo sabiduría en su liderazgo” https://t.co/AoI6h0sviy",tania__rd
50,1638308355318902784,2023-03-21 22:35:24+00:00,AMLO conmemora en Oaxaca natalicio de Benito Juárez junto a John Kerry y Ken Salazar https://t.co/Mmn6hGaUrm,adrianojedacast
51,1638308350638059520,2023-03-21 22:35:23+00:00,AMLO conmemora en Oaxaca natalicio de Benito Juárez junto a John Kerry y Ken Salazar https://t.co/73gvTR9z6i,rosemarie_ale
52,1638308345718136832,2023-03-21 22:35:22+00:00,AMLO conmemora en Oaxaca natalicio de Benito Juárez junto a John Kerry y Ken Salazar https://t.co/8csf1bI9jK,corpcomojeda
53,1638308270946521088,2023-03-21 22:35:04+00:00,"""Yankee, go home!"": abuchean a #JohnKerry, encargado de #EEUU para el clima, durante visita a #México https://t.co/eT9RHH5hRG https://t.co/YIZU8TGVuL",SputnikMundo
54,1638308266794156032,2023-03-21 22:35:03+00:00,"""Yankee, go home!"": abuchean a John Kerry, encargado de EEUU para el clima, durante visita a México https://t.co/fNMK7sYLfE https://t.co/FxOFesqY5m",MiliMasteR666
55,1638307774391001092,2023-03-21 22:33:06+00:00,#21demarzo: ?Yankee Go Home?: Protestan contra John Kerry en evento por natalicio de Benito Juárez (16:20 h). https://t.co/OrTDL9IAD3,lado_mx
56,1638307703373062144,2023-03-21 22:32:49+00:00,"Inigualable, didáctico, documentado y bien pronunciado discurso de @lopezobrador_ en razón del natalicio de Juárez en Oaxaca.

Que va, la presencia de @JohnKerry no lo amilanó, todo lo contrario, lo hizo crecer como solo él lo sabe hacer

Que hubiera dado el hocicon, corriente",CONNY84099006
57,1638307590571524098,2023-03-21 22:32:22+00:00,John Kerry reconoce 'sabiduría en liderazgo' de AMLO para desterrar errores del pasado - https://t.co/XatuDYspeE,Noticaribe
58,1638307069332733954,2023-03-21 22:30:18+00:00,López Obrador abordará «diferencias» en energía con John Kerry https://t.co/bi4WoNe2ZE,PeriodistasU
