,Tweet Id,Datetime,Tweet,Username
0,1637966785243693057,2023-03-20 23:58:08+00:00,"Y como vamos cerrando la campaña? Esta es una de las mentiras más grandes de Efraín Alegre! Más sabiendo que apoya todo lo que ahora niega!
Ni Judas se atrevió a tanto!😂
Fede Enciso, a los 3 meses te negó tu Líder!🤫 https://t.co/dw2XvYhUcz",SergioSilve
1,1637966652531785733,2023-03-20 23:57:36+00:00,"Xico se volvió un lugar intranquilo desde que la Mujer de Judas se aparece.😨 Natalia y sus amigos salieron valientes a pasear, pero vieron algo que los alertó.😳

Revive el capítulo de #LaMujerDeJudas.https://t.co/aL1sBsMGT6",amastv
2,1637966629953851398,2023-03-20 23:57:31+00:00,Si judas traiciono a jesus que te hace pensar que a ti no te van a traicionar,samu_estra
3,1637966026871652352,2023-03-20 23:55:07+00:00,Quiero saber quien es la mujer de Judas,OrianBrito
4,1637965914678206465,2023-03-20 23:54:40+00:00,yo pensé que judas estaba muerto,Paulasophia___
5,1637965704610586624,2023-03-20 23:53:50+00:00,"Sin temor, que solo Judas temió, bueno se ahorcó pero tuvo sus monedas.",angiocito
6,1637964989880483840,2023-03-20 23:51:00+00:00,"Himno a San José (por frailes dominicos):

https://t.co/rUylofLaKd",SanJudasTadeoSF
7,1637964326886621184,2023-03-20 23:48:22+00:00,"El abrazo de Judas. 
Ya en los mejores cines.
#conquis10ETB https://t.co/o86ogcs4jR",Txemalasarte_
8,1637963155845390337,2023-03-20 23:43:42+00:00,Se le olvidó contestarme rápido y a mi se me olvidó volverle a hablar,JudasCl
9,1637962187867308032,2023-03-20 23:39:52+00:00,TANTO TIEMPO PARA MANDAR SACANDO AL DELINCUENTE DE CUELLOS BLANCO Y ES UN BANQUERO EL USURERO DE PRESIDENTE EN QUE MENTE DE ECUATORIANOS ESTUBO VOTAR POR UN JUDAS ?,samuel_139
10,1637961574894694402,2023-03-20 23:37:25+00:00,"Con nuestro lord @JuanOrlandoH  no  pasaba esto...

#Volverá",hnoe87_
11,1637961359391444994,2023-03-20 23:36:34+00:00,"Anibal pecueca Gaviria...
El Judas Gobernador  de Antioquoa...
Libertad y Orden promulga en su perfil!!!

Home pilas con esa Gono!!!",widaurca
12,1637961263111086081,2023-03-20 23:36:11+00:00,"Le contestas a uno, para que al rato llegue otro a preguntar lo mismo.

Acá no defendemos a Piña eh, si tiene cuentas pendientes que se aclaré.

Pero siguen enajenados con la quema de Judas  🫠",TerrorRestMX
13,1637960423080067073,2023-03-20 23:32:51+00:00,Voy a ir expresamente a Valencia a comerme una paella para acto seguido fumarme un cigarro y volver,judas037
