,Tweet Id,Datetime,Tweet,Username
0,1637967131269558274,2023-03-20 23:59:30+00:00,"y a mi me encanta Lewandowski  tuvo que entrar Kessie para meter el 2do gol.
Sergi Roberto no es santo de mi devoción pero ayer jugo de lujo en defensa tenemos buenos jugadores Gavi Dios mio ese niño es mas cule que varios que conosco que son de pura boca.",Irraciel
1,1637963948803670016,2023-03-20 23:46:51+00:00,"Esta muy bien quejarse de los árbitros que en las últimas jornadas han dado el empujón definitivo para que el Negreira FC sentencie la liga, penalti de Kessie ante el Valencia, el gol mangado al Athletic y el fdj de ayer a Asensio, más el penalti mangado a Benzema vs Betis",Checo500
2,1637963598252081157,2023-03-20 23:45:28+00:00,"La celebración de ""presidente Kessié"", es en homenaje a su difunto padre que fue militar https://t.co/eIeyCnjNW9",CuentaMister
3,1637963212028104704,2023-03-20 23:43:56+00:00,Que hace kessie????????? https://t.co/vUVf0NufWb,meli_trzz
4,1637963140896808960,2023-03-20 23:43:39+00:00,"Kessie ha sacado a pasear al perro hoy en la mañana, confirmamos que es más culé que Laporta y sin hablar muy bien al español????? #FCB #RM https://t.co/JL3V0xxIP1",meli_trzz
5,1637962873489039364,2023-03-20 23:42:35+00:00,"Dembelé debió ser expulsado ante Real Sociedad y Getafe
Kessie ante Elche
Raphinha y Busquets ante Cádiz
Marcos Alonso ante Valencia 
Así están +12 evitando expulsarlos para que ganaran 3 puntos y ante el Madrid valen todo tipo de agresiones. Así ganan, ROBANDO. #ChiringuitoVAR https://t.co/QDjtvo4nfH",Hernandezcule_
6,1637962253352808449,2023-03-20 23:40:07+00:00,"Al carajo el smartphone de @dembouz con el gol de Kessié , épico el abrazo de @Pedri para celebrar

VAMOS HOSTIA!!",CuentaMister
7,1637960789393907720,2023-03-20 23:34:18+00:00,"✅Los del Barcelona convocados con su seleccion (Incluyendo cedidos)

Alejandro Balde-🇪🇸
Gavi-🇪🇸
Nico Gonzalez-Sub-21-🇪🇸
Arnau Tenas-Sub-21-🇪🇸
Ter Stegen-🇩🇪
Jules Kounde-🇫🇷
Lewandowski-🇵🇱
Sergiño Dest-🇺🇸
Ez Abde-🇲🇦
Chadi Riad-🇲🇦
Christensen-🇩🇰
Franck Kessie-🇨🇮 https://t.co/j0y3Ibfb5m",MasterJoelCule5
8,1637958953719025671,2023-03-20 23:27:01+00:00,"Ayer no pude tweetear porque estuve denunciado.

Pero OS aseguro que la pasé muy bien y una coronita después de gritar el gol de Kessie por la garganta destruida cómo Grecia. https://t.co/1hsfgcZ7dK",BucioFCB
9,1637958950044991488,2023-03-20 23:27:00+00:00,"Dembélé destrozó su teléfono celebrando el gol de Kessié😅😂

https://t.co/2b2Ztz15jF",FiebreCule
10,1637958586730008576,2023-03-20 23:25:33+00:00,"#ChiringuitoVAR independiente del gol fuera de juego o no, la expulsión del niño Gavi y Sergi Roberto, más la falta de Lewandowski a Carvajal antes del gol de Kessié... Es una liga. Balboa te equivocas...",AngelOteizaLpez
