,Tweet Id,Datetime,Tweet,Username
0,1637604737527734277,2023-03-19 23:59:29+00:00,El martes será muy violento 😮‍💨😒,LaraCQarool
1,1637604707026731008,2023-03-19 23:59:22+00:00,"Viendo cuñas de @EmpresasPolar me acordé de su producto nuevo , ""Harina PAN con semillas "", la he buscado y nada, alguien la ha visto ? 
#ClasicoMundial2023 https://t.co/pGyRYhbhsb",laraanam
2,1637604677805125632,2023-03-19 23:59:15+00:00,es verdad...,ScarLara1
3,1637604615574233089,2023-03-19 23:59:00+00:00,María Agustina de La Torre y Urrieta: una caroreña inmortalizada por amor https://t.co/bGR4XpmWW8 Por @izzyemilio,CorreodeLara
4,1637604527925854208,2023-03-19 23:58:39+00:00,Lara desistindo de química https://t.co/sw5JAPUlOx,bylu111
5,1637604439803453442,2023-03-19 23:58:18+00:00,"""Mefisto for ever"" 🎭 hoy en un @fernangomezCCV Los totalitarismos y de la libertad de creación. Me ha recordado mucho a la polémica del posibilismo entre Buero y Sastre @AlmarchaSonia, E. Gelabert, E. Elipe, I. Villanueva, P. García Lara, N. Redondo, Darío Frías y C. Varona 🙌 https://t.co/3dQQafezPL",FrayBenedictus
6,1637604418735554560,2023-03-19 23:58:13+00:00,Jajaja Se acabó la mentira,EmanuelLara73
7,1637604379149709313,2023-03-19 23:58:03+00:00,"Eduardo Lara debería de dar explicaciones del rendimiento del equipo. Pero sobre todo, contar que se le pasaba por la cabeza cuando trajo a esos paquetes colombianos.",kevinreyes92
8,1637604339962322946,2023-03-19 23:57:54+00:00,✅ El PSUV tapa la corrupción y ahora quiere aparecer como el que la combate. Ya no engañan a nadie. #ChavismoEsCorrupcion https://t.co/a6UzILeCfF,BanderaRojaLara
9,1637604193048444930,2023-03-19 23:57:19+00:00,che maría está cada día más linda,defencelesspos
10,1637604155794546690,2023-03-19 23:57:10+00:00,LOS AMO,defencelesspos
11,1637604135787806720,2023-03-19 23:57:05+00:00,El discurso del Jablador que habla de tolerancia cero en contra de la corrupción administrativa ha quedado superado por la realidad de los actos de corrupción de este funesto gobierno https://t.co/JVr3NdgDHO,MarcelinoLara17
12,1637604073045098497,2023-03-19 23:56:50+00:00,"No me canso de este manhwa, ¡está genial!
 
#original #chinesecomics #artwork

https://t.co/uxAcbgNeA9 https://t.co/5sPve3iltx",Lorreane98
13,1637604039486582790,2023-03-19 23:56:42+00:00,Yo la quedo acá nomas,lara_ruiz55
14,1637604027759198209,2023-03-19 23:56:40+00:00,Cuando me enojó me puede durar días,Meli_Lara9
15,1637603938743595010,2023-03-19 23:56:18+00:00,Porque a este amor ni la muerte lo va a separar! GIMNASIA TODA LA VIDA 💙,LonardoLara
16,1637603918459858945,2023-03-19 23:56:14+00:00,"María becerra dedicándoles una canción a todas las cantantes Argentinas que dejan en alto la industria, entre ellas nombró a Lali, Tini, Emilia, La Joaqui, Cazzu, etc. REINAS",defencelesspos
17,1637603839107842057,2023-03-19 23:55:55+00:00,gracias familia por hacerme de gimnasia 💙,LalyParisotti
18,1637603737144287234,2023-03-19 23:55:30+00:00,Nahuas 1 - Resto del mundo 0,FranciscoUnda
19,1637603709361201154,2023-03-19 23:55:24+00:00,"Un día ese chamaco va a costar algún partido importante por andar de verguero.
Y por supuesto que hablo de Emilio Lara.",rcst02
