,Tweet Id,Datetime,Tweet,Username
0,1637967246147436546,2023-03-20 23:59:58+00:00,LOUIS YA VA OARA ALLA IROWMWN #AllOfThoseVoices,ilvsfearless
1,1637967246017327104,2023-03-20 23:59:58+00:00,yordi rosado entrevistando a Louis. https://t.co/0BclSHZukW,HelloKitty2_8
2,1637967241449701376,2023-03-20 23:59:56+00:00,"te amo tanto mi bebé hermoso 
https://t.co/MhTV1gEXDk",houttoria
3,1637967240921337861,2023-03-20 23:59:56+00:00,"🎥|| más de las fans cantando el día de hoy!
©️Eduardo_DSales 

 https://t.co/3UDJkZeupB",GuatemalaLouies
4,1637967233207943168,2023-03-20 23:59:55+00:00,Ayer creo o antier #AllOfThoseVoices,kaicryinghs
5,1637967223217176579,2023-03-20 23:59:52+00:00,frío o calor? #AllOfThoseVoices,wallsx283
6,1637967221979750400,2023-03-20 23:59:52+00:00,*breakdown por lo precioso que se vé Louis Garrel aquí* https://t.co/Fy8uf9JTwU,Miroslvva
7,1637967217064124417,2023-03-20 23:59:51+00:00,YA CASI EMPIEZA LA PREMIERE #AllOfThoseVoices,ilvsfearless
8,1637967200748290052,2023-03-20 23:59:47+00:00,necesito abrazaf a louis no puedo ams,oldbravelovers
9,1637967187859185665,2023-03-20 23:59:44+00:00,"el sentimiento que me dió, tienen que leer este au",LOUIIGIRL
10,1637967177885073408,2023-03-20 23:59:41+00:00,hace dos semanas estoy leyendo el au del fernet no termina nunca y no me quejo,camilittleshit
11,1637967173237833731,2023-03-20 23:59:40+00:00,"Dios, lo amo como a nadie",magsitashouse
12,1637967164949815296,2023-03-20 23:59:38+00:00,TE AMO LOUIS  #AllOfThoseVoices,Styles5sos_
13,1637967164635332609,2023-03-20 23:59:38+00:00,Mi primer beso #AllOfThoseVoices,kaicryinghs
14,1637967159694327810,2023-03-20 23:59:37+00:00,Sálganse todos de twt no estoy soportando que  @Louis_Tomlinson este   en Mèxico otra vez y yo tan lejos de poder tener una foto con el … estoy en depresión,ChiuntiGina
15,1637967155361730560,2023-03-20 23:59:36+00:00,"Este outfit de Louis 
1. Me encanta
2. Me da la sensación de que lo he visto usar una camisa parecida pero no estoy segura. 
¿Alguien que me confirme este dejavu , por favor?

#AllOfThoseVoices https://t.co/bBPTQSJQQz",louistcol
16,1637967151653871616,2023-03-20 23:59:35+00:00,LOUIS YA VA PARA ALLA,ilvsfearless
17,1637967145450569730,2023-03-20 23:59:34+00:00,"NOOO, QUE HERMOSO",Plataaas
18,1637967142543917058,2023-03-20 23:59:33+00:00,JAJAJAJAJAJAJAJAJAJA,jang_bodoque
19,1637967141277147139,2023-03-20 23:59:33+00:00,CUANTO FALTA ?,florswife
20,1637967129541484544,2023-03-20 23:59:30+00:00,Por dios lo mal que me pone que la selección juega en 3 días y yo no pude sacar entradas ALEXA PONE POR MIL NOCHES DE AIRBAG POR FAVORRRR,tooG0ld3n
21,1637967123707305986,2023-03-20 23:59:28+00:00,QUE HERMOSOO,ssunshinevol6
22,1637967122654478338,2023-03-20 23:59:28+00:00,d seguro los abrazos de louis son bien cálidos cómo q trata q encajen y se acomodan,lvts91
23,1637967119638753280,2023-03-20 23:59:27+00:00,lo lindo que es 🤏🏼,maribqg
24,1637967114555346944,2023-03-20 23:59:26+00:00,Se ve tan tierno 🥹,aye2827
25,1637967114173644802,2023-03-20 23:59:26+00:00,Louis y tu traje?,BrinaH2813
26,1637967112617566208,2023-03-20 23:59:26+00:00,Voy a llorar,hyunilovestay_
27,1637967108041588738,2023-03-20 23:59:25+00:00,comenten 10 veces con #AllOfThoseVoices  para que llegue a trending,lovinglougirls
28,1637967092992421888,2023-03-20 23:59:21+00:00,NO PUEDO CON LO LINDO Q ES HARRY 😭✨🥹💗,DayaXLtHs
29,1637967089955733506,2023-03-20 23:59:20+00:00,"Mi mamá cree que me Roa aran , como si las conocieran 😂
#AllOffThoseVoices https://t.co/EqjKwXBgP7",lwtsamclaflin
30,1637967089381134337,2023-03-20 23:59:20+00:00,TE AMO https://t.co/anqFIJdkW5,louissrosesss
31,1637967085769834499,2023-03-20 23:59:19+00:00,"Memexico amando al Louis

Muy bueno",Akaito
32,1637967085690146818,2023-03-20 23:59:19+00:00,No se si estudiar algo que ver con el arte o estudiar algo q de dinero 😦 #AllOfThoseVoices,kaicryinghs
33,1637967081114148865,2023-03-20 23:59:18+00:00,"📹| Harry en Seúl con fans recientemente! 

Via durbinmalonster https://t.co/ftEi7NfS7V",HyLSpain
34,1637967078878478336,2023-03-20 23:59:18+00:00,MI AMOR PRECIOSO https://t.co/M58gO2YFhl,luckyagainv
35,1637967051561095168,2023-03-20 23:59:11+00:00,TIENE LOS VERDES,jugodecorozo28
36,1637967051410096128,2023-03-20 23:59:11+00:00,YA VA PARA ALLA AY DIOS MIOOO,ilvsfearless
37,1637967042467823625,2023-03-20 23:59:09+00:00,Jajajahahaha es que Louis nos trae paz 😌🧘‍♀️✨,28wallsbylouis
38,1637967040655814658,2023-03-20 23:59:09+00:00,Yo si ando manifestando que Louis tenga entrevista con yordi rosado🧎🏽‍♀️,paolvslouu
39,1637967037258686464,2023-03-20 23:59:08+00:00,No estoy soportando por dios,betterlou28
40,1637967015196409856,2023-03-20 23:59:03+00:00,"wey, ya me había tardado en llorar",magsitashouse
41,1637967009806680065,2023-03-20 23:59:01+00:00,quéjense de la gente y todo lo quieran pero lo feliz que debe estar louis viendo a TANTA gente ahí POR ÉL https://t.co/NqGn9VJBjR,fenklouis
42,1637967009618046978,2023-03-20 23:59:01+00:00,ESTÁ CON AUDÍFONOS 🥹💗✨,DayaXLtHs
43,1637966992299704322,2023-03-20 23:58:57+00:00,"La chica que entrevistó a Louis me rompió el corazón, sus historias me tienen en el piso, fue tan linda!
Ya no puedo más con este sufrimiento llamado nunca le he dado un abracito a Louis Tomlinson.
#AllOfThoseVoices https://t.co/KVTiMIvdSl",LetiziaMueguez
44,1637966992081580037,2023-03-20 23:58:57+00:00,cuándo es mi turno de sentarme a conversar con louis https://t.co/WDQ6GQ4vBk,iluvhl82
45,1637966984791851009,2023-03-20 23:58:55+00:00,tpy llorando yo tmb quiero conocer a louis,bluwthv
46,1637966975115640832,2023-03-20 23:58:53+00:00,Louis te amo coño,rainboarry
47,1637966973400231939,2023-03-20 23:58:53+00:00,"x: que raro por qué Louis llegará tarde 
Louis:no lo entenderías... https://t.co/keAXYX5FtQ",iPerfectAngeI
48,1637966965603028995,2023-03-20 23:58:51+00:00,AY PORFAVOR q alguien le de un abrazo a louis la re concha d la lora https://t.co/57LqRwmKZU,haylorcasita
49,1637966960779567104,2023-03-20 23:58:50+00:00,YA VA PARA KA PREMIEREEEER,pettitbss
50,1637966958904705028,2023-03-20 23:58:49+00:00,LOUIS YA VA A LA PREMIERE,littleebluebird
51,1637966953577951239,2023-03-20 23:58:48+00:00,MI VIDA HERMOSO,ashtxngoals
52,1637966952990638080,2023-03-20 23:58:48+00:00,"*Al parecer Louis ya va camino a Oasis*

AAAAAAAA MUDHDHSHSB ME VA A DAR ALGO Y ESO QUE NO ESTOY AHÍ",Litgutt
53,1637966944664952835,2023-03-20 23:58:46+00:00,precioso 😭,dlibyshe
54,1637966942119030787,2023-03-20 23:58:45+00:00,Necesito esos audífonos 😭😭😭😭,SolecitoLouis12
55,1637966937635397632,2023-03-20 23:58:44+00:00,valen verga como pueden ser tan pinches imprudentes,flowertemptrezs
56,1637966937324961799,2023-03-20 23:58:44+00:00,"Ya van a ser las 6, en cualquier momento van a empezar los tweets de que ya llegó 😭😭😭😭",iloooooooop2818
57,1637966916093452288,2023-03-20 23:58:39+00:00,"Aprovechemos para votar mientras esperamos que empiece la premiere
I’m voting #Louies for #BestFanArmy at the #iHeartAwards",louistvzla28
58,1637966910342955014,2023-03-20 23:58:38+00:00,"LA GORRA, LA SUDADERA, LOS AUDÍFONOS, LA SONRISA 😭😭😭 https://t.co/INljt1HJue",peakysour
59,1637966908518440960,2023-03-20 23:58:37+00:00,"TIENE AIRPODS PRO MAX, está es mi señal de comprármelos",larrie9428
60,1637966908421971971,2023-03-20 23:58:37+00:00,alguien sabe o alguien va a transmitir la alfombra roja de louis para los q no pudimos ir o no estamos cerca de cdmx? 😩,__marifeeer_
61,1637966907193061378,2023-03-20 23:58:37+00:00,QUE HERMOSO CON ESA CAMISA https://t.co/zYuzgxb6HB,niallxmessi
62,1637966904961781761,2023-03-20 23:58:36+00:00,A veceessss #AllOfThoseVoices,kaicryinghs
63,1637966904789794817,2023-03-20 23:58:36+00:00,"HIJODEPUTA COMO VAS A DEVIR ESO, nomames louis y’a basta",rubbzayn
64,1637966900729659394,2023-03-20 23:58:35+00:00,las q están dentro de las salas de los cines se van a poner a llorar cuando se enteren q por ahí literalmente primero va a pasar louis y después ya se va para los cines,ifolklouddy
65,1637966889430253569,2023-03-20 23:58:33+00:00,lunes de bajón porque Louis está en México y yo no lo voy a ver,mane_hc
66,1637966884615200769,2023-03-20 23:58:31+00:00,LOS AUDÍFONOS 😭😭😭😭🫶🏼🫶🏼🫶🏼💌💌💗💗💘💘💘🩷🩷🩷🩷💞💞💞💞,marelmasgay
67,1637966884501897219,2023-03-20 23:58:31+00:00,MI BEBÉ PARECE UN OSITO QUIERO ABRAZARLO,zmfasrangels
