,Tweet Id,Datetime,Tweet,Username
0,1638329236451651585,2023-03-21 23:58:23+00:00,Quiero tres girasoles 😫,wenn_Castr0
1,1638329068625051651,2023-03-21 23:57:43+00:00,JAJAJAJA Que necesidad 🫶🏽,wenn_Castr0
2,1638326949570392064,2023-03-21 23:49:18+00:00,hoy tuve una charla super interesante con un niñe sobre los personajes del Mortal kombat fue fantástico https://t.co/TTgGMOP3Go,sadFioro
3,1638326902204104705,2023-03-21 23:49:06+00:00,Otra fecha para que no me den flores que no es San Valentin,NoneGlory
4,1638326196420108288,2023-03-21 23:46:18+00:00,Mi único objetivo es recibirme para hundir cual titanic a los papitos que se hacen los loquitos con la salud mental de un niñe.,marbabaya
5,1638324231829323776,2023-03-21 23:38:30+00:00,"Hace un año estaba entrenando gente en el patio de mi casa por 20$ el mes

Hoy lo hago en mi propio negocio cobrando tres veces eso

Paciencia que todo llega y la forma de no rendirse es agradecer cada día",aezc16
6,1638322729534226437,2023-03-21 23:32:31+00:00,amo jiminas,gooistv
7,1638322435798843395,2023-03-21 23:31:21+00:00,A mi no me va a domar ninguna Paloma,LorienNine
8,1638321895677231104,2023-03-21 23:29:13+00:00,"Me hice un café bien puto cargado y me tiemblan los manitos. Hasta me mareé, jajaja. Les dije que tomo café para sentir como que me muero.",ZanZyZan
9,1638320911576080387,2023-03-21 23:25:18+00:00,"Después de 8768423942 años, desde cuando se veía la tele, me ha dado por retomar Doctor Who. Igual por lo de que van a salir mis dos sugar daddies juntos este año.

El tema: ?????? por qué nadie me dijo que Steven Moffat cocinó tan duro estas temporadas ?????? bof",lactaSJ
10,1638319648658669569,2023-03-21 23:20:17+00:00,Las diferencias de altura por favor 😭😭,epikunst
11,1638319643700912128,2023-03-21 23:20:16+00:00,"1. Nos mudamos a otro estado. 
2. Adoptamos a Luna 🐶 
3. Nos dio covid en las vacaciones el año pasado después de estar invictos.",DoctorOfNone
12,1638319363731095553,2023-03-21 23:19:09+00:00,Lucero en revenge era porfavor ✨🧘🏼‍♀️✨,nohelia_lm
13,1638319103994654720,2023-03-21 23:18:07+00:00,Hijueputa puta hijueputa puta,None_Ezra
14,1638318900235386889,2023-03-21 23:17:18+00:00,"New Record: Paco ""El Chiringo"" Y Rafaël Moreno - Ala Vera Del Agua / Chiquita Mas Linda (Ruma) [[none]]  https://t.co/mPTrgUl4qz",45cat
15,1638317301215666178,2023-03-21 23:10:57+00:00,QUE ESTO PASE EN COSTA RICA GESUSCRISTOOOO,nohelia_lm
16,1638315398746587142,2023-03-21 23:03:24+00:00,Me dá todos por favor https://t.co/felrOjiFDJ,Michi_none
17,1638314552868872192,2023-03-21 23:00:02+00:00,"Top 10 Tendencias de Twitter en  México:
Scarlett Camberos: None
#NormaPiñaRepresentaALosNARCOS: 12299
AIFA: 29872
#floresamarillas: None
Benito Juárez: 21949
#AleNosUne: None
#DiaMundialDelSindromeDeDown: 12731
Trump: 1943390
Floricienta: None
JAIDEN: None",ZTSAnalytics
18,1638314414725115907,2023-03-21 22:59:29+00:00,Ganas hp de comer hamburguesas ando,McLovin_187
19,1638314034394025986,2023-03-21 22:57:58+00:00,Que rico huele la gasolina,None_Ezra
20,1638313959987052544,2023-03-21 22:57:41+00:00,"🏀 Vamos con este Parlay para el día de hoy, una selección en la #NHL y la otra en la #NBA 
#Parlay https://t.co/t78tITLAsl",9NinePicks
21,1638312845862371328,2023-03-21 22:53:15+00:00,"pq la gente tiene gustos tan asquerosos?,por ejemplo los hombres",Ali_LM1
22,1638312398967787520,2023-03-21 22:51:28+00:00,ay chamaquita pendeja,Ali_LM1
23,1638312111573966849,2023-03-21 22:50:20+00:00,El final de alquimia de almas 💔😭❤️‍🩹🥲❤️‍🔥🤩,LorienNine
24,1638310422641012736,2023-03-21 22:43:37+00:00,La sonrisa digna de propaganda de colgate de Giovani por dios lo amo,epikunst
25,1638310019241312267,2023-03-21 22:42:01+00:00,mi nemito,warroniatica
26,1638309203038072833,2023-03-21 22:38:46+00:00,que inteligente taylor cuando escribió a friend to all is a friend to none le beso el cerebro,ludmilabonifati
27,1638308800586235907,2023-03-21 22:37:11+00:00,Buen momento para recordar que ayer cumplimos 3 años con el Pampa y que un contacto no entendió a que apuntaba con el estado y me preguntó que si sabía de cuántos meses estaba y que esperaba JAJAJAJAJAJA no doña todavía no estoy esperando un niñe 😂😂😂,ro_lasserre
28,1638305595815067651,2023-03-21 22:24:26+00:00,Para los fans de Sonic y lego hice este dibujo de Tails lego al estilo nine de Sonic prime Netflix https://t.co/NHy0bwu8wi,Parraocho1Ochoa
29,1638304194451980291,2023-03-21 22:18:52+00:00,"Bueno, pues he empezado a ver de nuevo Brooklyn Nine-Nine. Ya está, ese es el tuit.",Pedrithor
30,1638303972862697472,2023-03-21 22:18:00+00:00,"unpopular opinion: decir que ""las mujeres están locas"" y ""los hombres son malos"" son generalizaciones de niñe de 12 años. Me da mucho palo leer ese tipo de cosas que lo único que hace es crear inseguridades a gente que no tiene que ver en vez de dañar a quien realmente va eso",eidensht
31,1638303376893984768,2023-03-21 22:15:37+00:00,Copiando gente https://t.co/2gk7K25kXg,None_467
32,1638303371684720640,2023-03-21 22:15:36+00:00,no sabré decirte ninguna teoría de física II pero si me pedis te hago todas las coreos del Reputation Tour de Taylor,coloradaboluda_
33,1638301156769419264,2023-03-21 22:06:48+00:00,Ponerse la discografía de Nine Muses después del rumor de comeback es d xicas mazo d xulas,pinkeumae
34,1638300875650224130,2023-03-21 22:05:41+00:00,Qué guape mi niñe,natalisometimes
35,1638300565120614401,2023-03-21 22:04:27+00:00,aaaaaa cuánto hacía que no escuchaba friday im in love mevuamatar tkm the cure,epikunst
36,1638299960117538818,2023-03-21 22:02:03+00:00,# H E R O,99_N_2_1
37,1638299449981292545,2023-03-21 22:00:01+00:00,"Top 10 Tendencias de Twitter en  México:
Benito Juárez: 20602
Japón: 116993
Japón: 116993
#WorldBaseballClassic: 619636
Américas: 23733
Randy Arozarena: 65363
#FelizMartes: 22665
#Primavera: 10471
#21deMarzo: None
QSMP: 241199",ZTSAnalytics
38,1638299313850789894,2023-03-21 21:59:29+00:00,"Vea lo que le entrego señora señor acá traigo una banda de calidá para pogo, para bailar como en el boliche. También la apreciaremo en situacione de corchazo y por qué no a la hora del setso, y también drama romántico, llévese su NINE INCH NAILS para la cartera o el bolsillo doña",sonardillas
39,1638299052746874880,2023-03-21 21:58:26+00:00,"el cutilicha es como el cutison, siempre aparecen borrosos en el fondo de las fotos y se roban el show igual",epikunst
40,1638296008433049601,2023-03-21 21:46:21+00:00,Final del Clásico Mundial: Ohtani frente a Trout y Kelley contra Imanaga https://t.co/sd3IhIEj2I,9nineSport
41,1638294876352663552,2023-03-21 21:41:51+00:00,"América informa que Scarlett Camberos ""deja el país por violencia de género"" https://t.co/6VNh5UuDIm",9nineSport
42,1638294287501623300,2023-03-21 21:39:30+00:00,Mil veces,wenn_Castr0
43,1638294218442522625,2023-03-21 21:39:14+00:00,"Aparte del baño y el auto, la actividad extracurricular del niñe es otra que ayuda a dejar de paternar por un ratito.",eltecodelagente
44,1638294192471396353,2023-03-21 21:39:08+00:00,Cristian Castro en el video de Prisionero con Miranda da muchas vibras a Niles el mayordomo de La Niñera. https://t.co/WuHlXx9qM1,uf_none
45,1638292687764832257,2023-03-21 21:33:09+00:00,"Chicos, se viene video del @games878787  de mas de una hora sobre la pantalla secreta en sb tv segurísimo",None_467
46,1638289994715484168,2023-03-21 21:22:27+00:00,y mi apoyo psicológico none ta😔😔,valenttinaulloa
47,1638289618125692933,2023-03-21 21:20:57+00:00,Lo único bueno de tener papá es que le puedo quitar las camisetas,Ali_LM1
