,Tweet Id,Datetime,Tweet,Username
0,1638329122655989760,2023-03-21 23:57:56+00:00,¿Cómo yo le explico a mi mamá que no todos los japoneses son Ohtani?,AlondraReyes_
1,1638329032696639488,2023-03-21 23:57:34+00:00,"Con todos mis respetos al Sensei de Japón, es la final, es momento de Shoei Ohtani! Cuando menos Yu Darvish, lo demás es invento japonés! Te enfrentas al mejor equipo en tu historia, necesitas experiencia big leaguers, pero bueno ellos son los que saben!",DesignYander
2,1638328757302730752,2023-03-21 23:56:29+00:00,Ohtani $650 millones por 4 años 😂😂,ElBartenderPR
3,1638328217391058945,2023-03-21 23:54:20+00:00,van a ver que Japón no va a durar mucho en hacer un anime de baseball con un personaje con la características de Shohei Ohtani,fernandocalg
4,1638328108544581632,2023-03-21 23:53:54+00:00,"desde guatirecity a japón le voy desde chiquitico, desde la cuna, ohtani es mi primo segundo y el que no me crea le va a estados unidos🥰. #BÉISBOLxTELEVEN",chubet0_
5,1638328065297207297,2023-03-21 23:53:44+00:00,"Darvish y Ohtani estaban habilitados para lanzar hoy, ambos diestros, ambos grandes ligas. Entonces, por qué Japón decidió abrir con un lanzador zurdo? Vs un lineup full de diestros🤔

No vieron el juego vs Venezuela?",elmax13
6,1638327316073025536,2023-03-21 23:50:45+00:00,"Shohei Ohtani🇯🇵 y Mike Trout 🇺🇸 son considerados los dos mejores beisbolistas del planeta. Hoy se enfrentarán por primera vez, cuando sus países disputen la final del #WorldBaseballClassic . ¿Por qué nunca sucedió antes? Porque ambos son compañeros en los Los Angeles Angels.",Kaz_Sakuraba
7,1638327164587196417,2023-03-21 23:50:09+00:00,"Que malo es Anaheim, exclame al ver a Ohtani y Trout con esas banderas 🫣",JayFaa1
8,1638327155665846274,2023-03-21 23:50:07+00:00,"Yo sigo pensando como Japón le abrió con un zurdito a esa alineación de Derechos de USA, parece que Darvish no está listo, y Ohtani el plan es más tarde.",yackssirDiaz
9,1638327022278565889,2023-03-21 23:49:35+00:00,Una locura. Ohtani no es normal,eden1rivas
10,1638326822059270145,2023-03-21 23:48:47+00:00,"Mírame el cuadrangular de Trea Turner, brother. La prendió todita. 🥴

Ya lo gana USA. Ojalá se pueda encender la ofensiva de Japón con Ohtani y Yoshida, no quiero ver a los gringos ganando el Clásico Mundial de Béisbol. 🤷🏻",CassaresLFC
11,1638326584787496960,2023-03-21 23:47:51+00:00,"Shohei Ohtani y Mike Trout  representantes de dos potencias en béisbol, #TeamJAPAN #TeamUSA 
@AngelsBeisbol 
Una imagen para la historia del 
#WorldBaseballClassic https://t.co/ke0ma4Lafd",whinsgtonsuriel
12,1638326564910690308,2023-03-21 23:47:46+00:00,Trea Turner: An American Hero.,miketheguy__
13,1638326347163377664,2023-03-21 23:46:54+00:00,"Ya estamos con la final del Clásico Mundial de Béisbol 2023. Estados Unidos 🇺🇸 vs Japón 🇯🇵 en  @Canal_Televen junto a @IgnacioSerrano y @guillearcay 
Trout vs Ohtani, rostros principales del béisbol en la actualidad. Cuál ganará?
@Teledeportes_10 #21Mar 
#BEISBOLxTELEVEN https://t.co/rDxie2MYAQ",mrodoficial
14,1638326208503898115,2023-03-21 23:46:21+00:00,"Con respecto a Ohtani, es un gane/gane sus números lo respaldan. Que ¿Cuánto tiempo pueda batear y tener tremendo pitcheo? Creo que es un riesgo más que asumible por cualquier organización. #MUNDIALBEISBOLxWIN",MDPayares_
