,Tweet Id,Datetime,Tweet,Username
0,1637603788864339968,2023-03-19 23:55:43+00:00,"#DomingoDeCartelitos
Les gusta el jugo de naranja 😏😏 https://t.co/0enHknlqMi",Eliastripa
1,1637602972061298690,2023-03-19 23:52:28+00:00,Que cosa linda las jineteadas😍,AgurtoMaia
2,1637602869896531968,2023-03-19 23:52:04+00:00,"Los metacomentarios son quizás lo que mas ODIO de The Last Jedi...
La película se sustenta en ellos y se vuelve tan pretenciosa... 
Al final no es de extrañar que la franquicia murió allí...
https://t.co/w6vRhV2Ft2",FranPizarroVi
3,1637602792482152448,2023-03-19 23:51:45+00:00,"Solo espero que esta nueva directiva YA esté buscando un DT de renombre y no un pinche apaga fuegos @maurodoehner @M_Culebro @TigresOficial aparte de nueva media, Pizarro y Carioca creo que ya se acabaron 🤷‍♂️",AntonioMG1214
4,1637602405620809728,2023-03-19 23:50:13+00:00,"Impecable el primer set de Carlos.

Sacando muy bien y con grandes % de primeros, siendo agresivo cuando toca, y aguantando las embestidas del ruso.",JLPiVa019
5,1637602309319344132,2023-03-19 23:49:50+00:00,Acabo de terminar la serie de los montaner y mi conclusión es que me tengo que conseguir un novio venezolano o colombiano para tener un amor como los que me gustan a mi!,martinapizarro2
6,1637602000882769920,2023-03-19 23:48:36+00:00,El arbitro es el mismo que reportó para expulsión a Justin.Todos los foules que le hacen a los morados no los puta y no es uno ni dos ni tres un m9ntón Fabricio foulea a Madrigal no veo pero cuando un saprissista hace una falta inmediatamente la pita.El árbitro es Ricardo Montero,EDUARDOLOPEZPI2
7,1637601684112257025,2023-03-19 23:47:21+00:00,"Ministro Jaime Pizarro participó en el lanzamiento de los balones oficiales de los deportes colectivos de los Juegos Panamericanos y Parapanamericanos

https://t.co/iNSyx2Kuva https://t.co/DSPvsfRCdM",InformaAlMinuto
8,1637601604101718022,2023-03-19 23:47:02+00:00,"Che fuera de joda es re complicado estacionar en la cancha de Boca, es lógico que la gente se vaya antes...",pizarroalejo_
9,1637601079255789570,2023-03-19 23:44:57+00:00,"ibarra si tenes un poquito de amor por el club y respeto por el hincha, da un paso al costado, la puta que te re parió",PizarroF10
10,1637600764175458305,2023-03-19 23:43:41+00:00,"#LigaMemdocina | COMPARTIERON LA PUNTA EN UN PARTIDAZO

Deportivo Luzuriaga y el Centro Empleados de Comercio igualaron 2-2.

⚽️ David Pizarro y Nahuel Vedia para el Luzu. Martín Guzmán e Isaías Guzmán para el Mercantil.

📷 @DepLuzuriagaOK https://t.co/tL9bktk2Ex",referentedepor2
11,1637600565990391808,2023-03-19 23:42:54+00:00,"Aquí en Venezuela paso lo mismo con @jguaido  cómo ""presidente"" 🤡 y  @ovierablanco @carlosvecchio @JulioBorges @Miguel_Pizarro  🤡🤡🤡 crearon un Gobierno de Narnia y se creyeron diplomáticos 💸💸💵💵💵 y se autopagaban sueldos por cargos imaginarios",joandri8a
12,1637600322620121088,2023-03-19 23:41:56+00:00,Miralo a Carranza hoy.. es más que el dibu Martinez,JulianPizarroBJ
13,1637600031283769346,2023-03-19 23:40:47+00:00,Sé que tu boca y mi boca cuando se juntan hay lío...,guada_pizarro0
14,1637599730539569153,2023-03-19 23:39:35+00:00,"El Estado: una máquina de impedir…
El tipo lleva 3 años presentando papeles y no le dan la habilitación",pepizarro
15,1637598532684095495,2023-03-19 23:34:49+00:00,"Pero mami no llores, yo calmo tus temores, los dos solos en la cama, discutiendo dolores",iPizarro_97
16,1637598459640401921,2023-03-19 23:34:32+00:00,Los amo con todo el cora 🥰😍,DanielaPizarroA
17,1637598159789514752,2023-03-19 23:33:21+00:00,"Le avisan a Ibarra y a Riquelme del CABJ ,que los cambios se hacen en los entrenamientos y no 5 cambios cuando vas perdiendo 5 a 0?
Gracias
#AndateRiquelme",RobertPizarro
18,1637598091254673410,2023-03-19 23:33:04+00:00,"No es que Carioca y Pizarro de pronto se hayan hecho malos , desde que juegan juntos nunca pudieron jugar juntos , son demasiado iguales son un 5 que les gusta jugar solo, para que ello luzcan deben tener 1 o 2 acompañantes de fuelle que los hagan lucir , como lo era Dueñas",ChagoRdzs
19,1637596699001536513,2023-03-19 23:27:32+00:00,"Felicitaciones a @DiemingerJavier y @lucianapacha por el triunfo en la hermosa ciudad de La Falda, en Córdoba.

Es una victoria contundente de la Unión Cívica Radical y Juntos por el Cambio, con más del 70% de los votos  aprobando la reelección de la gestión de Javier Dieminger.",mariopizarrook
20,1637596660665663489,2023-03-19 23:27:23+00:00,"""contactado""",polras
21,1637596418683686912,2023-03-19 23:26:25+00:00,oye pero q penca la cancha sintetica de la florida,tpizarroe
22,1637593545048563712,2023-03-19 23:15:00+00:00,Pagar 2 veces el mismo impuesto. Ilegal. La voracidad por la guita qué tienen los Kirchneristas es de no creer,polras
23,1637593012581593089,2023-03-19 23:12:53+00:00,Me deprime y me arruina los domingos Boca,Frann_pizarro
24,1637593002284654592,2023-03-19 23:12:51+00:00,Me sorprende que Pato tiene más intención de voto que Mauricio. Porque será? Mucha inseguridad?,polras
25,1637592812425191424,2023-03-19 23:12:06+00:00,"El problema es que colocar como inútil a la Nueva Republica y que eso llevara al ascenso de la Primera Orden al final hace que la lucha en la trilogía original fue para nada.
Eso es lo que molesta de las secuelas... 
https://t.co/WDpYfI1cWZ",FranPizarroVi
26,1637592664685047808,2023-03-19 23:11:30+00:00,Quien se va esta noche de la casa más famosa @GranHermanoAr #GranHermano2022 #GranHermano2023 #GHArgentina,fralusa
27,1637592290418933762,2023-03-19 23:10:01+00:00,Hinchas de Colo Colo lapidan a Gil y festinan con gesto de Pizarro https://t.co/bFrbn0SitF,FutbolazoCL
28,1637591793108676608,2023-03-19 23:08:03+00:00,"Empatamos contra un equipo de mierda y estoy más enojado que la chucha, solo quiero decir que Lucas assadi es mejor que todos los flaites culiaos del colo, partiendo por Pizarro y no admite siquiera discusión.",tonijuancrack
29,1637591458222882816,2023-03-19 23:06:43+00:00,"Feliz #diadelpadre y #felizdomingo .

A veces tenemos una racha de días malos, dias, semanas, meses, pero no os pareis en ver solo el lado negativo.

Como cuando viene mal tiempo en el campo, aprovechar para sembrar y luego recogereis

https://t.co/y3MnW4kazN",ManelPizarro
