,Tweet Id,Datetime,Tweet,Username
0,1637604299180998657,2023-03-19 23:57:44+00:00,Va el árbitro a ver la jugada al VAR…,PochoRaposo
1,1637604077054877699,2023-03-19 23:56:51+00:00,"Ver otros partidos me hace extrañarte más todavía mi albo querido, q se pasen de toke estas semanitas que quedan",Pocho_Berardii
2,1637603547486339072,2023-03-19 23:54:45+00:00,Fua no me puedo ni recuperar,poochoo_10
3,1637602675024965632,2023-03-19 23:51:17+00:00,Los de AM se han presentado con un portátil en el despacho de la fia con un power point pocho en un portátil de algún ingeniero y les han hecho una presentación de por qué nando se merece de vuelta la 3ra posición y se han camelado a la directiva. IN CRE Í BLE,rodrihazas14
4,1637601665745387520,2023-03-19 23:47:16+00:00,GOL de #Boca que a falta de 7 minutos para el cierre del partido se pone 2-3! Se picó todo después del gol. Boca encuentra el descuento casi sin jugar bien en todo el partido.,PochoRaposo
5,1637601317672693762,2023-03-19 23:45:53+00:00,“Esta hinchada se merece ser campeón” cantan los bosteros mientras la platea se va vaciando poco a poco a los 38 minutos,pochosamuel
6,1637601209027637248,2023-03-19 23:45:28+00:00,"Su paso por @Nacional fue con mucho más sombras que luces.
Nunca estuvo a la altura.
Lo dijimos desde el primer partido oficial, la camiseta de @Nacional le quedó gigante. Nunca encontró el equipo y cada vez que realizó cambios empeoró el funcionamiento.
Chau y gracias. https://t.co/oCmlIaeP5A",pocholiva
7,1637601028597071875,2023-03-19 23:44:45+00:00,Pocho sufriendo por lo mal que juega boca 😅 https://t.co/cYkY1VPShr,crisrojo_ok
8,1637599488113098752,2023-03-19 23:38:37+00:00,bajísimo el nivel de Valdez,pochoft
9,1637599268813807617,2023-03-19 23:37:45+00:00,Jajaja amargura pura,Pocho_Berardii
10,1637597791001235457,2023-03-19 23:31:53+00:00,Mira lo que es Boca mamita pocho.,FedeFerreyra317
11,1637597371558133760,2023-03-19 23:30:13+00:00,Extraño a pocho 🤧,murii_07_
12,1637597361508691968,2023-03-19 23:30:10+00:00,M.S7 esta de vueltaa🤩🤩🤩,Pocho_Berardii
13,1637596787337748485,2023-03-19 23:27:53+00:00,El lobo y el bosque esta de fiesta https://t.co/RJG3ZU2Ffw,_lautaroromero
14,1637596339709042696,2023-03-19 23:26:07+00:00,"🚨🚨🚨🚨🚨🚨🚨
Tal como lo adelanto @RelatorNacional en @BolsilludosR .
Se terminó el ciclo del Ruso...",pocholiva
15,1637594854246039552,2023-03-19 23:20:12+00:00,este tipo es de lo más grande q hay y todos los forros q lo puteaban ahora LE CHUPAN BIEN LA PIJA te amo. https://t.co/RKgNCUECZ7,aeleete
16,1637594462724542468,2023-03-19 23:18:39+00:00,"➡️Benjamin Dominguez.

➡️De Gimnasia.

➡️19 años. 

Humildemente creo que es por acá @RacingClub, me podrán decir que no tiene la misma “jerarquía” que Carbonero y puede que tengan razón, pero por velocidad y gambeta acá hay futuro. 

https://t.co/lxUZHGCxGY",PochoRaposo
17,1637594200681111554,2023-03-19 23:17:37+00:00,q bien se la paso con la banda de los pichukiii,Frankitortiz28
18,1637594095466979328,2023-03-19 23:17:12+00:00,Mi gente se viene rapada tengo el pelo echo polvo y está pocho,Sinyaves
19,1637594060859883521,2023-03-19 23:17:03+00:00,Y ahora es cuando yo me pongo pejiguera y digo que la falda con vuelo está mal hecha porque la longitud de la tela con más movimiento no cuadra con la longitud del resto de la falda.,VladWakinyan
20,1637592079986466823,2023-03-19 23:09:11+00:00,Gol al primer palo? Siempre del arquero no? Pierde #Boca 3-1 ante Instituto,PochoRaposo
21,1637591731003588608,2023-03-19 23:07:48+00:00,no tenemos NADA,pochoft
22,1637591702230671361,2023-03-19 23:07:41+00:00,no tenemos arquero,pochoft
23,1637591668470808581,2023-03-19 23:07:33+00:00,Y este quiere volver a la seleccion? Jajajajajaja no tapa el 1er palo,CabreraAle1
24,1637590437262237698,2023-03-19 23:02:39+00:00,"La información que llega a nuestro medio partidario @BolsilludosR da cuenta de que se estaría llevando acabo una reunión entre el DT y Fuentes.
Mañana la directiva de @Nacional tomará una decisión.
Desde @Independiente hubo comunicación para saber la situación del DT",pocholiva
25,1637588017039785984,2023-03-19 22:53:02+00:00,Si no lo damos vuelta es un partido saca técnico.,pochoft
26,1637587888186572804,2023-03-19 22:52:32+00:00,Pongan a Medina y saquen a Pol,pochoft
27,1637587400091115520,2023-03-19 22:50:35+00:00,"Bueno, se deschavó https://t.co/hYVTo7x1Pn",PochoCapo21
28,1637587250845466624,2023-03-19 22:50:00+00:00,"Además de haber desaparecido, pese a ser el jugador más importante de Chivas, el Pocho Guzmán fue expulsado contra el América y no estará en el Clásico Tapatío contra el Atlas 🔥🤡

👉🏼 https://t.co/1KH7kpmU4F https://t.co/gc2rvqWga2",estoenlinea
29,1637586608684687360,2023-03-19 22:47:27+00:00,UF Payero 🤯,CabreraAle1
30,1637586608449781761,2023-03-19 22:47:26+00:00,"Pero por favor, que GOLAZO de Payero de tiro libre! Hermoso tiro libre para poner a #Boca 1-2 en el cierre del primer tiempo! 

El festejo? A lo Lisandro López 😃👈🏻",PochoRaposo
31,1637586131213594624,2023-03-19 22:45:33+00:00,"#ClasicoNacional #ClubAmerica el festejo de  @HenryMartinM respondiendo en la cancha a las declaraciones de pocho Guzmán 
América 4 - chivas 2
Marzo 2023 https://t.co/6nMY8zDzJ3",gwmadrigal
32,1637586070463299585,2023-03-19 22:45:18+00:00,No hay nada mejor que casa,pochosanchez97
33,1637586007859032064,2023-03-19 22:45:03+00:00,No mame don JAJAJAJAJAJA,Pochismo_
34,1637585706846486536,2023-03-19 22:43:52+00:00,"Como preparar un buen fernet, hay gente que no sabe que la espuma es un MUST",Pocholinnn
35,1637585039180308483,2023-03-19 22:41:12+00:00,"no se como les da la cara o el corazon para irse a jugar a otro club que no sea con el que te criaste, con el que te dio todO",milagroscant_
36,1637584782031822850,2023-03-19 22:40:11+00:00,Yo lo que necesito es una pizza enorme de pa q pocho pa ser feliz,maeefm
37,1637584559104757760,2023-03-19 22:39:18+00:00,"No quiso jugar jugar contra el equipo de sus amores,detallazo del pocho!",hurock77
38,1637582579888013312,2023-03-19 22:31:26+00:00,"Para mi no era offside, que lindo cuando lo cagan a boca jajaja",CabreraAle1
39,1637579929444311042,2023-03-19 22:20:54+00:00,Q se extingan los colombianos,JuanCruzPochink
40,1637579683867836416,2023-03-19 22:19:56+00:00,"GOL de #Instituto! La Gloria se pone 2-0 arriba como visitante en 20 minutos! Pared al borde del área y definición mano a mano! Desdibujado #Boca, sin ideas de juego pierde y cae de local.",PochoRaposo
41,1637579430502584321,2023-03-19 22:18:55+00:00,4k pocho con asmr de teclado. https://t.co/OW8r0nSfIL,TORRAKAYLLONS
42,1637579369609678850,2023-03-19 22:18:41+00:00,"Los petristes:
- Petro no puede hacer nada por Colombia porque dejaron la olla raspada después de 200 años de uribismo fascista. 😤😤

Los mismos petristes:
- Vamos hacer tendencia ""ColombiaBaVien"" para demostrarle al uribismo de 200 años que no vamos mal. 🤗🤗",pochomcm
43,1637579044282683393,2023-03-19 22:17:23+00:00,"Rosario me trae su iPhone porque no le va para que se lo arregle, Juan  la máquina de los cupones porque no le va, Antonio un bonsai para decirme si lo veo pocho o no, el Henry una carta certificada del banco porque no ve de cerca. No soy camarero, soy asistente 24 horas tú",Rbns33
44,1637578961403404293,2023-03-19 22:17:03+00:00,Diria que seria es bait pero es demasiado estupido como para serlo.,pocho_con_fideo
45,1637578507864686600,2023-03-19 22:15:15+00:00,Es error de Chiquito Romero en el gol?,PochoRaposo
46,1637578416382791687,2023-03-19 22:14:53+00:00,Alguien avísele al Pocho que ya no está en Pachuca! Hagan paro!,dickm79
47,1637578343192068097,2023-03-19 22:14:36+00:00,"Madurar en el amor es aceptar que muchas veces somos la persona que llega a la vida de los demás para enseñarles la forma correcta de amar y las acciones que pueden lastimar, para que en su siguiente relación no vuelva a cometer los mismos errores y sepa que hacer…",aaronmorillo
48,1637578075822063622,2023-03-19 22:13:32+00:00,"GOL de #Instituto! Sorpresa en cancha de #Boca, la visita se pone 1-0 arriba en el marcador con una jugada armada de pelota parada sorprende al Xeneise",PochoRaposo
49,1637577544093376512,2023-03-19 22:11:25+00:00,"Buenas noticias 🙌🏻 A Fernando Alonso le devolvieron el 3er puesto, hubo marcha atrás en la penalización https://t.co/coJt0S48Uf",PochoRaposo
50,1637575607969087489,2023-03-19 22:03:44+00:00,"Pocho Guzmán : Claro que va a sufrir. 
 
Y al termino del partido lo expulsaron por encarar al árbitro quedó como un 🤡🤡

Por eso no es bueno hablar 🗣️
#VamosAmerica #ClubAmerica #JonathanRodriguez #HenryMartin  #LigaMX #Chivas  #ELCLASICODEMEXICO @Chivas https://t.co/LDkl69SzlW",Clubamerica200
51,1637575431061753860,2023-03-19 22:03:02+00:00,"- Pocho, si te gusta el fútbol porqué no lo ves?
+ Hoy vi el 1er tiempo de Gimnasia-Estudiante y perdíamos 1 a 0. No miré el 2do tiempo porque chinchuda me puse a hacer tarea PUM 2 A 1 GANA GIMNASIA ⚪🔵⚪🐺

Ya está, es cábala https://t.co/1mixOueFZt",LaPocho_T20
52,1637575423776129025,2023-03-19 22:03:00+00:00,"- Vamos a defender las reformas del gobierno Petro. 🥸🥸🥸

- ¿Publicando las cifras que soporten los buenos resultados?🤔🤔🤔

- No bobito, tachando de elitista y clasista a todo el que esté en contra. 🥰🥰🥰",pochomcm
53,1637574996527656967,2023-03-19 22:01:18+00:00,No mames y había gente que quería a este puto muerto jajajaka a chingar a su madre,JoFakerPrakerr
54,1637574858228858884,2023-03-19 22:00:45+00:00,"Todo salió bien el día de hoy, había olvidado esa sensación https://t.co/wEWOlTIrFg",JoFakerPrakerr
55,1637574214910636033,2023-03-19 21:58:12+00:00,"Día pocho hoy,mañana me tiene que salir bien la práctica pa compensar",Skydygy
56,1637573999688335365,2023-03-19 21:57:20+00:00,dia pocho per ser tifosi pro gran dia per ser culé diseloooooooooo,imhavingyourlou
57,1637573543977263108,2023-03-19 21:55:32+00:00,Me apetece chocolate jeje,Soyunmochipocho
58,1637573400058122240,2023-03-19 21:54:57+00:00,"¿Alguien ha visto al Pocho Guzmán? La última vez que lo vimos, dijo que el América sufriría, pero... 🤡

👉🏼 https://t.co/1KH7kpmmf7 https://t.co/AeHa5rNRAI",estoenlinea
59,1637573136819298313,2023-03-19 21:53:55+00:00,Goooooool de #Barcelona 2-1 le gana a #RealMadrid #LigaBBVA⚽🇪🇸 https://t.co/wJCS3JD4yU,pochoZ92
60,1637572820287778820,2023-03-19 21:52:39+00:00,"#MuyBuenasFamilia ¡Abro Stream en #twitch con mi OBS pocho, esperando no tener ningún problema! ¡Pásense porque en #Genshinlmpact vamos a hacernos todo el evento desbloqueado y... ¿Me convertiré en ballena?! 

https://t.co/Et7qOlMCGy

Gif: @gifgenshin https://t.co/h6voCBt2ep",SuperSoraSonic
61,1637572813010731010,2023-03-19 21:52:37+00:00,"Le hablé a louis por primera vez (aunque se que nunca me va a leer, no soy pelotuda) y puedo decir que es lo más liberador que hice en mi vida https://t.co/236rHqGi71",habitx2ghosts
62,1637572805930676224,2023-03-19 21:52:36+00:00,"Recién entra el ""10"" del Barcelona... en un clásico! Lamentable!",alexisorcellet
63,1637572741871140864,2023-03-19 21:52:20+00:00,Lo veía venir.,vicrivasr
64,1637571939215589377,2023-03-19 21:49:09+00:00,D'Ambrosio haciendo un Pocho Guzmán,billickvargas
