,Tweet Id,Datetime,Tweet,Username
0,1637604864761929730,2023-03-19 23:59:59+00:00,"Rafael Puente del Río es despedido como entrenador de los Pumas de la UNAM 🐱❌

➡ https://t.co/2A5tlckPgz https://t.co/hw7IaDkgQu",mmdeportesmx
1,1637604834403577857,2023-03-19 23:59:52+00:00,Haber tenido a Rafa Puente de DT podría ser uno de los episodios más bochornosos de Pumas en los últimos 10 años y mira que hay mucho de donde escoger eh.,ISRJIBS
2,1637604816959463432,2023-03-19 23:59:48+00:00,"Rafael Puente Jr está oficialmente fuera de @PumasMX y no queda más que celebrar, aunque faltan varios futbolistas por largarse.https://t.co/gshngB0Kax",94DianaN
3,1637604803697078272,2023-03-19 23:59:45+00:00,Esto va a terminar mal 🤦🏻‍♀️,_LeticiaPuente
4,1637604796302540801,2023-03-19 23:59:43+00:00,"Pese a norte, puente vacacional dejará importante derrama económica en la conurbación https://t.co/NZIhkcLIs8 #turismo #hoteles #veracruz #playa",jarochosonline
5,1637604792150237186,2023-03-19 23:59:42+00:00,me he pasado todo el puente mala🥲,maaytee09
6,1637604749066346500,2023-03-19 23:59:32+00:00,Y chingó a su madre Rafa Puente. https://t.co/6WGNLJN2uX,ms_camara21
7,1637604739108986880,2023-03-19 23:59:29+00:00,"¡SE ACABÓ EL AMOR!

Los Pumas de la UNAM anuncian el cese de Rafael Puente tras los malos resultados de los universitarios.

#NoticiasPamboleras https://t.co/SJ4Dwf8Y9X",NoticiasPambol1
8,1637604714270343168,2023-03-19 23:59:23+00:00,"Rafael Puente cuando se enteró que lo corrieron  y se puede llevar al Palermo a festejar. 
https://t.co/o9JJkCWVIh",ZattuZaturnino
9,1637604706603155457,2023-03-19 23:59:21+00:00,No se que esperaba la directiva de @PumasMX contratando a Rafa Puente para esta temporada...,DannyDroiid
10,1637604700106137600,2023-03-19 23:59:20+00:00,"¡YA NOS TOCABA ESTAR EN LA CIMA! 😎🙌🏻🏀🏔️

✅Estamos en primer lugar 🥇sobrinos y es momento de dejar su mensaje de apoyo al equipo.-🙌🏻

Bonito puente para todos…🌉👌

#JaladosCuliacán #Cabs2023 https://t.co/F3Ygog1X6S",caballeroscln
11,1637604695374954497,2023-03-19 23:59:19+00:00,"Gracias Benito por el puente y por ""Otro atardecer""",AlliPBz
12,1637604686688649217,2023-03-19 23:59:17+00:00,"Ya se fue Rafa Puente de Pumas, ahora sí, mi raza, báilele báilele https://t.co/qstSk7vNUb",Necromuerte
13,1637604676244783105,2023-03-19 23:59:14+00:00,"Rafa Puente deja de ser técnico de Pumas
https://t.co/FiiG5KPZdp",ElTiempo_Mx
14,1637604671240953856,2023-03-19 23:59:13+00:00,"Todos mañana así con su puente y uno trabajando...

Al menos sigue siendo Home Office 🤷 https://t.co/DU3zYX6opS",davidisrael20
15,1637604669970173953,2023-03-19 23:59:13+00:00,Con este puente de 3 días (que para mí duro 5) ya no se antoja estudiar 🧸,chhhelsy
16,1637604660549767168,2023-03-19 23:59:10+00:00,Ya manden a la verga a Rafa Puente de mis gloriosos y pendejos pumas porque estoy a otra derrota de cometer un homicidio.,UnTuiteroNice
17,1637604640916410368,2023-03-19 23:59:06+00:00,"Los @PumasMX anuncian el cese de Rafa Puente como técnico del equipo. Me parece que la situación era casi imposible de sostener, pero mucho más por el ambiente que por el tema futbolístico https://t.co/b3Y8mzDSHi",puig_ricardo
18,1637604640605761546,2023-03-19 23:59:06+00:00,"Se acabó la pesadilla. Rafa Puente Jr ha sido destituido. Deja a #Pumas en la miseria, y a Puente se le ha acabado su carrera.",LozanismoPumas
19,1637604616173940736,2023-03-19 23:59:00+00:00,"Por fin mandaron alv a Rafa Puente, pero varios más se deberían de ir con el",SoyLuisMagos
20,1637604613372116994,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/F5pBRuVEg1",rubenmorenot
21,1637604612340432897,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/cRH6cZ0BoB",MickeyRegio
22,1637604611413487617,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/yprgScq7KH",mangelhdez
23,1637604610461278210,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/JHm5TPRzjc",jajf2109
24,1637604609266012161,2023-03-19 23:58:58+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/JYuz633tri",edithfalcon
25,1637604603507142661,2023-03-19 23:58:57+00:00,Este puente me recuerda a la pandemia de covid,nataliacar0lin4
26,1637604540508717056,2023-03-19 23:58:42+00:00,"Se va Rafa Puente, pero aún quedan otros mercenarios... https://t.co/usqv1F9D02",monnoso
27,1637604506904002561,2023-03-19 23:58:34+00:00,Por lo menos no me arruinaron el puente. https://t.co/4FR0UbmR65,Antonio92j
28,1637604481482346497,2023-03-19 23:58:28+00:00,Chao Rafa…Pumas anuncia el despido del entrenador Rafael Puente del Río - Vía @ESPN App https://t.co/lsIkEC21c3,mayorga1
29,1637604451862151169,2023-03-19 23:58:21+00:00,Fuera Puente @PumasMX,fersch_4
30,1637604451237101568,2023-03-19 23:58:21+00:00,"🚨OFICIAL🚨

A través de un comunicado, los Pumas anunciaron que Rafa Puente dejó su cargo como entrenador del primer equipo. Se marcha tras 12 jornadas, donde solo consiguió 11 puntos. https://t.co/JqmYeYpnTn",entucanchaof
31,1637604414075666432,2023-03-19 23:58:12+00:00,"gracias por nada Rafa Puente, ojalá nunca vuelvas a pisar ninguna instalación del Club.",Avedoux
32,1637604391489269762,2023-03-19 23:58:06+00:00,"*se pellizca el puente de la nariz* Mira... Yo sé, que le aprecias, realmente lo sé y se lo digo pero... Papá, él es importante para mí...",badass_Lyanna
33,1637604364943499264,2023-03-19 23:58:00+00:00,"Al Chavista de a pie, al que cree aún en este proceso, le da indignación y hasta arrechera ver cómo los que están encaramados en altos cargos, han servido de puente como padrinos a esos corruptos jueces, gerentes, alcaldes, presidentes de circuitos penales",Vita49
34,1637604351756705794,2023-03-19 23:57:57+00:00,Puente Concón en Cañete a punto de venirse abajo por aumento de caudal del río https://t.co/3toBlFEwnV,tromepe
35,1637604350536081411,2023-03-19 23:57:57+00:00,"El experimento Puente del Río en @PumasMX, se llamó. Una pena por tratarse de un joven DT mexicano; sin embargo, sus antecedentes no justificaban su llegada al cuadro auriazul, y menos bajo los términos acordados. El desenlace, hasta cierto punto, fue el esperado. https://t.co/doiBidBHPp",LaNetadeZeta
36,1637604327400300545,2023-03-19 23:57:51+00:00,Rafa Puente fuera de Pumas. Creo que todos sabíamos que no iba a funcionar y aún así lo dejaron ir muy lejos,Productrillus
37,1637604323403132931,2023-03-19 23:57:50+00:00,"Notipuma 😼🚨

Rafael Puente Del Río deja de ser técnico de los Pumas.",Sergiotops1
38,1637604270810734596,2023-03-19 23:57:38+00:00,"Ya cesaron a Rafa Puente de mis #Pumas 
Si ganan mis @Lakers cerraría perfecto mi domingo!! Venga #LakeShow con huevos cabrones!!",EdsonFuce77
39,1637604259930701827,2023-03-19 23:57:35+00:00,"Tenia esperanza de que le iba a ir bien a Rafa Puente en Pumas pero no.
Ni modo a seguir adelante Pumas.

#GOYA",Disconforme0602
40,1637604258966126592,2023-03-19 23:57:35+00:00,"Lo gracioso es que Rafa Puente no va a tardar mucho en agarrar chamba en TUDN o de regreso a ESPN, y se dedicará a hablar cuestionar a otros directores técnicos seguramente, me pregunto con qué huevos y con qué valor se atreverá a hacerlo",Ezio656
41,1637604251626090499,2023-03-19 23:57:33+00:00,Puente Duarte será reabierto este lunes a las 5:00 de la mañana https://t.co/LzjmqhdpAY,contactsocialrd
