,Tweet Id,Datetime,Tweet,Username
0,1637604864761929730,2023-03-19 23:59:59+00:00,"Rafael Puente del Río es despedido como entrenador de los Pumas de la UNAM 🐱❌

➡ https://t.co/2A5tlckPgz https://t.co/hw7IaDkgQu",mmdeportesmx
1,1637604864149577734,2023-03-19 23:59:59+00:00,Nunca debió haber llegado a Pumas.,pakoms1
2,1637604834403577857,2023-03-19 23:59:52+00:00,Haber tenido a Rafa Puente de DT podría ser uno de los episodios más bochornosos de Pumas en los últimos 10 años y mira que hay mucho de donde escoger eh.,ISRJIBS
3,1637604796591996928,2023-03-19 23:59:43+00:00,"Dios nos ha mirado a los ojos.
A levantar a pumas @jaime_lozano_",LandaSnake
4,1637604752820191233,2023-03-19 23:59:32+00:00,"""Sentó a Dinenno y lo corrieron, Juan tiene secuestrado el equipo""
Un pendejo en Twitter Pumas, seguramente.",FerAcevedoH
5,1637604739108986880,2023-03-19 23:59:29+00:00,"¡SE ACABÓ EL AMOR!

Los Pumas de la UNAM anuncian el cese de Rafael Puente tras los malos resultados de los universitarios.

#NoticiasPamboleras https://t.co/SJ4Dwf8Y9X",NoticiasPambol1
6,1637604725985099806,2023-03-19 23:59:26+00:00,Creo que Rafa debe reflexionar si ser DT es lo suyo. Este tipo de declaraciones lo hacen ver cómo alguien que vive en una realidad alterna. No soy puma pero soy gallo y hacia lo mismo acá,chino_edgar
7,1637604686688649217,2023-03-19 23:59:17+00:00,"Ya se fue Rafa Puente de Pumas, ahora sí, mi raza, báilele báilele https://t.co/qstSk7vNUb",Necromuerte
8,1637604676244783105,2023-03-19 23:59:14+00:00,"Rafa Puente deja de ser técnico de Pumas
https://t.co/FiiG5KPZdp",ElTiempo_Mx
9,1637604660549767168,2023-03-19 23:59:10+00:00,Ya manden a la verga a Rafa Puente de mis gloriosos y pendejos pumas porque estoy a otra derrota de cometer un homicidio.,UnTuiteroNice
10,1637604640605761546,2023-03-19 23:59:06+00:00,"Se acabó la pesadilla. Rafa Puente Jr ha sido destituido. Deja a #Pumas en la miseria, y a Puente se le ha acabado su carrera.",LozanismoPumas
11,1637604613372116994,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/F5pBRuVEg1",rubenmorenot
12,1637604612340432897,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/cRH6cZ0BoB",MickeyRegio
13,1637604611413487617,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/yprgScq7KH",mangelhdez
14,1637604610461278210,2023-03-19 23:58:59+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/JHm5TPRzjc",jajf2109
15,1637604609266012161,2023-03-19 23:58:58+00:00,"Vía @reforma Pumas anunció que Rafael Puente Jr. dejó de ser el DT del equipo, que queda en posición 16 tras acumular 7 derrotas, 2 empates y 3 triunfos https://t.co/JYuz633tri",edithfalcon
