,Tweet Id,Datetime,Tweet,Username
0,1638329623200120833,2023-03-21 23:59:55+00:00,"Ya no quiero nada, el mctrio no me da señales de que estaran en QSMP, juan y rub menos..😿 https://t.co/h9qGGvUWWl",Yukisinf0nia
1,1638329597929332739,2023-03-21 23:59:49+00:00,"BADBOYHALO EN DIRECTO
€[¥\€[¥\£[£\ SI ESTA EL SEÑOR DE LOS MUFFINS EN EL QSMP ME CONSIDERO HOMBRE LOCO CON MIS TEORÍAS QUEKJQKS",ImNotFanty
2,1638329593663746048,2023-03-21 23:59:48+00:00,"BadBoyHalo en el QSMP por favoooor, necesito escucharlo, necesito ver la imagen que lo confirma https://t.co/R30jDduN11",Vianapzz
3,1638329579570970626,2023-03-21 23:59:45+00:00,ahora solo falta la de wilbur,kobenidmc
4,1638329553801162753,2023-03-21 23:59:38+00:00,COMO Q MISSASINFONIA VA A ESTAR EN QSMP ME MUEROOO,eslanat0
5,1638329538429034498,2023-03-21 23:59:35+00:00,dejen de donar para ke roier abra el Minecraft (estoy entrando en demencia),desstriste
6,1638329520540221441,2023-03-21 23:59:31+00:00,Y si me hago una card?,najikento
7,1638329516824178690,2023-03-21 23:59:30+00:00,y si y si le dono a roier,jmluvsgigi
8,1638329490265853953,2023-03-21 23:59:23+00:00,Por qué las cuentas no siguen a Wilbur? 😦,Fioraddie
9,1638329458921750528,2023-03-21 23:59:16+00:00,He vuelto de comer y ya anunciaron a slime niceee :D,Coffees_love
10,1638329409613463560,2023-03-21 23:59:04+00:00,nojodas entre en el directo y roier de ríndete ríndete ríndeteee 😭😭😭😭,solhsng
11,1638329397424926721,2023-03-21 23:59:01+00:00,"ahora bbh está en stream, okay no estoy lista para nada en este punto estoy al borde del llanto",pepusky_
12,1638329395541688322,2023-03-21 23:59:01+00:00,"gente, ya estoy perdiendo las esperanzas de que Roier este en el QSMP😔",Larobapapas_
13,1638329384552615936,2023-03-21 23:58:58+00:00,BAD PRENDIO TENGO FE TENGO FE,arepaconmalta
14,1638329340667518976,2023-03-21 23:58:48+00:00,enfin cada quien vieron? https://t.co/EwBbbbZBJu,____jasykerana
15,1638329325928816649,2023-03-21 23:58:44+00:00,"espera q

ya sabemos qn más va a estar en el qsmp 🥺 https://t.co/LHOkapvUxK",IsabellaSunshi
16,1638329319750782976,2023-03-21 23:58:43+00:00,emocionada por el qsmp,whoisashley11_
17,1638329310774808726,2023-03-21 23:58:41+00:00,"Bueno ya perdí la esperanza, ya no creo q Farfa, Cris, Shad, Conter o Rich esten en el QSMP https://t.co/PC4m7hLRr1",Irlenee_
18,1638329278570852354,2023-03-21 23:58:33+00:00,BAD BOY HALO ESTARA EN EL QSMP YO LO SE LO PRESIENTO,lexdtqk
19,1638329241640083456,2023-03-21 23:58:24+00:00,"#badboyhalo: hoy voy a hacer algo secreto que les diré más adelante

confirmamos bbh en el qsmp???",Sweven_nf
20,1638329233628905472,2023-03-21 23:58:22+00:00,y ahí me di cuenta de lo mucho que quería un abrazo de grefg:(,lovesrubiuuh
21,1638329196010254337,2023-03-21 23:58:13+00:00,"🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯
🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯
🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯
🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯
🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯
🕯 MANIFIESTO DE QUE ROIER ESTE EN EL QSMP 🕯",SamPouEmo
22,1638329182315790336,2023-03-21 23:58:10+00:00,RECIÉN M DESPIERTO Y VEO Q JAIDEN H FOOLISH ESTARÁN EN EL QSMP VAMOOOO,franngaymer
23,1638329172954165251,2023-03-21 23:58:08+00:00,A TI NO TE HA INVITADO QJSJJAJS,willckity
24,1638329160996212739,2023-03-21 23:58:05+00:00,SE VIENE CONFRIMACION DE BADBOYHALO OJO 🕯️🕯️🕯️🕯️,Danielave2001
25,1638329124241526785,2023-03-21 23:57:56+00:00,BAD BOY HALO PRENDIO STREAMMMM Y ESTA EN MC #QSMP https://t.co/zGOSM8lHwL,Nikoyont
26,1638329113789313026,2023-03-21 23:57:54+00:00,SW VIENEN LOS TIGRES DEL NORTE A QSMP,rapedilfs
27,1638329100409491459,2023-03-21 23:57:50+00:00,"NO RESPIREN NI SE MUEVAN, BBH YA INICIÓ STREAM Y SEGURAMENTE ANUNCIARA SU PARTICIPACIÓN EN EL QSMP https://t.co/gObd1g17Wl",dianxiabear
28,1638329099012677632,2023-03-21 23:57:50+00:00,prendió roier 🤨🤨🤨 qsmp???? 🤨🤨🤨,iQU4CKITY
29,1638329086274617344,2023-03-21 23:57:47+00:00,Bueno no estara en el qsmp pero funaron a los updates por andar ilusionado,qckoier
30,1638329055421296644,2023-03-21 23:57:40+00:00,"bbh prendió, para mi q confirma su participacion en el qsmp😁",louiimeow
31,1638329040376406017,2023-03-21 23:57:36+00:00,Si soy 🤠👌🏻,Lalalasof01
32,1638329036119109634,2023-03-21 23:57:35+00:00,FELICIDADED,weweierty
33,1638329025591660544,2023-03-21 23:57:33+00:00,"Necesito que anuncien a otro hispano en el QSMP, siento que casi no hay.",LiViBy_11
34,1638329018847051777,2023-03-21 23:57:31+00:00,Yo al enterarme que Aldo no estará en el QSMP😞 https://t.co/OB8xJYIEP9,geo_minmin
35,1638329000903729157,2023-03-21 23:57:27+00:00,"#TribunalAudiovisualPopular 🇨🇴⚖️
#juristas convocados a contribuir con sus conocimientos para el fortalecimiento de esta herramienta #QSMP #merlano #reunión #hoy21 ⚠️♥️♻️",latribuinforma1
36,1638328994406735872,2023-03-21 23:57:25+00:00,me dieron florecitas amarillas 🫶🏻,yqckity
37,1638328960768458752,2023-03-21 23:57:17+00:00,tu tmb eres un grande corazón ;(( no digas eso,tnikyo
38,1638328947900395520,2023-03-21 23:57:14+00:00,ni siquiera m iba a ayudar si no les pedía CON QUE CARA HACÉS ESO EN EL 5TO SEMWSTRE HERMANA,____jasykerana
39,1638328944154882050,2023-03-21 23:57:13+00:00,DEJEN DE HACER EDITS TAN BUENOS LOCO https://t.co/X7gYS8AE5m,catunderthetree
40,1638328942384889856,2023-03-21 23:57:13+00:00,"Roier diciendo q no estará en el qsmp 
El chat: https://t.co/UZ4DPQN9tO",rubencutee
41,1638328937477464066,2023-03-21 23:57:12+00:00,BADBOYHALO PRENDIÓ STREAM SI NO ES PARA ANUNCIAR Q ESTA EN EL QSMP ME MUERO,anrikamioda
42,1638328921727938561,2023-03-21 23:57:08+00:00,Ya van a confirmar a bbh en el qsmp 🙏,sooblluvs
43,1638328916237598720,2023-03-21 23:57:06+00:00,PRENDIÓ BAD,qwlirios
44,1638328913611874311,2023-03-21 23:57:06+00:00,Ya pero a q hora sale la participación de Wilbur,_depresedd
45,1638328909178494977,2023-03-21 23:57:05+00:00,Callense estoy manifestando a bbh en qsmp,wen_omg2
46,1638328903935639554,2023-03-21 23:57:04+00:00,gracias roier x prender directo es q estoy sumamente triste i necesitaba la noti de tu directo&lt;3,solhsng
47,1638328902123917312,2023-03-21 23:57:03+00:00,"Una semana y media sin internet, que concha es qsmp",FYumek
48,1638328877410820098,2023-03-21 23:56:57+00:00,"nse q es, pero sí eres 😭😭😭🩷",kiikwv
49,1638328859014713345,2023-03-21 23:56:53+00:00,bájenle la cuenta para q no diga esas cosas literalmente estoy llorando roier te voy a meter una denuncia,dollfrogis
50,1638328853104939009,2023-03-21 23:56:51+00:00,Que bonita q soy (Me tarde 2 horas para tomarme 2 fotos y casi lloro),Fioraddie
51,1638328841914441729,2023-03-21 23:56:49+00:00,Los jóvenes de hoy no quieren drogas quieren que carre este en el QSMP,piojo_de_harry
52,1638328836646490117,2023-03-21 23:56:47+00:00,"yo cuando
yo cuando roier dijo q no va a estar en el QSMP pq hay gente más importante q él https://t.co/hq6F2qIu6e",roiermionichan
53,1638328831227449348,2023-03-21 23:56:46+00:00,YA ME ESTÁ ENTRANDO PÁNICO DE QUE RUBIUS NO ESTE EN EL QSMP 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,AMaryMore
54,1638328817621037056,2023-03-21 23:56:43+00:00,"Voy a sonar bien castrosa pero estaria bonito que metieran a mas mujeres al qsmp xd Literal nadamas tenemos a jaiden, suelten morras hispanas pls se los ruego :^(",tulipan_gay_
55,1638328776109989889,2023-03-21 23:56:33+00:00,ya dejen d hablarle sobre el qsmp pq cqda vez se menosprecia más,MCNDRE4M
56,1638328774084247557,2023-03-21 23:56:33+00:00,Mañana ay clases pasen excusas para no ir y ver los #QSMP,tefspr
57,1638328752034967552,2023-03-21 23:56:27+00:00,ESTO TIENE QUE VER CON SU ROL EN LA SERIE SISISISIS NO ESTOY LOCA,Vyzzuh
58,1638328707583553539,2023-03-21 23:56:17+00:00,Bienvenido al #QSMP JaidenAnimations,kimcreaam
59,1638328704353853443,2023-03-21 23:56:16+00:00,"wilbur prende directo, entra a minecraft, obtiene su boleto d qsmp, se confirma su participación en el proyecto, todos somos felices, todos ganamos https://t.co/aPgXUHiRF8",qkkity
60,1638328683638435841,2023-03-21 23:56:11+00:00,"no se que poner aquí ya que es el primer dibujo que publico por aquí, estoy muy emocionadx por mañana ❤
#QSMP #GALAQSMP https://t.co/NuVlWuqWRm",SarahV_uwu
61,1638328658359189506,2023-03-21 23:56:05+00:00,"le pedi el instagram a un w de mi escuela, muy ligadora",leliwq
62,1638328641296760832,2023-03-21 23:56:01+00:00,"Miren al guapo, me esta dando señales de vida",Yukisinf0nia
63,1638328639581310977,2023-03-21 23:56:01+00:00,"Todos los nombres de duos, trios y squads q van a salir del qsmp ya me lo imagino",AlekisdeXd
64,1638328591267110913,2023-03-21 23:55:49+00:00,Carre en QSMP carre en el QSMP carre en el QSMP carre en el QSMP carre en el QSMP carre en el QSMP carre en el QSMP 🍀🕯️🍀🕯️🍀🕯️🕯️🍀🍀🍀,piojo_de_harry
65,1638328547344302081,2023-03-21 23:55:39+00:00,"No mamen me fui 3 horas y quackity ya tmb trajo a los tigres del norte para el QSMP, eres grande quackity 😩🙏",__armjung
66,1638328541384425474,2023-03-21 23:55:37+00:00,jaja Wilbur faltas tu miamor jaja q haces pq no dices nada,hobaekies
67,1638328502838599680,2023-03-21 23:55:28+00:00,GRACIAS DIOS POR TANTO GRACIAS GRACIAS GRACIAS😫😫😫😫😫😫💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,antimax_
68,1638328496110858242,2023-03-21 23:55:26+00:00,Ola (estoy apunto d llorar por lo q está diciendo rob) https://t.co/pl5GnXP8zp,catunderthetree
69,1638328490511544321,2023-03-21 23:55:25+00:00,lpm lo peor es q les acostumbré así y siempre terminan haciendo sus otras tareas mientras yo hago malabares hasta las 3am,____jasykerana
70,1638328489643474944,2023-03-21 23:55:25+00:00,Ya asumí y acepté que Juan no estará en el QSMP😀 https://t.co/3DgGAmvk5y,ilov3myhamster
