,Tweet Id,Datetime,Tweet,Username
0,1637967094577864704,2023-03-20 23:59:21+00:00,Papel de parede? https://t.co/Rwwbw3mvrX,_DamnBL
1,1637966182023086081,2023-03-20 23:55:44+00:00,"Ya que me suspendieron el proceso en la Serena para mañana  hoy voy a disfrutar con los RHCP!!!
PD : El Lucky pensando... "" Porque no se fue este wn para dormir tranquilo.... "" https://t.co/wGAsb2HUTy",foreverdehueon1
2,1637965916536184832,2023-03-20 23:54:41+00:00,"No tengo tatuajes pero si me hiciera sería el símbolo de RHCP en la parte de fuera de la muñeca izquierda para cuando me pregunten la hora decir ""hora de Chili"" https://t.co/qoLkfw0CV6",goteleao
3,1637965363081035777,2023-03-20 23:52:29+00:00,"Después de Brasil, viene 🇦🇷???
Elijo creer 🕯️🙏
#Rhcp",takenotekitaOk
4,1637960379467694081,2023-03-20 23:32:40+00:00,Los RHCP me regresaron al @vivelatino después de muchos años !! No puedo describir esa sensación 🫶🏻👏😍,jumy_america
5,1637960240581754880,2023-03-20 23:32:07+00:00,tocando rhcp - can't stop na academia,marcusyuri_2
6,1637960006376083456,2023-03-20 23:31:12+00:00,Me aparece en tendencias RHCP y pincho para ver de que se trata y me dice que la consulta no es valida ¿Qué huea Elon por la chucha?,HernanTawers
7,1637959837454675968,2023-03-20 23:30:31+00:00,"Alguien puede hablar de que ayer pude conocer a duki, ir al vive latino con la que me gusta y ver a los RHCP?💀💀💀💀💀💀💀💀💀💀💀",DieFlxDeadSoul
8,1637958530983510016,2023-03-20 23:25:20+00:00,"Fernando Alonso es el más loco de Twitter Alonsismo, estoy por el suelo.",Alvaro_RHCP
9,1637954896249991168,2023-03-20 23:10:53+00:00,"Wey no supero a mis Bandalos Chinos, a Los Bunkers y a los RHCP 🫶🏼✨",mirindierock
10,1637952948796882944,2023-03-20 23:03:09+00:00,"No pude ir a ver a mis RHCP pero el onvre sí, y ya me envió videos del concerto 🥺🩷 https://t.co/zYvxiaPzHz",dancingmacabra
11,1637951367414251520,2023-03-20 22:56:52+00:00,"Se los dije... cansado, no aguanto el cuerpo, por fortuna no estoy crudo; pero eso si muy feliz por haber visto a los RHCP",gammita
12,1637950408961433600,2023-03-20 22:53:03+00:00,"#Musica Finalmente ocurrió, @ChiliPeppers fue parte del @vivelatino y ofreció un concierto digno del recuerdo. Un set que combinó temas clásicos y varias novedades.

¿Qué les pareció?

Fotos: Vive Latino / Ocesa 

#Festivales #Rock #RHCP #VL23 #RedHotChiliPeppers #ViveLatino https://t.co/ykOGVIFgmH",TheMarkDiablo
13,1637948811157880836,2023-03-20 22:46:42+00:00,Se vienen unas fotos chiditas de los RHCP en el VL 🥵,javilectric
14,1637948687094513666,2023-03-20 22:46:13+00:00,Tkm profe que pone rhcp,opsid3
15,1637948638440611840,2023-03-20 22:46:01+00:00,El peor visto que he recibido en mi vida es el de mi psicóloga 😔,chicadelazotea
16,1637948164656300036,2023-03-20 22:44:08+00:00,Qué tosco estuvo el concierto de los RHCP. Su forma de vestir es inversamente proporcional a lo chingón que suenan en vivo.,CreoQueExisto
17,1637948163087822848,2023-03-20 22:44:08+00:00,"Ya escuché Slide Away en vivo con Liam Gallagher, Scar Tissue con los RHCP, me falta don’t look back in anger, apúrate papito @NoelGallagher",dianaxgc
