,Tweet Id,Datetime,Tweet,Username
0,1637604865458225153,2023-03-19 23:59:59+00:00,Este si https://t.co/mOTuJwSfII,Ismaelmontero27
1,1637604862497116160,2023-03-19 23:59:59+00:00,Es neta que estoy mensajeando con una teen de 17 años y sonrió cada que me llega un msj de ella 🥰,Rafa_Rlopez
2,1637604860982878217,2023-03-19 23:59:58+00:00,"Las últimas noticias no son demasiado prometedoras de paz: se vienen aviones para Ucrania, así que probablemente haya otra escalada del conflicto. Mientras tanto Occidente sigue empeñado en complicarles la vida a sus ciudadanos: amenaza con sancionar a China.
Liu Sivaya",RGMAguere
3,1637604834403577857,2023-03-19 23:59:52+00:00,Haber tenido a Rafa Puente de DT podría ser uno de los episodios más bochornosos de Pumas en los últimos 10 años y mira que hay mucho de donde escoger eh.,ISRJIBS
4,1637604749066346500,2023-03-19 23:59:32+00:00,Y chingó a su madre Rafa Puente. https://t.co/6WGNLJN2uX,ms_camara21
5,1637604744788058112,2023-03-19 23:59:31+00:00,Este no es anime https://t.co/oeolIHQXHT,Ismaelmontero27
6,1637604725985099806,2023-03-19 23:59:26+00:00,Creo que Rafa debe reflexionar si ser DT es lo suyo. Este tipo de declaraciones lo hacen ver cómo alguien que vive en una realidad alterna. No soy puma pero soy gallo y hacia lo mismo acá,chino_edgar
7,1637604706603155457,2023-03-19 23:59:21+00:00,No se que esperaba la directiva de @PumasMX contratando a Rafa Puente para esta temporada...,DannyDroiid
8,1637604686688649217,2023-03-19 23:59:17+00:00,"Ya se fue Rafa Puente de Pumas, ahora sí, mi raza, báilele báilele https://t.co/qstSk7vNUb",Necromuerte
9,1637604676244783105,2023-03-19 23:59:14+00:00,"Rafa Puente deja de ser técnico de Pumas
https://t.co/FiiG5KPZdp",ElTiempo_Mx
10,1637604660549767168,2023-03-19 23:59:10+00:00,Ya manden a la verga a Rafa Puente de mis gloriosos y pendejos pumas porque estoy a otra derrota de cometer un homicidio.,UnTuiteroNice
11,1637604640916410368,2023-03-19 23:59:06+00:00,"Los @PumasMX anuncian el cese de Rafa Puente como técnico del equipo. Me parece que la situación era casi imposible de sostener, pero mucho más por el ambiente que por el tema futbolístico https://t.co/b3Y8mzDSHi",puig_ricardo
12,1637604640605761546,2023-03-19 23:59:06+00:00,"Se acabó la pesadilla. Rafa Puente Jr ha sido destituido. Deja a #Pumas en la miseria, y a Puente se le ha acabado su carrera.",LozanismoPumas
13,1637604616173940736,2023-03-19 23:59:00+00:00,"Por fin mandaron alv a Rafa Puente, pero varios más se deberían de ir con el",SoyLuisMagos
14,1637604572259663872,2023-03-19 23:58:49+00:00,Rivalidade https://t.co/8evgkeBSmB,Rafa_Sloth
15,1637604540508717056,2023-03-19 23:58:42+00:00,"Se va Rafa Puente, pero aún quedan otros mercenarios... https://t.co/usqv1F9D02",monnoso
16,1637604481482346497,2023-03-19 23:58:28+00:00,Chao Rafa…Pumas anuncia el despido del entrenador Rafael Puente del Río - Vía @ESPN App https://t.co/lsIkEC21c3,mayorga1
17,1637604451237101568,2023-03-19 23:58:21+00:00,"🚨OFICIAL🚨

A través de un comunicado, los Pumas anunciaron que Rafa Puente dejó su cargo como entrenador del primer equipo. Se marcha tras 12 jornadas, donde solo consiguió 11 puntos. https://t.co/JqmYeYpnTn",entucanchaof
18,1637604414075666432,2023-03-19 23:58:12+00:00,"gracias por nada Rafa Puente, ojalá nunca vuelvas a pisar ninguna instalación del Club.",Avedoux
19,1637604327400300545,2023-03-19 23:57:51+00:00,Rafa Puente fuera de Pumas. Creo que todos sabíamos que no iba a funcionar y aún así lo dejaron ir muy lejos,Productrillus
20,1637604270810734596,2023-03-19 23:57:38+00:00,"Ya cesaron a Rafa Puente de mis #Pumas 
Si ganan mis @Lakers cerraría perfecto mi domingo!! Venga #LakeShow con huevos cabrones!!",EdsonFuce77
21,1637604259930701827,2023-03-19 23:57:35+00:00,"Tenia esperanza de que le iba a ir bien a Rafa Puente en Pumas pero no.
Ni modo a seguir adelante Pumas.

#GOYA",Disconforme0602
22,1637604258966126592,2023-03-19 23:57:35+00:00,"Lo gracioso es que Rafa Puente no va a tardar mucho en agarrar chamba en TUDN o de regreso a ESPN, y se dedicará a hablar cuestionar a otros directores técnicos seguramente, me pregunto con qué huevos y con qué valor se atreverá a hacerlo",Ezio656
23,1637604200749191169,2023-03-19 23:57:21+00:00,Rafa Puente fuera de Pumas. Ahora llamen a Hugo Sánchez,cricho_guzman
24,1637604103223140353,2023-03-19 23:56:58+00:00,Y que el Rafa lo vaya a ‘charlar’ al arbitro,Sofirappazzo
25,1637604085053399041,2023-03-19 23:56:53+00:00,Vuelven el Mama Arismendi y el Rafa García en Julio,ElGuticonducion
26,1637604045668986880,2023-03-19 23:56:44+00:00,Es Vignolo o el Rafa Di Zeo el que esta relatando???,GalvDiego
27,1637604042435182592,2023-03-19 23:56:43+00:00,Fuera Rafa Puente JR.,chechelarranag1
28,1637604009476341766,2023-03-19 23:56:35+00:00,ya corrieron a rafa puente ajajajaj,Tonywest123
29,1637604006653722625,2023-03-19 23:56:35+00:00,"Rafa Puente dice que se puede ir más abajo, aún no tocan fondo | VIDEO https://t.co/xQY0dqoiPQ https://t.co/PQ50Frknxl",blacked_98
30,1637603970997706752,2023-03-19 23:56:26+00:00,Dinenno en la banca pensando que fue a pedir que no corrieran a Rafa Puente https://t.co/U2yNd8OOM7,Ramirokuai
31,1637603935736176642,2023-03-19 23:56:18+00:00,"Y ahora quién va a ser entrenador de Pumas⁉️🐾

Checa el pésimo récord que tuvo Rafa Puente.📉⚽️⬇️

#soydepumas #LigaMX #Clausura2023 #LigaBBVAMX https://t.co/W3cOAunch1",Deportrece
32,1637603828248768514,2023-03-19 23:55:52+00:00,"La afición de Pumas al enterarse que finalmente corrieron al pendejo de Rafa Puente
 https://t.co/uoE5L1uEQl",oscar_ronzon
33,1637603814868910083,2023-03-19 23:55:49+00:00,"Los números lo avalan, Rafa Puente JR. Habla muy bonito pero dirige muy mal, que se dedique a otra cosa, le va a ir mejor",Hulkroj
34,1637603732551598080,2023-03-19 23:55:29+00:00,"Según circula que ya se fue Rafa Puente de Pumas, sinceramente creo que lo aguantaron bastante, el problema aquí es quién es el valiente que se atreve a tomar a los Auriazules??",arturoesau
35,1637603686112190465,2023-03-19 23:55:18+00:00,🚨 Se acabó la era de Rafa Puente 🚨.. https://t.co/kyZshp3zvS,DaleAzulyOro
36,1637603674024300544,2023-03-19 23:55:15+00:00,¡Pumas despide a Rafa Puente! https://t.co/qTmpwOhR9y #Futbol #LigaMX,xeudeportesmx
37,1637603649592475654,2023-03-19 23:55:09+00:00,"Se acabó la era de Rafa Puente Jr. en los Pumas, un proyecto que nació muerto https://t.co/8OJumIqYEG",pp_cortes
38,1637603612300910592,2023-03-19 23:55:01+00:00,"Se le acabó su oportunidad de oro y probablemente la carrera a Rafa Puente Jr.,  a menos que te llames Pumas nadie en su sano juicio contrataría a alguien con esos números tan pobres.",puma_auri
39,1637603604591788034,2023-03-19 23:54:59+00:00,Que noticia bad vibes 🙃,calaci0
40,1637603591983706112,2023-03-19 23:54:56+00:00,Se fue Rafa Puente… ¿Qué opinan? ¿Quién llegará al banquillo de Pumas? https://t.co/SFFNign369,jancamposg_
41,1637603588309499904,2023-03-19 23:54:55+00:00,"🚨🚨🚨🚨Enseguida les cuento en @deportesWRADIO más detalles sobre la salida de Rafa Puente. Cómo, cuándo, quién le comunicó la decisión y los pormenores.

#Pumas",FabrizioDC_
42,1637603575722328066,2023-03-19 23:54:52+00:00,"Ganó el Barça
Ganó la Juve
Despidieron a Rafa Puente
La vida es buena",BardosAngel
43,1637603565689528322,2023-03-19 23:54:49+00:00,Que huevos de Rafa Puente que en un par de semanas va a andar en algún programa de TUDN analizando como los técnicos deberían de dirigir.,DiabloRojo111
44,1637603565060472832,2023-03-19 23:54:49+00:00,"Adiós Rafa Puente, cagaste mi sueño otros 6 meses. https://t.co/0GFIHn2hzl",FerAcevedoH
45,1637603490531770368,2023-03-19 23:54:32+00:00,Mejor será no ver ni escuchar nada más jajajaja,rafatri94
46,1637603476904587264,2023-03-19 23:54:28+00:00,"Seamos honestos, Rafa Puente Jr jamás debió ser DT de @PumasMX, es más jamás debió recibir su título.
Solo está ahí por su padre.

#SoyDePumas
#FueraPuente",Q_Ultra75
47,1637603455131963394,2023-03-19 23:54:23+00:00,los que están sin camiseta son fans de karol g,ExojoRafa
48,1637603437931114498,2023-03-19 23:54:19+00:00,"SE VA RAFA PUENTE DE PUMAS.

Por fin, se acabó el proceso de un entrenador que nunca tuvo que llegar a Pumas.

COMENTARIOS... https://t.co/dj5tKu47SZ",elmagazo
49,1637603420319408129,2023-03-19 23:54:15+00:00,"#ÚLTIMAHORA | ¡Se acabó la paciencia para el Junior! Rafa Puente es despedido de Pumas 👁️

https://t.co/b7ikb5NsV7",heraldocuu
50,1637603412966506496,2023-03-19 23:54:13+00:00,No creo que vuelva a tener otra oportunidad cómo está. Rafa Puente Jr solo funciona en mesas de análisis.,IamAlextremo
51,1637603398999502850,2023-03-19 23:54:10+00:00,OTRO BREAK DE CARLITOS FKFKFKFIFKDJD ESTE TIO ES RAFA NADAL CON 20 AÑOS MENOS,CarrlosRBB
52,1637603376912269315,2023-03-19 23:54:04+00:00,Biennnn hpta vamossss @carlosalcaraz,rafa1924_
53,1637603370364989440,2023-03-19 23:54:03+00:00,"¡Se va Rafa Puente!

#Pumas https://t.co/XG7UQOapNw",DreAguilar19
54,1637603308331311104,2023-03-19 23:53:48+00:00,"Viendo Silicon Valley me cayó el veinte el origen del término popular de la compañía este año. 

Una serie del 2015. 🧐",Rafalbores
55,1637603279050776577,2023-03-19 23:53:41+00:00,ESPN anuncia la incorporación de Rafa Puente a su panel de analistas para criticar a todos esos técnicos mediocres de la liga mx,_BabaYaga
56,1637603267084427269,2023-03-19 23:53:38+00:00,No más Rafa Puente en #Pumas . Ya es oficial su salida. https://t.co/funyh9ttNH,OZamo
57,1637603261942321153,2023-03-19 23:53:37+00:00,"Tristemente, los técnicos no pueden vivir solo de hablar bonito…necesitan RESULTADOS y Rafa Puente nunca los ha tenido en 1ra.

Sus lamentables declaraciones hoy, terminan siendo la cereza de su desastrosa gestión en CU. 

Solo 12 fechas después, Rafa deja de ser DT de Pumas. https://t.co/rqTpn1YPn6",efectoRicalde
58,1637603246947573762,2023-03-19 23:53:33+00:00,Habían contratado a Rafa Puente para un torneo y ni eso pudo concluir. #Pumas,Peter_Moon
59,1637603087174041669,2023-03-19 23:52:55+00:00,"Quién será el técnico más pendejo de la Liga MX?
Rafa Puente o Michael Leaño?",TheNeto25
60,1637603062897311744,2023-03-19 23:52:50+00:00,"Primer set en la manga para Carlitos, que huevos le está echando, y que aplomo, parece que el que está jugando es Rafa Nadal con esa veteranía",CarrlosRBB
61,1637603034589982721,2023-03-19 23:52:43+00:00,"No volvera a un bis Rafa Puente Jr.

Por hoy... Se apagan las luces. La función terminó y el escenario se apaga.

Se baja el telón para el 'actor'.

Ahora un nuevo guionista tendrá que conseguir #Pumas https://t.co/Jhfqb115vI",eldesconocido
62,1637603030391570438,2023-03-19 23:52:42+00:00,"The Jury Disagree - I Stay Away (Alice In Chains Cover) https://t.co/ZWRnTYZf75 a través de @YouTube

Porque no tengo vecinos así @rafa_cavada    :(",DanielCorrea86
63,1637603026134343680,2023-03-19 23:52:41+00:00,"Rafa Puente viene a confirmar que ser un tremendo analista, culto y conocedor de fútbol no te hace un buen técnico.",ElUamero
64,1637603021612802049,2023-03-19 23:52:40+00:00,Evan Dando https://t.co/Wa99UgBITI,Rafa_77
65,1637603014302220292,2023-03-19 23:52:38+00:00,El peor Boca en años!,messindoza
66,1637602969297272832,2023-03-19 23:52:27+00:00,Prefiero irme con rafa polinesio a la selva q ir a estudiar 🧍🏻‍♀️😭 https://t.co/McEJCESaSP,milaaaaesc2
67,1637602944852934657,2023-03-19 23:52:21+00:00,"RAFA PUENTE YA SE FUE ALCH!!!!!’ RAFA PUENTE YA NO ES TÉCNICO DE PUMAS!!! RAFA PUENTE CHINGA A SU MADRE, VAMOOOOOOSSSSS LA PTM🥰🥰🥰 https://t.co/BG3I5sjDQU",ms_camara21
68,1637602893917241344,2023-03-19 23:52:09+00:00,Ayer descubrí una tercera caratula cuando está nublado. https://t.co/d9wRRjOc9v,rmntcrz
69,1637602880168378368,2023-03-19 23:52:06+00:00,"Tristemente esta será la última imagen de Rafa Puente como técnico de Pumas en CU. Se fue entre abucheos, insultado, bañado en cerveza y con 7 derrotas en 12 juegos.",Edgarinho
70,1637602824425992194,2023-03-19 23:51:53+00:00,Rafa Puente queda dura del Club. Se tardaron pero ya se marchó. 👏🏻 https://t.co/pXwnRdas2Y,pumasmxrebel
71,1637602758206320640,2023-03-19 23:51:37+00:00,"🚨 Oficial Pumas cesa a Rafael Puente del Río.

Por medio de un comunicado @PumasMX hace oficial la salida de Rafa Puente de la institución. 

La derrota ante los Tuzos desencadenó la decisión de los felinos. 

#Pumas #LigaMX https://t.co/1hLeQVLIVP",RaulOrvananos
