,Tweet Id,Datetime,Tweet,Username
0,1637604553548873729,2023-03-19 23:58:45+00:00,"Es asqueroso tener que escuchar cada partido de Rayados y Rayadas a narradores que parece que les duele ver a nuestros equipos arriba en la tabla, y eso que @FOXSportsMX es la cadena que nos transmite.",Abner1023
1,1637603988534185984,2023-03-19 23:56:30+00:00,Yo después de ver la remontada de Rayados vs Santos en la final de conca,PatoUresti
2,1637603361020100608,2023-03-19 23:54:01+00:00,q asco los rayados,_ximenaafloress
3,1637602959071510534,2023-03-19 23:52:25+00:00,Rayadas y Rayados. Golazo!,carlosalbertfp
4,1637602759863160835,2023-03-19 23:51:37+00:00,"La FMF tiene algo con Rayadas Y Rayados o porque el albitraje es tan corrupto

Con todo y eso están de superlider
Tanto varonil como femenil
Entiende @LigaBBVAFemenil  Y @LigaBBVAMX  aunque estés en contra no la van a pel.. toda",JoelGonzalezOr4
5,1637601473042235392,2023-03-19 23:46:30+00:00,"Rayados se van de vacaciones ( merecidisimas)
Pero si ha sido el tecnico Don Antonio Mohamed, la santa inquisicion tuitera rayada ya hubiera puesto el grito en el cielo",_angel_thiago
6,1637600744961617920,2023-03-19 23:43:37+00:00,"Aquí un side-by-side de los goles de @Luis3Romo y #CarleeGiammona 😮‍💨🤌🏻

@Rayados @Rayadas https://t.co/Q2DxEJuBwh",SoyPauMo
7,1637599873967988737,2023-03-19 23:40:09+00:00,El ritual que hicieron los @Rayados para poder ganar después de 10 años en el Uni,ChairezVzz89
8,1637598712049418242,2023-03-19 23:35:32+00:00,“Si no es de fuera del área no se vale meter gol” @Rayadas y @Rayados esta jornada,chinosorchini
9,1637598404837535749,2023-03-19 23:34:19+00:00,y le dicen nacos y ardidos a los rayados 😆 https://t.co/yasXZONc80,cinthyaavlzq
10,1637598058744561664,2023-03-19 23:32:56+00:00,q les dieron a las rayadas y los rayados esta temporada 🥶,yang_valee
11,1637597709241663494,2023-03-19 23:31:33+00:00,gano rayados gano él barca gano checo pérez y vi al nata en vivo que más puedo pedir😮‍💨,Cesar_bellako10
12,1637596814152015872,2023-03-19 23:28:00+00:00,Que bonito es cuando en un mismo fin de semana @Rayados &amp; @FCBarcelona ganan sus respectivos clásicos 😍,alexgzzg95
13,1637596174164082689,2023-03-19 23:25:27+00:00,"El Récord de puntos en torneos cortos es de 43 (con 20 equipos), hoy Rayados tiene 31 y faltan 15 por disputar.

Será que Vuce rompa ese récord? https://t.co/VKFIlolE3T",Morris_Mty
14,1637596102886080513,2023-03-19 23:25:10+00:00,"Anotar perros golazos 

Rayadas 🤝 Rayados",DaniVait
15,1637595964545400843,2023-03-19 23:24:37+00:00,"Gracias por este fin de semana.

Siempre con ustedes pase lo que pase.

@FCBarcelona @Rayados https://t.co/FfyPy6e7pi",alvizo_mmwb
16,1637595815962091522,2023-03-19 23:24:02+00:00,"Ganó rayados, ganó checo Pérez y ganó Barcelona, que mas le puedo pedir a la vida, ya soy feliz🙏",Emilio88004067
17,1637594574649434115,2023-03-19 23:19:06+00:00,"🎵 yo que fui tormenta 🎵
🎵 yo que fui tornado🎵
🎵 yo que fui volcan🎵
🎵soy un volcan apagado🎵
Jajjajajajajajaj
Ay ay ay 
Rayados
Tigres https://t.co/Spn2CicZZU",garsol71
18,1637594555640950786,2023-03-19 23:19:01+00:00,"Los goles de Romo y Giamonna son idénticos pero no hay que compararlos, sólo disfrutarlos...

@rayados @rayadas https://t.co/vWIna2aGne",r9carloss
19,1637594352959496192,2023-03-19 23:18:13+00:00,"Ella me pidió que me desnudara, y yo le conté como mis Rayados están jugando como hace años no lo hacian y eso me hace ilusionarme con el campeonato🏆 

Se burló, ella queria ver la desnudez de mi cuerpo. Yo tonto, le mostré la desnudez de mi alma💔",AloKyeee
20,1637594295241785346,2023-03-19 23:17:59+00:00,Que bonito es ser de los rayados 😎💙🤍,KarlaLuna2508
21,1637594075690827777,2023-03-19 23:17:07+00:00,"Goles bonitos en @Rayadas  y @Rayados  
Carlee Giammona 🤝 Luis Romo",lobmtz
22,1637594024952430597,2023-03-19 23:16:55+00:00,"Victoria de Rayados ✅
Victoria de Checo ✅
W Weekend",AlexSL_117
23,1637593862775472128,2023-03-19 23:16:16+00:00,"""Si no es gol fuera del área, no vale"" Rayados 🤝 Rayadas. 🤠💙🤍",Patto2326
24,1637593233529139201,2023-03-19 23:13:46+00:00,"Luis Romo 🤝 Carlee Giammona

Anotar un golazo en esta jornada.
@Rayados @Rayadas",SoyPauMo
25,1637593205918105601,2023-03-19 23:13:39+00:00,"“El Volcán es la Cancha más pasional”

La cancha mas pasional:

https://t.co/wCQJBBG11g",RayadosForLife
26,1637593169930903553,2023-03-19 23:13:31+00:00,Fin de semana de golazos 💣🚀⚽️@Luis3Romo #Carlee @Rayados @Rayadas,g_ivancepeda
27,1637593090616709121,2023-03-19 23:13:12+00:00,"Sin rayados de murallas, sin grafitis, muy limpio. .//",SeguridadValdes
28,1637593016146751488,2023-03-19 23:12:54+00:00,"Golazo de Romo 
Golazo de Giammona
@Rayados @Rayadas",regiomty86
29,1637592988288155648,2023-03-19 23:12:48+00:00,"#LigaMX 🇲🇽
Esteban Andrada, @maximeza_7, @rogelio7funes y @GermanBerte titulares en @Rayados, que venció 1-0 en el #ClasicoRegio a @TigresOficial. En el local fueron titulares @PatonGuzman, @guido19pizarro y Nicolás Ibáñez https://t.co/WLX5EEJEdB",FutbolistasAXEM
30,1637592959280398337,2023-03-19 23:12:41+00:00,"La semana pasada baile de Cortizo, baile de Burcky, Ayer golazo de Romo hoy Golazo de Giammona, conectados @Rayados y @Rayadas",Ossalbur
31,1637592947909591040,2023-03-19 23:12:38+00:00,😮‍💨 GOOOLAZOOOO se estrena Giammona con Rayadas y de que manera Rayados 1-0 Chivas 🔥 https://t.co/gioY7tRGEm,vecerro
32,1637592836001374208,2023-03-19 23:12:11+00:00,Rayados es un uniforme de fútbol,ManuelTVara4
33,1637592663670026241,2023-03-19 23:11:30+00:00,Rayados es Campeón,ManuelTVara4
34,1637592583370055682,2023-03-19 23:11:11+00:00,El sábado fui a hacerme anteojos de receta nuevos porque los míos están rayados y cascoteados y me aumento la graduación de un ojo https://t.co/P5gaRVKDzD,poliedp
35,1637592543939420160,2023-03-19 23:11:02+00:00,Rayados los cuadernos,ManuelTVara4
36,1637592423932076035,2023-03-19 23:10:33+00:00,Los Rayados son los más crueles en la burla,AlexGaitanMty
37,1637592360493232131,2023-03-19 23:10:18+00:00,"Los ganadores del #ClasicoRegio129 y líderes del torneo @Rayados, volverán a los entrenamientos hasta el próximo miércoles https://t.co/kKFdghHAWc",CMoralesSerrato
38,1637592189516632068,2023-03-19 23:09:37+00:00,"INCREÍBLE LO DE LUIS ROMO 😱

El sábado gana             El domingo gana 
el Clásico con               el Clásico con
Rayados                          Barcelona https://t.co/dPFIK1e848",javialonsordz
39,1637592130683121664,2023-03-19 23:09:23+00:00,Que bonito fin de semana … 1️⃣Ganan los rayados el clásico  2️⃣ checo gana su primer podium en la temporada … ya solo falta que mañana Mex le gané a Jap en el mundial de Béisbol 🙏🏻✨,berany
40,1637591064298020865,2023-03-19 23:05:09+00:00,"Feliz domingo 💙 +💛= te amo papá 

¡Estos clásicos fue nuestro!

#rayados #America #barcelona #aniquiladores https://t.co/0MsYsxMGJi",roxgarciarivas
41,1637589933723471874,2023-03-19 23:00:39+00:00,"🔵⚪️Vucetich comentó: 
- No han ganado nada,  el objetivo es la liga
-Vendrá una dosificación para el equipo 

@Formula_Mty #ClasicoRegio129 #Rayados https://t.co/S9CZmWYf2z",SentidoDepMX
42,1637589775174496256,2023-03-19 23:00:02+00:00,Los @Rayados son el primer equipo en amarrar un lugar en la fase final del #Clausura2023 https://t.co/KCwTLtEpvA,Antonio_Nelli
43,1637589767037632512,2023-03-19 23:00:00+00:00,"Tras el #ClásicoRegio, #Rayados volverá a las prácticas hasta el miércoles, mientras que los #Tigres lo harán el martes. https://t.co/PlHDEwOdSB",CANCHAELNORTE
44,1637589649223761920,2023-03-19 22:59:31+00:00,"Victoria de @Rayados 🔵⚪️⚽️
Victoria de @SChecoPerez 🔵🏎️
Victoria de @AniquiladoresFC 🔴⚪️⚽️
Victoria de @FCBarcelona_es 🔵🔴⚽️

Fin de semana redondo👌🏽",WilfridoLeal
45,1637589501273862146,2023-03-19 22:58:56+00:00,"gano rayados, gano checo y gano el barca😍😍😍",eder_rdzz
46,1637589210260557825,2023-03-19 22:57:47+00:00,"ILUSIÓN TOTAL. 

La nueva etapa de Rayados promete… y mucho. https://t.co/1DXYHBE032",RAYADOHQM
47,1637588285932355585,2023-03-19 22:54:06+00:00,"neeee nata como q arriba los rayados, la otra vez dijiste que tigres, q paso ahí😭",dariannaaa_
48,1637587262585094155,2023-03-19 22:50:02+00:00,q guapos mi novio y yo con la jersey d rayados💋,iampaot
49,1637586862565933061,2023-03-19 22:48:27+00:00,"Yo pensé que los aficionados de Tigres y Rayados eramos los mas llorones y que no sabíamos perder, pero no somos absolutamente nada comparados con los del Real Madrid. 
#ElClasico",RodoLanda
