,Tweet Id,Datetime,Tweet,Username
0,1637604654031728641,2023-03-19 23:59:09+00:00,Información importante.,jromovazquez
1,1637604600936124416,2023-03-19 23:58:56+00:00,Cantenme el tiro porque hoy ando partiendo madres gratis,gabyromo2321
2,1637604295204917254,2023-03-19 23:57:43+00:00,Ya estuve revisando bien las repeticiónes del clásico y Romo le pega un poquito con la espinilla pero bueno… gol es gol…,AsiEsMonterrey
3,1637603345236934656,2023-03-19 23:53:57+00:00,"Y que ""CORRE MÁS UN CHISME EN LA BOCA DE UN MUDO"" JAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJA",romo_1924
4,1637603088222527489,2023-03-19 23:52:56+00:00,"Te admiro por que a pesar de todo el daño que te han causado, nunca dejas de ponerle esa bonita sonrisa ante cualquier situación. De: mí Para: mi 🩹❤️ https://t.co/s6by3udifY",BelenRomo16
5,1637602909411000320,2023-03-19 23:52:13+00:00,Debe ir Valverde en su remplazo. Y Liga ya debería ir viendo cómo sacarle ese jugador al nacho.,alejoromo08
6,1637602689436581894,2023-03-19 23:51:21+00:00,"Goey wtf con los hombres que dicen que""quieren una relación""",JuanBRomo
7,1637602581907120129,2023-03-19 23:50:55+00:00,el siguiente sueño que quiero cumplir es ver a kali uchis en vivo,maryjoROMO
8,1637601690286276608,2023-03-19 23:47:22+00:00,Haciendo Un Romo !,grimty1979
9,1637601507225878533,2023-03-19 23:46:39+00:00,"Que no sirve, dicen algunos. Qué poco saben de fútbol los que opinan acá en Twitter. Más allá de cualquier estadística, se nota que Romero se ha formado para ser futbolista. Ojalá Daykol pueda jugar todo el campeonato y consolidarse.",alejoromo08
10,1637601302267015170,2023-03-19 23:45:50+00:00,"¿Solo está Gabriel Soto en México? (Dejo de quejarme si Daniela Romo regresa al proyecto y hace que los dos sean pareja, preferiblemente antagonistas)",NScarllat
11,1637601044292071425,2023-03-19 23:44:48+00:00,La mayor parte del tiempo si son indirectas jajajaja,nayelli_romo
12,1637600379780169730,2023-03-19 23:42:10+00:00,"Solo mi mamá sabe la lucha constante que llevo día a día, y que hoy dijera esas cosas tan lindas de mi, me da mil años de vida 🥺",BelenRomo16
13,1637600124158263296,2023-03-19 23:41:09+00:00,"Regalenme flores amarillas el martes, les pago JAJAJJJJ",nayelli_romo
14,1637600056810393600,2023-03-19 23:40:53+00:00,Ríanse un poco 😄😄,angycien
15,1637599667201400833,2023-03-19 23:39:20+00:00,"Encuesta en Mendoza:

Milei - 32,6%
JxC - 30,5%
FdT - 16,4% https://t.co/k5JLfqOgK5",agustinromm
16,1637599519327113218,2023-03-19 23:38:45+00:00,#enacional Que mala clase el alcalde dice excelente política del presidente que el dice y se echa flores pero después región seguido el presidente hace todo mal. La salud esta mal ? Todo está mal pero Cárter es responsable de la mala salud  que hipocresía más grande. Mal la fl🌷,NormaRomoMartin
17,1637599317778104323,2023-03-19 23:37:57+00:00,"De los 16 goles que lleva Romo en su carrera, como 6 son a tigres 🤭 https://t.co/gDNM4nSIYI",betogallagher
18,1637597656334606338,2023-03-19 23:31:21+00:00,🥵 | Carlee Giammona de Rayadas haciendo un Luis Romo. ¡GOLAZOOO! 🫶🏻🔵⚪️ https://t.co/i7g0A13kNI,AguanteRayado
19,1637596628432433153,2023-03-19 23:27:15+00:00,A lo Romo… golazo,UnRayao
20,1637595916180811777,2023-03-19 23:24:26+00:00,Hace mucho no dormía tan deli,PauletRomo
21,1637595019233091589,2023-03-19 23:20:52+00:00,"Que pedoooo, gol a lo Romo?",Karla_D19
22,1637594555640950786,2023-03-19 23:19:01+00:00,"Los goles de Romo y Giamonna son idénticos pero no hay que compararlos, sólo disfrutarlos...

@rayados @rayadas https://t.co/vWIna2aGne",r9carloss
23,1637594520454934528,2023-03-19 23:18:53+00:00,Nos vemos esta noche en el Estadio León para el cierre de la Jornada 12 entre León 🦁 y Santos 😇.,jromovazquez
24,1637594485470232582,2023-03-19 23:18:45+00:00,"AA tienen que tener un ayudante de campo Nacional para que asesore a Pellegrino, la dupla de Centrales de Copiapo Romo y Sills son lentos, partido para Assadi y Huerta, Luna se dio en festín pero no aguanta 90 minutos(marca personal), Nery es Ojeda, en fin... Toda del DT hoy...",J0RGESALAS
25,1637594452511318016,2023-03-19 23:18:37+00:00,La puso donde Romo 😱,Rayadette
26,1637594160772333570,2023-03-19 23:17:27+00:00,No entiendo la titularidad de Poblete #VamosLaU,AlvaroRomo__
27,1637594075690827777,2023-03-19 23:17:07+00:00,"Goles bonitos en @Rayadas  y @Rayados  
Carlee Giammona 🤝 Luis Romo",lobmtz
28,1637594047735799809,2023-03-19 23:17:00+00:00,"Vieron donde entró el gol de Carlee y donde entró el gol de ayer de Luis Romo en el Clásico Regio
#FoxGolFemenil
@MonicaArredondo",nestor_bersoza
29,1637593925329342465,2023-03-19 23:16:31+00:00,el micro infarto que casi me da cuando no encontraba mi pasaporte,maryjoROMO
30,1637593847696965633,2023-03-19 23:16:12+00:00,"Ya he visto por ahí lo de los tuits kilométricos y oye, qué pereza. Yo que vengo aquí a leer cosas breves 😩",Paula_Romo
31,1637593492028375040,2023-03-19 23:14:48+00:00,"Cómo van a gritar ole con un 1 a 0 panas. Menos fútbol que ese ""periodista"" Argüello.",alejoromo08
32,1637593374554243072,2023-03-19 23:14:20+00:00,Carlee dijo si Romo pudo por qué yo no,jenysoler7
33,1637593233529139201,2023-03-19 23:13:46+00:00,"Luis Romo 🤝 Carlee Giammona

Anotar un golazo en esta jornada.
@Rayados @Rayadas",SoyPauMo
34,1637593065526370304,2023-03-19 23:13:06+00:00,Tengo la sensacion que Pellegrino esta perdiendo a Osorio #VamosLaU,AlvaroRomo__
35,1637593016146751488,2023-03-19 23:12:54+00:00,"Golazo de Romo 
Golazo de Giammona
@Rayados @Rayadas",regiomty86
36,1637592959280398337,2023-03-19 23:12:41+00:00,"La semana pasada baile de Cortizo, baile de Burcky, Ayer golazo de Romo hoy Golazo de Giammona, conectados @Rayados y @Rayadas",Ossalbur
37,1637592734784540677,2023-03-19 23:11:47+00:00,Pinche golazo de mis @Rayadas imitando a Romo💪,alexrayaduo
38,1637592700189908992,2023-03-19 23:11:39+00:00,Que golazoooooo a lo romo,AngiiieCorpus
39,1637592588998828032,2023-03-19 23:11:12+00:00,"Los goles de Giammona y Romo
#Rayadas https://t.co/3Cy7o3UQr5",marioabc19
40,1637592535055966213,2023-03-19 23:11:00+00:00,"Mediocre hoy lo de Pellegrino,no se porque Assadi es banca #VamosLaU",AlvaroRomo__
41,1637592471378046976,2023-03-19 23:10:44+00:00,Gol de Giammona &gt; Gol de Romo x mucho 🤪🤡👀🇫🇮,GilZavala28
42,1637592286866407427,2023-03-19 23:10:00+00:00,"Goooooolllazzzo de @Rayadas , copiando a Romo . Ya 1-0 a favor sobre las chivas al minuto 10",isaactregzz
43,1637592189516632068,2023-03-19 23:09:37+00:00,"INCREÍBLE LO DE LUIS ROMO 😱

El sábado gana             El domingo gana 
el Clásico con               el Clásico con
Rayados                          Barcelona https://t.co/dPFIK1e848",javialonsordz
44,1637591876424409091,2023-03-19 23:08:22+00:00,Q triste ver tus archivos de ig y darte cuenta la cantidad de cosas que ya solo se convierten en recuerdos,Thiago_Romo_
45,1637591850214096897,2023-03-19 23:08:16+00:00,"Guerra, JPG, Poblete no pueden volver a ser titulares, Assadi no puede ser banca, weon no es difícil.",Space_Amnska
46,1637591525814153216,2023-03-19 23:06:59+00:00,Era roja para Romo,aldo_marin
47,1637591319504617475,2023-03-19 23:06:10+00:00,No fue un buen día la verdad :/,Space_Amnska
48,1637591088364937217,2023-03-19 23:05:15+00:00,"Copiapo mereció ganar con Sils, Romo, Rozas y pueos wnes pasaos a tierra. Pellegrino ql",chrisU_11
49,1637591000204865544,2023-03-19 23:04:54+00:00,Que terca es la esperanza,laromoo
50,1637590401908391940,2023-03-19 23:02:31+00:00,"La falta de profesionalismo también es causa de conflictos e incidentes viales.
De patria a clouthier Volcán Popocatepetl pasa de doble circulación a un solo sentido, sin que haya señalamiento de advertencia 
@ZapopanGob @Trafico_ZMG @MovilidadZap @zona3noticias https://t.co/6zRvW4PXe4",JDRomoG
51,1637590274380627975,2023-03-19 23:02:01+00:00,Que pedo con los heteres? Cuál es el mame que tienen por el checo y hasbullah? Que alguien me explique ese mame.,paty_romo
52,1637590099847258112,2023-03-19 23:01:19+00:00,Y ahora toca escuchar a nuestro @elgabodiromo Siempre Sí - Gabo Di Romo (Próximamente) https://t.co/8OUnDY44yW,ProduccionesA_
53,1637589888764723201,2023-03-19 23:00:29+00:00,Amarillos... Mishhh y quieren ser partido... Mishhh loquillos...,RomoPatricio33
54,1637589487311020032,2023-03-19 22:58:53+00:00,"Nos reímos mucho del Colo ayer, por la rectm dksfkdslf :(",Space_Amnska
55,1637589485545242624,2023-03-19 22:58:52+00:00,Esperemos que cierta institución internacional no defienda a los delincuentes que estaban haciendo uso de libre acto de robar...,RomoPatricio33
56,1637589139519418368,2023-03-19 22:57:30+00:00,Ya ni para dormir sirvo 😢,paty_romo
57,1637588762724036610,2023-03-19 22:56:00+00:00,"Sills, Romo, Rozas esos weones te tienen para el webeo Pellegrino ql",chrisU_11
58,1637588215451250692,2023-03-19 22:53:50+00:00,"Algo que le hace mucha falta y a la vez tanto daño a Tigres es la intensidad a la hora de marcar y se comprobó ayer en el pase previo al gol de Romo, 3 jugadores de tigres hacen como que presionan a Celso pero ninguno lo encima solo lo ven. https://t.co/lvng8A5VEW",ElTerrybogard
59,1637587358408122371,2023-03-19 22:50:25+00:00,"Impostergable Gran Acuerdo para próximo gobierno de Unidad Nacional compartiendo responsabilidades, REFUNDAR la Patria cimentada en valores
Nunca más delincuentes en el gobierno, los forajidos Prófugo saqueó Ecuador, Paula Romo ferió hospitales, jugando con la salud del pueblo. https://t.co/V7tniRioEe",LucioGutierrez3
60,1637587166967496705,2023-03-19 22:49:40+00:00,"Ancelotti q dicen q es un señor rajando de un acierto del VAR, q mal acostumbrados está algunos",maarco_88
61,1637586408314490880,2023-03-19 22:46:39+00:00,Ya pero desde aquí me dio rabia,UgarteRomo
62,1637586379835162627,2023-03-19 22:46:32+00:00,No entiendo a l gente,itss_salud_18
63,1637586276403609600,2023-03-19 22:46:07+00:00,Pero que fue esa wea de defensa loco,Space_Amnska
64,1637586095205392384,2023-03-19 22:45:24+00:00,LA AMOOOOO,maryjoROMO
65,1637586034513829890,2023-03-19 22:45:10+00:00,"Puta, si bien no me simpatiza tanto el Barcelona siempre es bueno ver perder al Real skdksdkj",Space_Amnska
66,1637585021446832129,2023-03-19 22:41:08+00:00,"María, Mich, Karla y yop jajjajajaja 🫶🏻",nayelli_romo
67,1637584572874465287,2023-03-19 22:39:21+00:00,"si quede como la mala, por q no cuentas todas tus mmds hdp?",Rom0_Fer
68,1637584138780700673,2023-03-19 22:37:38+00:00,Nicooliao Guerra. El alérgico del gol.,Space_Amnska
69,1637583946689961985,2023-03-19 22:36:52+00:00,"Assadi + Osorio siempre es sexo weon, sólo que falta un weon que la quite al lado de ellos jajaja.",Space_Amnska
70,1637583794336047104,2023-03-19 22:36:16+00:00,"Checa el video , Si carioca no aprieta se queda tranquilo con Romo pero posss",tigresdnegro
71,1637583787335774210,2023-03-19 22:36:14+00:00,Arriba el Monterrey!! https://t.co/SEfrEWcSYF,marioromog
72,1637582349419388929,2023-03-19 22:30:31+00:00,Mi novia,DiegoRomo_05
73,1637582201716973570,2023-03-19 22:29:56+00:00,JAJAJAJJAJAJAJSJ,nayelli_romo
74,1637582070439354368,2023-03-19 22:29:25+00:00,JAJAJJAJAJJ las amoo,nayelli_romo
75,1637581443147726848,2023-03-19 22:26:55+00:00,"No hay laterales, Carvajal nunca hace repliegue. Y pues izquierda hay un parche.",AngelJoseRomo2
76,1637581374918934531,2023-03-19 22:26:39+00:00,"Pregunta...El gol de Romo, ¿Quiso tirar o centrar? Jajajaja aquí no hay duda como en el gol de chiripa de patas guangas @jonasigo @Israelbarronm @MelRayada @BarronSports @vichernandezm @DoberHdzC @RobertoBarocio @kathialeon @LIBRESYLOKOS @LaadiccionNET @LosCrax @ElchilenoMX",KaeCobra
77,1637581298763026433,2023-03-19 22:26:21+00:00,"Tres factores, la jugada de Celso , el golazo de Romo y la narración de @Paco_Villa_   💣",OswaldOvalleSS
