,Tweet Id,Datetime,Tweet,Username
0,1637967226174095361,2023-03-20 23:59:53+00:00,Hoy es el día mundial de la Salud Buco-Dental y en #Mayabeque se realizó el acto provincial en el Hogar Materno de San José de las Lajas con una bella actividad de prevención y promoción. #YoVotoXTodos #CubaPorLaVida #MejorEsPosible #MejorSinBloqueo https://t.co/ZevsGVHEOj,DpsMayabeque
1,1637966681765969921,2023-03-20 23:57:43+00:00,"#20Mar | Los vecinos de #SanJosé  #Caracas requieren remplazo, mantenimiento del ADS ""Armario de Distribución Secundario"" de #CANTV q se encuentra en pésimas condiciones desde hace 2 años. Urge solución inmediata Pdte. Jesús Aldana @salaprensaCantv 
#VenApp
#JuntosContraLasMafias https://t.co/TwoSHlcZa4",wilener
2,1637966667551584257,2023-03-20 23:57:40+00:00,Agradecida porque encontré mi San José.❤️‍🩹😭,aricano_c
3,1637966394439479297,2023-03-20 23:56:35+00:00,"“Rompimos récord de ventas”, escribe restaurantero de San José debido al público que atrajo el festival Transitarte. 

https://t.co/4XGtK7dQcA",ElObservador_CR
4,1637966300558262272,2023-03-20 23:56:12+00:00,Miradas al cielo: VIDEO :    EL ASOMBROSO PODER DE SAN JOSÉ DORMIDO ... https://t.co/JNwyvR1ugd,miradasalcielo
5,1637966289497907204,2023-03-20 23:56:10+00:00,Oigan dejen de andar diciéndole “mi San José” a cualquier aparecido que el pobre José desde los cielos debe estar que les pega,naniarrazola
6,1637966250365075457,2023-03-20 23:56:00+00:00,Me compré unos zapatos re lindos pero tienen taco y yo nunca tengo eventos elegantes. Sale el finde ir al cumple en el san José vestida de bratz.,FabianaSannchez
7,1637965999570923522,2023-03-20 23:55:00+00:00,"Bienvenido San José a mi mesa de Luz. Y mis oraciones diarias. Intercede por TODOS NOSOTROS POR LA PAZ Y LA CONCORDIA.
Por todo, Padre Adoptivo de Jesucristo. Y junto a María bendice a Cristina. Por un mandato más. Así sea. https://t.co/zxoUX09eZS",AdrianEFirpo5ok
8,1637965997087895553,2023-03-20 23:55:00+00:00,"San José, el padre que formó al Redentor para ser un hombre libre y de firmes determinaciones.

Siervo fiel y prudente, ruega por nosotros. https://t.co/Sc3CY87SeA",Gndhi_MA
9,1637965890737131520,2023-03-20 23:54:34+00:00,Nuestro Barrio San José Sur Oriental https://t.co/VrJTwPMZj7,NohemiOchoa14
10,1637965654060941314,2023-03-20 23:53:38+00:00,"GRACIAS MADRE POR TU HONESTIDAD HOY DÍA DE SAN JOSÉ, ESPOSO DE MARÍA, HIJO DE JACOB. https://t.co/PKUXDMIW3B",manuelcastill05
11,1637965627183841280,2023-03-20 23:53:32+00:00,"Para que los habitantes de Naucalpan cuenten con espacios públicos seguros para la convivencia familiar, cadetes de la Academia de Policía Municipal recuperaron las áreas comunes que se encuentran en la colonia San José de los Leones Tercera Sección. 
https://t.co/Jd67W9p14E https://t.co/VNkcOjoxit",12Parrafo
12,1637965576688549889,2023-03-20 23:53:20+00:00,"Así fue repelido por un Carabinero de civil, el fracasado robo al Supermercado Mayorista 10, ubicado en San José de la Estrella con Santa Raquel, #LaFlorida https://t.co/SYBYe9Wbvk",comunalapintana
13,1637965294483193864,2023-03-20 23:52:12+00:00,"Buenas Noches 🌜
Good Night 🌃
Feliz Noche ✨
Oración de la Noche 🙏

#Cuaresma #SemanaSanta2023 #SanJosé #Solemnidad #José #stjoseph #saintjoseph #SanJose2023 #Cuaresma2023 #SemanaSanta #DiaDeSanJose

https://t.co/yI6EX2H2Py",NICOLAOFICIALL
14,1637965044230103040,2023-03-20 23:51:13+00:00,"Feliz día de padre y San José. ¡Muchas felicidades y felices 50 años, papá Diego! Te quiero, acepto que vas al cielo🤟🏼💞",Paula96703501
15,1637964989880483840,2023-03-20 23:51:00+00:00,"Himno a San José (por frailes dominicos):

https://t.co/rUylofLaKd",SanJudasTadeoSF
16,1637964811156746240,2023-03-20 23:50:17+00:00,"#legislaturasconectadas #hcdsanjose

➡️ SESIÓN ORDINARIA EN EL HCD DE SAN JOSÉ

📍Se llevó a cabo una nueva Sesión en la cual se sancionaron diferentes normativas.

📲Más información: https://t.co/DTkfHaNYmp

#legislaturas #parlamentos   #concejosenred #entrerios https://t.co/lRj7a5h1bU",concejosenred
17,1637964793209409539,2023-03-20 23:50:13+00:00,Saludos desde San José Iturbide Guanajuato apoyando a la Selección Mexicana vamos la novena pudo naranjero y Diablos rojos #LaCasaDelBeisbol https://t.co/f0GMFPG11c,AngelFloresTap3
18,1637964704441155584,2023-03-20 23:49:52+00:00,"🙏Hoy 20 de marzo del 2023, la iglesia celebra la Solemnidad de San José, esposo de la Bienaventurada Virgen María.
👨‍👦""Jacob engendró a José, el esposo de María, de la cual nació Jesús, llamado Cristo"". Mt 1, 16 https://t.co/mZFGo5T7YA",erlatam
19,1637964540099919873,2023-03-20 23:49:12+00:00,Glorioso San José 💖🤗🙏🌹 https://t.co/6poePApvhr,NICOLAOFICIALL
20,1637964486962192390,2023-03-20 23:49:00+00:00,"Hoy fui a la iglesia por el di de San José.
Feliz día del hombre!.",LuidelgadoM12
21,1637964461695795202,2023-03-20 23:48:54+00:00,Don Mikel San José siempre en el lado correcto de todo,gzkgarcia
22,1637964329130532864,2023-03-20 23:48:22+00:00,"jhsanchezjacome: El Santo Patriarca tiene la gracia de la flor que sabe entregarnos con caridad su aroma. A su lado florece la bondad, arraiga la dulzura, fructifica el sosiego. San José no es el santo de una época ni de un siglo. Es el Patriarca de todos los milenios. Luis …",sanjosexalapa
23,1637964326014156800,2023-03-20 23:48:21+00:00,"jhsanchezjacome: Vive en la cumbre de todas las elevaciones. No en vano tuvo a Jesús en sus brazos, le meció cuando pequeño, se oyó llamar padre por la Sabiduría y sintió el derretimiento producido por la contemplación d aquel Niño en cuyas manos había florecido la pluralida…",sanjosexalapa
24,1637964322834882562,2023-03-20 23:48:21+00:00,"jhsanchezjacome: San José es un abismo de interioridad. Mientras su cuerpo reluce como dechado d templanza, su alma, preparada para recibir comunicaciones divinas, se nos presenta como un trasunto del paraíso, como un reino de armonía semejante a una lira pulsada por la mano…",sanjosexalapa
25,1637964320469393408,2023-03-20 23:48:20+00:00,jhsanchezjacome: ante este hombre que con su fe derrotó al infierno y con su profunda caridad empujó la puerta del cielo. Fray Nelson,sanjosexalapa
26,1637964317382377475,2023-03-20 23:48:19+00:00,"*Boletín PMU PSCN - Nacional - Festivo San José 20/Mar/23  18:00H*

Read: https://t.co/fmgWPVKBHc",RedapBogota
27,1637964317092921344,2023-03-20 23:48:19+00:00,"jhsanchezjacome: existencia discreta y de la solícita obediencia de este hombre con rostro de genuino creyente.
El escepticismo cínico de nuestra época y la vanidad con que se quiere comerciar con todo, desde el cuerpo hasta la conciencia, han de frenar su ímpetu",sanjosexalapa
28,1637964315209637888,2023-03-20 23:48:19+00:00,"jhsanchezjacome: El ansia de placer y el consumismo desbocado tienen que humillarse delante de la pureza y austeridad de este hombre limpio de corazón.
La ebriedad de soberbia y los deseos de venganza que marcan tantas vidas de nuestro mundo convulsionado podrían aprender mu…",sanjosexalapa
29,1637964311996792832,2023-03-20 23:48:18+00:00,"jhsanchezjacome: José es un testimonio maravilloso de las virtudes que más necesita nuestro tiempo.
La agresividad y el afán de lucro propios de nuestra vida acelerada se enfrentan con la mansedumbre, la generosidad y la paciencia de este hombre sencillo y santo.",sanjosexalapa
30,1637964222628806656,2023-03-20 23:47:57+00:00,"Muchas veces cuando hay ganas el dolor desaparece o no impide no llegar al objetivo. Bravo Irune, zorionak. Gran acompañante Lokuras, cada día haciendo más méritos para tenerle muy en cuenta. 
#conquis10ETB",mikelsanjo6
31,1637964217033654272,2023-03-20 23:47:55+00:00,"El equipo de la @coranzturven estuvo desplegado en la Feria Agroturística Anzoátegui 2023 en el Parque Ferial San José de Guanipa para conocer las impresiones de todos los asistentes, el lugar de procedencia y la afluencia de visitantes en el sur de la región.

@frankvalerap https://t.co/7sdNsIuSsH",CoranzturVen
32,1637964002121719808,2023-03-20 23:47:04+00:00,"“Hay muchos santos a quienes Dios ha dado el poder para ayudarnos en las necesidades de la vida, pero el poder que se le ha dado a San José es ilimitado: todos aquellos que lo invocan con confianza están seguros de ser escuchados”. Santo Tomás de Aquino.",PALABRADELAFE
33,1637963870324277250,2023-03-20 23:46:33+00:00,"San José, Esposo se la Virgen María, Patrono de la Iglesia Universal y Santo Patrono de Parral, ruega por la salud y la paz del mundo entero. https://t.co/7RdnwtFfe2",_Georgina09_
34,1637963793740320773,2023-03-20 23:46:14+00:00,Bello atardecer desde Nuestro Barrio San José Sur Oriental https://t.co/aRPDfwelK3,NohemiOchoa14
35,1637963709053034501,2023-03-20 23:45:54+00:00,"Solemnidad de San José.
Todos ustedes en nuestras oraciones en la Santa Misa y siempre.
""Sagrado Corazón de Jesús,
En Vos Confío.
Dulce Corazón de María,
Sé la Salvación del alma mía.
San José,
Ruega por nosotros"".
FE y más FE.
Todo va a estar bien.
Buenas Noches,
Dios los… https://t.co/f1fpBzDDr3",TarekSaidVzla
36,1637963498859769856,2023-03-20 23:45:04+00:00,#JYDCordoba | Balance positivo de movilidad durante el puente festivo de San José. @PoliciaDECOR @TransitoPolicia @region6policia https://t.co/FOqm17SYfm https://t.co/2AfCVyfa4C,judicialesyd
37,1637963479968813056,2023-03-20 23:45:00+00:00,"Celebraron en Coacoyula, Guerrero la Fiesta Patronal a San José.
Con un recorrido por la comunidad, con el Ballet Folklórico Yolotecuani y danzas tradicionales, además los sones de tarime de Semita y Toronjil. https://t.co/ae9kaR7lQz",PaginaZeroMx
38,1637963348347170816,2023-03-20 23:44:28+00:00,"🔴 Aumentó la presencia policial en los liceos donde hubo peleas, anunció Heber

Esto que se dio en dos días de violencia nos llamó mucho la atención”, dijo el ministro del Interior.

La noticia 👉 https://t.co/KuL0jEuCP4

#SanJoséAhora #Noticias #Información #SanJose #Uruguay https://t.co/BchBQCZG8T",sanjoseahora
39,1637963182646894597,2023-03-20 23:43:49+00:00,"Incensata,consagrate a Cristo,no a San José,es un ídolo,y tras de un ídolo hay un demonio
.",charleslira107
40,1637963080121348096,2023-03-20 23:43:24+00:00,"Misa en Honor a San José, Patrón del Municipio de Breña Baja🔔⛪️

Esta tarde se ha celebrado la misa en Honor a San José, no puedo ser en su día por liturgias eclesiásticas, pero hoy se celebró. 

#breñabaja #breñabajafiestasanjose #breñabajadiasanjose #breñabajasanjose https://t.co/acWT6JhTqE",BorjaSenado
41,1637963077265281027,2023-03-20 23:43:24+00:00,"A lo largo de los siglos, un gran número de santos y beatos promovieron la devoción a San José, y a través de sus escritos y palabras dieron testimonio de la poderosa intercesión del Patriarca de la Iglesia Universal. 🙏⁣ https://t.co/khJAjVbvSG",aciprensa
42,1637962893432954886,2023-03-20 23:42:40+00:00,unas ganas de jugar un san jose vs borges,frannnsanchezz_
43,1637962839267631104,2023-03-20 23:42:27+00:00,"Misa en Honor a San José, Patrón del Municipio de Breña Baja🔔⛪️

Esta tarde se ha celebrado la misa en Honor a San José, no puedo ser en su día por liturgias eclesiásticas, pero hoy se celebró. 

#breñabaja #breñabajafiestasanjose #breñabajadiasanjose #breñabajasanjose https://t.co/qRo8L1deF7",borjaperezbbaja
44,1637962787216293888,2023-03-20 23:42:15+00:00,¿Será el rayo de @SenoraCatolica sobre San José? https://t.co/bCFRMGe6lD,instantepasado
45,1637962539211317249,2023-03-20 23:41:15+00:00,"Florencia Faldón, ex alumna del Colegio San José, hizo los votos religiosos
-La palabra de Julio Pellegrino.
https://t.co/z0R20P5B04 https://t.co/fW72RQOj7M",bragadotv
46,1637962486795124736,2023-03-20 23:41:03+00:00,"Comunidad | Monseñor Francisco Ceballos pidió a comunidad de Maicao, imitar virtudes de San José https://t.co/vhDLLzdgjS https://t.co/KSSi1oyPfA",laguajirahoy
47,1637962311905300482,2023-03-20 23:40:21+00:00,Tren eléctrico para toda la GAM y no solo una línea entre Cartago y San José es el nuevo plan del Incofer https://t.co/iUI7wjlCy6,estarrar
48,1637962232746356737,2023-03-20 23:40:02+00:00,"Imágenes de la Divina Liturgia #Maronita en la fiesta de San José, que se llevó a cabo el 18 de marzo, en la Iglesia de San José en Australia, la cual fue presidida por Monseñor Antoine Charbel Tarabay, obispo de la Diócesis Maronita de Australia.
Más: https://t.co/BsFJSgp42Z https://t.co/DSZcZzhmbf",notimaronitas
49,1637962225880006656,2023-03-20 23:40:01+00:00,"ALQUILER APARTAMENTO AMUEBLADO, SAN JOSÉ, ESCAZÚ, GUACHIPELIN NORTE en Escazú/San José/Costa Rica en Alquiler https://t.co/PmRppaxeUt",HelcorCr
50,1637961645166149637,2023-03-20 23:37:42+00:00,¿Donde están los hijos de San José y de la Virgen María https://t.co/DEB4FUe3gp,catyalesson
51,1637961511720173569,2023-03-20 23:37:10+00:00,"🎤 Acá estamos: IM estima 50.000 asistentes; 24.866 entradas vendidas y 19.645 de cortesía

Colectivos, ollas, programas de la comuna, entre otros, tuvieron libre acceso al festival de músicas nacionales e internacionales.

La noticia 👉 https://t.co/KQu0e3gKmu

#SanJoséAhora… https://t.co/Gb8J5ayjEU",sanjoseahora
52,1637961461979832320,2023-03-20 23:36:59+00:00,"La Seccional de @TransitoPolicia #Cesar🚴‍♀️ha venido desarrollando una serie de controles policiales durante el puente festivo “Día de San José”, en articulación con @SecTransitoVpar🚔y organismos de socorro, concesiones viales que permiten que la siniestralidad vial disminuyan.👮‍♂️ https://t.co/h8qG7jaPdY",PoliciaDeCesar
53,1637961378207023104,2023-03-20 23:36:39+00:00,"👉 Este sábado 18 de marzo, participamos del Desfile de la Confraternidad Mineña, actividad realizada en el marco de la celebración en homenaje al patrono de la parroquia San José de Minas. 

Construimos un #QuitoParaVivir https://t.co/AtHrZMu9X8",ZonalEspejo
54,1637961187777298432,2023-03-20 23:35:53+00:00,"20 DE MARZO: SOLEMNIDAD LITÚRGICA TRASLADADA DE SAN JOSÉ

Hoy, 20 de marzo, la Iglesia Católica celebra la ‘Solemnidad de San José, esposo de la Virgen María’.

Este año 2023 ha sido trasladada, por haber coincidido con el IV Domingo de Cuaresma. https://t.co/qC1gNgzUaY",EstrellaChucena
55,1637961118860574720,2023-03-20 23:35:37+00:00,Por el Día Mundial de la Salud Bucodental se realiza Salud va a la escuela por Odontólogos de la Misión Médica Cubana en Distrito Capital. https://t.co/RLmUTsN8fd,AsicSanJos2
56,1637960830170935299,2023-03-20 23:34:28+00:00,"Santa Misa de hoy 20 Marzo EN VIVO: SAN JOSÉ, esposo de la Virgen María https://t.co/8hJsUoJ1eV a través de @YouTube",aurarod97478693
57,1637960826567966722,2023-03-20 23:34:27+00:00,"San José, custodio de los tesoros de Dios; ruega por nosotros. 💛",SoyJo_Valdes
58,1637960824097591296,2023-03-20 23:34:26+00:00,"☔ Suspendieron clases en un liceo de Colonia por mal estado de salones tras la lluvia

https://t.co/agTWBcVylb",sanjoseahora
59,1637960815163723777,2023-03-20 23:34:24+00:00,"Dentro del marco de las Fiestas Tradicionales San José 2023, la administración municipal realizó el Primer Concurso del Burrito Choyero, donde aproximadamente 10 equipos participaron en la realización de este singular platillo Sudcaliforniano.@MegaNoticiasLCS #sociales https://t.co/CZ3TayBGcl",CesarSe67855747
60,1637960208772210688,2023-03-20 23:32:00+00:00,"&gt;&gt;
El Santo Evangelio del Día, comentado

«El sueño de José.»
Memoria Litúrgica de San José

20 marzo https://t.co/paHiH4WoeZ

https://t.co/QPDkr4h3GD",SantosIglesia
61,1637960120658214912,2023-03-20 23:31:39+00:00,"Colocan 300 luminarias y 50 toneladas de asfalto en comunidad de San José de Aragua

#JuntosContraLasMafias https://t.co/nZaLB4v7fq",gonza111069
62,1637959940349337600,2023-03-20 23:30:56+00:00,"Actividades de prevención y control en el plan retorno del puente festivo de San José por parte de Nuestros Policías de la Secciónal de Tránsito y Transporte #Nariño
#GarantizandoSeguridad 🚔🛤️
#DiosyPatria
#EsUnHonorSerPolicía
💚💙🇨🇴 https://t.co/YHdM2aeC1J",PrinVerdeOlivaP
63,1637959707707994112,2023-03-20 23:30:00+00:00,"Decenas de pobladores católicos celebraron al santo patrono San José en el interior de la Catedral de Tula.👇

https://t.co/zOGpPavRfX",ElSoldeHgo
64,1637959639961591808,2023-03-20 23:29:44+00:00,"Nuestra @TransitoPolicia en #Boyacá👮‍♀️👮‍♂️ garantiza la #SeguridadVial durante este plan retorno del puente festivo de ""San José"". Recuerde respetar los límites de velocidad 🚫 y las normas de tránsito 🚨. #DiosYPatria #EsUnHonorSerPolicía https://t.co/gXxtvTQ7Rn",PoliciaBoyaca
65,1637959560517255168,2023-03-20 23:29:25+00:00,Casa en venta en San Francisco de Dos Ríos en San Francisco de Dos Ríos/San José/Costa Rica en Venta https://t.co/H1RrV4EesI,GLOBALREALTY15
66,1637959540711870466,2023-03-20 23:29:20+00:00,"Fiel, Cuidador y Guardián.

San José ❤️🤗🙏😇 https://t.co/nmHyaXdyEy",NICOLAOFICIALL
67,1637959342455439368,2023-03-20 23:28:33+00:00,Disminución del flujo vehicular en el Puente de San José en Córdoba https://t.co/wqpy5to9O2 https://t.co/H0Dj9Bvj9D,Tuprensadigital
