,Tweet Id,Datetime,Tweet,Username
0,1638329632050012160,2023-03-21 23:59:57+00:00,"El arma de Ayaka vino tan rápido que decidí jugarmela por la de Shenhe y salió bien aunque no hay capturas porque fue todo muy intenso, cada día sube más en mi top. https://t.co/uXKzmap9kb",junk_janai
1,1638329625628536834,2023-03-21 23:59:56+00:00,"Le tengo una envidia enorme a las personas que tienen a Shenhe cuando yo no voy a poder tirar por ella, porque se me olvidó AHORRAR",sonnielvkazu
2,1638329517218332672,2023-03-21 23:59:30+00:00,*sufrir en Shenhe lover pero Ayaya lover*,haracatnip
3,1638329426030075904,2023-03-21 23:59:08+00:00,no tengo deseos pa tirar x shenhe eto pasa x rehabilitarse,tyucore
4,1638329376130363392,2023-03-21 23:58:56+00:00,con los artefactos de ganyu y su espada al nivel 1 🥵 https://t.co/oFp7TFgPHL,a__ether
5,1638329242730606593,2023-03-21 23:58:24+00:00,MI MIKA ACABA DE CURAR 6K POR COSO???,heizuzu
6,1638329131212439552,2023-03-21 23:57:58+00:00,mi shenhe al 70 con dos artefactos sin subir? si https://t.co/4pSfj8cfR3,heizuzu
7,1638329049079586816,2023-03-21 23:57:38+00:00,x quien tiro en mi main (mgta más shenhe k ayaka pero no tengo cryo),ourgriseo
8,1638329024349970433,2023-03-21 23:57:32+00:00,Llego a casa y tiro ñor shenhe,iakalibf
9,1638328844418424835,2023-03-21 23:56:49+00:00,Algn sabe q build es para shenhe es q no pensé q si m iba a salir... y no tengo nada para ella...,xingyunis
10,1638328809995771906,2023-03-21 23:56:41+00:00,voy a lanzar un poco por shenhe y me duermo,sodaph0bia
11,1638328774457544706,2023-03-21 23:56:33+00:00,Ha pasado algo con Shenhe en el Genshin?,MilloTeselia
12,1638328727980453889,2023-03-21 23:56:22+00:00,tengo 20 deseos para Shenhe GOD,dannmoonie
13,1638328722838175746,2023-03-21 23:56:20+00:00,"pueden creer q conseguí hu tao c1 + homa, yelan + aqua y ahora shenhe 🙏ahorrar por medio año valió la pena",yoruslut
