,Tweet Id,Datetime,Tweet,Username
0,1636517682336899072,2023-03-16 23:59:55+00:00,#LibertadoresxFOXSports | @hernandelorenzi y @MiguelOsovi con Sporting Cristal vs Huracán por @FOXSportsArg https://t.co/JtrsrTJ8Z8,TribunaDeporOK
1,1636517632428892161,2023-03-16 23:59:43+00:00,"⚽ El Sporting de Lisboa dio la gran sorpresa de los octavos de final de la Europa League tras eliminar este jueves al Arsenal, líder de la Premier League, en los penales, gracias a la actuación del portero español Antonio Adán. ↓ https://t.co/5GU8pDIGgs",ELTIEMPO
2,1636517479303217155,2023-03-16 23:59:06+00:00,Cerro Porteño a grupos de Libertadores y Fortaleza a grupos de Sudamericana. A continuación el último boleto se lo juegan Sporting Cristal v Huracán,JavierRiveraVen
3,1636517442225860609,2023-03-16 23:58:57+00:00,"⚽️📺 Sporting Cristal - Huracán lo pasan por Fox Sports 2. Empataron 0-0 en la ida. El que gane va a la Libertadores, el que pierde a la Sudamericana.",buamdenjorge
4,1636517279373336576,2023-03-16 23:58:19+00:00,lo lindo que es yoshimar yotún como capitán de sporting cristal,lirioscat
5,1636517262336180224,2023-03-16 23:58:15+00:00,"Hinchada de Sporting Cristal presente en el Estadio Nacional.

📷: Piero Cifuentes. https://t.co/Cbd0x4Dsmn",experiencia_fut
6,1636517251456151552,2023-03-16 23:58:12+00:00,Que golazo que hizo el Sporting de Lisboa al Arsenal,joshuapaternina
7,1636517169872912384,2023-03-16 23:57:52+00:00,Ver a Sporting Cristal jugando libertadores se traduce en evocar recuerdos de aquel 2006 😍,LeonNoSeRinde
8,1636517088562130944,2023-03-16 23:57:33+00:00,Los peruanos quisieron emboscar y terminaron retrocediendo .. sporting cristal cagon,Alandesoldati
9,1636517029560680454,2023-03-16 23:57:19+00:00,¡Súmate ya a #ESPNenStarPlus! Sporting Cristal enfrenta a Huracán por la clasificación a la fase de grupos de la #LIBERTADORESxESPN. https://t.co/nFjb9nfeYO,ESPNPeru
10,1636516995670904832,2023-03-16 23:57:11+00:00,Ojalá ese Sporting Cristal-Huracan se maten a patadas.,FuiIvan_MolinaV
11,1636516988326379523,2023-03-16 23:57:09+00:00,¡A estadio lleno! Así luce el Nacional para el duelo entre Sporting Cristal y Huracán [FOTOS] https://t.co/PDNSvXL7v3,deportuit_peru
12,1636516964678893569,2023-03-16 23:57:04+00:00,Veo mucho corners en sporting huracan #coolbet,nonobanez
13,1636516958441971720,2023-03-16 23:57:02+00:00,"Final

Cerro Porteño 2x1 Fortaleza

Nos grupos da Libertadores

Cerro Porteño
Independiente Medellín
Atlético

Daqui a pouco, Sporting Cristal x Huracán (0x0) definem último classificado.",raphaprates
14,1636516914947129344,2023-03-16 23:56:52+00:00,hoy gana sporting cristal,lirioscat
15,1636516894675968002,2023-03-16 23:56:47+00:00,"El Sporting CP dió la sorpresa de la Europa League eliminando al Arsenal.

El equipo portugués empató ante el Arsenal y posteriormente lo eliminó por penales, para dar la campanada del torneo.

#europaleague #SportingCP https://t.co/eUjJlFEBfr",DeportesTeleSUR
16,1636516845501947916,2023-03-16 23:56:35+00:00,"Sporting Cristal VS Huracan y ese ESTADIO A REVENTAR, LO NARRA EL NEGRO BULOS.

BENDITA COPA LIBERTADORES 😍",WillCortesG
17,1636516832864501761,2023-03-16 23:56:32+00:00,"#Video #UELxESPN ¡El golpe de la jornada! Desde los 12 pasos, el Sporting Lisboa eliminó al Arsenal.

https://t.co/uDeIxColG5",ESPNEcuador
