,Tweet Id,Datetime,Tweet,Username
0,1638329484670640128,2023-03-21 23:59:22+00:00,Tu amor lo vendieron a un valor que yo jamás alcanzaba,Jank06
1,1638329302251982848,2023-03-21 23:58:39+00:00,siempre llega un chico lindo que te hace ver las cosas bonitas y te enseña a siempre darte tu valor como persona .🫶🏼 https://t.co/RGfmAgge6x,massquieromass
2,1638328847408979968,2023-03-21 23:56:50+00:00,"No obliguen a nadie a dedicarles su tiempo, no obliguen a que respondan rápido, no obliguen a cambiar. Las acciones tienen más valor cuando las hacen por propia iniciativa, no porque tú lo tienes que pedir.

la persona correcta llegará a ti cuando hayas sanado tu corazón 🫶🏽",_vimairy
3,1638328600024739841,2023-03-21 23:55:51+00:00,"cuando sos consciente de tu valor nunca más regalas tu tiempo y tu ser a quienes no ven lo que vales, y desde que aprendí esto verdaderamente todo cambió. Si no me tratas como una reina, seas quien seas, adiosito",abigaildiamico
4,1638327458263957505,2023-03-21 23:51:19+00:00,"Recuerdo que una vez hablando con un tío sobre “devolver las cosas” el insistiría en que se tenía que dar algo a cambio a la persona que te regresaba algo perdido/olvidado… yo le dije que no, que no era una obligación y que si tenías el valor de devolver algo es porque tu buena.",_sexivaguito
5,1638326141902630914,2023-03-21 23:46:05+00:00,Estoy conociendo gente pero m sigue sin llenar xq te perdí.Era lo único q no keria q pasará.Q m dejarás d hablar o q t separaras de mi.Pero lo q mas m duele son tus palabras..Q todo al final mentira y sin valor.Tu m diste fuerza para cambiar y tb las mismas para deprimirme.Q asco,Naranjo_depre
6,1638326127696510977,2023-03-21 23:46:02+00:00,"El valor te lo pones tú, más nadie ☝🏻☝🏻☝🏻",Kheiler4
7,1638326084520275968,2023-03-21 23:45:51+00:00,"Una vergüenza para el periodismo, Negre y tú te llamas periodista, el juez estima q hizo un juicio de valor, y como no eran informativos le da derecho a mentir. No te queda ni nada de golpearte la cabeza con el yunque, para ser como el sibilino valles",DavidGalopar
8,1638325837920337924,2023-03-21 23:44:53+00:00,"¿Te sientes desconectado del dinero? ¿Quisieras atraer más dinero a tu vida?, el dinero es la representación física del valor que  te das, que consideras tener, y tus ingresos son exactamente proporciónales a la cantidad compartida del mismo, de tu valor, de tu poder, me explico?",todoescon100cia
9,1638324991262334980,2023-03-21 23:41:31+00:00,"LA FRASE DE LA NOCHE Cada día tu tiempo vale más porque cada vez te queda menos. Sé consciente del valor de cada instante, porque ninguno regresa. Aprovecha muy bien cada momento. El tiempo perdido los santos lo lloran.",henryvarhol
10,1638323077451792386,2023-03-21 23:33:54+00:00,"Hoy es el Día Mundial del Síndrome de Down, cuyo principal objetivo es crear conciencia dentro de la sociedad acerca del valor que tienen.
“Nunca dejes que nadie te diga hasta dónde puedes llegar, tú llegarás tan lejos como te lo propongas”.
#MaduroGolpeaALosCorruptos https://t.co/RrvPaEEM18",portuguesamrt2
11,1638322093329879041,2023-03-21 23:30:00+00:00,👀👉 Transporte Seguro 📣📣 Desea conocer el valor de su viaje? 💲#GRATIS Regístrate en https://t.co/MPCyafgHSQ y ‼️ y solicita tu transporte en nuestra aplicación  👉👉👉 https://t.co/mgg8ZTRMsB ó Contáctenos:📞 0987618334 https://t.co/r8qxWEJ7eI,AlikaGroup
12,1638321717704634371,2023-03-21 23:28:30+00:00,"¿Que aventuras vas a encontrar? Has todo con valor si tú quieres superarte...

#anipoke #PokemonDiamanteyPerla #AdiosAsh https://t.co/RjIpOBhm9D",PkfanonWikia
13,1638321548506324997,2023-03-21 23:27:50+00:00,"Vergüenza das tu hdp. Q sabes de sobra lo q pasa q te has vendido escoria has comprado relato x un programa y ahora lo tienes q mantener. 
Ojalá te vaya muy mal basura",BarcelonaValor
14,1638320641882439681,2023-03-21 23:24:14+00:00,"nunca resté valor a tu gran sinceridad, eres tierna amorosa y eres buena",039039selallevo
15,1638318692487376898,2023-03-21 23:16:29+00:00,"Hombre de Valor!!??? Jajajaja Come tres veces en una cita, le dan pura masa y la mandan en Uber… jajaja  la tienen en engorda… y tú, tienes el valor o te vale. 

https://t.co/fSQPyy25Q0",rubenanguiano
16,1638318516884639744,2023-03-21 23:15:47+00:00,"La vida no va de cromosomas… 🧬

La vida es mucho más, seamos conscientes del valor que tenemos como seres humanos…

Todos iguales, todos diferentes…☺️

Día Mundial del Síndrome de Down 💚 https://t.co/IpXUmp22sA",AbrilSalud
17,1638318307223695364,2023-03-21 23:14:57+00:00,"El amor que me costó dejarte ir no sé lo deseo a nadie, realmente quería que fueras tú toda la vida, pero a veces nos topamos con personas que no saben el valor de otra, nadie sabe lo que tiene hasta que lo pierde.
-Maquiavelico de canserbero lo explica mejor❤️‍🩹.",lauuu_vv
18,1638317197851258880,2023-03-21 23:10:33+00:00,"A ver reina, yo soy hombre de alto valor pero a mi me vas a dar el culo antes de que te mande en tu segundo uber.",rickandrolla
19,1638317077890039809,2023-03-21 23:10:04+00:00,"Tú no te estás quitando valor, yo si al aceptar estar contigo 😋🤙",Nathaly_basada
20,1638315867321647106,2023-03-21 23:05:15+00:00,"Tú eres el único a cargo de tu felicidad.
Deja de darle a los demás el poder de controlar ,
Tu sonrisa, tu valor y tu actitud.
#ElçinSangu
#EnginAltanDüzyatan 
#ÇöpAdam
 #TamPer https://t.co/lK0kYWfOXL",Victori98072351
21,1638315866688462848,2023-03-21 23:05:15+00:00,"""No reduzcas tu valor, solo porque alguien no pueda pagarlo..""

By: @jorgelozanoh",danyela_glezz
22,1638315587209142272,2023-03-21 23:04:09+00:00,"La gente piensa que perderlos es una pérdida cuando todo el tiempo han sido egoístas, mentirosos y manipuladores. Y no, nunca es una pérdida perder a alguien que no agrega valor ni tranquilidad a tu vida.",Vargass0_
23,1638315564622913541,2023-03-21 23:04:03+00:00,"Y esa foto que me regalaste
La cual en mi enmarcaste 

Sigue estando en mi apartamento
Porque tiene valor
Porque tiene sentimiento
Porque tiene dolor

Y es porque te sigo amando
Pues en tu ausencia
Me sigo lamentando",NotTheRealYEYO
24,1638314886227800072,2023-03-21 23:01:21+00:00,"No obliguemos a nadie a dedicarnos su tiempo, no obliguemos a que nos respondan rápido, no obliguemos a cambiar. Las acciones tienen más valor cuando las hacen por propia iniciativa, no porque tú lo tienes que pedir.",elpibefrio
25,1638314574540677120,2023-03-21 23:00:07+00:00,"Te presiento aquí
atado a mi vera
abrazándome
siento tu condena 
Y yo te cobijo
soy tu madriguera 
Cuidaré de ti
sanaré tu pena
Te daré el calor 
que enreda mis piernas 
Te daré el sudor
baila en mis caderas
Te daré valor
para que comprendas
No estas solo, amor
en esa tormenta",SusanaAmestoy
26,1638312587900190722,2023-03-21 22:52:13+00:00,Tu cuerpo físico es el empleado de tu mente.,valormental
27,1638311225799868417,2023-03-21 22:46:49+00:00,"Hola Tú!!
¿A donde me invitaras?
Alto valor 🤣🤣🤣🤣🤣 https://t.co/VTdlsoIVcQ",DiAlGoSo
28,1638310871708434434,2023-03-21 22:45:24+00:00,Que nunca te tiemble el pulso a la hora de sacar a alguien de tu vida. No todo el mundo se merece tu presencia y tu valor ♥️♥️♥️,MilgroQ
29,1638309210273325058,2023-03-21 22:38:48+00:00,Que nunca te tiemble el pulso a la hora de sacar a alguien de tu vida. No todo el mundo se merece tu presencia y tu valor.,SalvadorMVios
30,1638309054102503425,2023-03-21 22:38:11+00:00,"La vida es mas de lo que ves por tu ventana 
No tengas miedo de nacer cada mañana
Fugate
Ten el valor de ser feliz 
...
De una vez y de buenas",mandarinaouo
31,1638307947133403136,2023-03-21 22:33:47+00:00,"¡RECUERDA! Puedes visualizar tu orden de pago🧾 a través del sistema SIREL 🖥️ y cancelar el valor 💳 de forma directa por nuestros canales digitales

#QuitoParaServir https://t.co/rzz7QKKQ2L",RegistroQuito
32,1638307163729805314,2023-03-21 22:30:40+00:00,Llegarás donde tu valor te lleve o hasta donde tu miedo te deje avanzar,rroba___
33,1638307158570704896,2023-03-21 22:30:39+00:00,"como aumentan las cosas la comida todos los dias, podrido de inflación lpm te quedas con un precio y al otro dia otro y asi uno tambien debe ir aumentando si trabaja para uno porque si no la inflación te come el valor de tu producción de tu plata de todo",Mendidd
34,1638307044481458176,2023-03-21 22:30:12+00:00,Que nunca te tiemble el pulso a la hora de sacar a alguien de tu vida. No todo el mundo se merece tu presencia y tu valor.,unatalyoat
35,1638306761546293250,2023-03-21 22:29:04+00:00,Estimado @Joacorobertt quién tiene que ir a terapia eres tú... No tienes equilibrio emocional ni intelectual para comprender el valor de respeto.,JMCAlmeraya
36,1638306000120823811,2023-03-21 22:26:03+00:00,Posees más valor del que tú mismo/a crees.,ThelmaCastaeda3
