,Tweet Id,Datetime,Tweet,Username
0,1637967250601779201,2023-03-20 23:59:59+00:00,"Según yo todo bien después de una semana sin medicación porque no hay en la farmacia de ni rancho, aunque mi cuarto esta sucio, y ahorita me dieron ganas de llorar de la nada... Ahora normalmente solo me pasa eso con el spm sooo 🤧",Glimmah_
1,1637967240929705985,2023-03-20 23:59:56+00:00,"Yo creo que depende, un fin de semana que hay gente en mi casa por la mañana si me lavo, ahora un día de semana random directamente me los lavo después",FdeFacundo
2,1637967194804961282,2023-03-20 23:59:45+00:00,Voy a cumplir mi sueño de ir a un concierto de Taylor Swift🕯️,DeVillarino
3,1637967194494566402,2023-03-20 23:59:45+00:00,q guapo es mi novio peso pluma d verás,this_ismarz
4,1637967128098635778,2023-03-20 23:59:29+00:00,"q increíble el show de taylor, hizo como 30 cambios de outfit y toda la escenografía fue buenísima, es una reina",alwaysbacktolou
5,1637967120515452929,2023-03-20 23:59:28+00:00,Diganme que alguien clipeo el discurso de nuestro marjwusya radical favorito... Me lo perdí,ValenSchmidt
6,1637967093122453504,2023-03-20 23:59:21+00:00,Hola Dios soy yo de nuevo,TiniGambarte
7,1637967082372333568,2023-03-20 23:59:19+00:00,la unica vez en mi vida que opino lo mismo que milky,vcejassss
8,1637967038428725249,2023-03-20 23:59:08+00:00,"Creo que sobre The Eras Tour, la gente se refiere a que el concierto como tal es un SHOW super producido. 

Taylor sabe lo que la gente quiere ver y no solamente te mete un bailecito, sino que también te pone bailarines, escenografía, visuales, vestuarios y demás...",thehenders
9,1637967001762103296,2023-03-20 23:58:59+00:00,Mi pequeño corazón 😭,sadb1tchhhhhhh
10,1637966999899762688,2023-03-20 23:58:59+00:00,mañana voy a estar así tratando de no mencionar a Taylor https://t.co/6AHBqUdfHX,brillodelunaaa
11,1637966988889714690,2023-03-20 23:58:56+00:00,"Se metió con el fandom equivocado. Ya le bajaron la cuenta.

*el video del tweet original era un video metiéndose con Taylor",DarkNicoMP
12,1637966975115640835,2023-03-20 23:58:53+00:00,emma y taylor juntas OTRA VEZ caigo muerta listo,eeugecarp
13,1637966963052883968,2023-03-20 23:58:50+00:00,Tengo una obsesión con Vigilante Shit desde que vi el vídeo de Taylor presentándola en el tour.,to__myyouth
14,1637966954928455683,2023-03-20 23:58:48+00:00,"Hoy se cumple un año del recital de foo fighters en el lolla. Abrieron con times like these, taylor cantó somebody to love de queen y dave clavó solo de bateria. Por lejos uno de los mejores recitales de mi vida. 
Los extraño un montón 💔 @foofighters",_cajitamusical
15,1637966948767023105,2023-03-20 23:58:47+00:00,Mi compañero me empezó a preguntar cosas de Taylor Swift para que se me pase el enojo. Como que me devolvió un poco la esperanza en la humanidad 👌,CaroPintoFin
16,1637966916735184896,2023-03-20 23:58:39+00:00,SHADOUNE ESCUCHANDO TAYLOR&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,silvia_livee
17,1637966904588369920,2023-03-20 23:58:36+00:00,Yo? Quiero irme a Las Vegas al próximo concierto de Taylor,marianavalenv
18,1637966872338481152,2023-03-20 23:58:28+00:00,ya saltaron todos los putos pesados a bardear a taylor x sus performance los miro asi😴 https://t.co/IDSEFvoqEc,ochenterasexy
19,1637966871210127361,2023-03-20 23:58:28+00:00,mi papá estaba viendo un video en fb y tenia una canción de taylor JSJSJAJA,_sunandm00n
20,1637966868240531456,2023-03-20 23:58:27+00:00,taylor te amo mucho😭,priiesquivell
21,1637966846736363527,2023-03-20 23:58:22+00:00,"Taylor Swift, Emma Stone, Laura Dern, Alana y  Danielle Haim en una misma foto..GRACIAS DIOS https://t.co/GygAZMzBMF",swiftsavre_
22,1637966837794107394,2023-03-20 23:58:20+00:00,.@almostdo @bluestkoo !!!!!¡ siempre las voy a etiquetar cuando vea la palabra taylor y méxico juntas losientomucho,bangtaurora
23,1637966807586725891,2023-03-20 23:58:13+00:00,esos que juegan con coqueteo y q a comerte son los que más ganas te tienen,callmeisaias
