,Tweet Id,Datetime,Tweet,Username
0,1637604819190837249,2023-03-19 23:59:48+00:00,La Puerta Negra Los Tigres del Norte                     Now playing Juan Gabriel Porque Me Haces Llorar?  by !,EvinNado
1,1637604647165730816,2023-03-19 23:59:07+00:00,Estos pendejetes son los que celebran y dicen “trae el perfil rayado” cuando entrevistan a un niño y empieza a decir nacadas a los tigres en televisión en vivo jajajajaja que putitos me salieron,margmk1
2,1637604305275346951,2023-03-19 23:57:46+00:00,"Perdió chivas, perdió tigres.
Pero lo único bueno fue que nevo y gano Barcą",mcastro_38
3,1637604079999279104,2023-03-19 23:56:52+00:00,Ches Tigres,GusGuari
4,1637604003528810498,2023-03-19 23:56:34+00:00,"-Se murió Ace (estaba enamorada de él)
-Se murió Barbablanca
-Luffy está triste
-No he visto a Zoro y a Sanji en muchos capítulos (los extraño)
-Hace frío 
-Tigres está jugando horrible y perdió el clásico 

La vida es culera. https://t.co/YpfoyYEfA9",_julygm
5,1637603865389576192,2023-03-19 23:56:01+00:00,Ojo parejas de Tigres... https://t.co/6sUGQOS1Cb,alexsalazar62
6,1637603778827362307,2023-03-19 23:55:40+00:00,"Buen 2T de Motagua, no tan bueno el 1T. Decas, desgraciadamente empujó la que no debía y al final fue la jugada que definió el partido. 2 semanas para el súper clásico y luego Tigres.",OrgulloMotagua
7,1637603013618458624,2023-03-19 23:52:38+00:00,"¡Bitácora del Spring training! 

¡5to día! 🔥💪⚾

Seguimos la visita a nuestros peloteros en los Complejos Primaverales, continuamos en Arizona y visitamos a los Complejos Primaverales de Dodgers de Los Ángeles y Cachorros de Chigado.",TigresOficiales
8,1637602894403846145,2023-03-19 23:52:09+00:00,y si regresan al tuca a tigres,lovelymelsita
9,1637602555483025429,2023-03-19 23:50:49+00:00,La Puerta Negra Los Tigres del Norte                     Now playing Indomables Del Cedral Porque Nos Vinimos Al Norte by !,EvinNado
10,1637601025132486743,2023-03-19 23:44:44+00:00,lo que necesita tigres,danielgzz888
11,1637600671938617345,2023-03-19 23:43:19+00:00,"#DatoONCE | Rayadas vio rota una racha de 726 minutos sin recibir gol, la más larga para el equipo en la Liga. Se quedó a solo nueve minutos de superar la marca de Tigres (734’ en el Clausura 2021).

✍ @diego_andrade88 https://t.co/08FkpU5SuB",oncediariomx
12,1637599800441839619,2023-03-19 23:39:52+00:00,ni él tigres ni el madrid,Gilbertito2808
13,1637599727981084673,2023-03-19 23:39:34+00:00,Clásico #tigres vs #monterrey https://t.co/UDU4arZDNw,e3_elizondo
14,1637599408815579136,2023-03-19 23:38:18+00:00,"Cómo me gusta  el #MarchMadness @NCAA los superfavoritos @KUAthletics a la calle, @UnivOfKansas sufriendo y Los Tigres de @Princeton han devorado a otro gallito. Un 15 en el #Sweet16",JFGaliano
15,1637599317778104323,2023-03-19 23:37:57+00:00,"De los 16 goles que lleva Romo en su carrera, como 6 son a tigres 🤭 https://t.co/gDNM4nSIYI",betogallagher
