,Tweet Id,Datetime,Tweet,Username
0,1637604860873900032,2023-03-19 23:59:58+00:00,"ya ni m acordaba d esta foto con meu pana @r_kid2401, t qiero cabronsote https://t.co/cNlF64TYQ8",Rodrivxx
1,1637604845887664129,2023-03-19 23:59:55+00:00,LA CONCHA D TU MADRE PELADO HIJO D PUTA,PabloGabriel444
2,1637604771581288449,2023-03-19 23:59:37+00:00,"Ah, que han metido criptos en la kl. Xd",39IBAI
3,1637604768309706754,2023-03-19 23:59:36+00:00,peña y vega en el 11 💀,frverlt
4,1637604690106933249,2023-03-19 23:59:18+00:00,"Con el 86 % de la ciudadanía a carab’s , se está iniciando la caída del miserable gbno",Vega4Julio
5,1637604625317593090,2023-03-19 23:59:02+00:00,Jajaja las ganas que tiene Latorre de que cobren el penal mamita,JavviVega
6,1637604597828124672,2023-03-19 23:58:56+00:00,Vakinha para o Vegas  https://t.co/v04I7nKUeF https://t.co/v04I7nKUeF,verdaoforte2015
7,1637604594808156161,2023-03-19 23:58:55+00:00,Ahora que lo pienso bien mejor me callo el osico jejeje,Bel_ggx
8,1637604560196780032,2023-03-19 23:58:47+00:00,Entra y patealo vos Latorre jajajajaja,claudiovegaolta
9,1637604391371800577,2023-03-19 23:58:06+00:00,"foster wallace 🤝🏻 nacho vegas 
que sus bromas no hagan gracia https://t.co/Mxme6HgjVl",urkuIIu
10,1637604326842458113,2023-03-19 23:57:51+00:00,Feliz con vos mi gordito hermoso 💚 💕 https://t.co/DxABTXeVag,ManuelV48404505
11,1637604289131454465,2023-03-19 23:57:42+00:00,Lo quería en nyc,manyvegas23
12,1637604256952864770,2023-03-19 23:57:34+00:00,Te diste el gustito de llamarle la atención al Gral Yáñez …un Gral de la República …pero no te diste cuenta que el 86 % de la ciudadanía decente te observaba en silencio …bastarda asquerosa https://t.co/skXOqzJuGS,Vega4Julio
13,1637604246504759296,2023-03-19 23:57:32+00:00,Mas arrepentida de no haber arrancado para el concierto que había en el Santa fe.,SofiaMVega21
14,1637604207384469506,2023-03-19 23:57:22+00:00,Es penal,Alexis_Vega_12
15,1637604179798532096,2023-03-19 23:57:16+00:00,"Inhala, exhala… retoza https://t.co/QRvZbruMaK",danielaveg
16,1637604156432166914,2023-03-19 23:57:10+00:00,"Feliz día del:
""Pensá lo que quieras, yo tengo mi conciencia tranquila""",VegaRamo
17,1637604036038873089,2023-03-19 23:56:42+00:00,Salud. ⚡️ https://t.co/qTCUlploqE,vega_ibrain
18,1637604033560035328,2023-03-19 23:56:41+00:00,ES PENAL,FaqVga
19,1637603860503056386,2023-03-19 23:56:00+00:00,"Familiares, vecinos y amigos de Alexandra Carolina Rojas Quero protestaron en La Vega de Caracas: exigen justicia por su asesinato https://t.co/0qF1dQK3RN

Por ✒️ @lysaurafuentes",hispanopost
20,1637603851359379456,2023-03-19 23:55:58+00:00,"Yo iba a ir al gym pero me quedé dormida hasta las 5 y cierran a las 6
Ya no se hace",SoyErikaVega_
21,1637603779020304385,2023-03-19 23:55:40+00:00,"Ale, ya sabemos de uno que no viene el año que viene. A buscar equipo chavalote! https://t.co/2EIBHMnyhb",michivegas
22,1637603717783404544,2023-03-19 23:55:26+00:00,"Para el policia que me paro , sapo igual volvi a agarrar la camioneta más adelante",franger308
23,1637603677123878912,2023-03-19 23:55:16+00:00,Hombre serio,manyvegas23
24,1637603421959102464,2023-03-19 23:54:15+00:00,La Vega siempre una buena opción 👍,ceol24
25,1637603391651151874,2023-03-19 23:54:08+00:00,"Etapa del choque cultural:
Primer amor/Choque cultural/Ajuste/Adaptación. M Castillo #CursoDeMisiones @UniMontemorelos @UMiglesia https://t.co/Nf5FbGQuof",rvegarola
26,1637603303826530306,2023-03-19 23:53:47+00:00,ajajajjaa uno de aquí,danidvega19
27,1637603270175731713,2023-03-19 23:53:39+00:00,"Entre las acusaciones están financiamiento de campaña y lavado de activo, pregunto, ¿de que partido hay dirigentes acusado de narco y lavado en La Vega y Miami y el MP ni para allá mira?",elmagodelamaga
28,1637603262118412288,2023-03-19 23:53:37+00:00,Que paso con Tame Impala por la rcsm 😫😫#LollaCL2023,LucianoVegaG
29,1637603250974195712,2023-03-19 23:53:34+00:00,Como no dice lo mismo que el perro de Mario Vega.,vincentparody
30,1637603222620708867,2023-03-19 23:53:28+00:00,Debería jugar new Vegas de nuevo,NewJanterV3
31,1637603207701577729,2023-03-19 23:53:24+00:00,Adicto a trabajar y darme yo mis gustos 🤭🤭 https://t.co/85oUrf8r7p,Martin_Vega1905
32,1637603045184794624,2023-03-19 23:52:45+00:00,"Posibles funcionarios
Mario Vega el cargo dijo???
Alimañas ministro Hacienda
La Margara Ministra de vidrio
Quijano ministro de inversión pública
Pendientes a más nombramientos",mateorosas1961
33,1637602986485506048,2023-03-19 23:52:31+00:00,El perro más peligroso que conozco https://t.co/KtqrNmuF8i,DiegoVegaMata
34,1637602921859764227,2023-03-19 23:52:16+00:00,Torneo Federal A @FedericoBeligoy mira como tus árbitros cobran goles que no son. Hdp. Todo vuelve. https://t.co/n5UTmZlbZd,luismadelavega
35,1637602851122827264,2023-03-19 23:51:59+00:00,"Mis vecinos andan haciendo carne asada, gpi, traigo buen cotorreo. 🤧",LESD1199
36,1637602829715095552,2023-03-19 23:51:54+00:00,Cuantos médicos cubanos creen que traerá el “gobierno del cambio” ahora que los contratos serán a término indefinido y de cuanto serán los sueldos? Porque ⁦@DiazCanelB⁩ necesita urgente la platica. Donde están los médicos que aprobaron esta barbarie? https://t.co/s5Dy5QDO8o,diamarvega
37,1637602732033859584,2023-03-19 23:51:31+00:00,si te pareces a bradley cooper en resacón en las vegas háblame (por favor),danielap_11
38,1637602709585944579,2023-03-19 23:51:25+00:00,"Jeff Bezos pilotó las primeras manos telerrobóticas del mundo con retroalimentación háptica realista la conferencia Amazon re:MARS en Las Vegas. El Telerobot Táctil es una colaboración conjunta entre Shadow Robot Company, HaptX y SynTouch. All Nippon Airw…https://t.co/AkHB0NITRE",KSanchisAlonso
39,1637602647149510658,2023-03-19 23:51:10+00:00,impopular opinión me gustan y me parecen muy buenos casi la mayoría  de los youtubers/streamers que ahora son cantantes,pedrovegx
40,1637602616396873729,2023-03-19 23:51:03+00:00,"Felicidades a nuestro jugador de Guatemala @Tronik_7000  que se corona campeón del torneo GGS Mortal Kombat 11 2023.

Acaba de ganarse un viaje a EVO 2023, nos vemos en Las Vegas.

🏆 T7G | Tronik7

#LaFamiliaBi #Topsietegames #EVO2023 https://t.co/bLcKR1FyD2",topsietegames
41,1637602526265483267,2023-03-19 23:50:42+00:00,Las caras de Raquel Bollo mientras los demas hablan del hijo mirando a la nada con cara de interesante y arrugando la boca 🤷🏽‍♀️#conexiónhonduras3,LidiaaVega
42,1637602507688910849,2023-03-19 23:50:37+00:00,Les duele el triunfo del Barca,JhonrobertVega1
43,1637602458368188421,2023-03-19 23:50:25+00:00,"Thanks for following, Michael Ariel Vega Martínez! #BiocharFriends",BiocharToday
44,1637602405394128897,2023-03-19 23:50:13+00:00,"lo que pasa en las vegas, se queda en las vegas",zorraegoista
45,1637602378445725696,2023-03-19 23:50:06+00:00,Jodida la situación,marcolinivegas1
46,1637602322342719489,2023-03-19 23:49:53+00:00,Las fotos que me tomé ayer en la fiesta de la julis son dema loquillas. 😂💀💀💀,chuchuv_vega
47,1637602318345535492,2023-03-19 23:49:52+00:00,E interminable!!,LunaVegaSanchez
48,1637602234568527872,2023-03-19 23:49:32+00:00,"esto es fácil, ganamos el partido a lo ""Boca"" mañana el mogolico de riquelme dice seremos menos malos que los demás y los colas reventados y bocas llenas de leche dicen aayyñsi román sos lo mejor Boca sos vos",jjoavega
49,1637602094126362625,2023-03-19 23:48:59+00:00,"Ya me enamoraste, ahora haste cargo!",CristianJVega1
50,1637602051600396288,2023-03-19 23:48:48+00:00,Escuchar música en italiano es mi nueva pasión,AndreVega06
51,1637601991605080065,2023-03-19 23:48:34+00:00,estoy viendo kp otra vez y ahorita es q me doy cuenta q vegas era el q iba a violar a porsche 😭😭,minalfajor
52,1637601886017601539,2023-03-19 23:48:09+00:00,"Ya se puede hablar de que Ancelotti tiene un problema con Xavi? Le ha ganado al tiki taka, al catenaccio, al box to box, en Camp Nou, en el Bernabéu,  en Arabia y en Las Vegas. Con goleadas o por la mínima.  Sí, al italiano lo ha padreado la Xavineta.",MaykelEM95
53,1637601766152839169,2023-03-19 23:47:40+00:00,Qué dolor. 🙏🏻,duniasoad
54,1637601550775246856,2023-03-19 23:46:49+00:00,"Nuestro bebé elefante en Netflix, 40 min de lloradera. 🫶🏻❤️🐘 https://t.co/PT6GVXSxik",duniasoad
55,1637601529409536000,2023-03-19 23:46:44+00:00,La hermana de Paulina Vega era una tablaaaaaaa. Ahora es una tabla con nalgas me cae bien,Sori_barrios
56,1637601516092551171,2023-03-19 23:46:41+00:00,Cuando no te meten 35 minutos de anuncios te meten publicidad x7 esque asi no se puede de verda #conexiónhonduras3,LidiaaVega
57,1637601389839826944,2023-03-19 23:46:11+00:00,"[Primera Nacional]
37' Segundo Tiempo
Cambio en Güemes, se retira Mauro Zurita, e ingresa Alexis Vega.
@ClubAGuemes 1-0 @GimnasiaMendoza
  
#Fecha7
#VamosLosGauchos
#OrgulloSantiagueño",ClubAGuemes
58,1637601317261660160,2023-03-19 23:45:53+00:00,"Parasito Boric , Tohá y sus secuaces , si el 86 % de la ciudadanía de bien apoya a nuestro carab’s …también lo hacen con las ff aa , ojo  no sigan hueveando 🇨🇱 https://t.co/0Hd8Hrve1S",Vega4Julio
59,1637601282687901696,2023-03-19 23:45:45+00:00,Keith Urban. 18 Mar 2023. Vegas! #like #subscribe #ringthebell #vegas #k... https://t.co/mud3xcVALC a través de @YouTube,miguelcalvo11
60,1637601244767240195,2023-03-19 23:45:36+00:00,Me alegro mucho por el Panda! 🐼🐼 @BorjaIglesias9,Adelgadovega03
61,1637601242913406990,2023-03-19 23:45:36+00:00,Elvis Presley - Viva Las Vegas https://t.co/9L33vvkm5e,destin_fm
62,1637601222445223941,2023-03-19 23:45:31+00:00,Me molesta que me vean la cara de ibuprofeno vale 🫠🥹🥲,samvega413
63,1637601214006194178,2023-03-19 23:45:29+00:00,Un día más como él de hoy y me mato..que asco el calor húmedo,MagaliiiVega
64,1637601176114831363,2023-03-19 23:45:20+00:00,"Imagen amplia del Atlantico    March 19, 2023 at 07:45PM https://t.co/vmvuLg0bf5",VegaBajaWx
65,1637601175275991041,2023-03-19 23:45:20+00:00,Nos picamos con el dopio,Emaa_vega
66,1637601068652830720,2023-03-19 23:44:54+00:00,Estoy hasta la madre del amor,Dul_Vegaaa24
67,1637600840608362501,2023-03-19 23:44:00+00:00,"""Revolución es sentido del momento histórico""... Es momento de mostrar nuestra unidad inquebrantable #Cuba #YoVotoXTodo #MejorEsPosible #IslaDeLaJuventud",YusneyVega
68,1637600791610417152,2023-03-19 23:43:48+00:00,"El viajar con el equipo no es un gasto , es una inversión, por que el corazón , no sabe de dinero @ClubAmerica https://t.co/t8z8GgJUNt",El_Agussss
69,1637600774971613184,2023-03-19 23:43:44+00:00,Gracias por haberme parido serrano https://t.co/RQ9EcFMTeZ,rogeliodelpozo2
70,1637600769619685376,2023-03-19 23:43:43+00:00,Que locura Tapia y Coello!!,__MartinVega
71,1637600764884312066,2023-03-19 23:43:42+00:00,"Arbol- El fantasma
Que tema que me destruye loco 😭 imposible escuchar sin llorar me hace acordar tanto a mi hermano",SalooVega
72,1637600761919029248,2023-03-19 23:43:41+00:00,"A ver si lo he entendido bien. IU, un partido rescatado por Podemos en contra de la opinion de Errejón. Que tiene una vicepresidencia y un ministerio, gracias a ese rescate. Que Yolanda Diaz , tiene esta visibilidad de su buen trabajo, gracias a que la señaló Pablo.",tinovegajaen
73,1637600644302348288,2023-03-19 23:43:13+00:00,Me meo suman 2 neuronas entre todos #conexiónhonduras3,LidiaaVega
74,1637600591722446850,2023-03-19 23:43:00+00:00,"Último tweet que verán mío sobre carros o manejar, ahora sí le casqué al carro en serio, fue un buen arco, duro media semana, pero estuvo bien jajajajaj",GernimoVegaD1
75,1637600249127616512,2023-03-19 23:41:39+00:00,Que bonita novia tiene mi novio,JimenaMireles14
76,1637600144630722560,2023-03-19 23:41:14+00:00,Tio pero enserio están cogiendo moscas no se enteran de na 😂#conexiónhonduras3,LidiaaVega
77,1637600053031497728,2023-03-19 23:40:52+00:00,Acá estamos. La foto la cobro de $10 MXN.,Leo_vega
78,1637599939998916608,2023-03-19 23:40:25+00:00,Nuestras chingonas ya acortaron Damaris godinez anota el 2-1,elamigo50
79,1637599934147964933,2023-03-19 23:40:24+00:00,"Repitan conmigo: January, February, IZZO, March

Nuevamente: January, February, IZZO, March 

Michigan State +3 ✅

Quédate con los puntos Vegas, que no los necesitamos, outright bby 😎

Deja tu ❤️ si me seguiste https://t.co/U1sYZ0ISKp",1nanisoy
80,1637599795756802051,2023-03-19 23:39:51+00:00,"Es lo que no soportan ni soportaran jamas... Que hay un rival y es muy bueno.
Força Barça 💙❤️",JonasVega3
81,1637599652068352003,2023-03-19 23:39:16+00:00,Y llega el momento de bajon,thamss_a
82,1637599582413619200,2023-03-19 23:39:00+00:00,"#UnDiaComoHoy hace 1️⃣8️⃣ años, Érik 'Terrible' Morales 🇲🇽 vencía a Manny Pacquiao por Decisión Unánime en Las Vegas, arrebatándole al filipino el Título Lineal 🤴 del peso superpluma https://t.co/pVGxCBDdYG",ESPNKnockOut
83,1637599577715924992,2023-03-19 23:38:59+00:00,"Vamos Arriba p..,,,, #TeamAsere Tu no me Representa libertad Para #PresosDeCastro https://t.co/3asJjXhpQk",Apexlegend01
84,1637599560385044480,2023-03-19 23:38:54+00:00,"La expulsión de Oviedo es 100% la experiencia de Richard Ortiz, sabía que ya estaba amonestado y como iba Oviedo por el balón Ortiz se anticipa y roja directa,hasta en eso ganó Olimpia la viveza de la experiencia.",DaVega791
85,1637599478038380545,2023-03-19 23:38:35+00:00,"El día que me muera 
Yo quiero mi cajón 
Azul y amarillo 
Cómo mi corazón 
@ClubAmerica mientras viva , siempre iré contigo , de local o visitante , no importa el lugar . 
#ClasicoDeMexico",El_Agussss
86,1637599415920721921,2023-03-19 23:38:20+00:00,¿Cuando vuelven Vega y Kliver? :(,SirAlexMillos
87,1637599186806775808,2023-03-19 23:37:25+00:00,Ese gol debía ser de Waston @tdmas_cr #saprissa,eesquivela
88,1637599166766411783,2023-03-19 23:37:21+00:00,yara con tu amix la de crocs a todo lado 🤪,RandyIgv
89,1637598986092650496,2023-03-19 23:36:38+00:00,Y cuando mamá pregunta que diré ??,MarcelaVegaRey3
90,1637598983689256970,2023-03-19 23:36:37+00:00,Lo positivo de esto es que silbaron a villa y Pol,Alexis_Vega_12
91,1637598896326164480,2023-03-19 23:36:16+00:00,La defensa jugo hoy?,NicoVega92
92,1637598877174857732,2023-03-19 23:36:12+00:00,Extrañar es la peor sensación.... 😔,MarcelaVegaRey3
93,1637598857558216704,2023-03-19 23:36:07+00:00,"Nos están matando ALEX VEGA , entrego por bolsas de dinero el país al #NARCOTERRORISMO https://t.co/1ULv3g5pSq",Lasso1N
94,1637598842278297601,2023-03-19 23:36:03+00:00,Lo mejor de ver Creed III es ver a Michael B Jordan sin camisa y sudando🤤,joha_vega2104
95,1637598760866922497,2023-03-19 23:35:44+00:00,Atreverme fue un paso en contra del miedo y lo agradezco,thamss_a
96,1637598542016512000,2023-03-19 23:34:52+00:00,"Gral director de carab’s Sr Yáñez , apoye y defienda a sus subalternos , Ud cuenta con el incondicional apoyo del 86 % de la ciudadanía Chilena bien nacida 👍🇨🇱",Vega4Julio
