,Tweet Id,Datetime,Tweet,Username
0,1637967096385527809,2023-03-20 23:59:22+00:00,VAMOS CICLÓN CARAJO https://t.co/GnoS3FeOKz,PipeFernandez__
1,1637967028714651654,2023-03-20 23:59:06+00:00,"Revelan mal comportamiento de Max Verstappen durante todo el Gran Premio de Arabia Saudita.

 https://t.co/HG3A0cQBSX",encanchacl
2,1637966840528863233,2023-03-20 23:58:21+00:00,"Aunque Sergio ‘Checo’ Pérez ganó el GP de Arabia Saudita, no todos estuvieron conformes con ello, empezando por su coequipero Max Verstappen. #Nmás17 con @Elizabeth_Cano_ y @alejandrogodi01 #UnMundoCompartido | Síguelo por https://t.co/EVbH0q1vcj https://t.co/VyOCw1xuY5",nmasmedia
3,1637965973482242049,2023-03-20 23:54:54+00:00,"😐👍¿SÍ FELICITÓ A CHECO?

La carita viral del papá de Max, Jos Verstappen, le dio la vuelta a las redes, aunque apareció una grabación sin cortes donde se muestra la interacción con Sergio Pérez...

#F1xFSMX 

https://t.co/qtB3N6dsMC",FOXSportsMX
4,1637965662860525568,2023-03-20 23:53:40+00:00,"Yo lo siento pero este año es difícil ponerle buena nota a verstappen porque el red bull es una bala, aun haciéndolo fatal, podría ganar. Como Hamilton en su momento",rayonefilim
5,1637964860112748546,2023-03-20 23:50:29+00:00,Comienza la guerra en Red Bull: Max Verstappen no acepta estar por detrás de 'Checo' Pérez https://t.co/XtCE0EUy2q,elbernabeucom
6,1637964447124684802,2023-03-20 23:48:50+00:00,"🇲🇽🔥¡Sonó el himno nacional mexicano en Arabia Saudí!🔥🇲🇽
Sergio ""Checo"" Pérez consiguió la victoria en el gran premio de Arabia Saudí.
El mexicano obtuvo el primer podio, mientras que su compañero de RB Max Verstappen quedó segundo, y Fernando Alonso tercero.

#SaudiArabianGP https://t.co/YG6GSYnqhm",IntraCancha
7,1637964071973552128,2023-03-20 23:47:21+00:00,"Algunas estadísticas en la corta historia del #GPArabiaSaudita en el circuito de #Jeddah #F1 #Formula1 pole, vueltas rápidas, podiums, top5, top10 puntos históricos #Verstappen #Hamilton #Perez #mejisports #mejiestadisticas #elmeji https://t.co/g6FxJErNkD",sukykaska
8,1637963761406341121,2023-03-20 23:46:07+00:00,"Jos Verstappen es un psicópata, por suerte el hijo todavía tiene humanidad",sdelacruzb
9,1637963665122156544,2023-03-20 23:45:44+00:00,Revelan mal comportamiento de Max Verstappen durante todo el Gran Premio de Arabia Saudita. https://t.co/Xlo3uAoVva,EnCanchamx
10,1637963653834997761,2023-03-20 23:45:41+00:00,"Jos Verstappen reconoció que el triunfo del mexicano Sergio Pérez en el GP de Arabia Saudita se dio por falla en el bólido de su hijo Max

#F1
#ChecoPerez

 https://t.co/rJaJZRvS5H",Reforma
11,1637962470517088256,2023-03-20 23:40:59+00:00,¡NO AGUANTÓ MAS PAPÁ VERSTAPPEN! 🤬 ¡TUVO QUE HABLAR! | a MERCEDES ya se ... https://t.co/O96LDJpqWc vía @YouTube,octaviorabago
12,1637962185275056129,2023-03-20 23:39:51+00:00,"No veo F1, pero tanto que veo a Verstappen en todos lados, ya me cayó gordo jajaja",rodrecruzalv
13,1637961871742345217,2023-03-20 23:38:36+00:00,Rosberg y Hamilton me hacen acordar a Senna y Prost. Si Verstappen y Perez van a ser o intentar ser así ojalá sea una gran rivalidad porque ambos traen bronca,luz_s0r14
14,1637961630880260098,2023-03-20 23:37:39+00:00,Qué vergüenza la actitud de Verstappen y la del tata ni digamos…,LaDidiVader
