,Tweet Id,Datetime,Tweet,Username
0,1637966510718353408,2023-03-20 23:57:02+00:00,Yo digo que #HenryMartin hizo bien en festejar como festejo en el @ClubAmerica vs @Chivas de hacer como que miaba la portería que tampoco sea persignada la @LigaPremier_FMF ellos ofenden más con su corrupción miserable @FMF #Mexico,VOZDEUNCHILANGO
1,1637966108316631040,2023-03-20 23:55:26+00:00,No se a quien le vale mas verga el equipo de las chivas. A mi o a ese cabron de Alexis jajaja,BrandonLomas7
2,1637966057234132999,2023-03-20 23:55:14+00:00,"Otro chocolate 🍫 de Patrick Sandoval que hoy se parece al  mismisimo Wily Wonka. 

#ClasicoMundial2023",ChivasGoat789
3,1637965900287467520,2023-03-20 23:54:37+00:00,Mejor habla de tus chivas https://t.co/q2vlp6gqjC,alexblanco23
4,1637965645198372865,2023-03-20 23:53:36+00:00,"Las chivas no dejarán de ser un equipo fracasado mientras su afición siga justificando todas sus derrotas, representan al típico wey que cuando le va mal siempre hay un culpable MENOS ÉL",jesusmolina38
5,1637965174425485314,2023-03-20 23:51:44+00:00,"¡LO QUE MUCHOS PENSAMOS! 👊

“Muy fácil se sacan tarjetas aquí (en México). Se sacan tarjetas por nada. Es fútbol, es emotivo, todo el mundo está afectado. No se pueden sacar tarjetas así.”

—— Veljko Paunović tras la decisión de Marco Antonio Ortiz de expulsar a Víctor Guzmán. https://t.co/k9Aq85Bf5Q",ChivasUniverse
6,1637964006534029313,2023-03-20 23:47:05+00:00,"Dos cosas que pasan en el #ClasicoNacional América Chivas 
1.-Siempre aparece un hocicon que lo tienen en un ataúd, y lo reviven días antes al juego.
2.-Pasando el juego, inmediato se desaparece, humillado y aporreado regresa a su ataúd. 
@bofo_100_",chavadiez
7,1637963820088918016,2023-03-20 23:46:21+00:00,A VER SI APRENDEN BOLA DE PENDEJOS @Chivas,rAuLchangou
8,1637963814225293312,2023-03-20 23:46:19+00:00,"Excelente @Chivas @Amauryvz  están haciendo justo las cosas que tu papá jamás hubiera querido, bien Vega, con eso vas a recuperarte al cien en unas semanas más.",Alejandrorioss7
9,1637963805719240709,2023-03-20 23:46:17+00:00,Yo creí que no andaban en el puto Instagram por vergüenza pero al parecer es por que andan en la peda. @Chivas,nenelarios1
10,1637963026673303552,2023-03-20 23:43:12+00:00,"Entonces ya les dijiste que su ""referente"" el pocho se hizo expulsar para no jugar vs el equipo de sus amores ? Jajajaja están bien empinados!!! @Chivas 
😜😜🤣🤣🤣🤣🤣 https://t.co/zlNoLCfdy9",LuisVenero7
11,1637962927230660608,2023-03-20 23:42:48+00:00,"Por burlarse de Chivas en festejo, Henry Martín pagaría una multa millonaria https://t.co/Gd91SyUEyv",informador_DEP
12,1637962671411679232,2023-03-20 23:41:47+00:00,"Ay ay ay🎶
🎶 a los de chivas lo vamo a'garrar
 
Ay ay ah🎶  
a lo de chiva lo'vamo a'garrar

🎶 pinche chiva vigilante si corres en todas partes

🎶 tus amigos en patrulla y tu son hijos de put4

Ay ay ay🎶
Hoy vinieron con la federal

Ay ah ay 🎶
Hoy vinieron con la federal https://t.co/3HDSQqvH26",SomosLaFiel
13,1637962503383662592,2023-03-20 23:41:07+00:00,"Exactamente, pero como se orinaron, literal, en las chivas están mamando. Ahora la beben o la derraman, pinches chillones",Oye_Mages
14,1637961862003277824,2023-03-20 23:38:34+00:00,"Sabes que @Chivas es el equipo más mimado de MÉXICO cuando la prensa se dedica a criticar a Henry por su festejo, que criticar la actitud de los jugadores de achicas en un clásico!

Chivas es el responsable de que el Fútbol Mexicano, y medios sean mediocres en esté país.",Ama_AzulCrema
15,1637960838504906754,2023-03-20 23:34:30+00:00,"Ojalá Pauno ante atlaZ inicie cubriendo a Quiñones, no lo haga en zona, sino que ponga marca a él que ha sido el mejor de ellos, ante Pumas, Olimpia y Puebla, lo viene confirmando.

@Chivas debe aprender de los errores en marca del último juego y saber defender para generar.",IvanChis33
16,1637960552625348612,2023-03-20 23:33:22+00:00,"Carnaaal, te sigues burlando por que le ganaron a él chivas, y pero a ti te ganaron a tu morra jajajaa ¡buzo compa!",JhonnyeIsarMx
17,1637959924750725120,2023-03-20 23:30:52+00:00,"🛡 Mejores defensivas:

8 ⚽️ León
9 ⚽️ Mty
9 ⚽️ Tigres
12 ⚽️ Toluca
13 ⚽️ Cruz Azul
13 ⚽️ Chivas
15 ⚽️ San Luis
16 ⚽️ América
16 ⚽️ Atlas
16 ⚽️ Necaxa
16 ⚽️ Tuzos
17 ⚽️ Querétaro
17 ⚽️ Xolos
18 ⚽️ Juárez
24 ⚽️ Pumas
26 ⚽️ Puebla
27 ⚽️ Santos
28 ⚽️ Mazatlán https://t.co/Gb9YfgH2Nc",RaulOrvananos
18,1637959560349597696,2023-03-20 23:29:25+00:00,"😎 ¡ESO ES TODO, @Pompeyo4CR! 🔥 ¡ENHORABUENA! 🙌

#SomosDistintos 🦾",esportsChivas
19,1637959111395401730,2023-03-20 23:27:38+00:00,"Jonathan Rodríguez fue elegido por la afición Azulcrema como el mejor jugador contra Chivas 🦅

#ClubAmerica #SomosAmerica #SiempreAguilas https://t.co/YjxHwbpwKf",pasionaguila
20,1637958922110730240,2023-03-20 23:26:53+00:00,"¡ES LA PODEROSA! 😍

Tú también puedes verte así de INCREÍBLE Y DISTINTO 🔥

¡DESATA TU GLITCH Y ADQUIERE LA TUYA! 💥👉🏻 https://t.co/9g9Ow7w9lr https://t.co/yMaxWDrcxl",esportsChivas
21,1637958635669143565,2023-03-20 23:25:45+00:00,"Henry Martin y su vulgar festejo en el Chivas vs América que escandaliza a los falsos puritanos de la TV https://t.co/ntwwr7l03r ESTAS "" chivas' no hicieron nada, porque les faltan HUEVOS, las anteriores hubieran echo una campal, hoy en la ""MX"" puro deshuevado",mariooro8
22,1637958553792131079,2023-03-20 23:25:25+00:00,"DUELO DE ARQUEROS 🧤🚨

En sus últimos 5 partidos:

Ochoa (Juventus, Monza, Sampdoria, Milán y Bolonia) 6 goles recibidos. 

Acevedo (león, tijuana, chivas, puebla y toluca) 15 goles recibidos. 

#FútbolMedia #Mexico https://t.co/35uQz40vBa",futbolmediaofi
23,1637958376016736257,2023-03-20 23:24:43+00:00,#WorldBaseballClassic #LaCasaDelBeisbol MÉXICO 🇲🇽 https://t.co/LiMDvmUlca,O1CHIVAS13
24,1637958285537038340,2023-03-20 23:24:21+00:00,"Ganó el Barça, ganaron los Rayados, perdieron las chivas. JAJAJAJAJA el contraste machín que tuvimos.",flywithphanie
25,1637958263265275905,2023-03-20 23:24:16+00:00,"#Video Miguel Gurwitz: ""Los aficionados de Chivas no solo se pueden fijar en la burla de Henry Marti?n"": https://t.co/a6NvkvupMJ",lado_mx
26,1637958251752067075,2023-03-20 23:24:13+00:00,Que intenso! Vamos 🇲🇽 !!!!,Jaquee_Towers
